,open,high,low,close,volume,value
2026-05-16 10:00:00,22.0,22.0,21.9,21.9,1892586.40392935,41515935.00192417
2026-05-16 10:15:00,21.9,22.0,21.8,21.8,2570568.99271072,56320440.1324333
2026-05-16 10:30:00,21.9,21.9,21.8,21.8,2067735.99118548,45175876.21209179
2026-05-16 10:45:00,21.8,22.0,21.8,21.9,1165886.29970871,25488508.33883469
2026-05-16 11:00:00,21.9,22.1,21.9,22.1,1892711.61800831,41653097.91242619
2026-05-16 11:15:00,22.1,22.3,22.1,22.2,1539038.31014384,34171384.95630259
2026-05-16 11:30:00,22.2,22.3,22.2,22.3,1205030.9510209,26764803.223595
2026-05-16 11:45:00,22.3,22.3,22.2,22.2,1434369.78369709,31933959.08918725
2026-05-16 12:00:00,22.2,22.3,22.2,22.2,1939700.15820091,43067938.92959807
2026-05-16 12:15:00,22.2,22.3,22.1,22.1,6373692.22882138,141472160.3025186
2026-05-16 12:30:00,22.1,22.1,21.9,21.9,1198072.00313699,26433169.39022031
2026-05-16 12:45:00,21.9,22.0,21.9,22.0,878573.06467041,19320072.15592991
2026-05-16 13:00:00,22.0,22.1,21.9,21.9,895516.27597008,19684797.29927475
2026-05-16 13:15:00,21.9,22.1,21.9,21.9,1302391.1338442,28575474.77006936
2026-05-16 13:30:00,21.9,21.9,21.8,21.9,3146068.43202426,68886450.08714047
2026-05-16 13:45:00,21.9,21.9,21.8,21.8,951962.95530311,20805415.79654125
2026-05-16 14:00:00,21.9,21.9,21.7,21.8,2869389.05425809,62455056.07312891
2026-05-16 14:15:00,21.8,22.0,21.8,22.0,985348.1838127,21550740.59453002
2026-05-16 14:30:00,22.0,22.1,21.9,22.1,1041021.36465901,22959627.58589707
2026-05-16 14:45:00,22.2,22.2,22.1,22.1,325964.77552978,7225374.9240882
2026-05-16 15:00:00,22.1,22.1,21.8,21.9,1100970.64812871,24231734.73935381
2026-05-16 15:15:00,21.8,21.9,21.8,21.8,748014.51856942,16333625.14431611
2026-05-16 15:30:00,21.8,21.9,21.8,21.8,2494212.37396745,54374217.8849105
2026-05-16 15:45:00,21.8,21.8,21.5,21.6,9240460.13790757,199683012.57335642
2026-05-16 16:00:00,21.6,21.6,21.2,21.3,9545410.80397021,204725215.55234146
2026-05-16 16:15:00,21.2,21.4,21.0,21.4,10762153.58766036,228498567.76982662
2026-05-16 16:30:00,21.3,21.4,21.1,21.3,7227047.79138163,153688399.10225153
2026-05-16 16:45:00,21.3,21.3,21.2,21.2,563255.59630782,11950407.1367069
2026-05-16 17:00:00,21.2,21.2,21.1,21.1,2318887.756371,49023870.04130193
2026-05-16 17:15:00,21.2,21.2,21.1,21.1,2630433.41751452,55531414.85139982
2026-05-16 17:30:00,21.1,21.1,21.0,21.1,4081016.03971604,86037379.39613014
2026-05-16 17:45:00,21.1,21.1,20.8,21.0,6611705.94509842,138417641.114471
2026-05-16 18:00:00,20.9,21.0,20.8,20.8,2805552.34704161,58680511.07098958
