,open,high,low,close,volume,value
2026-05-07 09:45:00,23.9,23.9,23.8,23.9,22453.92880493,536159.61392376
2026-05-07 10:00:00,23.8,23.8,23.7,23.7,988899.89869581,23529153.33942114
2026-05-07 10:15:00,23.8,23.8,23.7,23.8,395034.82822068,9376559.69031327
2026-05-07 10:30:00,23.9,23.9,23.9,23.9,71171.07083986,1700988.59307265
2026-05-07 10:45:00,23.8,23.9,23.7,23.9,139689.55288969,3323479.06748789
2026-05-07 11:00:00,23.7,23.7,23.7,23.7,453268.79137097,10742470.35549199
2026-05-07 11:15:00,23.7,23.8,23.6,23.8,2565.15945289,60653.90392394
2026-05-07 11:30:00,23.8,23.8,23.8,23.8,36339.39332854,864877.56121925
2026-05-07 12:30:00,23.7,23.8,23.7,23.8,168334.52080237,3989570.15982289
2026-05-07 12:45:00,23.8,23.8,23.8,23.8,252.10084033,5999.99999985
2026-05-07 13:00:00,23.7,23.7,23.6,23.7,1371335.32074752,32389803.71424834
2026-05-07 13:15:00,23.6,23.6,23.6,23.6,8611.8496,203239.65056
2026-05-07 13:30:00,23.6,23.8,23.6,23.8,58639.24067796,1391376.63999986
2026-05-07 13:45:00,23.8,23.8,23.8,23.8,216588.38138921,5154803.4770632
2026-05-07 14:00:00,23.8,23.9,23.8,23.9,569250.76443303,13556496.73064402
2026-05-07 14:15:00,23.8,23.8,23.8,23.8,30000.0,714000.0
2026-05-07 14:30:00,23.9,23.9,23.9,23.9,7894.9,188688.11
2026-05-07 14:45:00,23.8,23.9,23.8,23.9,34017.15802992,810646.54957506
2026-05-07 15:00:00,23.9,23.9,23.8,23.8,28798.52951751,685417.28998603
2026-05-07 15:15:00,23.7,23.9,23.7,23.9,19857.30972659,473745.82060896
2026-05-07 15:30:00,23.9,23.9,23.9,23.9,639221.45154751,15277392.69198549
2026-05-07 15:45:00,24.0,24.0,23.9,23.9,19648.06182881,469608.67770856
2026-05-07 16:00:00,24.0,24.0,24.0,24.0,275.25335537,6606.08052888
2026-05-07 16:15:00,23.9,24.0,23.9,24.0,8989.5097112,214869.5330688
2026-05-07 16:30:00,23.9,24.0,23.9,24.0,269566.2174978,6458826.1598543
2026-05-07 16:45:00,23.9,23.9,23.9,23.9,23768.61764706,568069.96176473
2026-05-07 17:00:00,23.9,23.9,23.8,23.9,659713.04515157,15740627.86047896
2026-05-07 17:30:00,23.9,23.9,23.9,23.9,74547.00263557,1781673.36299012
2026-05-07 17:45:00,24.0,24.0,24.0,24.0,130.57441253,3133.78590072
2026-05-07 18:00:00,24.0,24.0,24.0,24.0,1501.93954656,36046.54911744
2026-05-07 18:15:00,24.0,24.0,24.0,24.0,1600.53254384,38412.78105216
2026-05-07 18:45:00,24.0,24.0,24.0,24.0,6026.77827752,144642.67866048
2026-05-07 19:00:00,24.0,24.0,23.8,23.8,5592.08097784,133117.50649337
2026-05-07 19:15:00,23.9,23.9,23.9,23.9,227.487,5436.9393
2026-05-07 19:30:00,23.8,23.9,23.8,23.9,110210.66069145,2624854.02474006
2026-05-07 19:45:00,24.0,24.0,23.9,23.9,80027.40906334,1912904.21216016
2026-05-07 20:00:00,23.9,23.9,23.9,23.9,10897.92746198,260460.46634132
2026-05-07 20:15:00,23.9,24.0,23.8,24.0,281812.57427042,6712871.19089461
2026-05-07 20:30:00,23.8,23.8,23.8,23.8,7607.17928942,181050.8670882
2026-05-07 20:45:00,23.8,23.8,23.8,23.8,10000.0,238000.0
2026-05-07 21:00:00,24.0,24.0,24.0,24.0,131.25984251,3150.23622024
2026-05-07 21:15:00,23.9,23.9,23.8,23.8,8784.906786,209913.14928923
2026-05-07 21:30:00,23.9,23.9,23.9,23.9,13514.39489914,322994.03808945
2026-05-07 21:45:00,23.9,24.0,23.9,24.0,48650.15423538,1163384.4480139
2026-05-07 22:00:00,24.0,24.0,24.0,24.0,376079.99686152,9025919.92467648
2026-05-07 22:30:00,23.9,24.0,23.9,24.0,6111.24999999,146186.99999976
2026-05-07 22:45:00,23.9,23.9,23.8,23.8,197857.42521472,4724642.79925388
2026-05-07 23:00:00,23.9,23.9,23.9,23.9,17605.0,420759.5
2026-05-07 23:15:00,23.9,24.0,23.9,23.9,98887.87804878,2363427.48536584
2026-05-07 23:30:00,23.8,23.8,23.6,23.6,101148.74573607,2398149.5714595
2026-05-07 23:45:00,23.8,23.8,23.8,23.8,132.3015873,3148.77777774
2026-05-08 00:00:00,23.7,23.7,23.6,23.6,277389.40928271,6546812.00000023
2026-05-08 00:15:00,23.6,23.6,23.4,23.4,1498868.01545555,35133699.05132582
2026-05-08 00:30:00,23.4,23.6,23.4,23.6,230755.4335136,5433588.74411412
2026-05-08 00:45:00,23.6,23.7,23.6,23.6,415174.81535218,9798193.15285997
2026-05-08 01:00:00,23.6,23.6,23.6,23.6,222507.63721766,5251180.23833678
2026-05-08 01:30:00,23.6,23.6,23.6,23.6,198154.48133776,4676445.75957114
2026-05-08 01:45:00,23.6,23.6,23.5,23.5,91392.69757978,2156842.34642711
2026-05-08 02:15:00,23.6,23.6,23.6,23.6,34894.37282204,823507.19860014
2026-05-08 02:45:00,23.7,23.7,23.7,23.7,28524.84953238,676038.93391741
2026-05-08 03:00:00,23.8,23.8,23.8,23.8,4756.69453559,113209.32994704
2026-05-08 04:00:00,23.9,23.9,23.8,23.9,63179.60396321,1508709.73874461
2026-05-08 04:15:00,23.9,23.9,23.9,23.9,11685.4,279281.06
2026-05-08 04:30:00,23.9,24.0,23.9,24.0,87038.4429,2080585.78531
2026-05-08 04:45:00,24.0,24.0,24.0,24.0,209522.54145707,5028540.99496968
2026-05-08 05:00:00,24.0,24.0,24.0,24.0,3280.75929476,78738.22307424
2026-05-08 06:00:00,23.9,23.9,23.8,23.8,4518.25941422,107952.98410028
2026-05-08 06:15:00,23.9,23.9,23.9,23.9,20920.50209205,500000.0
2026-05-08 06:30:00,23.9,23.9,23.9,23.9,205263.94044426,4905808.17661781
2026-05-08 06:45:00,23.9,23.9,23.9,23.9,102274.59797883,2444362.89169404
2026-05-08 07:00:00,23.8,23.9,23.8,23.9,54110.75504885,1287885.97016263
2026-05-08 07:15:00,23.9,23.9,23.9,23.9,25179.30362116,601785.35654572
2026-05-08 07:30:00,23.9,23.9,23.9,23.9,40363.19246861,964680.29999978
2026-05-08 08:00:00,23.9,23.9,23.9,23.9,4527.75993629,108213.46247733
2026-05-08 08:15:00,23.8,23.8,23.7,23.7,41699.95564126,990474.81727786
2026-05-08 08:30:00,23.9,23.9,23.8,23.8,192162.25345101,4573486.73673655
2026-05-08 08:45:00,23.8,23.9,23.8,23.9,157506.04391009,3748656.57025098
2026-05-08 09:00:00,23.9,23.9,23.8,23.9,4686.19778635,111958.80477972
2026-05-08 09:30:00,23.9,24.0,23.9,24.0,3019.18739229,72251.29239404
2026-05-08 09:45:00,23.8,24.0,23.8,23.8,3112.27163261,74123.51077928
2026-05-08 10:15:00,23.9,23.9,23.9,23.9,8911.69273743,212989.45642458
2026-05-08 10:30:00,23.9,23.9,23.8,23.8,56193.45141346,1340090.64364035
2026-05-08 10:45:00,23.9,23.9,23.9,23.9,123.48148148,2951.20740737
2026-05-08 11:00:00,23.8,23.9,23.7,23.8,313159.95605298,7452903.02481162
2026-05-08 11:15:00,23.8,23.8,23.8,23.8,328017.7833324,7806823.24331112
2026-05-08 11:30:00,23.9,24.0,23.9,24.0,12871.1757,308289.94910506
2026-05-08 11:45:00,24.0,24.0,23.8,23.8,7584.03361344,180999.99999987
2026-05-08 12:00:00,23.9,23.9,23.8,23.9,24753.0115288,589369.8565657
2026-05-08 12:15:00,23.9,24.0,23.9,24.0,562.68414366,13461.63081784
2026-05-08 12:30:00,24.0,24.0,24.0,24.0,208.375,5001.0
2026-05-08 13:00:00,24.0,24.0,24.0,24.0,474.3045144,11383.3083456
2026-05-08 13:15:00,23.9,23.9,23.9,23.9,5820.46470111,139109.10635653
2026-05-08 13:30:00,24.0,24.0,23.9,24.0,99379.97146938,2376172.98338717
2026-05-08 13:45:00,23.8,24.0,23.8,23.8,79619.43720661,1894970.77972538
2026-05-08 14:00:00,24.0,24.0,24.0,24.0,223784.644414,5370831.465936
2026-05-08 14:15:00,24.0,24.1,23.9,23.9,35128.09692067,841903.28821343
2026-05-08 14:30:00,24.1,24.1,23.9,23.9,41853.61565984,1000964.99836372
2026-05-08 14:45:00,24.1,24.1,24.1,24.1,126.60759493,3051.24303781
2026-05-08 15:00:00,24.0,24.1,23.9,24.1,153052.42484673,3659190.19329885
2026-05-08 15:15:00,24.1,24.1,24.1,24.1,125.65326633,3028.24371855
2026-05-08 15:30:00,24.1,24.1,24.1,24.1,340.96622449,8217.28601021
2026-05-08 15:45:00,24.0,24.0,24.0,24.0,249.84,5996.16
2026-05-08 16:00:00,24.0,24.1,23.9,23.9,689470.93544157,16528438.34460539
2026-05-08 16:30:00,23.8,23.9,23.8,23.9,61018.94166686,1452265.27409901
2026-05-08 16:45:00,23.9,23.9,23.9,23.9,2555.79871506,61083.58928993
2026-05-08 17:00:00,23.9,24.0,23.8,24.0,85911.98725374,2050903.24701384
2026-05-08 17:15:00,24.0,24.0,24.0,24.0,3456.05723604,82945.37366496
2026-05-08 17:45:00,24.0,24.0,24.0,24.0,4201.68067226,100840.33613424
2026-05-08 18:00:00,24.0,24.0,24.0,24.0,3199.081318,76777.951632
2026-05-08 18:15:00,24.1,24.1,24.1,24.1,35096.73344766,845831.27608861
2026-05-08 18:30:00,24.1,24.1,24.1,24.1,3007.2100879,72473.76311839
2026-05-08 18:45:00,24.1,24.1,24.1,24.1,8272.33690947,199363.31951823
2026-05-08 19:00:00,24.1,24.1,24.1,24.1,211.406639,5094.8999999
2026-05-08 19:30:00,24.0,24.0,23.9,23.9,9065.96535619,216759.55956481
2026-05-08 19:45:00,24.1,24.1,24.0,24.0,213370.56631828,5120914.35647244
2026-05-08 20:15:00,24.0,24.0,24.0,24.0,36896.973255,885527.35812
2026-05-08 20:30:00,23.9,24.0,23.9,24.0,245875.40746884,5895400.24427905
2026-05-08 20:45:00,24.0,24.1,24.0,24.1,5771.36330105,138612.7192252
2026-05-08 21:00:00,24.1,24.1,24.1,24.1,210.0,5061.0
2026-05-08 21:15:00,24.0,24.1,24.0,24.0,145207.67561932,3485022.95560442
2026-05-08 21:30:00,24.1,24.1,24.1,24.1,393.69915188,9488.14956031
2026-05-08 21:45:00,24.0,24.1,24.0,24.0,183766.73996334,4410409.75912016
2026-05-08 22:00:00,24.0,24.1,24.0,24.0,854573.95845767,20568817.62580566
2026-05-08 22:15:00,24.1,24.2,24.1,24.2,998252.68236605,24119349.14781018
2026-05-08 22:30:00,24.2,24.3,24.1,24.1,11765.47238435,283924.71573856
