,open,high,low,close,volume,value
2026-06-01 15:00:00,251.0,612.0,251.0,587.0,22550054.6759964,13379373128.98055
2026-06-01 15:15:00,588.0,741.0,587.0,739.0,34369984.23912899,22570634565.129623
2026-06-01 15:30:00,740.0,748.0,616.0,631.0,29206709.54518017,19952173390.76389
2026-06-01 15:45:00,631.0,639.0,582.0,590.0,13653541.49962223,8357713391.250386
2026-06-01 16:00:00,589.0,621.0,587.0,600.0,8912114.76617324,5394473379.714137
2026-06-01 16:15:00,600.0,628.0,599.0,624.0,5031266.79183416,3082868482.69643
2026-06-01 16:30:00,624.0,661.0,604.0,657.0,9327584.45702683,5911981234.70062
2026-06-01 16:45:00,657.0,659.0,636.0,653.0,8433412.99764032,5475369945.244141
2026-06-01 17:00:00,653.0,654.0,606.0,628.0,6793366.66802172,4250892115.517772
2026-06-01 17:15:00,627.0,637.0,613.0,627.0,3231667.4022691,2021980387.2985637
2026-06-01 17:30:00,628.0,632.0,616.0,627.0,3560103.83956781,2224405883.7148085
2026-06-01 17:45:00,627.0,632.0,619.0,626.0,2541208.45643898,1588274657.0987139
2026-06-01 18:00:00,625.0,640.0,614.0,631.0,5440236.85992428,3413089901.5431266
2026-06-01 18:15:00,630.0,632.0,568.0,579.0,4808432.35850254,2890791622.389199
2026-06-01 18:30:00,577.0,583.0,556.0,574.0,7991294.94943935,4543910857.91711
2026-06-01 18:45:00,574.0,579.0,531.0,539.0,5962885.07674352,3283788517.7681026
2026-06-01 19:00:00,538.0,541.0,502.0,521.0,8044330.2185451,4197414998.499781
2026-06-01 19:15:00,520.0,528.0,516.0,522.0,1961522.40882922,1022127687.6418248
2026-06-01 19:30:00,522.0,526.0,516.0,526.0,1744349.7317496,909258501.0331633
2026-06-01 19:45:00,526.0,572.0,526.0,560.0,7929797.68498786,4385455091.10837
2026-06-01 20:00:00,560.0,570.0,532.0,561.0,7554896.90208284,4163752152.451811
2026-06-01 20:15:00,561.0,571.0,545.0,569.0,5370205.23383208,3008904030.7256703
2026-06-01 20:30:00,569.0,577.0,557.0,561.0,4233432.96636616,2390061226.729551
2026-06-01 20:45:00,561.0,562.0,542.0,556.0,3275048.70225728,1805755806.1953735
2026-06-01 21:00:00,558.0,559.0,516.0,524.0,4213642.5376551,2245045014.9475355
2026-06-01 21:15:00,525.0,531.0,506.0,511.0,5065828.4788577,2622572061.1251993
2026-06-01 21:30:00,512.0,520.0,512.0,516.0,1654776.93368431,854063669.6301283
2026-06-01 21:45:00,516.0,523.0,510.0,514.0,2715937.97830279,1404749033.2084804
2026-06-01 22:00:00,514.0,515.0,503.0,507.0,2595961.48149875,1319251504.6476026
2026-06-01 22:15:00,507.0,510.0,470.0,483.0,9130501.54416629,4457624317.85815
2026-06-01 22:30:00,483.0,483.0,459.0,466.0,7670006.84852419,3589721755.1431074
2026-06-01 22:45:00,465.0,471.0,448.0,451.0,5698379.15165207,2620148743.325245
2026-06-01 23:00:00,451.0,461.0,446.0,457.0,2972269.92459699,1350809993.708414
2026-06-01 23:15:00,456.0,480.0,455.0,473.0,4910479.2542082,2314337733.9058285
2026-06-01 23:30:00,473.0,473.0,463.0,466.0,2176523.060302,1016044017.7478755
2026-06-01 23:45:00,466.0,468.0,435.0,445.0,4717257.86398491,2112323897.627169
2026-06-02 00:00:00,445.0,458.0,436.0,456.0,10606382.07550985,4767464243.093317
2026-06-02 00:15:00,456.0,501.0,455.0,485.0,19090792.32822735,9270023919.308771
2026-06-02 00:30:00,485.0,485.0,458.0,468.0,8244510.10149985,3901299296.0927377
2026-06-02 00:45:00,468.0,475.0,458.0,461.0,7070830.1746106,3319024894.992105
2026-06-02 01:00:00,461.0,470.0,452.0,470.0,4469786.79967132,2062106490.5816777
2026-06-02 01:15:00,470.0,484.0,465.0,479.0,3714269.65540388,1760139398.812214
2026-06-02 01:30:00,477.0,481.0,466.0,470.0,3528610.55171598,1667470872.2694068
2026-06-02 01:45:00,470.0,471.0,458.0,468.0,2370377.59855385,1099847421.2213957
2026-06-02 02:00:00,468.0,474.0,459.0,461.0,2037237.56695608,952000154.7851306
2026-06-02 02:15:00,462.0,468.0,454.0,458.0,1728520.23253546,797586725.4258411
2026-06-02 02:30:00,458.0,468.0,455.0,467.0,1708827.74031303,786333212.9785587
2026-06-02 02:45:00,467.0,475.0,462.0,467.0,2311431.27353961,1085705740.855777
2026-06-02 03:00:00,466.0,474.0,463.0,473.0,800324.36265349,376415577.28518265
2026-06-02 03:15:00,473.0,484.0,469.0,481.0,2345743.60896023,1116799726.3810868
2026-06-02 03:30:00,482.0,488.0,477.0,485.0,1578742.15788019,761038745.8034669
2026-06-02 03:45:00,484.0,486.0,474.0,480.0,1186279.00509078,568633619.0204152
2026-06-02 04:00:00,479.0,491.0,478.0,490.0,1552663.03832014,752898333.6165533
2026-06-02 04:15:00,489.0,490.0,478.0,481.0,1536837.43190701,741024934.7128162
2026-06-02 04:30:00,480.0,484.0,477.0,480.0,1283508.28607284,616948678.6909528
2026-06-02 04:45:00,480.0,496.0,475.0,489.0,1597495.66964026,775830427.4384624
2026-06-02 05:00:00,489.0,532.0,488.0,516.0,4303462.24342504,2207380529.7769217
2026-06-02 05:15:00,516.0,548.0,510.0,542.0,4075828.27563829,2181412297.002913
2026-06-02 05:30:00,542.0,555.0,524.0,529.0,4742112.95622617,2564100686.9128904
2026-06-02 05:45:00,530.0,535.0,512.0,520.0,2733851.41854603,1432820967.9788253
2026-06-02 06:00:00,520.0,532.0,509.0,527.0,2966132.92686364,1544246780.965985
2026-06-02 06:15:00,527.0,533.0,516.0,526.0,2131510.11343515,1123032687.2678535
2026-06-02 06:30:00,526.0,530.0,519.0,522.0,1553561.79207493,814372916.4087485
2026-06-02 06:45:00,522.0,542.0,517.0,537.0,2459019.99488542,1290284763.6172144
2026-06-02 07:00:00,538.0,541.0,525.0,529.0,2563190.85867423,1366975060.3845189
2026-06-02 07:15:00,529.0,533.0,511.0,516.0,2611768.81530481,1359745369.265272
2026-06-02 07:30:00,515.0,526.0,514.0,523.0,1940838.33977637,1009789586.1527131
2026-06-02 07:45:00,523.0,524.0,515.0,518.0,1628767.43448105,846161786.3795921
2026-06-02 08:00:00,518.0,520.0,493.0,503.0,3306009.00649541,1674352016.9552753
