,open,high,low,close,volume,value
2026-05-09 16:00:00,296.0,296.0,296.0,296.0,743.24324323,219999.99999608
2026-05-09 16:15:00,296.0,296.0,296.0,296.0,542.08683996,160457.70462816
2026-05-09 16:30:00,296.0,297.0,296.0,297.0,38994.16143772,11577870.04314676
2026-05-09 16:45:00,297.0,298.0,297.0,298.0,3673.30078808,1094324.3617439
2026-05-09 17:00:00,296.0,297.0,296.0,297.0,565.14227976,167467.29999414
2026-05-09 17:15:00,298.0,298.0,298.0,298.0,18087.72387027,5390141.71334046
2026-05-09 17:30:00,297.0,298.0,297.0,297.0,12208.47615652,3631234.89464296
2026-05-09 18:00:00,297.0,297.0,297.0,297.0,4969.27087065,1475873.44858305
2026-05-09 18:15:00,296.0,296.0,295.0,295.0,15388.45737889,4543360.78093576
2026-05-09 18:30:00,294.0,294.0,294.0,294.0,4928.70868159,1449040.35238746
2026-05-09 18:45:00,294.0,294.0,292.0,293.0,24951.84451595,7313355.93126329
2026-05-09 19:15:00,294.0,294.0,293.0,294.0,14151.15549636,4160420.91893736
2026-05-09 19:30:00,294.0,295.0,294.0,295.0,11009.39255656,3246695.19967048
2026-05-09 19:45:00,295.0,297.0,295.0,297.0,36539.41723495,10779547.57390235
2026-05-09 20:00:00,297.0,297.0,297.0,297.0,370.37037037,109999.99999989
2026-05-09 20:15:00,296.0,296.0,296.0,296.0,1075.67567568,318400.00000128
2026-05-09 20:30:00,297.0,297.0,297.0,297.0,9679.62103964,2874847.44877308
2026-05-09 20:45:00,297.0,297.0,297.0,297.0,3367.003367,999999.999999
2026-05-09 21:00:00,296.0,297.0,296.0,297.0,19337.25797979,5743060.84181581
2026-05-09 21:15:00,297.0,297.0,297.0,297.0,1506.7003367,447489.9999999
2026-05-09 21:30:00,296.0,296.0,295.0,295.0,8068.57166718,2380464.67330413
2026-05-09 21:45:00,295.0,295.0,295.0,295.0,10003.0952582,2950913.101169
2026-05-09 22:00:00,295.0,295.0,295.0,295.0,134.0898305,39556.4999975
2026-05-09 22:15:00,294.0,294.0,293.0,293.0,6577.88822747,1927575.91188351
2026-05-09 22:30:00,293.0,293.0,293.0,293.0,776.00868217,227370.54387581
2026-05-09 22:45:00,293.0,294.0,293.0,294.0,8595.85603695,2525794.28818066
2026-05-09 23:15:00,293.0,293.0,292.0,292.0,3620.952,1060649.98740832
2026-05-09 23:30:00,292.0,293.0,292.0,292.0,4031.70949339,1177382.17206988
2026-05-09 23:45:00,293.0,293.0,293.0,293.0,19274.13270094,5647320.88137542
2026-05-10 00:00:00,294.0,294.0,293.0,293.0,1858.40377097,546204.20489421
2026-05-10 00:15:00,293.0,293.0,293.0,293.0,3795.36177363,1112040.99967359
2026-05-10 00:30:00,293.0,293.0,293.0,293.0,6829.11840323,2000931.69214639
2026-05-10 00:45:00,292.0,292.0,292.0,292.0,5938.54057284,1734053.84726928
2026-05-10 01:00:00,291.0,292.0,291.0,291.0,55374.99165227,16114141.0547193
2026-05-10 01:15:00,291.0,292.0,291.0,292.0,34790.55933204,10130099.06562364
2026-05-10 01:30:00,292.0,292.0,292.0,292.0,716.84587814,209318.99641688
2026-05-10 01:45:00,292.0,292.0,292.0,292.0,4336.06350744,1266130.54417248
2026-05-10 02:00:00,293.0,294.0,293.0,294.0,28768.83854389,8435634.30597602
2026-05-10 02:15:00,294.0,294.0,294.0,294.0,5802.62184109,1705970.82128046
2026-05-10 02:30:00,295.0,295.0,295.0,295.0,9129.37360661,2693165.21394995
2026-05-10 02:45:00,295.0,295.0,295.0,295.0,4833.42297832,1425859.7786044
2026-05-10 03:00:00,294.0,294.0,294.0,294.0,3476.0949411,1021971.9126834
2026-05-10 03:15:00,295.0,295.0,295.0,295.0,24889.15542228,7342300.8495726
2026-05-10 03:30:00,294.0,294.0,294.0,294.0,243.0,71442.0
2026-05-10 04:00:00,295.0,295.0,294.0,294.0,5344.72672138,1575306.3828071
2026-05-10 04:15:00,294.0,294.0,294.0,294.0,8271.19784789,2431732.16727966
2026-05-10 04:30:00,294.0,294.0,294.0,294.0,355.3212055,104464.434417
2026-05-10 04:45:00,293.0,293.0,293.0,293.0,25285.70967849,7408712.93579757
2026-05-10 05:00:00,293.0,293.0,293.0,293.0,230.0,67390.0
2026-05-10 05:15:00,293.0,293.0,293.0,293.0,1623.10201005,475568.88894465
2026-05-10 05:30:00,293.0,293.0,293.0,293.0,682.59385665,199999.99999845
2026-05-10 05:45:00,293.0,293.0,293.0,293.0,1467.58702559,430002.99849787
2026-05-10 06:00:00,293.0,293.0,293.0,293.0,9003.58120128,2638049.29197504
2026-05-10 06:15:00,292.0,294.0,292.0,294.0,1354.94306187,395684.19039256
2026-05-10 06:30:00,293.0,293.0,293.0,293.0,4307.73666499,1262166.84284207
2026-05-10 06:45:00,293.0,293.0,292.0,292.0,622.52479823,181798.06019578
2026-05-10 07:00:00,292.0,293.0,292.0,293.0,976.81673339,286037.81135785
2026-05-10 07:15:00,293.0,293.0,293.0,293.0,379.02891557,111055.47226201
2026-05-10 07:30:00,293.0,293.0,293.0,293.0,18907.20902346,5539812.24387378
2026-05-10 08:00:00,293.0,293.0,292.0,292.0,8598.3760522,2510925.8072424
2026-05-10 08:15:00,293.0,293.0,292.0,292.0,4290.52800847,1253734.87597324
2026-05-10 08:30:00,292.0,292.0,292.0,292.0,2840.2395946,829349.9616232
2026-05-10 08:45:00,292.0,293.0,291.0,293.0,17932.85173071,5232467.44256857
2026-05-10 09:00:00,293.0,293.0,291.0,292.0,46395.43120635,13509038.80504656
2026-05-10 09:15:00,291.0,293.0,291.0,293.0,14772.12880137,4307898.5941087
2026-05-10 09:45:00,292.0,292.0,290.0,292.0,16597.77621324,4824029.82075113
2026-05-10 10:00:00,290.0,290.0,289.0,290.0,12620.80234093,3655581.68430738
2026-05-10 10:15:00,289.0,289.0,288.0,288.0,47316.9059937,13652177.59802788
2026-05-10 10:30:00,288.0,289.0,288.0,288.0,3549.35973046,1022854.54637245
2026-05-10 10:45:00,289.0,289.0,289.0,289.0,127.97652234,36985.21495626
2026-05-10 11:00:00,289.0,291.0,289.0,291.0,16220.90715628,4703752.73049361
2026-05-10 11:15:00,290.0,291.0,290.0,291.0,6734.60446087,1957099.72590205
2026-05-10 11:30:00,291.0,292.0,291.0,292.0,8847.73315688,2574710.89659728
2026-05-10 11:45:00,291.0,291.0,291.0,291.0,1082.10728206,314893.21907946
2026-05-10 12:00:00,291.0,291.0,291.0,291.0,9807.98356854,2854123.21844514
2026-05-10 12:15:00,291.0,291.0,290.0,290.0,12760.04478221,3700464.53323265
2026-05-10 12:30:00,290.0,290.0,290.0,290.0,8767.87485307,2542683.7073903
2026-05-10 12:45:00,290.0,290.0,290.0,290.0,72.88853112,21137.6740248
2026-05-10 13:00:00,290.0,291.0,290.0,291.0,6498.97984242,1884756.83586479
2026-05-10 13:15:00,290.0,290.0,290.0,290.0,200.0,58000.0
2026-05-10 13:30:00,290.0,290.0,290.0,290.0,682.75862069,198000.0000001
2026-05-10 13:45:00,290.0,290.0,290.0,290.0,7521.36665535,2181196.3300515
2026-05-10 14:00:00,289.0,290.0,289.0,290.0,19020.65073938,5511110.37128027
2026-05-10 14:15:00,291.0,293.0,291.0,293.0,9843.67634994,2872010.34448885
2026-05-10 14:30:00,293.0,296.0,293.0,296.0,273961.92455767,80576916.27981946
2026-05-10 14:45:00,296.0,297.0,295.0,296.0,107364.85677141,31735053.66186626
2026-05-10 15:00:00,296.0,296.0,294.0,295.0,62120.49917878,18294127.45718039
2026-05-10 15:15:00,293.0,294.0,292.0,294.0,28495.10654895,8359292.37126495
2026-05-10 15:30:00,294.0,295.0,293.0,294.0,15756.49143267,4617086.01422242
2026-05-10 15:45:00,294.0,294.0,293.0,294.0,28711.53097205,8412529.78137422
2026-05-10 16:00:00,293.0,293.0,291.0,291.0,48466.14377765,14171632.90398503
2026-05-10 16:15:00,293.0,293.0,292.0,292.0,2704.53647228,789759.01416692
2026-05-10 16:30:00,293.0,293.0,292.0,292.0,3632.58602206,1061420.24706612
2026-05-10 16:45:00,293.0,293.0,292.0,292.0,807.63682565,235865.17203411
2026-05-10 17:00:00,292.0,294.0,291.0,294.0,46879.28743403,13688773.16361346
2026-05-10 17:15:00,294.0,295.0,294.0,294.0,542.73665109,159682.97664765
2026-05-10 17:30:00,294.0,294.0,294.0,294.0,536.22414965,157649.8999971
2026-05-10 17:45:00,294.0,295.0,294.0,295.0,1007.96914308,296910.8268086
2026-05-10 18:00:00,294.0,294.0,293.0,294.0,414.95301103,121826.11721561
2026-05-10 18:15:00,294.0,294.0,293.0,293.0,8229.09787142,2411178.4589408
2026-05-10 18:30:00,293.0,294.0,293.0,293.0,7263.68849789,2131698.8857266
2026-05-10 18:45:00,293.0,294.0,293.0,294.0,4708.98535005,1380218.87483658
2026-05-10 19:00:00,293.0,294.0,291.0,293.0,35859.86356046,10506825.36103842
2026-05-10 19:15:00,294.0,294.0,294.0,294.0,18.0887372,5318.0887368
2026-05-10 19:30:00,294.0,294.0,294.0,294.0,667.66813756,196294.43244264
2026-05-10 19:45:00,292.0,292.0,292.0,292.0,50604.62817925,14776551.428341
2026-05-10 20:15:00,292.0,292.0,291.0,291.0,72655.92387238,21173624.81557475
2026-05-10 20:30:00,291.0,292.0,291.0,292.0,744.30118808,216991.64573128
2026-05-10 20:45:00,291.0,291.0,291.0,291.0,3947.49253614,1148720.32801674
2026-05-10 21:00:00,292.0,292.0,291.0,291.0,28367.46778481,8255068.5732607
2026-05-10 21:15:00,291.0,292.0,291.0,292.0,10783.26412447,3138238.07939885
2026-05-10 21:45:00,291.0,292.0,291.0,292.0,35409.15334363,10304334.51875832
2026-05-10 22:15:00,292.0,292.0,292.0,292.0,171.23287671,49999.99999932
2026-05-10 22:30:00,291.0,292.0,291.0,292.0,205.2,59768.4
2026-05-10 22:45:00,292.0,293.0,292.0,293.0,1066.2849592,311696.50501472
2026-05-10 23:00:00,292.0,293.0,292.0,293.0,57613.05880213,16846533.60997648
2026-05-10 23:15:00,293.0,293.0,292.0,292.0,1919.77049018,561532.86837765
2026-05-10 23:30:00,292.0,292.0,292.0,292.0,414.17116209,120937.97933028
2026-05-10 23:45:00,292.0,292.0,292.0,292.0,1946.63019582,568416.01717944
2026-05-11 00:15:00,293.0,293.0,293.0,293.0,1706.48464164,500000.00000052
2026-05-11 01:00:00,293.0,293.0,293.0,293.0,5527.79918414,1619645.16095302
2026-05-11 01:15:00,294.0,294.0,294.0,294.0,1344.58129251,395306.89999794
2026-05-11 01:30:00,294.0,294.0,294.0,294.0,12065.58299318,3547281.39999492
2026-05-11 01:45:00,294.0,294.0,293.0,293.0,11699.00972733,3433474.23560201
2026-05-11 02:00:00,293.0,294.0,293.0,294.0,10262.45743407,3016209.03972601
2026-05-11 02:15:00,295.0,295.0,295.0,295.0,1632.7206182,481652.582369
2026-05-11 02:30:00,295.0,295.0,295.0,295.0,777.78785638,229447.4176321
2026-05-11 02:45:00,294.0,294.0,294.0,294.0,1694.91525424,498305.08474656
2026-05-11 03:00:00,295.0,295.0,295.0,295.0,169.0,49855.0
2026-05-11 03:15:00,296.0,296.0,296.0,296.0,15353.35543741,4544593.20947336
2026-05-11 03:30:00,297.0,297.0,295.0,295.0,20606.06060606,6099461.2794611
2026-05-11 04:00:00,295.0,297.0,295.0,296.0,11987.83050847,3544728.99999865
2026-05-11 04:15:00,296.0,296.0,296.0,296.0,291.0,86136.0
2026-05-11 04:30:00,296.0,296.0,295.0,295.0,4053.36525643,1197849.37290328
2026-05-11 04:45:00,295.0,295.0,295.0,295.0,6403.23668674,1888954.8225883
2026-05-11 05:00:00,295.0,295.0,294.0,294.0,18648.81619752,5482921.4535963
2026-05-11 05:15:00,293.0,294.0,292.0,294.0,7719.80445473,2260261.15691421
2026-05-11 05:30:00,292.0,292.0,291.0,291.0,9735.59889871,2841751.44264228
2026-05-11 05:45:00,290.0,291.0,287.0,291.0,28086.73157047,8095028.11919843
2026-05-11 06:00:00,290.0,290.0,288.0,288.0,1897.93793104,550105.11844158
2026-05-11 06:15:00,289.0,289.0,289.0,289.0,7553.80480807,2183049.58953223
2026-05-11 06:30:00,290.0,290.0,290.0,290.0,10000.0,2900000.0
2026-05-11 06:45:00,291.0,292.0,290.0,290.0,1240.24452716,360189.79999968
2026-05-11 07:00:00,292.0,292.0,292.0,292.0,110.95547945,32398.9999994
2026-05-11 07:15:00,292.0,293.0,292.0,293.0,5557.43515077,1622918.05976587
2026-05-11 07:30:00,293.0,293.0,293.0,293.0,2657.2119248,778563.0939664
2026-05-11 07:45:00,293.0,293.0,293.0,293.0,1200.36025,351705.55325
2026-05-11 08:00:00,294.0,294.0,293.0,293.0,20368.60467362,5978155.41766997
2026-05-11 08:15:00,294.0,294.0,294.0,294.0,26153.63116658,7689167.56297452
2026-05-11 08:30:00,293.0,294.0,293.0,294.0,36253.54044336,10622637.52193837
2026-05-11 08:45:00,293.0,293.0,293.0,293.0,5306.02108908,1554664.17910044
2026-05-11 09:00:00,293.0,295.0,293.0,294.0,51018.37024955,14977484.46148545
2026-05-11 09:15:00,292.0,293.0,292.0,293.0,22650.30240061,6625546.55729211
2026-05-11 09:30:00,293.0,295.0,293.0,294.0,132329.01189443,38902262.36475648
2026-05-11 09:45:00,294.0,294.0,293.0,293.0,55801.23396207,16376379.81279124
2026-05-11 10:00:00,293.0,294.0,293.0,294.0,14764.58283166,4333022.96610493
2026-05-11 10:15:00,294.0,295.0,294.0,294.0,37059.9810604,10897833.4317576
2026-05-11 10:45:00,294.0,294.0,294.0,294.0,16301.36054422,4792600.00000068
2026-05-11 11:00:00,294.0,295.0,293.0,293.0,23877.91096129,7020221.38407886
2026-05-11 11:15:00,293.0,293.0,293.0,293.0,10585.60080899,3101581.03703407
2026-05-11 11:30:00,293.0,294.0,293.0,293.0,29375.51957783,8607094.15807289
2026-05-11 11:45:00,293.0,294.0,293.0,293.0,8904.7953683,2610805.723184
2026-05-11 12:00:00,293.0,293.0,292.0,292.0,19367.2257633,5671009.97599973
2026-05-11 12:15:00,292.0,293.0,292.0,293.0,25471.08913872,7438927.23468813
2026-05-11 12:30:00,292.0,292.0,291.0,291.0,35273.63109978,10288581.21468813
2026-05-11 12:45:00,292.0,292.0,292.0,292.0,14982.15001596,4374787.80466032
2026-05-11 13:00:00,291.0,291.0,291.0,291.0,26985.15859524,7852681.15121484
2026-05-11 13:15:00,291.0,292.0,291.0,292.0,74996.71829235,21828261.51622453
2026-05-11 13:30:00,292.0,294.0,292.0,294.0,33298.93380771,9734973.40610799
2026-05-11 13:45:00,293.0,293.0,291.0,292.0,6488.07900156,1894458.84547543
2026-05-11 14:00:00,293.0,293.0,293.0,293.0,68.49315069,20068.49315217
2026-05-11 14:15:00,294.0,294.0,292.0,292.0,14388.7411567,4216242.17261305
2026-05-11 14:30:00,294.0,294.0,294.0,294.0,53942.27311416,15859028.29556304
2026-05-11 14:45:00,295.0,295.0,295.0,295.0,23722.36745169,6998098.39824855
2026-05-11 15:00:00,295.0,295.0,295.0,295.0,11768.0955222,3471588.179049
2026-05-11 15:15:00,295.0,298.0,295.0,296.0,141697.0691983,42005589.68284568
2026-05-11 15:30:00,296.0,296.0,296.0,296.0,10638.45886337,3148983.82355752
2026-05-11 15:45:00,296.0,296.0,295.0,295.0,8489.96131229,2511333.6331836
2026-05-11 16:00:00,296.0,298.0,295.0,296.0,41425.45981425,12297036.30098183
2026-05-11 16:15:00,296.0,296.0,296.0,296.0,21337.73991382,6315971.01449072
2026-05-11 16:30:00,296.0,297.0,295.0,296.0,43711.02050202,12950719.33603814
2026-05-11 16:45:00,297.0,297.0,296.0,296.0,3452.84282964,1024123.50768127
2026-05-11 17:00:00,298.0,299.0,298.0,299.0,21969.51183157,6565758.61278008
2026-05-11 17:15:00,299.0,299.0,298.0,299.0,66557.00169652,19899082.51479454
2026-05-11 17:30:00,298.0,298.0,297.0,297.0,23431.52125577,6971197.89177471
2026-05-11 17:45:00,297.0,298.0,297.0,297.0,20050.72765458,5964531.23085992
2026-05-11 18:00:00,297.0,298.0,297.0,298.0,21893.66082067,6502492.26373899
2026-05-11 18:15:00,298.0,298.0,297.0,297.0,12536.62219186,3723468.11452351
2026-05-11 18:30:00,297.0,297.0,297.0,297.0,22438.51802183,6664239.85248351
2026-05-11 18:45:00,298.0,298.0,298.0,298.0,19351.81422696,5766840.63963408
2026-05-11 19:00:00,298.0,298.0,298.0,298.0,4495.37583891,1339621.99999518
2026-05-11 19:15:00,298.0,298.0,297.0,297.0,33217.24778627,9886195.19624222
2026-05-11 19:30:00,297.0,298.0,297.0,298.0,5532.6748469,1644359.99999909
2026-05-11 19:45:00,297.0,298.0,296.0,298.0,40559.26335712,12008090.01206568
2026-05-11 20:00:00,298.0,298.0,295.0,295.0,4764.61328272,1412140.23591984
2026-05-11 20:15:00,297.0,297.0,295.0,296.0,22776.57870079,6757838.97985134
2026-05-11 20:30:00,296.0,298.0,296.0,298.0,29013.17796587,8605120.67789752
2026-05-11 20:45:00,296.0,297.0,295.0,297.0,6919.47436873,2048170.32052072
2026-05-11 21:00:00,297.0,297.0,295.0,295.0,50380.78256737,14874664.47540547
2026-05-11 21:15:00,296.0,296.0,295.0,296.0,4512.82169048,1335742.70274564
2026-05-11 21:30:00,296.0,296.0,295.0,295.0,2016.45234898,596847.63504222
2026-05-11 21:45:00,295.0,296.0,295.0,296.0,31854.73452435,9406428.57267843
2026-05-11 22:00:00,295.0,295.0,294.0,295.0,16472.9658664,4858545.41996483
2026-05-11 22:15:00,295.0,295.0,293.0,293.0,66311.5582,19450394.88946756
2026-05-11 22:30:00,293.0,294.0,293.0,293.0,13914.14640329,4077186.19309229
2026-05-11 22:45:00,293.0,293.0,292.0,292.0,18106.60842559,5303986.65061669
2026-05-11 23:00:00,293.0,294.0,293.0,293.0,53867.12595906,15787034.97764498
2026-05-11 23:15:00,293.0,293.0,292.0,292.0,45267.43717511,13228896.11986399
2026-05-11 23:30:00,291.0,291.0,290.0,291.0,24401.22827822,7100723.75892835
2026-05-11 23:45:00,292.0,292.0,291.0,291.0,377.32459515,110143.75179477
2026-05-12 00:00:00,291.0,291.0,291.0,291.0,2106.19945999,612904.04285709
2026-05-12 00:15:00,292.0,293.0,292.0,293.0,25515.77613703,7451017.63201276
2026-05-12 00:30:00,293.0,293.0,293.0,293.0,90.02805585,26378.22036405
2026-05-12 00:45:00,293.0,293.0,293.0,293.0,2892.38315995,847468.26586535
2026-05-12 01:00:00,293.0,293.0,293.0,293.0,10263.9,3007322.7
2026-05-12 01:15:00,294.0,294.0,294.0,294.0,17.00680272,4999.99999968
2026-05-12 01:30:00,294.0,294.0,294.0,294.0,11603.01518322,3411286.46386668
2026-05-12 02:00:00,294.0,294.0,293.0,293.0,10275.21305849,3010654.43294029
2026-05-12 02:30:00,294.0,294.0,293.0,294.0,236.12233946,69368.94739308
2026-05-12 02:45:00,293.0,293.0,293.0,293.0,354.60992907,103900.70921751
2026-05-12 03:00:00,294.0,294.0,294.0,294.0,2387.8800516,702036.7351704
2026-05-12 03:30:00,294.0,294.0,294.0,294.0,8242.8,2423383.2
2026-05-12 04:00:00,293.0,293.0,293.0,293.0,1620.57133057,474827.39985701
2026-05-12 04:15:00,293.0,293.0,293.0,293.0,174.0,50982.0
2026-05-12 04:30:00,293.0,293.0,293.0,293.0,36.0,10548.0
2026-05-12 05:00:00,294.0,294.0,294.0,294.0,6643.8072311,1953279.3259434
2026-05-12 05:15:00,294.0,294.0,292.0,292.0,1411.78888614,413366.04846046
2026-05-12 06:00:00,294.0,294.0,292.0,293.0,1260.7919,370224.69808606
2026-05-12 06:15:00,292.0,292.0,292.0,292.0,2531.04316032,739064.60281344
2026-05-12 06:30:00,292.0,292.0,292.0,292.0,18689.31321883,5457279.45989836
2026-05-12 06:45:00,292.0,292.0,291.0,292.0,1725.18523396,503651.2638617
2026-05-12 07:00:00,291.0,291.0,291.0,291.0,6233.40843742,1813921.85528922
2026-05-12 07:30:00,292.0,292.0,292.0,292.0,2809.99036034,820517.18521928
2026-05-12 07:45:00,292.0,292.0,292.0,292.0,1338.25416666,390770.21666472
2026-05-12 08:00:00,291.0,291.0,290.0,290.0,17805.21961833,5180818.56136333
2026-05-12 08:15:00,290.0,290.0,290.0,290.0,34765.68748119,10082049.3695451
2026-05-12 08:45:00,291.0,292.0,291.0,291.0,7002.2189514,2037666.2628026
2026-05-12 09:00:00,291.0,291.0,290.0,290.0,26515.77782448,7708439.98694328
2026-05-12 09:15:00,290.0,291.0,290.0,291.0,22567.30201396,6554478.06521027
2026-05-12 09:30:00,291.0,292.0,291.0,291.0,12044.34034156,3511794.13151912
2026-05-12 09:45:00,291.0,291.0,291.0,291.0,15386.67245767,4477521.68518197
2026-05-12 10:00:00,292.0,292.0,291.0,291.0,31587.98698627,9214572.19999084
2026-05-12 10:15:00,291.0,291.0,290.0,291.0,40909.30984405,11902426.48906446
2026-05-12 10:30:00,290.0,290.0,287.0,288.0,106539.62705794,30668883.43116945
2026-05-12 10:45:00,288.0,288.0,287.0,287.0,31421.83941194,9048510.84417514
2026-05-12 11:00:00,287.0,287.0,286.0,287.0,25654.98496286,7337592.63144578
2026-05-12 11:15:00,287.0,287.0,286.0,286.0,10661.69059233,3059731.59999871
2026-05-12 11:30:00,287.0,287.0,287.0,287.0,971.03832752,278687.99999824
