,open,high,low,close,volume,value
2026-05-16 07:00:00,60.9,61.2,60.9,61.0,77995.24246389,4751448.93816865
2026-05-16 07:15:00,61.0,61.2,61.0,61.0,26891.91230301,1642314.20846824
2026-05-16 07:30:00,61.2,61.3,61.2,61.3,47841.04646758,2929802.32313586
2026-05-16 07:45:00,61.3,61.4,61.2,61.4,207646.95520475,12713421.34341899
2026-05-16 08:00:00,61.4,61.4,61.1,61.1,260800.4713731,15954519.37138704
2026-05-16 08:15:00,61.1,61.4,61.0,61.3,201563.05834867,12336396.38142611
2026-05-16 08:30:00,61.3,61.4,61.3,61.3,342873.90897736,21022190.97320575
2026-05-16 08:45:00,61.3,61.4,61.2,61.4,477959.17460585,29319025.85259558
2026-05-16 09:00:00,61.4,61.4,60.8,61.0,984272.08106022,60000136.21881777
2026-05-16 09:15:00,61.1,61.2,60.8,60.8,681147.15846694,41501435.39021164
2026-05-16 09:30:00,60.8,60.8,60.4,60.7,1492964.99548492,90448783.09557217
2026-05-16 09:45:00,60.7,60.7,60.4,60.5,791847.94170401,47915504.67561378
2026-05-16 10:00:00,60.6,60.7,60.5,60.7,286957.94014146,17380503.08550033
2026-05-16 10:15:00,60.6,61.3,60.6,60.8,1314660.41700268,80183997.39491864
2026-05-16 10:30:00,60.8,61.9,60.8,61.3,1839879.68447183,113166095.99267942
2026-05-16 10:45:00,61.3,61.5,61.2,61.4,221371.06022225,13569501.12550322
2026-05-16 11:00:00,61.5,61.7,61.4,61.5,891064.35536986,54800692.03119396
2026-05-16 11:15:00,61.6,61.8,61.5,61.7,491016.92183476,30245692.59756943
2026-05-16 11:30:00,61.6,61.8,61.5,61.5,360586.92601726,22218104.5778465
2026-05-16 11:45:00,61.7,61.7,61.5,61.7,140760.82827664,8672317.23289453
2026-05-16 12:00:00,61.7,61.7,61.6,61.6,144400.55687141,8895189.88839784
2026-05-16 12:15:00,61.7,61.7,61.7,61.7,162.07455429,9999.99999969
2026-05-16 12:30:00,61.6,61.6,61.4,61.4,472919.78260129,29051345.65325049
2026-05-16 12:45:00,61.4,61.5,61.2,61.5,395634.31422947,24290397.98972924
2026-05-16 13:00:00,61.4,61.4,61.3,61.3,20184.51205934,1238752.5424086
2026-05-16 13:15:00,61.3,61.3,60.8,60.8,1240953.87967734,75709025.52517745
2026-05-16 13:30:00,60.9,61.0,60.6,60.6,505444.26686815,30693513.39315955
2026-05-16 13:45:00,60.6,60.8,60.6,60.8,191381.12213319,11600567.48252427
