,open,high,low,close,volume,value
2026-05-15 11:15:00,13.0,13.0,13.0,13.0,198785.75161478,2584214.77099214
2026-05-15 11:30:00,13.0,13.1,13.0,13.1,1007780.48834612,13158614.56656494
2026-05-15 11:45:00,13.0,13.2,13.0,13.2,576676.94157176,7543443.32549804
2026-05-15 12:00:00,13.1,13.2,13.1,13.2,157416.99183181,2062201.66235092
2026-05-15 12:15:00,13.1,13.2,13.1,13.1,360797.47436857,4726522.59608431
2026-05-15 12:30:00,13.1,13.2,13.1,13.1,1260040.97495908,16506846.10624097
2026-05-15 12:45:00,13.0,13.1,13.0,13.0,266723.21543025,3483908.23653444
2026-05-15 13:00:00,13.0,13.1,13.0,13.1,267072.65519063,3498611.78299725
2026-05-15 13:15:00,13.0,13.1,13.0,13.1,1583170.05948935,20581367.79111688
2026-05-15 13:30:00,13.0,13.1,13.0,13.1,1164950.26741807,15146411.6371396
2026-05-15 13:45:00,13.0,13.1,13.0,13.0,913691.82432461,11878112.97238132
2026-05-15 14:00:00,13.0,13.0,12.9,13.0,1042904.29648254,13463106.20939849
2026-05-15 14:15:00,12.9,13.0,12.9,13.0,56297.03329605,726832.73012655
2026-05-15 14:30:00,12.9,12.9,12.8,12.9,1715919.02461498,22026443.12937112
2026-05-15 14:45:00,12.8,12.9,12.8,12.8,2041464.37539155,26130863.56781166
2026-05-15 15:00:00,12.7,12.8,12.7,12.8,759850.54300345,9694150.62490443
2026-05-15 15:15:00,12.8,12.9,12.7,12.9,1028616.58069179,13145099.17306644
2026-05-15 15:30:00,12.9,12.9,12.9,12.9,232441.91857559,2998500.74962511
2026-05-15 15:45:00,12.9,12.9,12.9,12.9,587596.8992248,7579999.99999992
2026-05-15 16:00:00,12.9,12.9,12.9,12.9,10000.0,129000.0
2026-05-15 16:15:00,12.9,13.0,12.9,13.0,2614807.94838521,33935196.28421726
2026-05-15 16:30:00,13.0,13.0,12.9,12.9,213604.13333334,2758520.40000009
2026-05-15 16:45:00,12.9,12.9,12.9,12.9,505044.928694,6515079.5801526
2026-05-15 17:00:00,12.9,12.9,12.9,12.9,535102.5359845,6902822.71420005
2026-05-15 17:15:00,12.9,12.9,12.8,12.8,38751.93798449,496799.99999992
2026-05-15 17:30:00,12.8,13.0,12.8,12.9,402053.82326173,5168329.82370616
2026-05-15 17:45:00,12.9,12.9,12.8,12.8,43255.81395347,553999.99999976
2026-05-15 18:00:00,12.8,12.9,12.8,12.8,342226.54323792,4411244.52059668
2026-05-15 18:15:00,12.8,12.9,12.8,12.9,181665.02394134,2341242.61652667
2026-05-15 18:30:00,12.9,12.9,12.9,12.9,77480.63952519,999500.24987495
2026-05-15 18:45:00,12.8,12.8,12.8,12.8,583444.42460593,7468088.6349559
2026-05-15 19:00:00,12.8,12.9,12.8,12.8,2831000.69200076,36261074.17456365
2026-05-15 19:15:00,12.8,12.9,12.8,12.9,36353.54036537,466139.27016511
2026-05-15 19:30:00,12.9,12.9,12.8,12.8,524190.05374989,6746508.51799158
2026-05-15 19:45:00,12.9,13.0,12.9,12.9,986964.82922942,12733394.28466952
2026-05-15 20:00:00,13.0,13.0,12.9,12.9,592292.12816865,7663645.37645251
2026-05-15 20:15:00,12.9,12.9,12.9,12.9,268734.6247438,3466676.65919502
2026-05-15 20:30:00,12.9,13.0,12.9,13.0,107359.21054006,1385835.39292829
2026-05-15 20:45:00,13.0,13.0,12.9,12.9,669690.64277695,8639047.76105342
2026-05-15 21:00:00,12.9,12.9,12.8,12.9,496874.70979888,6385108.88713329
2026-05-15 21:15:00,12.9,12.9,12.9,12.9,77519.37984496,999999.99999998
2026-05-15 21:30:00,12.9,12.9,12.8,12.8,308857.97183522,3954273.73951818
2026-05-15 21:45:00,12.8,12.9,12.8,12.9,65275.53046345,836289.98993216
