,open,high,low,close,volume,value
2026-05-17 14:15:00,45.8,45.9,45.6,45.6,627452.43784754,28645428.17103164
2026-05-17 14:30:00,45.6,45.7,45.5,45.7,161733.57271134,7374301.8145107
2026-05-17 14:45:00,45.6,45.8,45.6,45.8,113092.53331504,5165633.45012389
2026-05-17 15:00:00,45.8,45.8,45.6,45.6,481503.83341093,21959333.71050183
2026-05-17 15:15:00,45.6,45.7,45.4,45.4,465694.4489828,21197875.73348352
2026-05-17 15:30:00,45.5,45.7,45.5,45.5,726175.86226718,33052500.15129411
2026-05-17 15:45:00,45.5,46.1,45.5,46.0,871073.69723634,39880759.49013706
2026-05-17 16:00:00,45.8,45.9,45.7,45.8,518383.21691491,23758135.24670976
2026-05-17 16:15:00,45.7,45.7,45.6,45.7,42744.68870995,1949455.44910732
2026-05-17 16:30:00,45.9,46.0,45.7,45.7,463992.68759703,21259629.11315638
2026-05-17 16:45:00,45.7,45.8,45.7,45.8,394686.2980754,18037622.92641928
2026-05-17 17:00:00,45.7,45.8,45.6,45.6,873088.7472855,39914157.73091018
2026-05-17 17:15:00,45.8,45.9,45.6,45.9,776266.17636229,35472181.40127154
2026-05-17 17:30:00,45.9,46.2,45.8,45.9,350687.92019299,16121724.84924475
2026-05-17 17:45:00,45.9,45.9,45.8,45.9,670024.16487737,30741953.82781522
2026-05-17 18:00:00,45.9,46.0,45.7,46.0,591728.57859791,27131618.575511
2026-05-17 18:15:00,46.0,46.1,45.9,45.9,49603.05706165,2280328.24049594
2026-05-17 18:30:00,45.9,45.9,45.7,45.7,38601.38469154,1770095.49095342
2026-05-17 18:45:00,45.8,45.9,45.8,45.9,106706.59081801,4887172.82016355
2026-05-17 19:00:00,45.9,46.1,45.9,46.0,206289.90706044,9477850.35508782
2026-05-17 19:15:00,46.0,46.0,45.9,46.0,248106.30114208,11404223.04825917
2026-05-17 19:30:00,46.0,46.1,45.8,45.9,689039.63663043,31638128.77876867
2026-05-17 19:45:00,45.9,45.9,45.8,45.9,139756.85036311,6402321.4414486
2026-05-17 20:00:00,45.7,45.9,45.7,45.7,298440.09309265,13647973.77817081
2026-05-17 20:15:00,45.7,45.8,45.6,45.7,867966.62237567,39632391.71923327
2026-05-17 20:30:00,45.7,45.7,45.6,45.6,279699.31960723,12764684.20358588
2026-05-17 20:45:00,45.6,45.6,45.5,45.6,168442.50094651,7679720.18634403
2026-05-17 21:00:00,45.6,45.6,45.5,45.6,510506.23447035,23264822.37674425
2026-05-17 21:15:00,45.5,45.5,45.4,45.4,896834.31717615,40782609.53714607
2026-05-17 21:30:00,45.4,45.5,45.4,45.4,692796.50806899,31461249.45200964
2026-05-17 21:45:00,45.4,45.5,45.4,45.4,437388.61132938,19865356.20800175
2026-05-17 22:00:00,45.4,45.4,44.8,44.8,4428763.01803733,199315207.50004166
2026-05-17 22:15:00,44.8,45.0,44.6,44.7,4036818.2448856,180689338.5549507
2026-05-17 22:30:00,44.8,45.0,44.7,45.0,510146.16041139,22867174.46080201
2026-05-17 22:45:00,45.0,45.0,44.7,44.8,845862.07647322,37921418.35014476
2026-05-17 23:00:00,44.8,44.8,44.3,44.3,3903799.93542661,173704554.5533623
2026-05-17 23:15:00,44.3,44.7,44.2,44.7,4265380.669901,189112305.4118569
2026-05-17 23:30:00,44.7,44.7,44.4,44.6,1901419.48923007,84767172.6319073
2026-05-17 23:45:00,44.6,44.7,44.5,44.6,348781.17685112,15545521.46348921
2026-05-18 00:00:00,44.5,44.5,44.2,44.4,2106791.00637799,93474788.93180019
2026-05-18 00:15:00,44.3,44.3,43.9,44.2,6173394.79810652,271924120.28007615
2026-05-18 00:30:00,44.1,44.1,43.8,43.9,3259103.15356472,143196146.35571975
2026-05-18 00:45:00,43.9,44.0,43.7,43.9,1037269.59177313,45474989.7710737
2026-05-18 01:00:00,43.9,44.3,43.9,44.2,725823.68033573,32011957.73929169
2026-05-18 01:15:00,44.3,44.6,44.3,44.5,707937.09327826,31505126.36898967
2026-05-18 01:30:00,44.5,44.9,44.5,44.7,742027.46144296,33196905.46542817
2026-05-18 01:45:00,44.7,44.7,44.5,44.6,153435.59732653,6835213.87139691
2026-05-18 02:00:00,44.7,44.7,44.3,44.5,2566489.1402065,114005963.29867864
2026-05-18 02:15:00,44.5,44.6,44.4,44.6,333283.65499985,14826190.52183243
2026-05-18 02:30:00,44.6,44.7,44.6,44.6,179607.04602046,8010488.19951391
2026-05-18 02:45:00,44.5,44.6,44.5,44.6,250624.0068391,11176144.28206675
2026-05-18 03:00:00,44.6,44.9,44.6,44.7,232907.12149617,10434284.29789611
2026-05-18 03:15:00,44.7,44.7,44.4,44.4,316417.50095678,14091967.28440577
2026-05-18 03:30:00,44.4,44.5,44.3,44.3,369309.92225307,16370145.74536697
2026-05-18 03:45:00,44.3,44.5,44.3,44.4,725587.02030344,32199856.07303468
2026-05-18 04:00:00,44.5,44.8,44.5,44.8,350761.38829348,15694676.32642248
2026-05-18 04:15:00,44.7,44.7,44.5,44.6,266381.48086866,11875351.22695809
2026-05-18 04:30:00,44.6,44.6,44.6,44.6,33695.65060404,1502826.01694018
2026-05-18 04:45:00,44.7,45.1,44.7,45.1,858942.05764208,38636443.75813048
2026-05-18 05:00:00,45.1,45.1,45.0,45.0,341494.51498926,15368792.91330309
2026-05-18 05:15:00,44.9,45.1,44.9,45.0,236513.82551855,10643619.49941316
2026-05-18 05:30:00,44.8,44.9,44.7,44.7,72582.45254872,3250701.6647086
2026-05-18 05:45:00,44.7,44.8,44.7,44.8,112623.61466967,5034286.79742865
2026-05-18 06:00:00,44.9,44.9,44.6,44.6,173483.67715001,7745286.58290701
2026-05-18 06:15:00,44.6,44.8,44.6,44.8,477759.57375314,21330424.26379579
2026-05-18 06:30:00,44.8,45.0,44.8,45.0,102233.03393778,4590669.71186313
2026-05-18 06:45:00,45.0,45.1,45.0,45.1,263628.82960962,11865956.76091011
2026-05-18 07:00:00,45.1,45.1,44.8,44.9,355594.58446107,15975933.43345687
2026-05-18 07:15:00,44.8,44.9,44.7,44.8,363557.59342701,16289037.05050388
2026-05-18 07:30:00,44.8,44.8,44.5,44.7,273587.3704373,12222602.88032861
2026-05-18 07:45:00,44.7,44.7,44.3,44.4,1285539.55871505,57106958.14600611
2026-05-18 08:00:00,44.4,44.6,44.3,44.5,574155.22732747,25532481.74057227
2026-05-18 08:15:00,44.4,44.4,44.0,44.1,1136256.61492614,50267301.92117522
2026-05-18 08:30:00,44.1,44.2,42.8,43.3,6602638.14283307,286705174.2966401
2026-05-18 08:45:00,43.2,43.8,43.2,43.7,2758321.37204026,119923056.88711245
2026-05-18 09:00:00,43.7,43.7,42.8,43.2,4070310.42946792,175235672.15578976
2026-05-18 09:15:00,43.3,43.6,43.2,43.5,851986.70935416,36986919.22841064
2026-05-18 09:30:00,43.3,43.7,43.2,43.7,3423765.53980736,148907034.01052183
2026-05-18 09:45:00,43.6,43.8,43.4,43.5,2011283.37610392,87645421.98987313
2026-05-18 10:00:00,43.7,43.9,43.5,43.8,1901203.78623939,83132636.48260736
2026-05-18 10:15:00,43.8,43.8,43.6,43.6,756273.04441732,33002831.91493007
2026-05-18 10:30:00,43.5,43.7,43.4,43.5,493824.82699921,21499236.41622473
2026-05-18 10:45:00,43.4,43.5,43.3,43.5,603737.11337686,26209193.31847588
2026-05-18 11:00:00,43.7,44.4,43.7,44.4,1069109.72324173,47118642.61139659
2026-05-18 11:15:00,44.4,44.5,44.0,44.1,1033711.87341955,45734711.80977794
2026-05-18 11:30:00,44.1,44.4,44.1,44.4,443363.71543418,19636229.81061616
2026-05-18 11:45:00,44.4,44.4,44.1,44.3,790203.36726137,34937144.49044662
2026-05-18 12:00:00,44.4,44.9,44.3,44.7,1172944.51218508,52383110.16271607
2026-05-18 12:15:00,44.7,44.8,44.5,44.8,635962.39350733,28421057.76685724
2026-05-18 12:30:00,44.8,44.8,44.6,44.7,1401331.04635659,62642354.10583748
2026-05-18 12:45:00,44.7,44.7,44.5,44.6,733519.7678581,32675470.8394227
2026-05-18 13:00:00,44.6,44.8,44.6,44.7,439911.85628692,19655964.20325549
2026-05-18 13:15:00,44.6,44.7,44.3,44.6,675006.90724172,29981895.31913256
2026-05-18 13:30:00,44.6,44.8,44.6,44.8,286896.66864356,12825843.53808051
2026-05-18 13:45:00,44.8,44.8,44.2,44.4,1479765.12366014,65785696.88959224
2026-05-18 14:00:00,44.3,44.4,44.0,44.1,1544076.05328816,68113672.18515176
2026-05-18 14:15:00,44.1,44.1,43.7,43.7,760055.04811303,33394200.46514974
2026-05-18 14:30:00,43.9,43.9,43.7,43.7,739078.83067805,32330742.59117783
2026-05-18 14:45:00,43.7,43.7,43.5,43.5,905165.91313938,39455339.69272294
2026-05-18 15:00:00,43.6,43.8,43.5,43.7,511347.34622102,22291531.01978458
2026-05-18 15:15:00,43.7,43.7,43.2,43.2,1179995.46545714,51208736.14979162
2026-05-18 15:30:00,43.2,43.3,43.1,43.2,2166607.3125116,93631656.25727166
2026-05-18 15:45:00,43.2,43.3,43.1,43.1,410582.95280622,17732813.30042492
2026-05-18 16:00:00,43.1,43.7,43.1,43.6,1159313.94918706,50200153.27167959
2026-05-18 16:15:00,43.5,44.1,43.4,44.0,1858185.18634423,81352075.61070067
2026-05-18 16:30:00,44.0,44.1,43.8,44.1,814523.92637228,35827440.25382419
2026-05-18 16:45:00,44.1,44.2,43.9,44.0,1992291.24508001,87743144.7351226
2026-05-18 17:00:00,44.1,44.2,43.9,44.0,450041.76723252,19819718.39147089
2026-05-18 17:15:00,44.0,44.0,43.8,43.8,689769.87143056,30258538.08871283
2026-05-18 17:30:00,43.8,44.0,43.7,43.9,664548.13133168,29165114.23148159
2026-05-18 17:45:00,44.0,44.0,43.7,44.0,513552.10503254,22467328.59984701
2026-05-18 18:00:00,43.8,43.9,43.6,43.6,447271.36559626,19523651.98013254
2026-05-18 18:15:00,43.7,43.9,43.6,43.9,149444.24968977,6517027.99264406
2026-05-18 18:30:00,43.8,43.9,43.6,43.8,624076.80223101,27268294.69829441
2026-05-18 18:45:00,43.7,43.7,43.5,43.6,298492.36232008,12999897.74853354
2026-05-18 19:00:00,43.6,43.6,43.3,43.5,650083.05734344,28192206.84501024
2026-05-18 19:15:00,43.5,43.5,43.2,43.2,1038235.13235558,45012435.60561818
2026-05-18 19:30:00,43.4,43.6,43.3,43.4,410961.52030248,17850278.84786552
