,open,high,low,close,volume,value
2026-05-13 18:00:00,87.8,88.1,87.8,88.0,98867.40949408,8699664.2856377
2026-05-13 18:15:00,88.0,88.1,87.9,88.1,32583.9379987,2866506.52044515
2026-05-13 18:30:00,88.2,88.2,88.1,88.1,23118.35418902,2037090.53992265
2026-05-13 18:45:00,88.2,88.3,88.1,88.3,13289.76134768,1173172.37078901
2026-05-13 19:00:00,88.2,88.2,88.1,88.1,11002.56180138,969632.98550062
2026-05-13 19:15:00,88.0,88.1,87.9,87.9,13153.52624286,1156313.25294764
2026-05-13 19:30:00,87.9,88.0,87.9,88.0,7260.45834428,638539.03278039
2026-05-13 19:45:00,88.0,88.0,87.8,87.8,97254.92378312,8542242.17443497
2026-05-13 20:00:00,87.8,87.8,87.7,87.7,42979.90332211,3773076.28847251
2026-05-13 20:15:00,87.8,87.9,87.8,87.9,1341.7099143,117927.26806697
2026-05-13 20:30:00,87.8,87.8,87.7,87.7,53572.45475427,4698403.7414026
2026-05-13 20:45:00,87.8,87.8,87.5,87.5,150564.99065682,13180093.13268858
2026-05-13 21:00:00,87.6,87.7,87.6,87.7,4858.57201931,425901.9003106
2026-05-13 21:15:00,87.6,87.6,87.6,87.6,7925.86762728,694306.00414973
2026-05-13 21:30:00,87.6,87.6,87.0,87.1,836656.20932339,72903581.42603686
2026-05-13 21:45:00,87.2,87.5,87.2,87.2,73201.50337419,6401647.0515589
2026-05-13 22:00:00,87.2,87.2,87.1,87.1,41658.99311411,3631985.23971131
2026-05-13 22:15:00,87.2,87.4,87.2,87.4,1768.62707708,154306.94382908
2026-05-13 22:30:00,87.3,87.3,87.0,87.0,5047.2081796,439761.30138975
2026-05-13 22:45:00,87.0,87.0,86.3,86.4,253055.00963002,21938893.71132546
2026-05-13 23:00:00,86.4,86.7,86.0,86.6,245136.17864852,21141615.02335933
2026-05-13 23:15:00,86.6,86.7,86.5,86.7,25236.36389344,2185487.93854104
2026-05-13 23:30:00,86.8,86.8,86.6,86.6,5373.58359861,466384.02290398
2026-05-13 23:45:00,86.5,86.6,86.5,86.6,2631.86909977,227770.20924021
2026-05-14 00:00:00,86.7,86.7,86.2,86.2,55541.4342979,4797600.66485762
2026-05-14 00:15:00,86.2,86.4,85.9,85.9,149506.37241629,12860187.02720562
2026-05-14 00:30:00,85.9,86.1,85.8,86.1,61857.36553055,5314000.21239922
2026-05-14 00:45:00,85.9,85.9,85.3,85.4,121915.98265921,10447748.78109205
2026-05-14 01:00:00,85.7,85.7,85.4,85.5,65897.54962338,5635161.34197376
2026-05-14 01:15:00,85.7,86.2,85.7,86.2,8218.49585071,704647.03060629
2026-05-14 01:30:00,86.3,86.3,86.3,86.3,283.1331834,24434.39372742
2026-05-14 01:45:00,86.4,86.4,86.4,86.4,155.1973834,13409.05392576
2026-05-14 02:00:00,86.5,86.5,86.5,86.5,252.5890834,21848.9557141
2026-05-14 02:15:00,86.3,86.3,86.3,86.3,200.0,17260.0
2026-05-14 02:30:00,86.4,86.5,86.4,86.5,1562.10860891,134980.73043912
2026-05-14 02:45:00,86.6,86.8,86.6,86.8,990.41204581,85859.77820969
2026-05-14 03:00:00,86.9,86.9,86.9,86.9,3768.37220639,327471.54473529
2026-05-14 03:15:00,86.8,86.8,86.8,86.8,23372.98908921,2028775.45294343
2026-05-14 03:45:00,86.8,86.8,86.8,86.8,128.62886738,11164.98568858
2026-05-14 04:00:00,86.7,86.7,86.7,86.7,238.2138,20653.13646
2026-05-14 04:45:00,86.7,86.7,86.6,86.6,168.16086604,14564.99536505
2026-05-14 05:00:00,86.5,86.7,86.5,86.7,26896.50957322,2331375.72920894
2026-05-14 05:15:00,86.8,86.8,86.8,86.8,2448.52774204,212532.20800907
2026-05-14 05:30:00,86.9,86.9,86.9,86.9,144.3802766,12546.64603654
2026-05-14 05:45:00,86.8,86.8,86.8,86.8,508.06336714,44099.90026775
2026-05-14 06:00:00,86.8,86.8,86.4,86.4,3677.38616733,318829.74310048
2026-05-14 06:15:00,86.3,86.3,86.3,86.3,3407.38721548,294057.51669592
2026-05-14 06:30:00,86.3,86.3,86.1,86.1,90362.45835747,7793231.22680586
2026-05-14 06:45:00,86.2,86.5,86.2,86.5,31736.74015631,2741960.57235421
2026-05-14 07:00:00,86.5,86.5,86.4,86.4,14801.74351787,1278882.20063761
2026-05-14 07:15:00,86.4,86.4,86.3,86.4,3536.47366167,305445.12436829
2026-05-14 07:30:00,86.6,86.6,86.6,86.6,94510.63620969,8184621.09575915
2026-05-14 07:45:00,86.6,86.6,86.3,86.3,49805.45291344,4307777.50726158
2026-05-14 08:15:00,86.4,86.6,86.4,86.6,3967.7996285,342829.66619339
2026-05-14 08:30:00,86.6,86.6,86.3,86.4,3552.19614015,307252.11146074
2026-05-14 08:45:00,86.4,86.4,86.4,86.4,30273.20390202,2615604.81713453
2026-05-14 09:00:00,86.4,86.7,86.4,86.7,54055.60617604,4680827.79360472
2026-05-14 09:15:00,86.6,86.6,86.6,86.6,89786.6428333,7775523.26936378
2026-05-14 09:30:00,86.6,86.6,86.5,86.5,14022.19711472,1214028.0414624
2026-05-14 09:45:00,86.5,86.5,86.2,86.2,153472.44996463,13251312.31135187
2026-05-14 10:00:00,86.2,86.3,86.1,86.3,86145.38056241,7423223.67435622
2026-05-14 10:15:00,86.1,86.1,86.1,86.1,14548.17872396,1252598.18813296
2026-05-14 10:30:00,86.2,86.2,86.0,86.0,5764.74207625,496171.46600744
2026-05-14 10:45:00,86.2,86.2,86.1,86.1,17242.22758845,1485771.81643326
2026-05-14 11:00:00,86.2,86.2,86.2,86.2,2805.0530746,241795.57503052
2026-05-14 11:30:00,86.2,86.2,86.1,86.1,3717.1113689,320282.49999918
2026-05-14 11:45:00,86.1,86.1,86.0,86.0,112496.12881312,9685761.44325231
2026-05-14 12:00:00,86.0,86.0,85.9,85.9,17985.2738595,1546719.1208169
2026-05-14 12:15:00,85.8,85.8,85.5,85.8,58279.80292455,4997817.81254838
2026-05-14 12:30:00,85.8,85.9,85.5,85.5,40813.2086901,3493439.75010649
2026-05-14 12:45:00,85.4,85.5,85.0,85.1,272583.49468714,23193642.08282348
2026-05-14 13:00:00,85.1,85.5,85.1,85.5,76780.00089341,6557503.02280828
2026-05-14 13:15:00,85.5,85.5,85.5,85.5,11813.75438593,1010075.99999702
2026-05-14 13:30:00,85.4,85.4,85.3,85.3,33238.35231143,2837151.45216498
2026-05-14 13:45:00,85.3,85.5,85.3,85.5,70047.59948914,5985205.81084311
2026-05-14 14:00:00,85.5,85.6,85.4,85.6,75852.30128884,6484223.93559834
2026-05-14 14:15:00,85.7,85.7,85.7,85.7,3972.05950991,340405.49999929
2026-05-14 14:30:00,85.7,86.0,85.7,85.8,116609.82309585,10027935.96582581
2026-05-14 14:45:00,85.8,85.9,85.8,85.9,34461.78814937,2956827.25305278
2026-05-14 15:00:00,85.9,85.9,85.9,85.9,62136.60793365,5337534.62150054
2026-05-14 15:15:00,86.0,86.1,85.8,86.1,24221.46944231,2079453.73587472
2026-05-14 15:30:00,85.9,86.0,85.9,86.0,5847.59436695,502647.55612101
2026-05-14 15:45:00,86.0,86.0,86.0,86.0,8605.24727067,740051.26527762
2026-05-14 16:00:00,86.0,86.0,86.0,86.0,76401.04013477,6570489.45159022
2026-05-14 16:15:00,86.0,86.1,85.9,86.1,17758.48661234,1525863.01097914
2026-05-14 16:45:00,85.9,85.9,85.9,85.9,35498.08149474,3049285.20039817
2026-05-14 17:00:00,85.9,85.9,85.9,85.9,41254.52131125,3543763.38063638
2026-05-14 17:15:00,86.0,86.0,86.0,86.0,4505.00775572,387430.66699192
2026-05-14 17:30:00,85.8,86.0,85.8,85.9,32066.41222944,2756443.64340722
