,open,high,low,close,volume,value
2026-05-13 22:30:00,159.0,159.0,159.0,159.0,22661.64087767,3603200.89954953
2026-05-13 22:45:00,159.0,159.0,158.0,158.0,99138.26615069,15672795.7373436
2026-05-13 23:00:00,158.0,159.0,158.0,158.0,142811.9313483,22627658.67189931
2026-05-13 23:15:00,158.0,159.0,158.0,159.0,52443.28821886,8292328.84675598
2026-05-13 23:30:00,159.0,159.0,158.0,158.0,92233.88124641,14611220.39894924
2026-05-13 23:45:00,158.0,159.0,158.0,158.0,73402.97169811,11597781.49999949
2026-05-14 00:00:00,158.0,159.0,157.0,157.0,161612.74190848,25538305.18357244
2026-05-14 00:15:00,158.0,158.0,157.0,157.0,91879.12742823,14432424.93412732
2026-05-14 00:30:00,157.0,157.0,157.0,157.0,350119.10021388,54968698.73357916
2026-05-14 00:45:00,157.0,157.0,156.0,156.0,377614.92487979,59198100.55190471
2026-05-14 01:00:00,157.0,157.0,156.0,157.0,151139.63749246,23578273.54425051
2026-05-14 01:15:00,156.0,157.0,156.0,157.0,97382.97044806,15269642.7740136
2026-05-14 01:30:00,158.0,158.0,158.0,158.0,2097.03797468,331331.99999944
2026-05-14 01:45:00,157.0,157.0,157.0,157.0,246.83283358,38752.75487206
2026-05-14 02:00:00,158.0,158.0,158.0,158.0,4148.7265038,655498.7876004
2026-05-14 02:30:00,158.0,158.0,158.0,158.0,63.29113924,9999.99999992
2026-05-14 03:00:00,158.0,158.0,158.0,158.0,627.41626318,99131.76958244
2026-05-14 03:30:00,158.0,159.0,158.0,159.0,284.16089483,44929.21383597
2026-05-14 04:15:00,158.0,158.0,158.0,158.0,3200.50435224,505679.68765392
2026-05-14 04:30:00,157.0,159.0,157.0,159.0,4078.39373485,646597.12454755
2026-05-14 04:45:00,159.0,159.0,159.0,159.0,314.4654088,49999.9999992
2026-05-14 05:00:00,159.0,159.0,159.0,159.0,56.60377358,8999.99999922
2026-05-14 05:45:00,159.0,159.0,159.0,159.0,4521.17547169,718866.89999871
2026-05-14 06:00:00,158.0,158.0,158.0,158.0,632.9113924,99999.9999992
2026-05-14 06:15:00,158.0,158.0,158.0,158.0,107561.70742839,16994749.77368562
