,open,high,low,close,volume,value
2026-05-18 00:30:00,356.0,358.0,356.0,358.0,33270.12681412,11862350.93803949
2026-05-18 00:45:00,358.0,358.0,356.0,356.0,19459.01533068,6947357.31472343
2026-05-18 01:00:00,356.0,356.0,354.0,354.0,16010.37526678,5682230.80649012
2026-05-18 01:15:00,355.0,355.0,354.0,355.0,4700.43162534,1666871.2995957
2026-05-18 01:30:00,355.0,356.0,355.0,356.0,953.82253461,339345.32936341
2026-05-18 01:45:00,355.0,355.0,354.0,354.0,6185.65640091,2195634.84624165
2026-05-18 02:00:00,354.0,355.0,354.0,355.0,31963.30454984,11315611.26979828
2026-05-18 02:15:00,355.0,356.0,354.0,356.0,23630.77366529,8378435.24724442
2026-05-18 02:30:00,354.0,354.0,354.0,354.0,7001.9362,2478685.4148
2026-05-18 02:45:00,354.0,354.0,354.0,354.0,1873.2,663112.8
2026-05-18 03:00:00,355.0,356.0,355.0,356.0,15979.61533653,5684960.9945695
2026-05-18 03:15:00,354.0,355.0,354.0,355.0,1995.70842652,706565.52875079
2026-05-18 03:30:00,355.0,355.0,354.0,354.0,24491.48568539,8686022.84771345
2026-05-18 03:45:00,354.0,356.0,354.0,355.0,8745.58792688,3096633.6063415
2026-05-18 04:00:00,355.0,356.0,355.0,356.0,7485.54410118,2657384.1559189
2026-05-18 04:15:00,356.0,357.0,356.0,357.0,1636.48235292,583536.90691043
2026-05-18 04:30:00,356.0,356.0,356.0,356.0,587.32134629,209086.39927924
2026-05-18 04:45:00,357.0,357.0,357.0,357.0,56509.90399028,20174035.72452996
2026-05-18 05:00:00,357.0,357.0,357.0,357.0,3326.4737339,1187551.1230023
2026-05-18 05:15:00,356.0,356.0,356.0,356.0,2810.0,1000360.0
2026-05-18 05:30:00,356.0,357.0,355.0,357.0,15685.5051847,5587513.2089988
2026-05-18 05:45:00,357.0,357.0,357.0,357.0,30083.28706269,10739733.48138033
2026-05-18 06:00:00,357.0,357.0,356.0,357.0,1473.46160747,525468.69080273
2026-05-18 06:15:00,356.0,359.0,356.0,359.0,2408.61434307,860404.99489506
2026-05-18 06:30:00,358.0,358.0,357.0,357.0,1662.61605545,595188.53664662
2026-05-18 06:45:00,358.0,358.0,357.0,357.0,5076.71711812,1813225.99999565
2026-05-18 07:00:00,357.0,357.0,355.0,356.0,41848.50990468,14873450.71970837
2026-05-18 07:15:00,355.0,356.0,354.0,355.0,21714.89632023,7693790.32424215
2026-05-18 07:30:00,355.0,356.0,355.0,355.0,3785.54358243,1344148.7329986
2026-05-18 07:45:00,354.0,354.0,353.0,353.0,30672.18297891,10853621.17138689
2026-05-18 08:00:00,353.0,353.0,351.0,351.0,203273.99761247,71530074.16129465
2026-05-18 08:15:00,351.0,352.0,350.0,351.0,195405.71861591,68755899.32197963
2026-05-18 08:30:00,350.0,351.0,341.0,347.0,956147.28448342,330639633.6163513
2026-05-18 08:45:00,347.0,351.0,347.0,350.0,110014.43866365,38403172.51290223
2026-05-18 09:00:00,349.0,349.0,345.0,346.0,280526.05151382,97314089.12914161
2026-05-18 09:15:00,346.0,347.0,345.0,347.0,194566.93527314,67380009.41131324
2026-05-18 09:30:00,346.0,347.0,345.0,347.0,298133.09453791,103159528.7049098
2026-05-18 09:45:00,347.0,348.0,346.0,348.0,149530.631218,51851526.25169048
2026-05-18 10:00:00,348.0,349.0,347.0,348.0,107352.91094469,37317607.82183421
2026-05-18 10:15:00,348.0,348.0,346.0,347.0,32801.14080516,11379505.29594708
2026-05-18 10:30:00,347.0,347.0,346.0,346.0,53000.77400125,18354255.46172195
2026-05-18 10:45:00,346.0,348.0,345.0,348.0,43291.4277469,14976652.30351448
