,open,high,low,close,volume,value
2026-05-18 07:30:00,1583.0,1586.0,1579.0,1584.0,58428.29919808,92498669.50044882
2026-05-18 07:45:00,1583.0,1584.0,1576.0,1581.0,220834.87225784,348406306.93399346
2026-05-18 08:00:00,1581.0,1581.0,1575.0,1577.0,81558.25224409,128601796.3200049
2026-05-18 08:15:00,1577.0,1577.0,1569.0,1571.0,102423.58603352,161044084.1230335
2026-05-18 08:30:00,1571.0,1571.0,1512.0,1540.0,1471267.22008935,2271644660.875833
2026-05-18 08:45:00,1540.0,1559.0,1540.0,1557.0,402616.0283077,624005180.1940153
2026-05-18 09:00:00,1557.0,1558.0,1534.0,1541.0,459703.47922809,708348362.010836
2026-05-18 09:15:00,1542.0,1549.0,1538.0,1538.0,372136.72838925,574290040.0220404
2026-05-18 09:30:00,1539.0,1548.0,1536.0,1543.0,213096.10736273,328510426.121429
2026-05-18 09:45:00,1543.0,1548.0,1538.0,1547.0,327913.48740935,506194402.45758396
2026-05-18 10:00:00,1548.0,1553.0,1546.0,1546.0,97215.44285124,150654951.6111111
2026-05-18 10:15:00,1546.0,1546.0,1538.0,1540.0,174267.34710388,268638899.675939
2026-05-18 10:30:00,1539.0,1544.0,1537.0,1540.0,75450.43843847,116144678.87218124
2026-05-18 10:45:00,1540.0,1550.0,1538.0,1550.0,61932.94553085,95483980.28209858
2026-05-18 11:00:00,1550.0,1572.0,1549.0,1569.0,287894.39828759,449202651.2984302
2026-05-18 11:15:00,1572.0,1572.0,1563.0,1565.0,184478.10232679,289143211.05494183
2026-05-18 11:30:00,1565.0,1569.0,1561.0,1565.0,73060.09741001,114265790.15980478
2026-05-18 11:45:00,1564.0,1567.0,1561.0,1565.0,55163.67075173,86328462.98826946
2026-05-18 12:00:00,1566.0,1570.0,1564.0,1564.0,88586.58041878,138753263.8417357
2026-05-18 12:15:00,1563.0,1564.0,1557.0,1560.0,69491.89774601,108392976.87388043
2026-05-18 12:30:00,1560.0,1560.0,1553.0,1559.0,69241.1854409,107690566.34962513
2026-05-18 12:45:00,1557.0,1559.0,1550.0,1551.0,101203.13075645,157425469.96492726
2026-05-18 13:00:00,1554.0,1560.0,1554.0,1559.0,34161.49213288,53194847.7340295
2026-05-18 13:15:00,1560.0,1561.0,1549.0,1550.0,63567.15132158,98808704.79067114
2026-05-18 13:30:00,1550.0,1560.0,1547.0,1560.0,56241.42597957,87179317.78872848
2026-05-18 13:45:00,1561.0,1563.0,1558.0,1560.0,48093.33789949,75030800.76908642
2026-05-18 14:00:00,1561.0,1561.0,1555.0,1555.0,85548.97925339,133266553.5144145
2026-05-18 14:15:00,1555.0,1555.0,1550.0,1551.0,25058.36372316,38869396.99082758
2026-05-18 14:30:00,1550.0,1550.0,1544.0,1546.0,66597.09984226,103012560.1662949
2026-05-18 14:45:00,1546.0,1549.0,1544.0,1545.0,44504.90780222,68794374.30112857
2026-05-18 15:00:00,1544.0,1547.0,1534.0,1543.0,166092.58759208,255650026.20280233
2026-05-18 15:15:00,1543.0,1545.0,1530.0,1534.0,313955.94025887,482379495.4887434
2026-05-18 15:30:00,1535.0,1536.0,1532.0,1536.0,82184.08188748,126047837.10867596
2026-05-18 15:45:00,1538.0,1542.0,1536.0,1537.0,54108.79354787,83310378.05442347
2026-05-18 16:00:00,1538.0,1541.0,1532.0,1535.0,43065.5235442,66078595.67733992
2026-05-18 16:15:00,1535.0,1542.0,1528.0,1539.0,191593.23528801,293519835.8381989
2026-05-18 16:30:00,1539.0,1542.0,1533.0,1533.0,110919.25169767,170531362.5180633
