,open,high,low,close,volume,value
2026-04-18 10:15:00,27.7,27.7,27.6,27.6,47297.13155403,1306122.85255188
2026-04-18 10:45:00,27.6,27.6,27.6,27.6,36425.78227066,1005351.59067022
2026-04-18 11:00:00,27.6,27.6,27.6,27.6,50535.38519561,1394776.63139884
2026-04-18 11:15:00,27.6,27.6,27.6,27.6,209315.42241814,5777105.65874066
2026-04-18 11:30:00,27.6,27.6,27.6,27.6,10863.02919708,299819.60583941
2026-04-18 12:00:00,27.7,27.7,27.7,27.7,1438.84892086,39856.11510782
2026-04-18 12:15:00,27.7,27.7,27.7,27.7,195.03546099,5402.48226942
2026-04-18 12:30:00,27.8,27.8,27.7,27.7,99747.68459603,2767350.00000068
2026-04-18 12:45:00,27.6,27.6,27.5,27.6,20991.94281499,577497.46497307
2026-04-18 13:00:00,27.5,27.5,27.5,27.5,15583.19481818,428537.85749995
2026-04-18 13:30:00,27.5,27.5,27.5,27.5,29090.90909092,800000.0000003
2026-04-18 14:15:00,27.4,27.4,27.4,27.4,27489.88112637,753222.74286254
2026-04-18 14:45:00,27.5,27.6,27.5,27.5,48109.37819571,1324819.49458492
2026-04-18 15:15:00,27.6,27.6,27.5,27.6,136935.36803918,3779019.58442896
2026-04-18 15:45:00,27.6,27.7,27.5,27.7,98384.55709027,2715739.59818167
2026-04-18 16:00:00,27.7,27.7,27.7,27.7,51960.79252911,1439313.95305635
2026-04-18 16:30:00,27.7,27.7,27.6,27.6,40282.71077875,1113509.56697297
2026-04-18 16:45:00,27.6,27.7,27.6,27.7,40361.84522572,1116113.92242007
2026-04-18 17:00:00,27.7,27.7,27.7,27.7,25000.0,692500.0
2026-04-18 17:15:00,27.6,27.6,27.6,27.6,97723.95742807,2697181.22501473
2026-04-18 17:30:00,27.5,27.7,27.5,27.5,1064577.87353708,29306047.86456964
2026-04-18 17:45:00,27.5,27.6,27.5,27.6,126752.1901087,3489308.41639505
2026-04-18 18:15:00,27.5,27.5,27.4,27.4,4521.33142219,124283.03169264
2026-04-18 18:30:00,27.4,27.6,27.4,27.6,3716.84587813,101984.94623639
2026-04-18 19:00:00,27.6,27.6,27.4,27.4,96594.42025903,2646807.34349742
2026-04-18 19:15:00,27.4,27.4,27.4,27.4,1829.06276768,50116.31983443
2026-04-18 19:30:00,27.4,27.4,27.4,27.4,104006.65888778,2849782.45352517
2026-04-18 20:00:00,27.4,27.5,27.4,27.4,855031.48468621,23428143.55676579
2026-04-18 20:15:00,27.4,27.4,27.3,27.3,223217.48220528,6093858.70210414
2026-04-18 20:45:00,27.3,27.4,27.2,27.2,87237.7975322,2383212.53591136
2026-04-18 21:00:00,27.3,27.4,27.3,27.4,52101.83102425,1426029.62199852
2026-04-18 21:15:00,27.3,27.3,27.3,27.3,36251.9607,989678.52711
