,open,high,low,close,volume,value
2026-05-04 17:00:00,184.0,184.0,184.0,184.0,57244.90359209,10533062.26094456
2026-05-04 17:15:00,185.0,185.0,185.0,185.0,13552.23887358,2507164.1916123
2026-05-04 17:30:00,185.0,185.0,184.0,185.0,7596.95112456,1404911.03572216
2026-05-04 17:45:00,184.0,185.0,184.0,185.0,30572.06664412,5648098.16370496
2026-05-04 18:00:00,184.0,185.0,184.0,184.0,25971.1224799,4778713.98195377
2026-05-04 18:15:00,185.0,185.0,185.0,185.0,63315.29370449,11713329.33533065
2026-05-04 18:30:00,184.0,184.0,184.0,184.0,122.13469782,22472.78439888
2026-05-04 18:45:00,185.0,185.0,184.0,185.0,41408.55862819,7643543.42293355
2026-05-04 19:00:00,184.0,184.0,181.0,181.0,73455.9635321,13364066.62494749
2026-05-04 19:15:00,181.0,181.0,180.0,180.0,222396.18698226,40103819.46795682
2026-05-04 19:30:00,180.0,182.0,180.0,182.0,8097.86382806,1471478.30869286
2026-05-04 19:45:00,182.0,182.0,182.0,182.0,3171.0,577122.0
2026-05-04 20:00:00,182.0,182.0,181.0,181.0,2561.77459239,463787.77430967
2026-05-04 20:15:00,182.0,182.0,182.0,182.0,7973.22527472,1451126.99999904
2026-05-04 20:30:00,182.0,182.0,182.0,182.0,2039.00370307,371098.67395874
2026-05-04 21:15:00,182.0,182.0,182.0,182.0,55872.12581071,10168726.89754922
2026-05-04 22:00:00,182.0,182.0,182.0,182.0,36438.53236662,6631812.89072484
2026-05-04 22:15:00,183.0,183.0,183.0,183.0,8253.80797688,1510446.85976904
2026-05-04 23:00:00,183.0,183.0,182.0,182.0,773.65254816,141077.98780883
2026-05-04 23:15:00,182.0,183.0,182.0,183.0,74262.06229875,13519452.3429269
2026-05-04 23:30:00,183.0,183.0,183.0,183.0,87431.69398906,15999999.99999798
2026-05-04 23:45:00,184.0,184.0,184.0,184.0,23979.35153754,4412200.68290736
2026-05-05 00:00:00,183.0,183.0,183.0,183.0,5764.35408669,1054876.79786427
2026-05-05 00:15:00,183.0,183.0,183.0,183.0,6619.31856071,1211335.29660993
2026-05-05 00:30:00,183.0,183.0,183.0,183.0,130.0963802,23807.6375766
2026-05-05 00:45:00,183.0,183.0,183.0,183.0,17128.69248435,3134550.72463605
2026-05-05 01:00:00,183.0,183.0,183.0,183.0,42501.87148624,7777842.48198192
2026-05-05 01:30:00,183.0,183.0,183.0,183.0,28835.7215982,5276937.0524706
2026-05-05 02:15:00,183.0,183.0,183.0,183.0,42438.22897293,7766195.90204619
2026-05-05 04:00:00,182.0,182.0,182.0,182.0,207.73950769,37808.59039958
2026-05-05 04:15:00,182.0,182.0,182.0,182.0,6922.61805,1259916.4851
2026-05-05 04:30:00,182.0,182.0,182.0,182.0,8297.63084349,1510168.81351518
2026-05-05 04:45:00,182.0,182.0,182.0,182.0,812.01519424,147786.76535168
2026-05-05 05:30:00,181.0,181.0,181.0,181.0,9208.14104419,1666673.52899839
2026-05-05 06:00:00,181.0,181.0,181.0,181.0,100.0,18100.0
2026-05-05 06:15:00,181.0,181.0,181.0,181.0,546.44808743,98907.10382483
2026-05-05 06:45:00,182.0,183.0,182.0,183.0,751.84450075,137134.77563923
2026-05-05 07:00:00,183.0,183.0,182.0,182.0,30128.58555065,5510724.97458988
2026-05-05 07:15:00,183.0,183.0,183.0,183.0,6557.37704917,1199999.99999811
2026-05-05 07:30:00,182.0,182.0,182.0,182.0,3542.02197802,644647.99999964
2026-05-05 07:45:00,182.0,182.0,181.0,181.0,3027.55555555,548043.1111101
2026-05-05 08:00:00,181.0,181.0,181.0,181.0,4965.26230619,898712.47742039
2026-05-05 09:00:00,181.0,182.0,181.0,181.0,81263.95422523,14747038.40707431
2026-05-05 09:15:00,183.0,184.0,183.0,184.0,160008.66409663,29419052.09021441
2026-05-05 09:30:00,184.0,185.0,183.0,184.0,300110.94400166,55376550.5888373
2026-05-05 09:45:00,185.0,189.0,185.0,185.0,1716756.96973148,320114810.09830403
2026-05-05 10:00:00,186.0,188.0,184.0,188.0,374955.72342144,69671635.5924126
2026-05-05 10:15:00,188.0,193.0,186.0,190.0,4910625.73415417,933445057.9672201
2026-05-05 10:30:00,190.0,190.0,185.0,187.0,2192394.38522829,409056698.3594337
2026-05-05 10:45:00,187.0,188.0,186.0,186.0,423308.33400202,78903978.80275874
2026-05-05 11:00:00,187.0,188.0,186.0,187.0,70373.07150323,13142778.35881918
2026-05-05 11:15:00,187.0,189.0,187.0,188.0,129431.25102399,24343538.50160277
2026-05-05 11:30:00,188.0,189.0,188.0,188.0,76325.29488806,14392018.21578919
2026-05-05 11:45:00,188.0,189.0,188.0,189.0,49770.03437067,9366024.18055139
2026-05-05 12:00:00,189.0,189.0,188.0,189.0,101774.35826387,19187062.60574089
2026-05-05 12:15:00,188.0,190.0,187.0,190.0,115011.64793361,21711863.58821511
2026-05-05 12:30:00,190.0,191.0,190.0,190.0,626207.66489605,119250588.88253696
