,open,high,low,close,volume,value
2026-05-08 10:00:00,358.0,358.0,356.0,358.0,76094.02744116,27130981.87873331
2026-05-08 10:15:00,357.0,357.0,357.0,357.0,335.58956844,119805.47593308
2026-05-08 10:30:00,357.0,359.0,357.0,358.0,2876.48111561,1029472.32273849
2026-05-08 10:45:00,358.0,358.0,357.0,357.0,1468.39886799,524464.30085289
2026-05-08 11:00:00,358.0,358.0,358.0,358.0,557.81690612,199698.45239096
2026-05-08 11:15:00,358.0,358.0,358.0,358.0,1772.0246022,634384.8075876
2026-05-08 11:30:00,359.0,359.0,357.0,358.0,4870.13478781,1741129.09973383
2026-05-08 12:00:00,358.0,358.0,357.0,357.0,29201.71209564,10426071.90019549
2026-05-08 12:15:00,359.0,359.0,359.0,359.0,1335.37930064,479401.16892976
2026-05-08 12:30:00,360.0,361.0,360.0,360.0,48723.33433256,17556364.97998071
2026-05-08 13:00:00,360.0,362.0,360.0,362.0,4367.20302372,1575410.06643974
2026-05-08 13:30:00,361.0,361.0,361.0,361.0,3460.00761772,1249062.74999692
2026-05-08 13:45:00,360.0,361.0,360.0,361.0,12651.69049805,4554663.98096004
2026-05-08 14:00:00,361.0,361.0,359.0,359.0,57553.60303403,20723898.37697756
2026-05-08 14:30:00,359.0,359.0,359.0,359.0,835.6545961,299999.9999999
2026-05-08 14:45:00,359.0,359.0,359.0,359.0,10254.74170991,3681452.27385769
2026-05-08 15:00:00,358.0,359.0,358.0,358.0,16430.1742664,5882019.10046312
2026-05-08 15:15:00,360.0,360.0,360.0,360.0,1300.38591815,468138.930534
2026-05-08 15:30:00,360.0,360.0,360.0,360.0,83.33333333,29999.9999988
2026-05-08 15:45:00,358.0,358.0,357.0,357.0,35971.9231998,12851990.9823286
2026-05-08 16:00:00,356.0,358.0,356.0,358.0,6485.6630728,2309007.7857604
2026-05-08 16:15:00,357.0,357.0,356.0,356.0,64945.55369912,23132256.93251145
2026-05-08 16:30:00,356.0,356.0,356.0,356.0,11060.17002955,3937420.5305198
2026-05-08 16:45:00,357.0,359.0,357.0,359.0,15413.13593554,5523716.39688197
2026-05-08 17:00:00,359.0,359.0,359.0,359.0,15.4735376,5554.9999984
2026-05-08 17:15:00,359.0,359.0,358.0,359.0,5862.29108634,2104544.99999606
2026-05-08 17:30:00,359.0,360.0,359.0,360.0,585.0,210599.99999996
2026-05-08 17:45:00,360.0,362.0,360.0,362.0,11195.66320607,4045790.3465086
2026-05-08 18:00:00,361.0,361.0,360.0,360.0,1445.04155124,521599.99999764
2026-05-08 18:15:00,360.0,361.0,360.0,361.0,100059.15036957,36038181.36809802
2026-05-08 18:30:00,361.0,361.0,360.0,360.0,16534.53065861,5966295.30994931
2026-05-08 18:45:00,360.0,360.0,360.0,360.0,107.51996887,38707.1887932
2026-05-08 19:15:00,359.0,359.0,359.0,359.0,2785.51532033,999999.99999847
2026-05-08 19:30:00,360.0,360.0,360.0,360.0,18441.03329117,6638771.9848212
2026-05-08 19:45:00,361.0,362.0,361.0,362.0,1485.14698777,536275.65038184
2026-05-08 20:00:00,363.0,364.0,363.0,364.0,10659.08378249,3879614.80441269
2026-05-08 20:15:00,363.0,366.0,363.0,366.0,14239.23745498,5190977.75995792
2026-05-08 20:30:00,366.0,366.0,366.0,366.0,4355.55346528,1594132.56829248
2026-05-08 20:45:00,367.0,368.0,367.0,368.0,78644.20285857,28933908.04597065
2026-05-08 21:00:00,368.0,369.0,368.0,368.0,21646.56454927,7967568.71813716
2026-05-08 21:15:00,369.0,369.0,369.0,369.0,1104.80487804,407672.99999676
2026-05-08 21:30:00,368.0,368.0,368.0,368.0,2768.69875311,1018881.14114448
2026-05-08 21:45:00,366.0,366.0,363.0,363.0,15552.45105641,5645702.77695507
2026-05-08 22:00:00,364.0,364.0,364.0,364.0,3950.01648351,1437805.99999764
2026-05-08 22:15:00,364.0,365.0,364.0,365.0,10659.53301991,3880207.3818846
2026-05-08 22:30:00,365.0,365.0,365.0,365.0,294.0590339,107331.5473735
2026-05-08 23:00:00,367.0,369.0,367.0,369.0,3705.17867776,1362713.83560747
2026-05-08 23:15:00,368.0,368.0,368.0,368.0,60.0,22080.0
2026-05-08 23:30:00,368.0,369.0,368.0,369.0,20067.53185674,7399756.19536261
2026-05-08 23:45:00,369.0,370.0,369.0,370.0,15106.58936336,5574394.76495474
2026-05-09 00:00:00,368.0,368.0,367.0,368.0,9636.2290943,3545915.2865844
2026-05-09 00:15:00,367.0,367.0,366.0,366.0,9333.55131295,3416352.12393203
2026-05-09 00:30:00,367.0,367.0,367.0,367.0,28.01120448,10280.11204416
2026-05-09 00:45:00,366.0,368.0,366.0,368.0,53642.77737154,19734017.36974616
2026-05-09 01:15:00,368.0,369.0,368.0,369.0,108.55726942,40003.27568856
2026-05-09 01:30:00,368.0,368.0,368.0,368.0,8791.56998891,3235297.75591888
2026-05-09 01:45:00,368.0,368.0,368.0,368.0,4166.66666665,1533333.3333272
2026-05-09 02:00:00,369.0,372.0,369.0,371.0,5433.87788165,2018577.15627834
2026-05-09 02:15:00,372.0,372.0,371.0,371.0,100.05376344,37196.85483839
2026-05-09 02:30:00,372.0,372.0,369.0,369.0,675.57574954,249545.423071
2026-05-09 03:00:00,372.0,374.0,371.0,374.0,158666.99979094,59132097.86128802
2026-05-09 03:15:00,373.0,374.0,373.0,374.0,27567.89312249,10282877.61062459
2026-05-09 03:30:00,374.0,374.0,373.0,373.0,4986.04971278,1861766.27548725
2026-05-09 03:45:00,374.0,377.0,374.0,375.0,54802.79237422,20509532.21927972
2026-05-09 04:00:00,376.0,377.0,375.0,375.0,4869.50952689,1827621.05946039
2026-05-09 04:15:00,376.0,376.0,376.0,376.0,119.68085106,44999.99999856
2026-05-09 04:30:00,377.0,377.0,377.0,377.0,26.17801047,9869.10994719
2026-05-09 04:45:00,377.0,377.0,374.0,374.0,465.60849561,174999.99999294
2026-05-09 05:00:00,374.0,374.0,374.0,374.0,26.73796791,9999.99999834
2026-05-09 05:15:00,373.0,373.0,371.0,373.0,7329.15643219,2720320.12481431
2026-05-09 05:30:00,372.0,372.0,372.0,372.0,15.07878,5609.30616
2026-05-09 06:00:00,372.0,372.0,372.0,372.0,1451.0,539772.0
2026-05-09 06:15:00,371.0,373.0,371.0,373.0,6979.20577509,2596298.59659085
2026-05-09 06:30:00,374.0,374.0,374.0,374.0,5400.59916565,2019824.0879531
2026-05-09 06:45:00,374.0,374.0,373.0,373.0,2722.75748181,1015668.75461887
2026-05-09 07:00:00,373.0,374.0,373.0,373.0,16560.65152514,6180166.58991747
2026-05-09 07:15:00,374.0,376.0,374.0,376.0,59927.3753402,22467141.74705342
2026-05-09 07:30:00,376.0,376.0,374.0,376.0,425.67413813,160000.00000106
2026-05-09 07:45:00,375.0,375.0,375.0,375.0,2666.66666666,999999.9999975
2026-05-09 08:00:00,374.0,375.0,374.0,375.0,15405.56865419,5770217.43602534
2026-05-09 08:30:00,374.0,375.0,374.0,375.0,4907.56501181,1836229.31441694
2026-05-09 08:45:00,375.0,375.0,374.0,374.0,17362.80931973,6493770.68557902
2026-05-09 09:00:00,374.0,375.0,373.0,373.0,73229.19444973,27389432.20627735
2026-05-09 09:15:00,374.0,375.0,374.0,374.0,210341.59598517,78689521.709184
2026-05-09 09:30:00,375.0,379.0,374.0,379.0,81631.65938569,30718421.40936457
2026-05-09 09:45:00,379.0,380.0,378.0,380.0,45583.70771156,17287934.47986649
2026-05-09 10:00:00,380.0,381.0,379.0,381.0,36478.94866472,13865671.81963166
2026-05-09 10:15:00,382.0,384.0,381.0,382.0,44696.8960199,17084299.43706801
2026-05-09 10:30:00,383.0,383.0,383.0,383.0,25448.6268546,9746824.0853118
2026-05-09 10:45:00,382.0,385.0,382.0,385.0,15709.65308385,6013150.85643131
2026-05-09 11:00:00,383.0,383.0,383.0,383.0,29442.7954562,11276590.6597246
2026-05-09 11:15:00,384.0,385.0,384.0,385.0,33565.72557946,12922280.14033291
2026-05-09 11:30:00,385.0,385.0,384.0,385.0,2287.08428183,880475.36517121
2026-05-09 11:45:00,385.0,385.0,382.0,383.0,28661.64883779,10974566.14485479
2026-05-09 12:00:00,383.0,383.0,382.0,382.0,22642.68335387,8653535.43645923
2026-05-09 12:15:00,383.0,383.0,383.0,383.0,1627.25370757,623238.16999931
2026-05-09 12:30:00,382.0,382.0,379.0,379.0,25936.99035799,9839569.36957417
2026-05-09 12:45:00,380.0,382.0,380.0,382.0,4016.55238351,1526422.9775338
2026-05-09 13:00:00,383.0,383.0,383.0,383.0,219.45946087,84052.97351321
2026-05-09 13:15:00,383.0,383.0,383.0,383.0,26.10966057,9999.99999831
2026-05-09 13:45:00,383.0,383.0,380.0,381.0,49638.82549401,18915825.01413706
2026-05-09 14:00:00,380.0,380.0,379.0,379.0,22662.930239,8595808.88412407
2026-05-09 14:15:00,379.0,380.0,379.0,380.0,7096.21258492,2693363.90159767
2026-05-09 14:30:00,381.0,382.0,381.0,382.0,37733.57593162,14392903.99999685
2026-05-09 14:45:00,381.0,381.0,378.0,378.0,13344.16092835,5070527.90435073
2026-05-09 15:15:00,380.0,380.0,380.0,380.0,9185.68933325,3490561.946635
2026-05-09 15:30:00,380.0,380.0,377.0,378.0,39853.5698533,15083448.29807908
2026-05-09 15:45:00,377.0,378.0,376.0,378.0,41802.88765546,15770673.21489777
2026-05-09 16:00:00,378.0,378.0,376.0,377.0,5841.71613704,2198362.96428158
