,open,high,low,close,volume,value
2026-05-06 05:45:00,17.0,17.0,17.0,17.0,293823.67639709,4995002.49875053
2026-05-06 06:00:00,17.0,17.0,17.0,17.0,219656.8768608,3734166.9066336
2026-05-06 06:30:00,17.0,17.1,17.0,17.0,77177.64174924,1312049.44190082
2026-05-06 06:45:00,17.0,17.0,17.0,17.0,31452.35495147,534690.03417499
2026-05-06 07:00:00,17.1,17.1,17.0,17.0,171043.16311488,2924621.72562808
2026-05-06 07:15:00,17.1,17.1,17.0,17.0,50067.82608694,856094.54348821
2026-05-06 07:30:00,17.0,17.0,17.0,17.0,152265.33176932,2588510.64007844
2026-05-06 07:45:00,17.0,17.0,17.0,17.0,83184.9913396,1414144.8527732
2026-05-06 08:00:00,17.0,17.0,17.0,17.0,170947.08733158,2906100.48463686
2026-05-06 08:15:00,17.0,17.1,17.0,17.1,7580.44898519,128955.91344998
2026-05-06 08:30:00,17.0,17.1,17.0,17.1,30504.10162439,520628.20714679
2026-05-06 08:45:00,17.1,17.1,17.1,17.1,174877.59044452,2990406.79660129
2026-05-06 09:00:00,17.1,17.1,17.0,17.1,171345.12630613,2917371.33812599
2026-05-06 09:15:00,17.0,17.1,17.0,17.1,134483.07279388,2298840.59004683
2026-05-06 09:30:00,17.0,17.1,17.0,17.0,204198.11571836,3471398.53672269
2026-05-06 09:45:00,16.9,16.9,16.9,16.9,319061.68882535,5392142.54114842
2026-05-06 10:00:00,16.9,17.0,16.9,16.9,81584.5909185,1378914.88652265
2026-05-06 10:15:00,16.9,17.0,16.9,16.9,244731.30265899,4140942.13223122
2026-05-06 10:30:00,17.0,17.1,17.0,17.1,214248.74294427,3648106.60666078
2026-05-06 10:45:00,17.1,17.1,17.0,17.1,172231.73766445,2928554.33231484
2026-05-06 11:00:00,17.1,17.1,17.1,17.1,4122.01754384,70486.49999966
2026-05-06 11:15:00,17.0,17.0,16.9,16.9,13395.91832627,226494.16383161
2026-05-06 11:30:00,16.9,16.9,16.9,16.9,6648.79225222,112364.58906252
2026-05-06 11:45:00,16.9,17.0,16.9,17.0,9260.89439284,156850.40935664
2026-05-06 12:00:00,16.9,16.9,16.9,16.9,353462.78706151,5973521.10133952
2026-05-06 12:15:00,17.0,17.0,16.9,17.0,286333.19040737,4866043.02019253
2026-05-06 12:30:00,17.0,17.1,17.0,17.1,6534.91553319,111497.05561755
2026-05-06 12:45:00,17.1,17.1,17.0,17.1,268683.33065475,4590735.454896
2026-05-06 13:00:00,17.1,17.2,17.1,17.1,147704.42439054,2531618.62800847
2026-05-06 13:15:00,17.1,17.2,17.1,17.1,67809.17544564,1159826.58959483
2026-05-06 13:30:00,17.1,17.1,17.0,17.0,322821.98377627,5488973.72419659
2026-05-06 13:45:00,17.0,17.0,16.9,16.9,1107880.51228224,18833681.25180513
2026-05-06 14:00:00,17.0,17.0,16.9,16.9,89973.2339209,1523607.51253824
2026-05-06 14:15:00,16.9,16.9,16.9,16.9,341726.30054555,5775174.4792198
2026-05-06 14:30:00,16.9,16.9,16.9,16.9,481289.68060347,8133795.60219864
2026-05-06 14:45:00,16.9,17.0,16.9,17.0,140173.91811067,2379967.53959973
2026-05-06 15:00:00,17.0,17.0,16.9,16.9,155288.2875033,2632738.0875561
2026-05-06 15:15:00,16.9,16.9,16.9,16.9,59876.9646858,1011920.70319002
2026-05-06 15:30:00,16.9,17.0,16.9,17.0,31254.7275,531224.89875
2026-05-06 15:45:00,17.0,17.0,16.9,16.9,28987.96481151,489955.42884393
2026-05-06 16:00:00,16.9,16.9,16.8,16.9,1361384.9952963,22978674.00783209
2026-05-06 16:15:00,16.9,16.9,16.9,16.9,60577.59479289,1023761.35199984
2026-05-06 16:30:00,16.9,17.0,16.9,16.9,634268.9086846,10769203.1803991
2026-05-06 16:45:00,16.9,17.0,16.9,17.0,302223.38138087,5134434.0175085
2026-05-06 17:00:00,17.1,17.1,16.9,16.9,367890.80970702,6251106.29851569
2026-05-06 17:15:00,16.9,17.0,16.9,17.0,124996.98442856,2123643.55993367
2026-05-06 17:30:00,17.1,17.1,17.1,17.1,664487.83587734,11362741.99350251
2026-05-06 17:45:00,17.1,17.1,17.0,17.0,841990.37247733,14369353.92741053
2026-05-06 18:00:00,17.1,17.1,17.1,17.1,194431.34934578,3324776.07381284
2026-05-06 18:15:00,17.1,17.1,17.0,17.0,491900.55322163,8362367.88429987
2026-05-06 18:30:00,17.1,17.2,17.1,17.2,193580.29082747,3316508.02848544
2026-05-06 18:45:00,17.0,17.2,17.0,17.1,86823.81061434,1478132.40849022
2026-05-06 19:00:00,17.1,17.1,17.1,17.1,117643.87964911,2011710.34199978
2026-05-06 19:15:00,17.1,17.1,17.1,17.1,403913.20473707,6906915.8010039
2026-05-06 19:30:00,17.1,17.2,17.1,17.2,90862.30353327,1553789.58695071
2026-05-06 19:45:00,17.2,17.2,17.0,17.0,870190.2124215,14827622.79435788
2026-05-06 20:00:00,17.0,17.2,17.0,17.1,397445.79932866,6772065.77060481
2026-05-06 20:15:00,17.2,17.2,17.0,17.2,392911.39448428,6752442.83308283
2026-05-06 20:30:00,17.1,17.2,17.1,17.2,1213.08497279,20773.11349983
2026-05-06 20:45:00,17.1,17.1,17.1,17.1,12277.30178157,209941.86046485
2026-05-06 21:00:00,17.1,17.1,17.0,17.0,138652.67110397,2357246.78921761
2026-05-06 21:15:00,17.0,17.1,17.0,17.1,267193.80744845,4548464.63305639
2026-05-06 21:30:00,17.1,17.1,17.1,17.1,12298.94444444,210311.94999992
2026-05-06 21:45:00,17.0,17.2,17.0,17.2,13605.09484662,231402.89146231
2026-05-06 22:00:00,17.0,17.0,17.0,17.0,90068.06469584,1531157.09982928
2026-05-06 22:15:00,17.1,17.1,17.0,17.0,173248.69265085,2951853.78830744
2026-05-06 22:30:00,17.1,17.1,16.9,17.0,240038.98305924,4079850.89537702
2026-05-06 22:45:00,17.0,17.1,17.0,17.0,447166.79052973,7601889.05547203
2026-05-06 23:00:00,17.0,17.0,16.9,16.9,100870.87338682,1713655.99700123
2026-05-06 23:15:00,16.9,16.9,16.6,16.8,3111603.9274233,52226310.18866066
2026-05-06 23:30:00,16.9,16.9,16.9,16.9,64273.75069859,1086226.38680617
2026-05-06 23:45:00,16.9,16.9,16.8,16.9,238905.35683551,4025595.76861536
2026-05-07 00:00:00,16.8,16.8,16.8,16.8,85612.80114759,1438295.05927951
2026-05-07 00:15:00,16.9,16.9,16.9,16.9,295.85798816,4999.9999999
2026-05-07 00:30:00,16.9,17.0,16.8,17.0,676089.82757258,11411110.9259766
2026-05-07 00:45:00,16.9,16.9,16.9,16.9,889.67350644,15035.48225884
2026-05-07 01:15:00,16.9,17.0,16.9,17.0,456406.09673503,7743374.79952789
2026-05-07 01:30:00,16.9,16.9,16.9,16.9,68256.6491562,1153537.37073978
2026-05-07 01:45:00,17.0,17.0,17.0,17.0,58823.52941176,999999.99999992
2026-05-07 02:00:00,17.0,17.0,16.9,16.9,462934.6924171,7858307.65205624
2026-05-07 02:30:00,16.9,16.9,16.9,16.9,17949.31387918,303343.40455814
2026-05-07 02:45:00,16.9,16.9,16.9,16.9,400.08,6761.352
2026-05-07 03:00:00,16.9,16.9,16.9,16.9,58784.37371298,993455.91574936
2026-05-07 03:15:00,16.9,16.9,16.9,16.9,186812.2743362,3157127.43628178
2026-05-07 03:30:00,16.9,16.9,16.8,16.8,605280.82457063,10218717.85278658
2026-05-07 04:00:00,16.8,17.0,16.8,16.8,762926.27673529,12864448.79710739
2026-05-07 04:15:00,16.8,16.8,16.8,16.8,6134.96932515,103067.48466252
2026-05-07 05:00:00,16.8,16.9,16.8,16.9,16567.45562129,279398.28402347
2026-05-07 05:15:00,16.9,16.9,16.9,16.9,79171.59763313,1337999.9999999
2026-05-07 05:30:00,16.9,17.0,16.8,16.8,538313.07270448,9044295.3143653
2026-05-07 05:45:00,16.9,16.9,16.9,16.9,17975.65680473,303788.59999994
2026-05-07 06:00:00,16.9,16.9,16.9,16.9,300.06,5071.014
2026-05-07 06:15:00,16.8,16.9,16.8,16.9,1879001.15409432,31660755.46206256
2026-05-07 06:30:00,17.0,17.0,16.8,16.8,2135281.67846119,36070579.61621607
2026-05-07 06:45:00,16.9,16.9,16.8,16.8,1740119.09001592,29236959.29214911
2026-05-07 07:00:00,16.8,16.9,16.8,16.8,82541.05925875,1386699.797547
2026-05-07 07:15:00,16.8,16.9,16.7,16.9,1305179.01224495,21979014.16234314
2026-05-07 07:30:00,17.0,17.3,16.8,17.0,1830674.50097697,31211803.69318284
2026-05-07 07:45:00,17.0,17.0,16.9,17.0,234984.46022386,3984064.32203718
2026-05-07 08:00:00,17.0,17.0,16.9,16.9,428761.93939519,7257561.37577871
2026-05-07 08:15:00,16.8,16.9,16.8,16.8,763131.01670426,12839929.05637121
2026-05-07 08:30:00,16.8,16.8,16.8,16.8,817380.57551697,13731993.6686851
2026-05-07 08:45:00,17.0,17.0,17.0,17.0,182145.81945204,3096478.93068468
2026-05-07 09:00:00,17.0,17.1,16.9,16.9,662581.83098608,11295229.59375554
2026-05-07 09:15:00,16.9,16.9,16.9,16.9,6039.07924259,102060.43919977
2026-05-07 09:30:00,16.9,16.9,16.8,16.8,547055.53256436,9190632.42253687
