,open,high,low,close,volume,value
2026-05-08 10:00:00,311.0,311.0,311.0,311.0,1752.10688523,544905.24130653
2026-05-08 10:15:00,310.0,311.0,310.0,311.0,2805.3508258,871987.355998
2026-05-08 10:30:00,311.0,313.0,311.0,313.0,11841.6,3688991.4
2026-05-08 10:45:00,313.0,313.0,313.0,313.0,1777.7813,556445.5469
2026-05-08 11:00:00,313.0,313.0,313.0,313.0,4185.30351436,1309999.99999468
2026-05-08 11:15:00,311.0,313.0,311.0,312.0,59573.18619028,18586217.28625474
2026-05-08 11:30:00,312.0,313.0,312.0,313.0,9745.97280765,3045238.43372705
2026-05-08 11:45:00,314.0,314.0,313.0,313.0,24377.89101676,7630598.35958345
2026-05-08 12:00:00,313.0,313.0,311.0,312.0,20397.12773576,6344612.47932343
2026-05-08 12:15:00,313.0,313.0,313.0,313.0,6149.91097424,1924922.13493712
2026-05-08 12:30:00,314.0,314.0,314.0,314.0,13677.79794478,4294828.55466092
2026-05-08 12:45:00,315.0,315.0,314.0,314.0,1620.8741482,508982.99999511
2026-05-08 13:00:00,313.0,315.0,313.0,315.0,1288.29229901,404576.76442883
2026-05-08 13:15:00,315.0,317.0,315.0,317.0,8822.65702455,2795290.80831904
2026-05-08 13:30:00,318.0,319.0,317.0,319.0,40422.77822741,12875837.73218909
2026-05-08 13:45:00,318.0,320.0,318.0,319.0,49719.95193238,15851636.14527715
2026-05-08 14:00:00,320.0,321.0,319.0,320.0,40468.42572281,12959123.56705786
2026-05-08 14:15:00,319.0,320.0,319.0,320.0,16677.16093402,5327172.84932169
2026-05-08 14:30:00,320.0,321.0,320.0,321.0,31077.1217317,9946120.216144
2026-05-08 14:45:00,321.0,322.0,321.0,321.0,60603.3336834,19489801.90672265
2026-05-08 15:00:00,320.0,321.0,320.0,320.0,19749.71549466,6321201.63355599
2026-05-08 15:15:00,320.0,321.0,320.0,320.0,7477.83484435,2394139.13855918
2026-05-08 15:30:00,319.0,319.0,319.0,319.0,17815.14313414,5683030.65979066
2026-05-08 15:45:00,319.0,319.0,318.0,318.0,35930.93756802,11433395.0851167
2026-05-08 16:00:00,318.0,318.0,316.0,316.0,13033.75353254,4127988.58780883
2026-05-08 16:15:00,317.0,318.0,317.0,318.0,2115.99468948,671420.31656516
2026-05-08 16:30:00,318.0,318.0,317.0,317.0,3843.3752159,1219340.05198954
2026-05-08 16:45:00,319.0,319.0,318.0,319.0,19664.09857517,6272804.50797923
2026-05-08 17:00:00,319.0,319.0,318.0,318.0,5249.28646646,1674479.44530074
2026-05-08 17:15:00,319.0,319.0,318.0,318.0,3690.05840973,1176971.39999946
2026-05-08 17:30:00,319.0,319.0,318.0,319.0,35336.41012578,11241001.56861453
2026-05-08 17:45:00,320.0,320.0,320.0,320.0,396.91006332,127011.2202624
2026-05-08 18:00:00,320.0,321.0,319.0,321.0,32258.49193163,10324048.15811942
2026-05-08 18:15:00,321.0,322.0,321.0,322.0,12733.15615741,4097797.15417316
2026-05-08 18:30:00,321.0,322.0,319.0,321.0,8510.95983089,2721810.66304729
2026-05-08 18:45:00,319.0,320.0,318.0,320.0,14843.93720379,4725076.65119474
2026-05-08 19:00:00,320.0,321.0,319.0,320.0,4808.50943571,1539393.60380695
2026-05-08 19:15:00,319.0,319.0,319.0,319.0,5417.66814729,1728236.13898551
2026-05-08 19:30:00,320.0,321.0,320.0,321.0,7227.15938674,2312991.90314354
2026-05-08 19:45:00,321.0,321.0,319.0,319.0,18774.2496399,6007836.8066996
2026-05-08 20:00:00,320.0,321.0,319.0,320.0,29771.94628259,9505583.10655735
2026-05-08 20:15:00,320.0,321.0,320.0,320.0,18002.54710607,5760845.93813993
2026-05-08 20:30:00,319.0,321.0,319.0,321.0,12116.97260121,3880596.55197913
2026-05-08 20:45:00,321.0,321.0,321.0,321.0,1735.84112149,557204.99999829
2026-05-08 21:00:00,320.0,321.0,320.0,320.0,99448.37040218,31919708.4785791
2026-05-08 21:15:00,320.0,320.0,319.0,319.0,6320.37976153,2021176.82816578
2026-05-08 21:30:00,319.0,319.0,318.0,318.0,16685.31108766,5314157.58687338
2026-05-08 21:45:00,318.0,319.0,318.0,319.0,94098.25891619,29927755.690157
2026-05-08 22:00:00,319.0,319.0,317.0,317.0,17602.47829767,5580131.98741091
2026-05-08 22:15:00,319.0,319.0,319.0,319.0,62.69592476,19999.99999844
2026-05-08 22:30:00,318.0,319.0,318.0,319.0,13219.60229646,4204146.85315829
2026-05-08 22:45:00,319.0,319.0,319.0,319.0,3783.7908669,1207029.2865411
2026-05-08 23:00:00,319.0,322.0,319.0,321.0,19725.41748143,6315747.79579903
2026-05-08 23:15:00,321.0,323.0,321.0,323.0,76428.83394548,24538117.72980822
2026-05-08 23:30:00,322.0,325.0,321.0,325.0,15718.70692349,5078320.00991928
2026-05-08 23:45:00,324.0,326.0,324.0,325.0,51303.4258666,16686084.91393171
2026-05-09 00:00:00,326.0,327.0,325.0,325.0,22490.28125278,7314470.14559663
2026-05-09 00:15:00,325.0,325.0,324.0,325.0,10445.59708586,3391305.93053534
2026-05-09 00:30:00,326.0,330.0,326.0,330.0,17131.6849437,5618593.2782477
2026-05-09 00:45:00,330.0,334.0,330.0,333.0,51761.26929312,17175477.28023288
2026-05-09 01:00:00,332.0,338.0,332.0,334.0,70521.64720076,23656458.92180368
2026-05-09 01:15:00,334.0,337.0,334.0,336.0,44393.3945693,14882113.08110173
2026-05-09 01:30:00,336.0,339.0,336.0,338.0,55767.1706109,18790378.70614083
2026-05-09 01:45:00,339.0,340.0,335.0,335.0,38645.0874353,13024027.02072684
2026-05-09 02:00:00,336.0,336.0,334.0,334.0,23916.63563783,8003560.48311924
2026-05-09 02:15:00,334.0,339.0,334.0,338.0,69896.68085035,23617468.64088918
2026-05-09 02:30:00,339.0,344.0,339.0,343.0,356388.25425555,121891111.22452234
2026-05-09 02:45:00,344.0,345.0,344.0,345.0,113519.62476293,39068354.9662536
2026-05-09 03:00:00,346.0,350.0,346.0,348.0,319477.40950403,111483067.58287774
2026-05-09 03:15:00,351.0,351.0,349.0,349.0,147479.10902224,51562037.67413686
2026-05-09 03:30:00,349.0,349.0,346.0,347.0,18439.19582904,6412745.93781793
2026-05-09 03:45:00,347.0,349.0,346.0,347.0,20125.19655282,6992089.50587264
2026-05-09 04:00:00,346.0,349.0,346.0,349.0,21905.37294448,7597344.11517254
2026-05-09 04:15:00,349.0,351.0,349.0,349.0,34666.02833839,12144629.11362088
2026-05-09 04:30:00,350.0,350.0,346.0,346.0,61702.56641381,21468624.49859728
2026-05-09 04:45:00,345.0,347.0,343.0,347.0,6823.29358821,2350461.57420452
2026-05-09 05:00:00,346.0,346.0,343.0,345.0,22360.72029667,7699296.79049978
2026-05-09 05:15:00,344.0,347.0,344.0,347.0,1833.16091266,636012.16760048
2026-05-09 05:30:00,347.0,347.0,346.0,346.0,5209.02807244,1802748.01869227
2026-05-09 05:45:00,347.0,348.0,347.0,348.0,27673.49521626,9605339.02584668
2026-05-09 06:00:00,348.0,348.0,346.0,348.0,103727.06517529,36014747.34618438
2026-05-09 06:15:00,348.0,348.0,343.0,344.0,133408.9619178,45871402.95482233
2026-05-09 06:30:00,345.0,345.0,344.0,345.0,35021.29478568,12057928.05581292
2026-05-09 06:45:00,345.0,346.0,344.0,346.0,56023.72714383,19296228.74663441
2026-05-09 07:00:00,346.0,347.0,344.0,345.0,71692.58091654,24788827.59970699
2026-05-09 07:15:00,345.0,345.0,344.0,345.0,32880.83734914,11338204.3423919
2026-05-09 07:30:00,344.0,345.0,344.0,344.0,8329.8065488,2866261.0027872
2026-05-09 07:45:00,343.0,344.0,342.0,343.0,22672.28635945,7786714.47936234
2026-05-09 08:00:00,344.0,344.0,342.0,344.0,4600.79348797,1578604.25425608
2026-05-09 08:15:00,343.0,345.0,343.0,344.0,39475.14969762,13586084.33979077
2026-05-09 08:30:00,346.0,346.0,345.0,346.0,65674.31339181,22719554.58542004
2026-05-09 08:45:00,344.0,345.0,343.0,345.0,60786.38822319,20897180.3408306
2026-05-09 09:00:00,345.0,346.0,343.0,344.0,36773.64027468,12674299.16117677
2026-05-09 09:15:00,344.0,346.0,344.0,346.0,11710.84118367,4047970.03065609
2026-05-09 09:30:00,346.0,351.0,346.0,351.0,274118.44948531,95667006.28351793
2026-05-09 09:45:00,351.0,351.0,349.0,350.0,54234.6221075,19031619.88394425
2026-05-09 10:00:00,350.0,354.0,349.0,353.0,55606.23914113,19573630.53371593
2026-05-09 10:15:00,353.0,355.0,352.0,355.0,69387.9483349,24483340.63843265
2026-05-09 10:30:00,354.0,355.0,352.0,354.0,84612.10452582,29886094.74578194
2026-05-09 10:45:00,354.0,354.0,353.0,354.0,63127.53644844,22301154.03358548
2026-05-09 11:00:00,354.0,357.0,353.0,357.0,63545.08710341,22606645.86762354
2026-05-09 11:15:00,356.0,358.0,353.0,354.0,39379.66915944,14021940.58644074
2026-05-09 11:30:00,353.0,355.0,352.0,352.0,36726.89791316,12953224.56611972
2026-05-09 11:45:00,352.0,352.0,351.0,352.0,17066.88507739,6003481.29791269
2026-05-09 12:00:00,351.0,351.0,350.0,351.0,45263.34594379,15881823.41875378
2026-05-09 12:15:00,351.0,351.0,347.0,349.0,22878.28989585,7974031.10617941
2026-05-09 12:30:00,349.0,349.0,347.0,347.0,19311.00805554,6718685.0988814
2026-05-09 12:45:00,347.0,348.0,347.0,348.0,6135.98859639,2129453.01133813
2026-05-09 13:00:00,347.0,350.0,347.0,348.0,17878.47364803,6243870.32700947
2026-05-09 13:15:00,348.0,348.0,346.0,348.0,16361.25059512,5665623.85621314
2026-05-09 13:30:00,348.0,348.0,346.0,347.0,20081.4724415,6988254.9443247
2026-05-09 13:45:00,347.0,348.0,347.0,347.0,44794.59654037,15560496.38743942
