,open,high,low,close,volume,value
2026-05-13 04:45:00,682.0,687.0,680.0,680.0,8103.63179507,5518676.95755649
2026-05-13 05:00:00,678.0,678.0,677.0,677.0,6498.9474998,4404809.29998996
2026-05-13 05:15:00,683.0,683.0,678.0,678.0,185.34681689,125882.86638274
2026-05-13 05:30:00,681.0,683.0,680.0,683.0,10168.30813313,6919157.61439376
2026-05-13 05:45:00,685.0,685.0,681.0,684.0,24910.91065124,17018253.87134334
2026-05-13 06:00:00,685.0,690.0,683.0,684.0,274983.82663912,189114537.23283106
2026-05-13 06:15:00,685.0,686.0,678.0,681.0,84833.29180413,58106144.75867794
2026-05-13 06:30:00,682.0,683.0,676.0,679.0,68173.99163061,46337144.48543219
2026-05-13 06:45:00,679.0,680.0,677.0,680.0,2275.68247423,1543896.41326367
2026-05-13 07:00:00,680.0,690.0,680.0,690.0,21190.41785704,14589841.79047982
2026-05-13 07:15:00,691.0,695.0,691.0,692.0,138918.91981844,96211346.75369725
2026-05-13 07:30:00,691.0,691.0,685.0,687.0,104375.58481808,71954088.56221372
2026-05-13 07:45:00,687.0,687.0,684.0,684.0,20703.89926373,14216088.16126026
2026-05-13 08:00:00,683.0,683.0,677.0,681.0,72002.49095707,49066370.96378701
2026-05-13 08:15:00,681.0,688.0,680.0,683.0,89647.26620121,61337003.9960332
2026-05-13 08:30:00,684.0,685.0,676.0,677.0,43275.99943946,29439245.02929425
2026-05-13 08:45:00,678.0,683.0,677.0,683.0,11016.98963605,7491310.10293937
2026-05-13 09:00:00,685.0,685.0,678.0,682.0,54639.92435739,37267841.57708346
2026-05-13 09:15:00,685.0,687.0,682.0,686.0,43187.66577131,29618762.07182971
2026-05-13 09:30:00,683.0,695.0,683.0,695.0,53746.44184385,37190650.41486937
2026-05-13 09:45:00,693.0,697.0,690.0,697.0,72819.2353873,50450436.82079711
2026-05-13 10:00:00,698.0,711.0,698.0,703.0,273807.0142126,192756626.50214088
2026-05-13 10:15:00,705.0,714.0,700.0,713.0,114306.64251997,80761653.75696369
2026-05-13 10:30:00,713.0,719.0,711.0,716.0,400839.11859662,286378452.9463692
2026-05-13 10:45:00,716.0,721.0,709.0,712.0,145409.83937572,103988172.37660602
2026-05-13 11:00:00,712.0,712.0,702.0,705.0,52682.97477358,37214420.50896215
2026-05-13 11:15:00,705.0,715.0,704.0,712.0,104629.52910685,74195516.14724103
2026-05-13 11:30:00,717.0,723.0,717.0,723.0,131409.91231336,94350431.89302
2026-05-13 11:45:00,721.0,732.0,721.0,728.0,227301.18366622,164954605.22549054
2026-05-13 12:00:00,730.0,732.0,724.0,729.0,121017.84761424,88181920.2771438
2026-05-13 12:15:00,729.0,730.0,719.0,725.0,82991.2781356,60004068.73736218
2026-05-13 12:30:00,725.0,740.0,725.0,740.0,185345.19467335,136296422.4148638
2026-05-13 12:45:00,739.0,740.0,730.0,737.0,190636.34054787,140071947.1684306
2026-05-13 13:00:00,737.0,746.0,737.0,745.0,179931.69433837,133548135.75758103
2026-05-13 13:15:00,746.0,749.0,740.0,747.0,336766.82059752,251006915.438758
2026-05-13 13:30:00,747.0,751.0,730.0,733.0,532080.10135955,395295817.880048
2026-05-13 13:45:00,733.0,734.0,727.0,727.0,221905.40833587,161782919.5314139
2026-05-13 14:00:00,728.0,731.0,722.0,725.0,104310.5079029,75746307.98309267
2026-05-13 14:15:00,725.0,731.0,719.0,731.0,132301.6132653,95641302.06062227
2026-05-13 14:30:00,730.0,730.0,717.0,720.0,115620.51994378,83428649.0567279
2026-05-13 14:45:00,722.0,728.0,720.0,723.0,48174.52237886,34907629.72450344
2026-05-13 15:00:00,723.0,725.0,719.0,721.0,39869.38061488,28731121.77761054
2026-05-13 15:15:00,722.0,728.0,718.0,728.0,81497.31063578,58640988.9791939
2026-05-13 15:30:00,728.0,728.0,717.0,719.0,109614.39591626,79119468.3095943
2026-05-13 15:45:00,718.0,718.0,713.0,713.0,139691.00972081,99899793.43047789
2026-05-13 16:00:00,713.0,724.0,713.0,724.0,61911.28798978,44466758.00772542
2026-05-13 16:15:00,724.0,726.0,719.0,724.0,33362.2988323,24096923.21951002
2026-05-13 16:30:00,722.0,730.0,719.0,729.0,88012.32462609,63862256.08892755
2026-05-13 16:45:00,729.0,732.0,726.0,729.0,208478.53974593,152035851.1465802
2026-05-13 17:00:00,730.0,737.0,727.0,737.0,133710.45071672,97893411.23014374
2026-05-13 17:15:00,735.0,741.0,734.0,735.0,329060.94360078,242533655.38443354
2026-05-13 17:30:00,735.0,748.0,733.0,742.0,379945.05707553,282425902.37493634
2026-05-13 17:45:00,742.0,744.0,736.0,736.0,193748.99302766,143483449.0433865
2026-05-13 18:00:00,736.0,746.0,734.0,744.0,207979.733037,154112392.66371432
2026-05-13 18:15:00,745.0,755.0,745.0,752.0,393616.30922797,295900303.71337646
2026-05-13 18:30:00,752.0,763.0,752.0,763.0,914846.04243417,693883479.4680803
2026-05-13 18:45:00,763.0,774.0,760.0,761.0,1197654.36364908,917907834.6734567
2026-05-13 19:00:00,761.0,766.0,741.0,743.0,1094335.93047151,820204704.6703618
2026-05-13 19:15:00,743.0,754.0,743.0,749.0,487012.09933091,364292769.3035089
2026-05-13 19:30:00,749.0,751.0,736.0,746.0,392501.10590635,290918045.96737653
2026-05-13 19:45:00,745.0,747.0,741.0,744.0,186078.09904911,138483279.84217912
2026-05-13 20:00:00,744.0,746.0,739.0,743.0,232285.57879196,172361089.0198693
2026-05-13 20:15:00,742.0,748.0,736.0,736.0,447950.51189228,332399942.3475743
2026-05-13 20:30:00,736.0,743.0,732.0,737.0,639752.88519202,471298202.4649979
2026-05-13 20:45:00,737.0,738.0,720.0,726.0,858490.03851682,623339555.2316049
2026-05-13 21:00:00,727.0,730.0,721.0,724.0,273285.248453,198324400.49739817
2026-05-13 21:15:00,724.0,724.0,718.0,723.0,266957.44648116,192167405.0154019
2026-05-13 21:30:00,723.0,723.0,708.0,712.0,347456.54226409,247630367.02781698
2026-05-13 21:45:00,712.0,713.0,703.0,705.0,203060.6866531,143819389.38511434
2026-05-13 22:00:00,706.0,712.0,704.0,709.0,96836.62937062,68533390.1896714
2026-05-13 22:15:00,711.0,712.0,707.0,710.0,242079.45682866,172000424.1654931
2026-05-13 22:30:00,711.0,713.0,699.0,704.0,139280.53394046,98043647.80343816
2026-05-13 22:45:00,704.0,704.0,698.0,701.0,106227.99317179,74481836.48315705
2026-05-13 23:00:00,701.0,705.0,697.0,700.0,185972.87756031,130225343.05986938
2026-05-13 23:15:00,699.0,705.0,696.0,703.0,65352.36743924,45644048.89902156
2026-05-13 23:30:00,703.0,710.0,703.0,707.0,47189.18166657,33294302.54381595
2026-05-13 23:45:00,706.0,708.0,703.0,708.0,97638.57672061,68765928.249592
2026-05-14 00:00:00,709.0,713.0,698.0,699.0,186259.61450315,131296085.15461195
2026-05-14 00:15:00,699.0,699.0,689.0,693.0,78053.41823224,54143222.93913284
2026-05-14 00:30:00,692.0,697.0,690.0,697.0,25475.75750684,17653306.32927144
2026-05-14 00:45:00,697.0,697.0,685.0,688.0,55859.10723026,38549257.58086304
2026-05-14 01:00:00,690.0,696.0,690.0,696.0,45552.61876664,31544929.43381166
2026-05-14 01:15:00,696.0,704.0,695.0,704.0,17202.276485,12071062.41276762
2026-05-14 01:30:00,706.0,707.0,698.0,700.0,52131.37253447,36714922.05964521
2026-05-14 01:45:00,700.0,700.0,691.0,691.0,16925.72369176,11754528.62027533
2026-05-14 02:00:00,695.0,705.0,694.0,705.0,7945.2204557,5543046.29790775
2026-05-14 02:15:00,705.0,706.0,700.0,703.0,9502.7580641,6678216.69510756
2026-05-14 02:30:00,704.0,704.0,702.0,703.0,1523.53902203,1072111.77947824
2026-05-14 02:45:00,703.0,708.0,701.0,706.0,9723.7122884,6874109.44473735
2026-05-14 03:00:00,708.0,717.0,708.0,715.0,83190.26934235,59415792.03013785
2026-05-14 03:15:00,713.0,718.0,711.0,714.0,18378.05168779,13121607.78918079
