,open,high,low,close,volume,value
2026-05-11 14:30:00,810.0,810.0,810.0,810.0,2280.06366788,1846851.5709828
2026-05-11 14:45:00,810.0,811.0,810.0,810.0,26491.61660854,21461290.52566709
2026-05-11 15:00:00,810.0,810.0,809.0,809.0,26855.18510356,21728936.21814497
2026-05-11 15:15:00,809.0,811.0,809.0,809.0,8389.61597175,6791597.4891584
2026-05-11 15:30:00,809.0,809.0,808.0,809.0,7423.88700534,6002365.19232756
2026-05-11 15:45:00,808.0,808.0,807.0,807.0,827.80974269,668581.93526186
2026-05-11 16:00:00,808.0,808.0,807.0,807.0,4257.03819222,3436405.69097465
2026-05-11 16:15:00,808.0,809.0,808.0,809.0,5846.27602405,4727139.37005432
2026-05-11 16:30:00,809.0,811.0,809.0,810.0,11084.76432097,8972622.92500749
2026-05-11 16:45:00,810.0,810.0,809.0,809.0,11552.76507437,9356444.68319032
2026-05-11 17:00:00,810.0,810.0,808.0,809.0,9620.98167384,7783305.33893937
2026-05-11 17:15:00,808.0,809.0,807.0,809.0,25329.3417729,20462847.84541897
2026-05-11 17:30:00,809.0,810.0,808.0,810.0,1499.05524882,1212727.84992728
2026-05-11 17:45:00,810.0,811.0,810.0,811.0,276.26090926,223794.3365006
2026-05-11 18:00:00,810.0,811.0,809.0,811.0,3167.76351052,2565339.6756696
2026-05-11 18:15:00,811.0,812.0,810.0,811.0,6634.01835742,5380015.4938528
2026-05-11 18:30:00,811.0,816.0,810.0,811.0,34572.91978369,28092358.75586882
2026-05-11 18:45:00,811.0,813.0,811.0,813.0,1294.63723736,1049999.99999096
2026-05-11 19:00:00,813.0,818.0,813.0,817.0,25537.09458008,20860636.06137444
2026-05-11 19:15:00,817.0,819.0,814.0,818.0,21371.16116915,17464767.44873034
2026-05-11 19:30:00,816.0,816.0,815.0,816.0,882.38956914,720003.66164316
2026-05-11 19:45:00,815.0,815.0,814.0,814.0,7959.17161998,6479751.92106817
2026-05-11 20:00:00,813.0,814.0,813.0,814.0,9075.58678756,7387515.37513519
2026-05-11 20:15:00,814.0,814.0,810.0,811.0,19667.98315832,15972199.17238373
2026-05-11 20:30:00,813.0,813.0,811.0,811.0,7017.491621,5691210.304877
2026-05-11 20:45:00,811.0,811.0,808.0,810.0,21265.50585194,17213893.38882213
2026-05-11 21:00:00,810.0,810.0,807.0,807.0,20452.98844955,16532033.85747173
2026-05-11 21:15:00,809.0,810.0,808.0,810.0,512.37623762,414033.3469922
2026-05-11 21:30:00,810.0,810.0,808.0,808.0,12051.83215625,9740906.07358393
2026-05-11 21:45:00,810.0,812.0,809.0,811.0,3270.1014206,2651266.89771749
2026-05-11 22:00:00,812.0,812.0,807.0,812.0,19775.77745926,16016498.14947822
2026-05-11 22:15:00,812.0,814.0,810.0,812.0,18556.23791726,15057795.74504176
