,open,high,low,close,volume,value
2026-05-10 23:15:00,0.288,0.288,0.287,0.287,50428764.7679862,14504875.67715505
2026-05-10 23:30:00,0.287,0.29,0.287,0.289,94921063.1376377,27445386.38132044
2026-05-10 23:45:00,0.288,0.291,0.288,0.291,103904177.2250736,30151875.51179558
2026-05-11 00:00:00,0.291,0.292,0.29,0.291,181760763.89431563,52851522.25244332
2026-05-11 00:15:00,0.291,0.292,0.291,0.291,22670045.42642183,6597056.20891926
2026-05-11 00:30:00,0.29,0.29,0.29,0.29,8064684.18483846,2338758.41360315
2026-05-11 00:45:00,0.291,0.292,0.29,0.291,141813817.44414696,41266033.81577546
2026-05-11 01:00:00,0.291,0.292,0.291,0.292,77179452.77384079,22478394.03122767
2026-05-11 01:15:00,0.291,0.293,0.291,0.293,8956916.68235429,2624027.11231796
2026-05-11 01:30:00,0.293,0.293,0.292,0.293,67563797.17856069,19777052.12513972
2026-05-11 01:45:00,0.293,0.293,0.291,0.292,108620649.37279502,31761806.39746753
2026-05-11 02:00:00,0.292,0.292,0.291,0.291,18255959.95204987,5312907.80032271
2026-05-11 02:15:00,0.292,0.293,0.292,0.293,69539464.09062798,20326875.63253
2026-05-11 02:30:00,0.294,0.295,0.293,0.294,30176833.34228432,8867359.65384016
2026-05-11 02:45:00,0.294,0.295,0.294,0.295,9140079.6306233,2692216.15748142
2026-05-11 03:00:00,0.296,0.297,0.296,0.297,6915235.6010982,2052825.72507604
2026-05-11 03:15:00,0.297,0.298,0.296,0.297,14252836.26236505,4239163.38800297
2026-05-11 03:30:00,0.297,0.298,0.296,0.298,16433509.09059242,4875819.5567749
2026-05-11 03:45:00,0.296,0.302,0.296,0.3,126999498.70649897,38021110.87469052
2026-05-11 04:00:00,0.3,0.3,0.297,0.298,45637534.0951597,13600426.74545811
2026-05-11 04:15:00,0.3,0.3,0.299,0.3,5112153.94461137,1532081.23356736
2026-05-11 04:30:00,0.299,0.299,0.299,0.299,9673838.34306621,2892477.6645768
2026-05-11 04:45:00,0.299,0.299,0.296,0.296,16539186.64624935,4921618.35442641
2026-05-11 05:00:00,0.297,0.297,0.294,0.294,18461436.45755062,5473192.00273741
2026-05-11 05:15:00,0.294,0.294,0.293,0.293,46169244.70877859,13528638.11403901
2026-05-11 05:30:00,0.293,0.293,0.29,0.291,63525203.7781976,18562796.4131186
2026-05-11 05:45:00,0.291,0.291,0.286,0.29,76301289.8350954,22134629.20815624
2026-05-11 06:00:00,0.289,0.29,0.287,0.287,33612442.42695686,9685628.72425406
2026-05-11 06:15:00,0.288,0.289,0.288,0.289,9184972.77851446,2645355.68598536
2026-05-11 06:30:00,0.291,0.292,0.29,0.292,100631365.89361347,29280305.70602358
2026-05-11 06:45:00,0.293,0.293,0.292,0.293,6875315.18188265,2013785.02290892
2026-05-11 07:00:00,0.293,0.294,0.293,0.293,53668441.43728839,15725377.99716483
2026-05-11 07:15:00,0.294,0.294,0.294,0.294,4313677.47340131,1268221.17717999
2026-05-11 07:30:00,0.294,0.296,0.294,0.295,127300764.07046784,37541686.93991139
2026-05-11 07:45:00,0.295,0.296,0.294,0.295,65873147.15061104,19474309.10549888
2026-05-11 08:00:00,0.297,0.297,0.295,0.295,10948532.55274438,3239619.19304593
2026-05-11 08:15:00,0.296,0.296,0.295,0.296,7268752.72013215,2150285.6640466
2026-05-11 08:30:00,0.295,0.296,0.295,0.296,43333242.75817184,12786731.05009113
2026-05-11 08:45:00,0.296,0.298,0.295,0.296,46724411.34409555,13853401.5751527
2026-05-11 09:00:00,0.296,0.298,0.294,0.295,83035975.06766832,24478067.99849512
2026-05-11 09:15:00,0.294,0.294,0.292,0.292,129585539.55667144,37966056.02219487
2026-05-11 09:30:00,0.292,0.294,0.292,0.292,46673192.25206657,13677074.82789165
2026-05-11 09:45:00,0.292,0.293,0.292,0.293,46192153.823795,13529048.62752098
2026-05-11 10:00:00,0.293,0.293,0.292,0.292,57924451.90107651,16960038.44855132
2026-05-11 10:15:00,0.293,0.296,0.293,0.295,11168500.04543738,3293712.14696547
2026-05-11 10:30:00,0.295,0.295,0.293,0.293,38319274.4060636,11300444.27925701
2026-05-11 10:45:00,0.295,0.295,0.293,0.294,12530046.46829521,3671849.22825548
2026-05-11 11:00:00,0.293,0.293,0.293,0.293,41314895.11567834,12105264.26889375
2026-05-11 11:15:00,0.292,0.293,0.29,0.292,97245686.19650958,28386743.29047351
2026-05-11 11:30:00,0.292,0.292,0.29,0.291,92443561.03702806,26858297.98945454
2026-05-11 11:45:00,0.291,0.291,0.288,0.289,137541619.87204745,39799159.77626454
2026-05-11 12:00:00,0.289,0.289,0.287,0.287,50170891.80277864,14442252.05290615
2026-05-11 12:15:00,0.287,0.287,0.286,0.286,230331083.24361855,65914717.50823888
2026-05-11 12:30:00,0.286,0.287,0.285,0.287,74333517.8050685,21214399.99992935
2026-05-11 12:45:00,0.287,0.287,0.287,0.287,995353.90037037,285666.5694063
2026-05-11 13:00:00,0.287,0.287,0.285,0.286,74357340.58599614,21263372.33724806
2026-05-11 13:15:00,0.285,0.288,0.285,0.288,26783336.90637369,7650439.01340975
2026-05-11 13:30:00,0.288,0.288,0.286,0.286,13261218.70054672,3796967.13832388
2026-05-11 13:45:00,0.286,0.288,0.286,0.288,60090880.21418865,17244558.68786701
2026-05-11 14:00:00,0.287,0.289,0.287,0.288,68272743.06929296,19667694.26427292
2026-05-11 14:15:00,0.289,0.289,0.289,0.289,13264810.58432721,3833530.25887056
2026-05-11 14:30:00,0.289,0.289,0.288,0.289,26074274.67053401,7531309.22909679
2026-05-11 14:45:00,0.289,0.289,0.288,0.288,33807958.92494457,9757476.78499714
2026-05-11 15:00:00,0.288,0.289,0.288,0.289,1603132.42758232,463260.47762014
2026-05-11 15:15:00,0.289,0.289,0.288,0.288,25700860.8119197,7415525.43041413
2026-05-11 15:30:00,0.289,0.289,0.288,0.288,12695740.64552988,3663500.61549589
2026-05-11 16:00:00,0.288,0.288,0.288,0.288,7924580.3200306,2282279.13216881
2026-05-11 16:15:00,0.287,0.288,0.287,0.287,14147024.18894229,4060230.22694866
2026-05-11 16:30:00,0.287,0.288,0.287,0.288,12482291.80971392,3584515.65147874
2026-05-11 16:45:00,0.288,0.288,0.288,0.288,2903912.79037635,836326.88362839
2026-05-11 17:00:00,0.288,0.288,0.288,0.288,2324124.53216284,669347.8652629
2026-05-11 17:15:00,0.289,0.29,0.289,0.29,78876273.24217299,22837677.8051211
2026-05-11 17:30:00,0.289,0.292,0.289,0.29,494649.33108231,143909.65935402
2026-05-11 17:45:00,0.292,0.293,0.292,0.292,14839785.31320134,4346670.39701154
2026-05-11 18:00:00,0.291,0.292,0.291,0.292,8031043.63752326,2340458.35605352
2026-05-11 18:15:00,0.292,0.292,0.291,0.291,32313244.48285226,9408214.41499703
2026-05-11 18:30:00,0.291,0.291,0.29,0.291,4034364.26116884,1173500.00000013
2026-05-11 18:45:00,0.292,0.293,0.292,0.293,59133959.16067537,17316067.86523365
2026-05-11 19:00:00,0.292,0.294,0.292,0.294,26551925.57530702,7781383.41457043
2026-05-11 19:15:00,0.293,0.293,0.293,0.293,6602524.99089144,1934539.82233119
2026-05-11 19:30:00,0.292,0.292,0.292,0.292,16443147.13511225,4801398.96345278
2026-05-11 19:45:00,0.292,0.292,0.29,0.29,171964.017991,50013.49325337
2026-05-11 20:00:00,0.29,0.292,0.29,0.291,37834453.38162856,11006413.28763739
2026-05-11 20:15:00,0.292,0.293,0.292,0.293,224058.69906313,65618.76426174
2026-05-11 20:30:00,0.293,0.293,0.293,0.293,18090770.81228668,5300595.848
2026-05-11 20:45:00,0.292,0.294,0.292,0.292,10438611.55541157,3048374.57418018
2026-05-11 21:00:00,0.292,0.293,0.291,0.291,43281282.12858007,12623021.40652559
2026-05-11 21:15:00,0.292,0.292,0.291,0.292,12443523.29269783,3625965.27817507
2026-05-11 21:30:00,0.294,0.294,0.294,0.294,205479.45205479,60410.95890411
2026-05-11 21:45:00,0.294,0.294,0.291,0.291,62070098.2941038,18120557.84807518
2026-05-11 22:00:00,0.291,0.294,0.291,0.293,25297926.49362934,7390513.62182386
2026-05-11 22:15:00,0.293,0.294,0.293,0.294,4040256.13912169,1183965.11678987
2026-05-11 22:30:00,0.293,0.294,0.291,0.294,100031312.37907305,29351259.73559642
2026-05-11 22:45:00,0.293,0.293,0.293,0.293,10440863.33720479,3059172.957801
2026-05-11 23:00:00,0.293,0.298,0.293,0.296,132223619.67928536,39215782.79898187
2026-05-11 23:15:00,0.296,0.298,0.296,0.297,81485905.89907908,24228572.44328637
2026-05-11 23:30:00,0.296,0.297,0.292,0.293,112477602.80969377,32948575.49623001
2026-05-11 23:45:00,0.293,0.293,0.292,0.293,13654718.47588482,3992201.37125837
2026-05-12 00:00:00,0.292,0.295,0.292,0.295,44333617.87068144,12960808.12128654
2026-05-12 00:15:00,0.296,0.299,0.296,0.299,5580696.74331916,1661998.63863366
2026-05-12 00:30:00,0.298,0.3,0.298,0.299,15440064.24359364,4619035.55638749
2026-05-12 00:45:00,0.298,0.3,0.298,0.3,37219804.77776444,11131821.17209117
2026-05-12 01:00:00,0.298,0.3,0.298,0.3,87146150.93015829,26138185.73548593
2026-05-12 01:15:00,0.3,0.3,0.299,0.299,40779473.94839305,12225529.42644923
2026-05-12 01:30:00,0.3,0.301,0.298,0.298,56032131.49024638,16793215.96447345
2026-05-12 01:45:00,0.297,0.299,0.297,0.299,63448204.75354088,18846191.72750164
2026-05-12 02:00:00,0.299,0.3,0.297,0.299,1107375.32472496,331599.58424469
2026-05-12 02:15:00,0.299,0.3,0.298,0.298,23900820.12219784,7146328.49412913
2026-05-12 02:30:00,0.298,0.303,0.298,0.303,38252043.34314665,11518248.96829709
2026-05-12 02:45:00,0.302,0.302,0.302,0.302,83612.58278145,25251.0
2026-05-12 03:00:00,0.302,0.302,0.302,0.302,44182061.28723717,13342982.50874563
2026-05-12 03:15:00,0.3,0.3,0.3,0.3,33835.01683502,10150.50505051
2026-05-12 03:30:00,0.3,0.3,0.298,0.298,64392233.57970113,19198407.69618233
2026-05-12 03:45:00,0.298,0.299,0.297,0.299,32148580.42918669,9582326.13206832
2026-05-12 04:00:00,0.298,0.298,0.295,0.297,27551783.05377009,8180647.57246047
2026-05-12 04:15:00,0.297,0.297,0.295,0.296,2131460.08673186,630912.18567263
2026-05-12 04:30:00,0.296,0.296,0.296,0.296,1015150.22601253,300484.46689971
2026-05-12 04:45:00,0.295,0.295,0.293,0.293,12972108.31718522,3800912.94857527
2026-05-12 05:00:00,0.295,0.295,0.294,0.294,11185458.56154296,3288626.36630681
2026-05-12 05:15:00,0.294,0.295,0.294,0.294,1414727.29393941,415984.00749614
2026-05-12 05:45:00,0.294,0.294,0.294,0.294,10827466.08,3183275.02752
2026-05-12 06:00:00,0.293,0.293,0.293,0.293,50446.89058738,14780.9389421
2026-05-12 06:15:00,0.293,0.294,0.293,0.294,13560729.83557304,3973920.75417744
2026-05-12 06:30:00,0.294,0.295,0.294,0.295,3077599.37764838,905797.33713409
2026-05-12 06:45:00,0.294,0.294,0.293,0.293,14537039.5052042,4259375.43430483
2026-05-12 07:00:00,0.292,0.293,0.292,0.293,43718663.54718278,12803989.16412286
2026-05-12 07:15:00,0.294,0.294,0.293,0.294,223048.09382137,65442.13591303
2026-05-12 07:30:00,0.293,0.293,0.293,0.293,407593.46354219,119424.88481786
2026-05-12 07:45:00,0.294,0.294,0.294,0.294,869924.56152875,255757.82108945
2026-05-12 08:00:00,0.294,0.294,0.291,0.291,21810511.06940323,6368668.90082899
2026-05-12 08:15:00,0.291,0.291,0.29,0.291,27656749.40268812,8040831.49621925
2026-05-12 08:30:00,0.291,0.292,0.291,0.292,42788638.76824852,12451562.374711
2026-05-12 08:45:00,0.292,0.292,0.292,0.292,1300265.35913838,379677.48486841
2026-05-12 09:00:00,0.292,0.292,0.291,0.291,88256033.77297658,25703580.31352178
2026-05-12 09:15:00,0.291,0.292,0.29,0.292,28927025.30393714,8415336.43312075
2026-05-12 09:30:00,0.292,0.294,0.292,0.293,52657852.06307626,15428195.22081362
2026-05-12 10:00:00,0.293,0.293,0.292,0.292,4764616.57321865,1394681.00866312
2026-05-12 10:15:00,0.292,0.292,0.291,0.292,20322624.82998113,5924829.5769628
2026-05-12 10:30:00,0.291,0.291,0.286,0.288,55155816.62755763,15864245.35953939
2026-05-12 10:45:00,0.288,0.288,0.288,0.288,51241947.90448303,14757680.99649111
2026-05-12 11:00:00,0.288,0.29,0.288,0.29,22727657.64548764,6554082.41396941
2026-05-12 11:15:00,0.288,0.289,0.288,0.289,833374.41687871,240029.36678329
2026-05-12 11:30:00,0.29,0.29,0.289,0.289,35057285.11329456,10155714.88455219
2026-05-12 11:45:00,0.291,0.291,0.29,0.291,9899406.89457459,2873184.06592072
2026-05-12 12:00:00,0.291,0.292,0.29,0.292,45934773.94949837,13354380.70425647
2026-05-12 12:15:00,0.289,0.289,0.289,0.289,100000.0,28900.0
2026-05-12 12:30:00,0.29,0.291,0.289,0.29,16653010.11064229,4841444.8858838
2026-05-12 12:45:00,0.29,0.29,0.288,0.289,3708510.0,1069401.75458413
2026-05-12 13:00:00,0.289,0.289,0.289,0.289,1244474.57627118,359653.15254237
2026-05-12 13:15:00,0.29,0.292,0.29,0.292,3845481.42925659,1120588.40668354
2026-05-12 13:30:00,0.292,0.293,0.292,0.292,9308466.5148043,2718196.91440135
2026-05-12 13:45:00,0.292,0.293,0.292,0.293,14350252.9635192,4192437.13155921
2026-05-12 14:00:00,0.293,0.293,0.293,0.293,29109289.53210501,8529021.83290677
2026-05-12 14:15:00,0.292,0.294,0.292,0.293,3177898.86752805,931178.78158826
2026-05-12 14:30:00,0.294,0.294,0.293,0.294,7468326.26944359,2195667.93851571
2026-05-12 14:45:00,0.294,0.295,0.294,0.295,22656822.93289596,6668394.07786463
2026-05-12 15:00:00,0.294,0.296,0.293,0.294,27750114.00756182,8167253.06874826
2026-05-12 15:15:00,0.294,0.296,0.294,0.295,22438899.90974706,6617813.6420163
2026-05-12 15:30:00,0.296,0.296,0.293,0.293,41565775.02576155,12250516.64520201
2026-05-12 15:45:00,0.294,0.294,0.293,0.293,54662714.21890573,16016206.44102812
2026-05-12 16:00:00,0.292,0.294,0.29,0.294,76179161.40011005,22223642.15602298
2026-05-12 16:15:00,0.293,0.294,0.293,0.293,2000788.0966031,586432.00217719
2026-05-12 16:30:00,0.293,0.293,0.293,0.293,11600303.55409994,3398888.94135128
2026-05-12 16:45:00,0.293,0.293,0.293,0.293,3456541.35389643,1012766.61669165
2026-05-12 17:00:00,0.292,0.292,0.292,0.292,31105006.53424658,9082661.908
2026-05-12 17:15:00,0.292,0.292,0.292,0.292,12071060.80357413,3524749.75464365
2026-05-12 17:30:00,0.292,0.292,0.291,0.291,385768.01077213,112341.37092767
2026-05-12 17:45:00,0.293,0.293,0.291,0.291,8062611.32219363,2347569.29057276
2026-05-12 18:00:00,0.292,0.292,0.291,0.291,4175950.58792193,1218829.50679779
2026-05-12 18:15:00,0.29,0.29,0.29,0.29,34364.26116838,9965.63573883
2026-05-12 18:30:00,0.291,0.291,0.291,0.291,476454.0,138648.114
2026-05-12 18:45:00,0.291,0.292,0.291,0.292,11850551.36986298,3459360.99999999
2026-05-12 19:15:00,0.292,0.292,0.292,0.292,67567.56756756,19729.72972973
2026-05-12 19:30:00,0.291,0.291,0.289,0.29,19527644.88271461,5654350.94928203
2026-05-12 19:45:00,0.289,0.289,0.289,0.289,28924033.87735485,8359045.79055555
2026-05-12 20:00:00,0.289,0.289,0.287,0.289,17545400.64412596,5051305.39203987
2026-05-12 20:15:00,0.288,0.288,0.286,0.287,209813231.57841694,60116823.80463738
2026-05-12 20:30:00,0.287,0.288,0.286,0.286,15823773.37656748,4541209.01512952
2026-05-12 20:45:00,0.287,0.287,0.286,0.287,5853087.55333275,1679724.54934456
2026-05-12 21:00:00,0.288,0.288,0.286,0.287,26938669.82635645,7721318.48613698
2026-05-12 21:15:00,0.287,0.288,0.287,0.287,32925508.8362045,9449927.94547301
2026-05-12 21:30:00,0.287,0.289,0.286,0.288,97074026.5855048,27829987.23952914
2026-05-12 21:45:00,0.288,0.288,0.288,0.288,2162261.26388878,622731.24399997
2026-05-12 22:00:00,0.288,0.288,0.287,0.288,2205999.81128175,633200.40660748
2026-05-12 22:15:00,0.288,0.288,0.288,0.288,69444.44444444,20000.0
2026-05-12 22:30:00,0.288,0.288,0.287,0.287,10047313.09650975,2892626.17179481
2026-05-12 22:45:00,0.287,0.289,0.286,0.286,126646406.3084768,36404680.47028244
2026-05-12 23:00:00,0.286,0.287,0.285,0.285,17471654.2039013,4987724.86716363
2026-05-12 23:15:00,0.285,0.287,0.284,0.284,42230010.65828674,12009968.05174722
2026-05-12 23:30:00,0.283,0.286,0.282,0.285,92710762.62786935,26191458.85755461
2026-05-12 23:45:00,0.285,0.285,0.282,0.283,5939464.83890465,1685256.04275752
2026-05-13 00:00:00,0.283,0.284,0.283,0.284,5385969.2793,1526878.4860419
2026-05-13 00:15:00,0.284,0.284,0.281,0.282,60978202.97756282,17193226.09620133
2026-05-13 00:30:00,0.282,0.284,0.282,0.283,26107652.049242,7362485.48779154
2026-05-13 00:45:00,0.282,0.282,0.281,0.282,15989323.67502157,4508872.23710988
2026-05-13 01:00:00,0.282,0.282,0.281,0.282,3435808.33626047,965877.39071614
2026-05-13 01:15:00,0.282,0.282,0.281,0.281,546645.70977098,153679.19976479
2026-05-13 01:30:00,0.282,0.282,0.282,0.282,1290806.42209938,364007.41103203
2026-05-13 01:45:00,0.281,0.281,0.28,0.28,29506261.95562897,8275376.39364223
2026-05-13 02:00:00,0.28,0.28,0.28,0.28,1036616.17467128,290252.52890796
2026-05-13 02:15:00,0.283,0.285,0.283,0.284,125567992.28139696,35641911.18542765
2026-05-13 02:30:00,0.283,0.284,0.283,0.284,27954237.93786014,7938609.45722032
2026-05-13 02:45:00,0.284,0.284,0.283,0.284,19713661.94144128,5592679.99136932
2026-05-13 03:00:00,0.284,0.284,0.284,0.284,14767162.2004908,4193874.06493939
2026-05-13 03:15:00,0.283,0.283,0.283,0.283,6511038.3224635,1842623.84525717
2026-05-13 03:30:00,0.283,0.283,0.283,0.283,17689671.90459364,5006177.149
2026-05-13 03:45:00,0.283,0.283,0.283,0.283,4427272.27935328,1252918.05505698
2026-05-13 04:00:00,0.283,0.283,0.283,0.283,103847.59835072,29388.87033325
2026-05-13 04:45:00,0.284,0.285,0.284,0.285,2521098.46466166,718036.01312391
2026-05-13 05:00:00,0.285,0.285,0.284,0.284,4143429.29869684,1177786.55224885
2026-05-13 05:15:00,0.285,0.285,0.284,0.285,32813997.25788358,9351389.21849682
2026-05-13 05:30:00,0.284,0.284,0.284,0.284,14401227.73582172,4089948.67697337
2026-05-13 05:45:00,0.285,0.285,0.284,0.285,15553265.08768463,4432645.25587247
2026-05-13 06:00:00,0.285,0.285,0.285,0.285,31360662.77022247,8937788.8895134
2026-05-13 06:15:00,0.286,0.286,0.286,0.286,3686996.66148932,1054481.04518595
2026-05-13 06:30:00,0.286,0.287,0.286,0.286,46358394.60784107,13261985.17840004
2026-05-13 07:00:00,0.286,0.286,0.286,0.286,2225162.22712073,636396.39695653
2026-05-13 07:15:00,0.286,0.287,0.286,0.287,8486530.62062403,2427217.44390962
2026-05-13 07:30:00,0.286,0.286,0.285,0.285,3633039.01720081,1036575.68115045
2026-05-13 07:45:00,0.285,0.285,0.285,0.285,69686.41114982,19860.6271777
2026-05-13 08:00:00,0.285,0.285,0.285,0.285,1686440.6779661,480635.59322034
2026-05-13 08:15:00,0.286,0.286,0.286,0.286,3171006.45481455,906907.84607696
2026-05-13 08:30:00,0.285,0.285,0.285,0.285,11897677.15765261,3390837.98993099
2026-05-13 08:45:00,0.286,0.286,0.284,0.284,132726833.7987353,37722551.79320703
2026-05-13 09:00:00,0.284,0.284,0.283,0.284,18386383.62819041,5221695.91336904
2026-05-13 09:15:00,0.285,0.286,0.285,0.286,33114606.73376763,9455145.43660629
2026-05-13 09:30:00,0.285,0.285,0.285,0.285,975816.07025816,278107.58002358
2026-05-13 09:45:00,0.285,0.285,0.285,0.285,33809207.98693581,9635624.27627671
2026-05-13 10:00:00,0.286,0.289,0.286,0.289,23241405.13287776,6681213.9611512
2026-05-13 10:15:00,0.289,0.289,0.288,0.288,28726337.11196537,8273219.69032215
2026-05-13 10:30:00,0.289,0.289,0.289,0.289,4879245.67474047,1410102.0
2026-05-13 10:45:00,0.289,0.289,0.289,0.289,48219663.65437732,13935482.79611505
2026-05-13 11:00:00,0.289,0.289,0.287,0.287,87792408.27510554,25230172.30225483
2026-05-13 11:15:00,0.287,0.288,0.287,0.288,53178003.32033354,15265472.05182461
2026-05-13 11:30:00,0.286,0.287,0.286,0.287,1313452.22222222,376941.69055555
2026-05-13 11:45:00,0.287,0.288,0.287,0.288,10305758.55110615,2959263.27818559
2026-05-13 12:00:00,0.286,0.286,0.286,0.286,5518381.23650349,1578257.03364
2026-05-13 12:15:00,0.286,0.287,0.286,0.286,19307624.90243802,5531980.72209727
2026-05-13 12:30:00,0.286,0.287,0.286,0.287,2183943.98919597,626683.53329085
2026-05-13 12:45:00,0.287,0.287,0.287,0.287,300000.0,86100.0
2026-05-13 13:00:00,0.287,0.288,0.287,0.288,4323979.62992844,1242303.56698391
2026-05-13 13:15:00,0.288,0.289,0.288,0.288,25148910.8402786,7263709.9793757
2026-05-13 13:30:00,0.289,0.289,0.289,0.289,3174547.52067885,917444.23347619
2026-05-13 13:45:00,0.29,0.29,0.29,0.29,10339657.75732823,2998500.74962519
2026-05-13 14:00:00,0.288,0.288,0.288,0.288,6522926.56578639,1878602.85094648
2026-05-13 14:15:00,0.288,0.288,0.287,0.288,1484824.57339385,427292.39813743
2026-05-13 14:30:00,0.287,0.287,0.286,0.286,78371467.57285734,22430901.65058122
2026-05-13 14:45:00,0.287,0.287,0.287,0.287,23083075.1871451,6624842.57871064
2026-05-13 15:00:00,0.286,0.288,0.286,0.288,420529.77176803,120685.94469888
2026-05-13 15:15:00,0.286,0.287,0.286,0.287,1002411.01289037,287454.31728348
2026-05-13 15:30:00,0.287,0.287,0.287,0.287,24083075.1871451,6911842.57871064
2026-05-13 16:00:00,0.287,0.288,0.287,0.287,3833987.89550537,1100528.13701004
2026-05-13 16:15:00,0.288,0.288,0.286,0.286,7537712.88971915,2162917.59640834
2026-05-13 16:30:00,0.287,0.287,0.286,0.286,35343806.41920552,10110183.7752656
2026-05-13 16:45:00,0.286,0.286,0.286,0.286,3006384.18476019,859825.87684141
