,open,high,low,close,volume,value
2026-05-18 16:30:00,444.0,931.0,444.0,814.0,17066301.48913148,14933442523.782787
2026-05-18 16:45:00,814.0,814.0,728.0,777.0,11033546.74595158,8443820599.782517
2026-05-18 17:00:00,777.0,790.0,730.0,746.0,4827145.59115859,3658937655.632661
2026-05-18 17:15:00,746.0,746.0,658.0,673.0,7099960.96797206,4921391565.602716
2026-05-18 17:30:00,673.0,719.0,663.0,715.0,5287525.17309856,3690947261.6588473
2026-05-18 17:45:00,715.0,721.0,691.0,704.0,2497888.70393964,1765010815.452202
2026-05-18 18:00:00,704.0,740.0,698.0,739.0,2916109.46464805,2111059735.0524309
2026-05-18 18:15:00,739.0,746.0,729.0,735.0,2500142.51389823,1846246660.2980514
2026-05-18 18:30:00,735.0,785.0,735.0,770.0,4026769.21016881,3089051867.6180177
2026-05-18 18:45:00,770.0,887.0,765.0,864.0,9624069.12384298,7923451943.448042
2026-05-18 19:00:00,864.0,879.0,768.0,804.0,10951034.69596653,8925903094.24557
2026-05-18 19:15:00,802.0,840.0,780.0,794.0,5927380.36502429,4820388537.063221
2026-05-18 19:30:00,793.0,807.0,775.0,788.0,3010990.66795748,2393352653.59904
2026-05-18 19:45:00,787.0,792.0,710.0,722.0,6237276.60351204,4652767714.959054
2026-05-18 20:00:00,722.0,778.0,721.0,767.0,4233403.31364831,3171930318.062526
2026-05-18 20:15:00,767.0,776.0,728.0,754.0,3863550.91027344,2904904728.8454022
2026-05-18 20:30:00,754.0,779.0,750.0,758.0,3429410.73047719,2632096289.3628373
2026-05-18 20:45:00,758.0,767.0,743.0,766.0,1550594.69965602,1175158094.2721293
2026-05-18 21:00:00,766.0,771.0,711.0,727.0,3889214.15201144,2863459476.319243
2026-05-18 21:15:00,726.0,748.0,712.0,725.0,2605565.54658343,1901987327.1868482
2026-05-18 21:30:00,725.0,738.0,720.0,730.0,1305134.46505418,952548387.8422229
2026-05-18 21:45:00,729.0,756.0,721.0,752.0,2001060.55545622,1479047389.482124
2026-05-18 22:00:00,752.0,762.0,736.0,743.0,3072581.39378181,2306183648.336464
2026-05-18 22:15:00,743.0,746.0,717.0,727.0,1948148.97511643,1423938812.499932
2026-05-18 22:30:00,727.0,732.0,713.0,727.0,1887740.1965339,1365271667.3997183
2026-05-18 22:45:00,726.0,727.0,675.0,680.0,3516714.45644243,2446820581.0318713
2026-05-18 23:00:00,680.0,685.0,670.0,678.0,2393010.30994963,1623060475.349405
2026-05-18 23:15:00,678.0,699.0,675.0,690.0,2274554.11412103,1568859099.0355217
2026-05-18 23:30:00,691.0,691.0,643.0,652.0,3378583.70052075,2220023642.8474317
2026-05-18 23:45:00,652.0,659.0,647.0,651.0,1200186.60257546,784024784.6908236
2026-05-19 00:00:00,652.0,662.0,632.0,638.0,1783835.0874985,1144792877.796032
2026-05-19 00:15:00,638.0,640.0,602.0,610.0,2910639.86772844,1795856726.6467226
2026-05-19 00:30:00,612.0,623.0,601.0,623.0,1240122.59682429,760836740.5691196
2026-05-19 00:45:00,622.0,630.0,621.0,627.0,769400.72025107,481577301.1555519
2026-05-19 01:00:00,627.0,642.0,623.0,638.0,903785.77176776,575043130.3439744
2026-05-19 01:15:00,637.0,667.0,623.0,661.0,1302901.62929999,846177555.1563658
2026-05-19 01:30:00,660.0,665.0,647.0,661.0,948665.12991143,623988565.5579547
2026-05-19 01:45:00,661.0,663.0,634.0,642.0,584853.82664446,378948116.2590024
2026-05-19 02:00:00,642.0,650.0,633.0,642.0,483108.88343302,310554959.56745493
2026-05-19 02:15:00,642.0,642.0,624.0,629.0,467152.88608863,294183606.4903732
2026-05-19 02:30:00,627.0,648.0,627.0,645.0,348704.90053301,222557073.6369741
2026-05-19 02:45:00,645.0,653.0,632.0,653.0,393054.45684043,253565154.587404
2026-05-19 03:00:00,653.0,659.0,651.0,655.0,496523.23378502,324497092.96982205
2026-05-19 03:15:00,655.0,669.0,651.0,668.0,422959.39860241,278795918.2768879
2026-05-19 03:30:00,668.0,671.0,657.0,665.0,441042.30427857,293594588.64724356
