,open,high,low,close,volume,value
2026-05-14 18:00:00,104.0,104.0,104.0,104.0,16532.44230768,1719373.99999872
2026-05-14 18:15:00,104.0,104.0,104.0,104.0,78094.52965823,8121831.08445592
2026-05-14 18:30:00,104.0,104.0,103.0,104.0,21565.67307691,2241791.53846018
2026-05-14 19:00:00,104.0,104.0,104.0,104.0,57634.6634375,5994004.9975
2026-05-14 19:15:00,103.0,105.0,103.0,105.0,66313.82332917,6899700.03920877
2026-05-14 19:30:00,105.0,105.0,105.0,105.0,1000.0,105000.0
2026-05-14 20:00:00,105.0,105.0,105.0,105.0,6386.47313247,670579.67890935
2026-05-14 20:15:00,104.0,105.0,104.0,105.0,27192.40797628,2831898.56232386
2026-05-14 20:30:00,104.0,104.0,103.0,104.0,148404.38986481,15433998.85363255
2026-05-14 20:45:00,104.0,105.0,104.0,105.0,195308.22775423,20312150.92453515
2026-05-14 21:00:00,105.0,105.0,103.0,104.0,99471.22137095,10345149.58414194
2026-05-14 21:15:00,104.0,104.0,104.0,104.0,151021.89949937,15706277.54793448
2026-05-14 21:30:00,105.0,105.0,105.0,105.0,48.57142857,5099.99999985
2026-05-14 21:45:00,105.0,105.0,104.0,104.0,12529.85114584,1312628.32869116
2026-05-14 22:00:00,105.0,105.0,104.0,104.0,95182.38827837,9918015.99999809
2026-05-14 22:15:00,104.0,105.0,104.0,104.0,99186.76782901,10315472.42564561
2026-05-14 22:30:00,105.0,105.0,105.0,105.0,48.57142857,5099.99999985
2026-05-14 23:00:00,104.0,104.0,104.0,104.0,628143.77485424,65326952.58484096
2026-05-14 23:15:00,104.0,104.0,104.0,104.0,9615.38461539,1000000.00000056
2026-05-14 23:30:00,104.0,105.0,104.0,104.0,69550.3651616,7233286.54823497
2026-05-14 23:45:00,105.0,105.0,105.0,105.0,44241.01006637,4645306.05696885
2026-05-15 00:00:00,105.0,105.0,104.0,105.0,25778.76874028,2682896.57756052
2026-05-15 00:15:00,105.0,105.0,105.0,105.0,441151.86314462,46320945.6301851
2026-05-15 00:30:00,105.0,106.0,105.0,106.0,16545.31737632,1738534.59809845
2026-05-15 00:45:00,105.0,105.0,105.0,105.0,11518.66151865,1209459.45945825
2026-05-15 01:00:00,106.0,106.0,106.0,106.0,471.6981132,49999.9999992
2026-05-15 01:15:00,105.0,106.0,105.0,106.0,6109.51249206,641848.99339903
2026-05-15 01:30:00,105.0,105.0,105.0,105.0,51991.59229466,5459117.1909393
2026-05-15 01:45:00,105.0,105.0,105.0,105.0,109533.79896983,11501048.89183215
2026-05-15 02:15:00,105.0,105.0,105.0,105.0,3440.44579974,361246.8089727
2026-05-15 02:30:00,105.0,105.0,105.0,105.0,100306.57059565,10532189.91254325
2026-05-15 02:45:00,105.0,106.0,105.0,106.0,15514.85377358,1635335.49999948
2026-05-15 03:00:00,105.0,105.0,105.0,105.0,37231.69904763,3909328.40000115
2026-05-15 03:15:00,105.0,105.0,105.0,105.0,32380.0,3399900.0
2026-05-15 03:45:00,105.0,105.0,105.0,105.0,83738.75286215,8792569.05052575
2026-05-15 04:00:00,105.0,105.0,105.0,105.0,8968.3,941671.5
2026-05-15 04:15:00,105.0,105.0,105.0,105.0,85241.12952379,8950318.59999795
2026-05-15 04:45:00,104.0,104.0,104.0,104.0,894.00970873,92977.00970792
2026-05-15 05:00:00,105.0,105.0,105.0,105.0,48.57142857,5099.99999985
2026-05-15 05:15:00,104.0,104.0,104.0,104.0,27139.44432019,2822502.20929976
2026-05-15 05:30:00,104.0,104.0,104.0,104.0,61529.35576923,6399052.99999992
2026-05-15 05:45:00,105.0,105.0,105.0,105.0,9519.04999881,999500.24987505
2026-05-15 06:00:00,105.0,105.0,105.0,105.0,36555.61742937,3838339.83008385
2026-05-15 06:30:00,104.0,105.0,104.0,105.0,5891.46790218,612844.79896957
2026-05-15 06:45:00,104.0,105.0,104.0,105.0,109082.35186435,11348372.21389192
2026-05-15 07:00:00,105.0,105.0,104.0,105.0,15493.19364127,1613785.33233335
2026-05-15 07:15:00,105.0,105.0,105.0,105.0,19362.57585492,2033070.4647666
2026-05-15 07:45:00,105.0,105.0,105.0,105.0,142.85714285,14999.99999925
2026-05-15 08:00:00,105.0,105.0,104.0,104.0,50236.55017728,5248611.62275876
2026-05-15 08:15:00,104.0,104.0,104.0,104.0,38283.49432829,3981483.41014216
2026-05-15 08:30:00,104.0,104.0,104.0,104.0,58041.91516251,6036359.17690104
2026-05-15 08:45:00,104.0,104.0,103.0,103.0,170735.41446931,17755957.93474022
2026-05-15 09:00:00,104.0,105.0,103.0,104.0,77680.09787356,8092887.72926095
2026-05-15 09:15:00,104.0,104.0,104.0,104.0,79952.05859693,8315014.09408072
2026-05-15 09:30:00,104.0,104.0,104.0,104.0,185973.89806798,19341285.39906992
2026-05-15 09:45:00,104.0,104.0,104.0,104.0,58465.248646,6080385.859184
2026-05-15 10:00:00,104.0,104.0,104.0,104.0,62546.81886684,6504869.16215136
2026-05-15 10:15:00,104.0,104.0,104.0,104.0,121113.25225959,12595778.23499736
