,open,high,low,close,volume,value
2026-05-14 15:00:00,105.0,105.0,105.0,105.0,143.7143333,15090.0049965
2026-05-14 15:15:00,104.0,105.0,104.0,104.0,116728.26001455,12139786.70817986
2026-05-14 15:30:00,105.0,105.0,105.0,105.0,47.66666666,5004.9999993
2026-05-14 15:45:00,104.0,105.0,104.0,105.0,1047.66666666,109004.9999993
2026-05-14 16:00:00,104.0,105.0,104.0,105.0,3593.76595744,373799.32624042
2026-05-14 16:15:00,104.0,105.0,104.0,105.0,2312.4121987,241051.62104571
2026-05-14 16:30:00,104.0,105.0,104.0,105.0,643.82051282,67004.99999994
2026-05-14 16:45:00,104.0,105.0,104.0,105.0,2116.11257641,220599.56508949
2026-05-14 17:00:00,105.0,105.0,104.0,105.0,53798.1145691,5596480.17232925
2026-05-14 17:45:00,104.0,105.0,104.0,105.0,4575.89371205,475911.0880532
2026-05-14 18:15:00,104.0,105.0,104.0,105.0,2899.3453031,301550.0535224
2026-05-14 19:00:00,104.0,105.0,104.0,105.0,4714.12962955,490317.14813986
2026-05-14 19:15:00,105.0,105.0,105.0,105.0,4744.66576235,498189.90504675
2026-05-14 19:30:00,105.0,105.0,105.0,105.0,61.9047619,6499.9999995
2026-05-14 20:00:00,105.0,105.0,105.0,105.0,96293.43918516,10110811.1144418
2026-05-14 20:15:00,105.0,105.0,104.0,104.0,1470.4838057,154305.56150327
2026-05-14 20:30:00,104.0,105.0,104.0,105.0,114900.2818299,11949789.4585989
2026-05-14 21:00:00,104.0,105.0,104.0,105.0,2964.73176339,309483.85482591
2026-05-14 21:30:00,104.0,105.0,104.0,105.0,46631.87542683,4849772.18724746
2026-05-14 21:45:00,105.0,105.0,104.0,105.0,748.80952379,78504.76190272
2026-05-14 22:00:00,105.0,105.0,105.0,105.0,98972.03828078,10392064.0194819
2026-05-14 22:15:00,105.0,105.0,104.0,105.0,19586.58009521,2056541.76799705
2026-05-14 22:30:00,105.0,106.0,104.0,106.0,142637.22588711,14997609.29469144
2026-05-14 22:45:00,106.0,106.0,106.0,106.0,1171.12425241,124139.17075546
2026-05-14 23:00:00,106.0,106.0,105.0,105.0,9719.67654987,1030000.0000005
2026-05-14 23:15:00,105.0,106.0,105.0,106.0,23664.31095001,2504682.70635479
2026-05-14 23:30:00,106.0,106.0,106.0,106.0,184628.00467743,19570568.49580758
2026-05-14 23:45:00,106.0,106.0,106.0,106.0,101579.58477514,10767435.98616484
2026-05-15 00:00:00,107.0,107.0,107.0,107.0,27487.57943921,2941170.99999547
2026-05-15 00:15:00,107.0,107.0,107.0,107.0,6966.66907434,745433.59095438
2026-05-15 00:30:00,107.0,107.0,107.0,107.0,29820.85046724,3190830.99999468
2026-05-15 00:45:00,107.0,107.0,106.0,107.0,30256.07864558,3237349.57942212
2026-05-15 01:00:00,107.0,107.0,106.0,106.0,69084.98724679,7391231.75096335
2026-05-15 01:15:00,107.0,107.0,107.0,107.0,89141.19507296,9538107.87280672
2026-05-15 01:30:00,107.0,108.0,107.0,108.0,9760.58828289,1053579.73676287
2026-05-15 01:45:00,107.0,107.0,107.0,107.0,35825.38932038,3833316.65728066
2026-05-15 02:00:00,108.0,108.0,108.0,108.0,4660.05555555,503285.9999994
2026-05-15 02:15:00,107.0,107.0,107.0,107.0,1366.74205606,146241.39999842
2026-05-15 02:30:00,106.0,106.0,106.0,106.0,524.33247619,55579.24247614
2026-05-15 03:15:00,107.0,107.0,107.0,107.0,11030.29735131,1180241.81659017
2026-05-15 04:15:00,107.0,107.0,107.0,107.0,512.13719626,54798.67999982
2026-05-15 05:15:00,106.0,106.0,106.0,106.0,149.55339805,15852.6601933
2026-05-15 05:30:00,106.0,106.0,106.0,106.0,134246.66747605,14230146.7524613
2026-05-15 05:45:00,106.0,106.0,106.0,106.0,5078.77423955,538350.0693923
2026-05-15 06:00:00,106.0,107.0,106.0,107.0,5667.0185381,605380.37036915
2026-05-15 06:15:00,106.0,107.0,106.0,107.0,3788.26083392,405293.96615252
2026-05-15 07:15:00,107.0,107.0,107.0,107.0,4672.89719626,499999.99999982
2026-05-15 07:45:00,107.0,107.0,107.0,107.0,1869.1588785,199999.9999995
2026-05-15 08:00:00,106.0,106.0,106.0,106.0,15748.98837191,1669392.76742246
2026-05-15 08:15:00,106.0,107.0,106.0,107.0,37477.89623075,3972707.0004595
2026-05-15 08:30:00,106.0,107.0,105.0,105.0,13060.26267184,1384409.10489729
2026-05-15 08:45:00,106.0,106.0,106.0,106.0,50.0,5300.0
2026-05-15 09:00:00,106.0,107.0,106.0,107.0,34996.56441132,3709685.82759992
2026-05-15 09:15:00,107.0,107.0,106.0,107.0,20967.53172863,2241691.82117869
2026-05-15 09:30:00,107.0,108.0,106.0,107.0,61448.23863391,6574579.52719202
2026-05-15 09:45:00,107.0,107.0,107.0,107.0,1869.1588785,199999.9999995
2026-05-15 10:00:00,107.0,108.0,107.0,107.0,95362.21789547,10203850.00000047
2026-05-15 10:15:00,108.0,108.0,108.0,108.0,9291.71990393,1003505.74962444
2026-05-15 10:30:00,107.0,108.0,107.0,108.0,272.12395267,29317.38688836
2026-05-15 10:45:00,108.0,108.0,107.0,108.0,16869.98529513,1821804.63051396
2026-05-15 11:00:00,107.0,108.0,107.0,107.0,158759.23756307,17015098.70396723
2026-05-15 11:15:00,107.0,107.0,106.0,106.0,156619.65961806,16638020.39520359
2026-05-15 11:30:00,106.0,106.0,105.0,106.0,78130.29546931,8239138.36861716
2026-05-15 11:45:00,105.0,106.0,105.0,106.0,11652.04756133,1223606.55054342
2026-05-15 12:00:00,106.0,107.0,106.0,107.0,129562.75058314,13734619.51508386
2026-05-15 12:15:00,106.0,107.0,106.0,107.0,680.80099117,72211.68076495
2026-05-15 12:30:00,106.0,107.0,105.0,106.0,38872.41608303,4119878.52428185
2026-05-15 12:45:00,106.0,106.0,106.0,106.0,94.33962264,9999.99999984
2026-05-15 13:00:00,106.0,106.0,106.0,106.0,40669.20077459,4310935.28210654
2026-05-15 13:15:00,106.0,106.0,105.0,105.0,144.33962264,15249.99999984
2026-05-15 13:30:00,106.0,106.0,105.0,105.0,685.90897728,72070.4426144
2026-05-15 13:45:00,106.0,106.0,105.0,106.0,5799.03323927,609090.04672712
2026-05-15 14:00:00,105.0,106.0,105.0,106.0,24245.66038995,2545928.52392588
2026-05-15 14:15:00,106.0,106.0,105.0,105.0,249670.90002849,26216313.73419185
2026-05-15 14:30:00,105.0,105.0,104.0,104.0,121450.87066666,12631225.34438025
2026-05-15 14:45:00,104.0,104.0,103.0,103.0,19483.54491866,2008340.80993855
2026-05-15 15:00:00,104.0,104.0,104.0,104.0,114.97784615,11957.6959996
2026-05-15 15:15:00,104.0,104.0,103.0,104.0,10770.77529653,1119693.3411195
2026-05-15 15:30:00,104.0,105.0,104.0,105.0,73701.28490192,7664990.81551396
2026-05-15 16:00:00,105.0,105.0,104.0,104.0,78881.26640565,8203699.80142569
2026-05-15 16:15:00,105.0,105.0,105.0,105.0,47.62857142,5000.9999991
2026-05-15 16:30:00,104.0,104.0,104.0,104.0,802.34060847,83443.42328088
2026-05-15 16:45:00,105.0,105.0,105.0,105.0,44.824,4706.52
2026-05-15 17:00:00,104.0,104.0,103.0,104.0,80817.77649246,8365565.19480139
2026-05-15 17:15:00,104.0,104.0,104.0,104.0,90209.39120497,9381776.68531688
2026-05-15 17:45:00,103.0,103.0,103.0,103.0,36895.42527942,3800228.80378026
2026-05-15 18:00:00,104.0,105.0,104.0,104.0,165993.89074598,17264507.49472477
2026-05-15 18:15:00,103.0,104.0,103.0,104.0,81052.50671193,8419751.96017664
