,open,high,low,close,volume,value
2026-05-18 07:00:00,530.0,531.0,530.0,530.0,8750.45983885,4640872.4764487
2026-05-18 07:15:00,530.0,531.0,530.0,530.0,41024.51916969,21778726.85633205
2026-05-18 07:30:00,531.0,531.0,530.0,530.0,18178.91302416,9645144.22936414
2026-05-18 07:45:00,530.0,531.0,529.0,531.0,119063.56233753,63171417.54943857
2026-05-18 08:00:00,529.0,531.0,529.0,530.0,38548.07516679,20413402.91309353
2026-05-18 08:15:00,530.0,531.0,529.0,530.0,65502.26916576,34734406.7465
2026-05-18 08:30:00,530.0,532.0,529.0,531.0,471754.70540964,250157207.0593963
2026-05-18 08:45:00,531.0,532.0,530.0,531.0,272980.55780385,145096667.96408918
2026-05-18 09:00:00,530.0,531.0,528.0,528.0,377931.00654388,200073552.90969875
2026-05-18 09:15:00,528.0,530.0,527.0,529.0,117443.80400402,62079688.16611126
2026-05-18 09:30:00,527.0,529.0,527.0,527.0,158649.74816501,83670363.63613716
2026-05-18 09:45:00,527.0,528.0,526.0,527.0,141824.38245713,74690407.8089484
2026-05-18 10:00:00,527.0,528.0,526.0,527.0,76909.82307576,40555205.72819939
2026-05-18 10:15:00,527.0,528.0,527.0,527.0,24866.22483374,13111496.42962464
2026-05-18 10:30:00,527.0,528.0,527.0,527.0,103497.76639125,54562846.13835046
2026-05-18 10:45:00,528.0,528.0,527.0,527.0,31419.7048127,16574014.95361243
2026-05-18 11:00:00,527.0,529.0,527.0,528.0,118726.10749202,62624281.16918433
2026-05-18 11:15:00,528.0,529.0,527.0,529.0,65090.12035571,34381557.48574832
2026-05-18 11:30:00,529.0,530.0,528.0,530.0,78595.90740182,41583946.5234779
2026-05-18 11:45:00,530.0,531.0,529.0,529.0,125428.36769005,66410816.51497761
2026-05-18 12:00:00,529.0,531.0,528.0,531.0,13165.15389456,6968774.34987809
2026-05-18 12:15:00,530.0,531.0,530.0,531.0,39265.57705528,20824141.33416755
2026-05-18 12:30:00,531.0,532.0,530.0,531.0,98002.10045372,52050320.65351459
