,open,high,low,close,volume,value
2026-05-01 04:30:00,1.29,1.29,1.29,1.29,726606.04148054,937321.7935099
2026-05-01 05:30:00,1.29,1.29,1.29,1.29,365676.49746,471722.6817234
2026-05-01 05:45:00,1.29,1.29,1.29,1.29,90090.29319926,116216.47822705
2026-05-01 06:15:00,1.29,1.29,1.29,1.29,559964.64188813,722354.38803569
2026-05-01 06:30:00,1.3,1.3,1.29,1.29,227986.0690083,294140.49055917
2026-05-01 07:45:00,1.3,1.3,1.3,1.3,3524041.42899367,4581253.85769177
2026-05-01 08:00:00,1.29,1.29,1.29,1.29,324473.36261428,418570.63777242
2026-05-01 08:30:00,1.29,1.29,1.29,1.29,154129.0,198826.41
2026-05-01 08:45:00,1.29,1.29,1.29,1.29,658813.87333746,849869.89660532
2026-05-01 09:00:00,1.29,1.29,1.29,1.29,8522.33190338,10993.80815536
2026-05-01 09:15:00,1.29,1.29,1.29,1.29,314824.52926372,406123.6427502
2026-05-01 09:30:00,1.29,1.29,1.29,1.29,781250.0,1007812.5
2026-05-01 10:00:00,1.29,1.3,1.29,1.3,545698.46153846,707411.4
2026-05-01 10:30:00,1.3,1.3,1.3,1.3,346153.84615384,449999.99999999
2026-05-01 11:15:00,1.3,1.3,1.3,1.3,7692.3076923,9999.99999999
2026-05-01 11:30:00,1.29,1.29,1.29,1.29,466171.9769,601361.850201
2026-05-01 12:00:00,1.29,1.3,1.29,1.29,251133.6465362,324025.3640317
2026-05-01 12:15:00,1.3,1.3,1.29,1.3,87260.46068993,113030.00571192
2026-05-01 13:00:00,1.29,1.29,1.29,1.29,89323.41206842,115227.20156826
2026-05-01 13:30:00,1.29,1.29,1.29,1.29,311028.90975,401227.2935775
2026-05-01 13:45:00,1.3,1.3,1.29,1.3,458176.30769231,591124.36
2026-05-01 14:00:00,1.29,1.29,1.29,1.29,311598.86922,401962.5412938
2026-05-01 14:15:00,1.29,1.29,1.29,1.29,612194.79352924,789731.28365272
2026-05-01 14:30:00,1.3,1.3,1.3,1.3,7692.3076923,9999.99999999
2026-05-01 15:00:00,1.3,1.3,1.3,1.3,21319.34032983,27715.14242878
2026-05-01 15:15:00,1.29,1.29,1.29,1.29,311442.91383,401761.3588407
2026-05-01 15:30:00,1.29,1.29,1.29,1.29,311442.91383,401761.3588407
2026-05-01 15:45:00,1.3,1.3,1.3,1.3,3846.92307692,5001.0
2026-05-01 16:00:00,1.3,1.3,1.3,1.3,7692.3076923,9999.99999999
2026-05-01 17:15:00,1.29,1.29,1.29,1.29,776744.18604651,1002000.0
2026-05-01 17:30:00,1.3,1.3,1.29,1.3,104619.64694978,135890.1518674
2026-05-01 18:00:00,1.3,1.3,1.3,1.3,42246.56902318,54920.53973013
2026-05-01 19:00:00,1.29,1.3,1.29,1.29,320742.999654,413966.93455193
2026-05-01 19:45:00,1.29,1.29,1.29,1.29,600541.3408285,774698.32966877
2026-05-01 20:30:00,1.29,1.29,1.29,1.29,800000.0,1032000.0
2026-05-01 20:45:00,1.29,1.29,1.29,1.29,172206.3025,222146.130225
2026-05-01 21:30:00,1.29,1.29,1.29,1.29,7518.79699248,9699.2481203
2026-05-01 21:45:00,1.3,1.3,1.29,1.29,6984176.932235,9010181.26583896
2026-05-01 22:45:00,1.29,1.29,1.29,1.29,312072.937375,402574.08921375
2026-05-01 23:00:00,1.3,1.31,1.29,1.31,6135137.63619052,7971887.0557938
2026-05-01 23:15:00,1.3,1.31,1.3,1.3,376227.58899027,489133.4465697
2026-05-01 23:45:00,1.3,1.31,1.3,1.3,773047.56312389,1004999.99999999
2026-05-02 00:00:00,1.3,1.3,1.3,1.3,7692.3076923,9999.99999999
2026-05-02 00:45:00,1.31,1.31,1.29,1.29,75513.21475451,97529.93907695
2026-05-02 01:00:00,1.31,1.31,1.29,1.31,132366.09898606,171409.95597774
2026-05-02 01:15:00,1.3,1.3,1.29,1.29,608842.07057424,785473.74240277
2026-05-02 01:30:00,1.31,1.31,1.31,1.31,3814.17910447,4996.57462686
2026-05-02 02:15:00,1.29,1.3,1.29,1.29,403957.12586,521197.49959017
2026-05-02 02:45:00,1.29,1.29,1.29,1.29,547905.077745,706797.55029105
2026-05-02 03:00:00,1.31,1.31,1.31,1.31,311706.76694656,408335.86469999
2026-05-02 03:30:00,1.29,1.29,1.29,1.29,470776.9737,607302.296073
2026-05-02 04:15:00,1.29,1.3,1.29,1.29,882636.845815,1138649.37810135
2026-05-02 04:45:00,1.3,1.3,1.3,1.3,59673.672,77575.7736
2026-05-02 05:00:00,1.3,1.3,1.3,1.3,388637.70769,505229.019997
2026-05-02 05:15:00,1.3,1.3,1.3,1.3,489670.31112,636571.404456
2026-05-02 05:45:00,1.3,1.3,1.3,1.3,315582.9769,410257.86997
2026-05-02 06:15:00,1.3,1.3,1.3,1.3,263390.9769,342408.26997
2026-05-02 06:45:00,1.3,1.3,1.3,1.3,618999.9769,804699.96997
2026-05-02 07:00:00,1.3,1.3,1.3,1.3,3200544.1861823,4160707.44203699
2026-05-02 07:45:00,1.3,1.3,1.3,1.3,10000.0,13000.0
2026-05-02 08:15:00,1.31,1.31,1.31,1.31,3816.79389313,5000.0
2026-05-02 08:45:00,1.31,1.31,1.31,1.31,17633.58778625,23099.99999999
2026-05-02 09:00:00,1.31,1.31,1.29,1.3,1177525.44987051,1537833.02981792
2026-05-02 09:15:00,1.3,1.3,1.3,1.3,472784.43797331,614619.7693653
2026-05-02 09:30:00,1.3,1.3,1.29,1.29,2852867.86970898,3689235.49283228
2026-05-02 09:45:00,1.29,1.29,1.29,1.29,396410.81714781,511369.95412067
2026-05-02 10:00:00,1.3,1.3,1.29,1.29,3412876.92925585,4404543.33489389
2026-05-02 10:30:00,1.3,1.3,1.3,1.3,3846.15384616,5000.00000001
2026-05-02 10:45:00,1.3,1.3,1.29,1.29,754835.38461538,975295.59999999
2026-05-02 11:45:00,1.3,1.3,1.3,1.3,28346.59593279,36850.57471263
2026-05-02 12:00:00,1.3,1.3,1.3,1.3,61460.92307692,79899.2
2026-05-02 12:30:00,1.29,1.29,1.29,1.29,10696.92426514,13799.03230203
2026-05-02 12:45:00,1.29,1.3,1.29,1.3,3388991.26459677,4382225.1333855
2026-05-02 13:00:00,1.29,1.29,1.29,1.29,4000.0,5160.0
2026-05-02 13:15:00,1.3,1.3,1.3,1.3,334617.12051665,435002.25667165
2026-05-02 13:30:00,1.3,1.3,1.3,1.3,6000.0,7800.0
2026-05-02 13:45:00,1.3,1.3,1.3,1.3,817512.30769229,1062765.99999998
2026-05-02 14:45:00,1.3,1.3,1.3,1.3,4615.38461538,5999.99999999
2026-05-02 15:30:00,1.3,1.3,1.3,1.3,23377.07692307,30390.19999999
2026-05-02 16:15:00,1.3,1.3,1.3,1.3,399799.99999999,519739.99999999
2026-05-02 17:00:00,1.29,1.31,1.29,1.29,9728031.78634341,12643242.87691428
