,open,high,low,close,volume,value
2026-05-16 17:30:00,206.0,206.0,203.0,205.0,206444.14103654,42328523.00690105
2026-05-16 17:45:00,205.0,206.0,204.0,204.0,67387.38073337,13766142.14963948
2026-05-16 18:00:00,205.0,205.0,202.0,203.0,281512.44072636,57167941.79110375
2026-05-16 18:15:00,203.0,204.0,201.0,202.0,326393.01726649,65861724.40245015
2026-05-16 18:30:00,202.0,203.0,200.0,201.0,440733.80851939,88661805.21607637
2026-05-16 18:45:00,202.0,202.0,200.0,202.0,632424.88349089,126708917.74922454
2026-05-16 19:00:00,202.0,202.0,199.0,199.0,494618.99890669,99214800.08967473
2026-05-16 19:15:00,200.0,200.0,198.0,200.0,542777.89307249,108071046.72104315
2026-05-16 19:30:00,201.0,202.0,201.0,201.0,71375.45970211,14348759.57871302
2026-05-16 19:45:00,202.0,202.0,200.0,200.0,77023.22111939,15459351.70589579
2026-05-16 20:00:00,200.0,203.0,199.0,203.0,428684.8276661,86422609.94973353
2026-05-16 20:15:00,204.0,205.0,202.0,204.0,119309.25157737,24206238.68496799
2026-05-16 20:30:00,203.0,205.0,202.0,204.0,191622.58920227,39023919.37659778
2026-05-16 20:45:00,203.0,204.0,202.0,203.0,138426.03501749,28037805.41707372
2026-05-16 21:00:00,202.0,205.0,202.0,204.0,123314.12982033,25139523.85410106
2026-05-16 21:15:00,202.0,204.0,202.0,202.0,59225.81374423,11974275.01133611
2026-05-16 21:30:00,203.0,204.0,202.0,203.0,103607.26799565,21072037.62065338
2026-05-16 21:45:00,204.0,206.0,204.0,204.0,199489.93555845,40854088.63438282
2026-05-16 22:00:00,205.0,205.0,203.0,203.0,25903.9678123,5279749.89907677
2026-05-16 22:15:00,205.0,205.0,203.0,204.0,93832.57430743,19130230.4427331
2026-05-16 22:30:00,204.0,205.0,203.0,203.0,67768.84099062,13841983.98451694
2026-05-16 22:45:00,204.0,204.0,202.0,202.0,114722.67633607,23262773.99309912
2026-05-16 23:00:00,203.0,206.0,202.0,205.0,107428.53029226,21932514.86330703
2026-05-16 23:15:00,205.0,208.0,204.0,207.0,423648.06679734,87102594.94117755
2026-05-16 23:30:00,207.0,209.0,206.0,207.0,125004.97697425,25939515.10635011
2026-05-16 23:45:00,207.0,208.0,206.0,207.0,50418.91986523,10416633.29289605
2026-05-17 00:00:00,208.0,208.0,206.0,206.0,7995.69150206,1660044.69988564
2026-05-17 00:15:00,207.0,207.0,206.0,207.0,76426.42991626,15812126.5886178
2026-05-17 00:30:00,207.0,210.0,207.0,210.0,368889.68978445,76998387.27460612
2026-05-17 00:45:00,210.0,210.0,207.0,209.0,121513.80035882,25370835.03273612
2026-05-17 01:00:00,209.0,215.0,209.0,213.0,261746.15743482,55674563.24363638
2026-05-17 01:15:00,213.0,218.0,211.0,217.0,1122557.78230148,242646632.6437995
2026-05-17 01:30:00,218.0,219.0,213.0,213.0,173223.89677242,37461568.45692304
2026-05-17 01:45:00,212.0,215.0,211.0,211.0,120005.05072414,25530691.16261503
2026-05-17 02:00:00,211.0,212.0,209.0,209.0,170202.43040965,35684719.35621261
2026-05-17 02:15:00,210.0,213.0,210.0,213.0,16658.70627814,3540216.21175939
2026-05-17 02:30:00,213.0,213.0,212.0,212.0,50610.71467789,10762275.03609083
2026-05-17 02:45:00,212.0,212.0,212.0,212.0,8410.08838034,1782938.73663208
2026-05-17 03:00:00,212.0,212.0,212.0,212.0,2495.56046511,529058.81860332
2026-05-17 03:15:00,213.0,214.0,209.0,209.0,99422.18992417,21154956.28908028
2026-05-17 03:30:00,209.0,209.0,208.0,208.0,21496.0307103,4485623.66677038
2026-05-17 03:45:00,209.0,210.0,209.0,209.0,7233.32768637,1513479.77216561
2026-05-17 04:00:00,209.0,209.0,207.0,208.0,43312.53714676,8983771.56426402
2026-05-17 04:15:00,209.0,209.0,209.0,209.0,5200.0,1086800.0
2026-05-17 04:30:00,208.0,214.0,208.0,214.0,40067.84483777,8434113.94315519
2026-05-17 04:45:00,213.0,213.0,210.0,211.0,9229.97016109,1953655.56339135
