,open,high,low,close,volume,value
2026-05-15 11:15:00,1482.0,1483.0,1482.0,1482.0,2077.70820802,3080848.49390444
2026-05-15 11:30:00,1482.0,1482.0,1482.0,1482.0,11479.72737919,17012955.97595958
2026-05-15 11:45:00,1482.0,1483.0,1478.0,1481.0,35816.89475708,52975402.49771946
2026-05-15 12:00:00,1479.0,1481.0,1479.0,1481.0,5622.77370037,8316194.60985063
2026-05-15 12:15:00,1479.0,1481.0,1479.0,1481.0,181.27609776,268114.1007815
2026-05-15 12:30:00,1481.0,1482.0,1479.0,1479.0,5840.68940377,8649441.96217724
2026-05-15 12:45:00,1482.0,1482.0,1482.0,1482.0,1348.85323869,1999000.49973858
2026-05-15 13:00:00,1481.0,1481.0,1479.0,1479.0,711.91302224,1053338.05957906
2026-05-15 13:15:00,1481.0,1481.0,1479.0,1481.0,2097.09765436,3104919.28831986
2026-05-15 13:30:00,1481.0,1481.0,1481.0,1481.0,1083.97919376,1605373.18595856
2026-05-15 13:45:00,1481.0,1481.0,1481.0,1481.0,1088.78575288,1612491.70001528
2026-05-15 14:00:00,1481.0,1482.0,1480.0,1480.0,35844.33638314,53085552.7205018
2026-05-15 14:15:00,1480.0,1480.0,1479.0,1479.0,2716.04837413,4019057.9323004
2026-05-15 14:30:00,1480.0,1484.0,1480.0,1482.0,39809.84643866,58981006.10765633
2026-05-15 14:45:00,1482.0,1484.0,1481.0,1482.0,10766.48295614,15976130.86781592
2026-05-15 15:00:00,1482.0,1485.0,1481.0,1481.0,1609.12901241,2385755.50674871
2026-05-15 15:15:00,1481.0,1484.0,1481.0,1481.0,220.22603752,326282.77563579
2026-05-15 15:30:00,1481.0,1484.0,1481.0,1481.0,1291.34765649,1912684.44285575
2026-05-15 15:45:00,1482.0,1484.0,1480.0,1481.0,31994.19135541,47386110.26854844
2026-05-15 16:00:00,1481.0,1484.0,1480.0,1482.0,834.54809672,1236977.70735486
2026-05-15 16:15:00,1482.0,1482.0,1480.0,1481.0,4106.68227339,6080013.68641781
2026-05-15 16:30:00,1480.0,1483.0,1480.0,1483.0,1245.97351723,1846268.69630829
2026-05-15 16:45:00,1481.0,1483.0,1481.0,1483.0,2165.09045674,3206633.82819862
2026-05-15 17:00:00,1481.0,1482.0,1481.0,1481.0,587.88934027,870674.11293987
2026-05-15 17:15:00,1483.0,1484.0,1482.0,1484.0,9669.56602769,14341980.69890441
2026-05-15 17:30:00,1484.0,1485.0,1481.0,1481.0,2788.96527563,4133271.1678552
2026-05-15 17:45:00,1481.0,1481.0,1481.0,1481.0,70.0,103670.0
2026-05-15 18:00:00,1483.0,1484.0,1481.0,1481.0,3636.0389881,5389913.62327564
2026-05-15 18:30:00,1484.0,1485.0,1482.0,1485.0,6854.71270597,10176480.09847398
2026-05-15 18:45:00,1483.0,1483.0,1483.0,1483.0,76.88945216,114027.05755328
2026-05-15 19:00:00,1483.0,1485.0,1483.0,1484.0,5750.08840024,8533067.05245388
2026-05-15 19:15:00,1484.0,1484.0,1482.0,1482.0,18755.13722045,27818258.8749201
2026-05-15 19:30:00,1482.0,1483.0,1482.0,1482.0,15747.25674142,23337441.16647558
2026-05-15 19:45:00,1482.0,1483.0,1481.0,1483.0,31654.71013498,46910905.07478797
2026-05-15 20:00:00,1481.0,1481.0,1481.0,1481.0,1748.01596939,2588811.65066659
2026-05-15 20:15:00,1480.0,1484.0,1480.0,1484.0,1541.80714161,2281888.11012332
2026-05-15 20:30:00,1481.0,1484.0,1480.0,1481.0,1951.72988106,2890663.28734012
2026-05-15 20:45:00,1484.0,1484.0,1484.0,1484.0,1691.87668463,2510744.99999092
2026-05-15 21:00:00,1484.0,1485.0,1482.0,1485.0,4419.98429023,6559681.96676031
2026-05-15 21:15:00,1485.0,1485.0,1483.0,1483.0,2412.88244766,3580717.55232744
2026-05-15 21:30:00,1483.0,1485.0,1483.0,1485.0,340.61892185,505299.41665909
2026-05-15 21:45:00,1485.0,1485.0,1485.0,1485.0,1419.89231824,2108540.0925864
2026-05-15 22:00:00,1485.0,1485.0,1483.0,1484.0,10461.76602927,15535333.28417883
2026-05-15 22:15:00,1484.0,1485.0,1484.0,1484.0,1441.90157427,2140497.69329229
2026-05-15 22:30:00,1485.0,1488.0,1484.0,1486.0,16197.61136868,24078902.24758548
2026-05-15 22:45:00,1486.0,1489.0,1486.0,1487.0,175555.48074049,261302862.83275643
2026-05-15 23:00:00,1489.0,1490.0,1487.0,1487.0,6879.1902841,10246232.29922176
2026-05-15 23:15:00,1487.0,1488.0,1487.0,1487.0,1437.77871571,2137986.95026077
2026-05-15 23:30:00,1486.0,1489.0,1486.0,1489.0,1665.06333634,2476680.03309595
2026-05-15 23:45:00,1489.0,1489.0,1487.0,1487.0,2993.26002155,4453710.81297694
2026-05-16 00:00:00,1487.0,1489.0,1487.0,1487.0,3927.56791576,5843818.99865101
2026-05-16 00:15:00,1488.0,1489.0,1488.0,1489.0,2745.31032021,4087151.67579248
2026-05-16 00:30:00,1489.0,1490.0,1488.0,1490.0,2840.02703224,4226764.73217427
2026-05-16 00:45:00,1490.0,1490.0,1488.0,1488.0,109.82753246,163563.36830048
2026-05-16 01:00:00,1488.0,1490.0,1488.0,1489.0,2732.58246047,4068904.09228258
2026-05-16 01:15:00,1489.0,1489.0,1487.0,1489.0,5996.1288187,8925261.75501612
2026-05-16 01:30:00,1489.0,1490.0,1487.0,1488.0,2366.1910316,3519730.52375634
2026-05-16 02:00:00,1488.0,1489.0,1486.0,1487.0,4004.85760445,5954194.43598559
2026-05-16 02:15:00,1487.0,1487.0,1486.0,1486.0,2341.58092776,3480626.95569111
2026-05-16 02:30:00,1488.0,1488.0,1487.0,1487.0,291.49400864,433498.61034868
2026-05-16 02:45:00,1489.0,1489.0,1487.0,1487.0,5015.34505517,7458475.27147273
2026-05-16 03:15:00,1487.0,1489.0,1487.0,1489.0,163.93338755,244037.94526935
2026-05-16 03:45:00,1489.0,1489.0,1489.0,1489.0,20.14775016,29999.99998824
2026-05-16 04:00:00,1489.0,1489.0,1489.0,1489.0,63.71422389,94870.47937221
2026-05-16 04:15:00,1489.0,1489.0,1488.0,1489.0,12555.36071228,18683153.47190755
2026-05-16 04:30:00,1489.0,1489.0,1489.0,1489.0,1842.58092679,2743602.99999031
2026-05-16 04:45:00,1489.0,1489.0,1489.0,1489.0,1387.21289455,2065559.99998495
2026-05-16 05:00:00,1489.0,1489.0,1489.0,1489.0,6203.85720256,9237543.37461184
2026-05-16 05:15:00,1489.0,1489.0,1489.0,1489.0,131.40463479,195661.50120231
2026-05-16 05:30:00,1487.0,1490.0,1487.0,1487.0,680.65342102,1013144.94264212
2026-05-16 05:45:00,1489.0,1490.0,1489.0,1489.0,1054.00536912,1569897.9999888
2026-05-16 06:00:00,1489.0,1489.0,1489.0,1489.0,227.62869223,338939.12273047
2026-05-16 06:15:00,1488.0,1489.0,1488.0,1489.0,12035.49277957,17920841.99897033
2026-05-16 06:30:00,1489.0,1490.0,1488.0,1490.0,13431.51765876,19999648.75664556
2026-05-16 06:45:00,1489.0,1489.0,1487.0,1487.0,7894.94497261,11753806.92586841
2026-05-16 07:15:00,1489.0,1489.0,1489.0,1489.0,674.12273881,1003768.75808809
2026-05-16 07:30:00,1487.0,1489.0,1487.0,1488.0,10646.70654338,15834426.19093035
2026-05-16 07:45:00,1487.0,1489.0,1487.0,1489.0,11976.06591034,17832261.4152104
2026-05-16 08:00:00,1489.0,1490.0,1488.0,1490.0,9003.86206531,13406523.1921998
2026-05-16 08:15:00,1488.0,1488.0,1488.0,1488.0,83.28125185,123922.5027528
2026-05-16 08:30:00,1489.0,1489.0,1488.0,1488.0,1957.62998734,2914905.00976026
