,open,high,low,close,volume,value
2026-03-31 13:00:00,1528.0,1528.0,1525.0,1525.0,816405.45881152,1246340999.3949473
2026-03-31 13:15:00,1525.0,1526.0,1525.0,1526.0,147972.57910224,225703301.9385142
2026-03-31 13:30:00,1526.0,1527.0,1525.0,1525.0,137847.11767367,210272410.4772608
2026-03-31 13:45:00,1526.0,1526.0,1525.0,1525.0,60548.28343267,92342857.79339796
2026-03-31 14:00:00,1525.0,1526.0,1525.0,1526.0,32959.37141298,50281626.10047573
2026-03-31 14:15:00,1525.0,1526.0,1523.0,1525.0,40550.62574676,61831646.59514778
2026-03-31 14:30:00,1525.0,1525.0,1524.0,1525.0,15751.41286515,24019315.89187634
2026-03-31 14:45:00,1525.0,1525.0,1523.0,1525.0,27729.55760962,42275200.16267038
2026-03-31 15:00:00,1524.0,1525.0,1521.0,1521.0,20665.72146868,31464816.4169149
2026-03-31 15:15:00,1521.0,1526.0,1519.0,1524.0,48229.40185979,73374908.83018021
2026-03-31 15:30:00,1522.0,1524.0,1522.0,1522.0,21529.4392879,32771368.96101317
2026-03-31 15:45:00,1522.0,1523.0,1522.0,1523.0,11965.91073369,18215172.28032526
2026-03-31 16:00:00,1523.0,1524.0,1522.0,1522.0,13717.74663347,20894816.75337194
2026-03-31 16:15:00,1522.0,1523.0,1522.0,1522.0,12137.82863723,18474305.93850421
2026-03-31 16:30:00,1523.0,1524.0,1522.0,1524.0,11087.64262651,16884578.46590331
2026-03-31 16:45:00,1524.0,1524.0,1522.0,1524.0,30260.50645964,46104296.59839421
2026-03-31 17:00:00,1524.0,1524.0,1522.0,1523.0,9337.11357394,14219235.66055964
2026-03-31 17:15:00,1523.0,1524.0,1522.0,1522.0,56225.5524918,85638840.33907478
2026-03-31 17:30:00,1524.0,2012.0,1524.0,1757.0,3762714.31307153,6611192158.31135
2026-03-31 17:45:00,1774.0,1927.0,1525.0,1527.0,6910557.28679716,11455641692.234077
2026-03-31 18:00:00,1527.0,1530.0,1525.0,1530.0,944959.68270353,1442895688.1308243
2026-03-31 18:15:00,1530.0,1530.0,1519.0,1524.0,1188355.8961485,1810091483.1849127
2026-03-31 18:30:00,1524.0,1528.0,1522.0,1527.0,405660.24256401,618680349.8091927
2026-03-31 18:45:00,1527.0,1527.0,1523.0,1526.0,224479.98514988,342290866.89963806
2026-03-31 19:00:00,1526.0,1531.0,1525.0,1531.0,260707.15958246,398457733.80516416
2026-03-31 19:15:00,1531.0,1534.0,1526.0,1532.0,330029.69409071,505024480.2264495
2026-03-31 19:30:00,1532.0,1532.0,1526.0,1532.0,248686.12618455,380145102.98166645
2026-03-31 19:45:00,1532.0,1534.0,1528.0,1530.0,189371.48283785,289803528.5473475
2026-03-31 20:00:00,1530.0,1546.0,1528.0,1530.0,722511.87609734,1107394805.3634915
2026-03-31 20:15:00,1529.0,1532.0,1524.0,1524.0,339512.32885216,518006176.3607288
2026-03-31 20:30:00,1525.0,1526.0,1522.0,1523.0,252961.93396933,385174372.5357333
2026-03-31 20:45:00,1522.0,1526.0,1522.0,1525.0,131637.20736134,200531794.649007
2026-03-31 21:00:00,1525.0,1526.0,1522.0,1524.0,122050.29287671,185878555.4371057
2026-03-31 21:15:00,1523.0,1525.0,1522.0,1524.0,68463.05973727,104277917.81468621
2026-03-31 21:30:00,1525.0,1525.0,1520.0,1521.0,193557.71082127,294462059.62746483
2026-03-31 21:45:00,1521.0,1521.0,1515.0,1520.0,241717.40952702,367033580.4437953
2026-03-31 22:00:00,1520.0,1524.0,1518.0,1521.0,93349.43931512,141849555.477264
2026-03-31 22:15:00,1521.0,1525.0,1519.0,1523.0,187346.70991451,285184070.28092474
2026-03-31 22:30:00,1523.0,1525.0,1523.0,1523.0,148407.44321618,226074692.59954515
2026-03-31 22:45:00,1523.0,1525.0,1523.0,1524.0,88122.10320117,134263411.54938936
2026-03-31 23:00:00,1524.0,1524.0,1523.0,1524.0,173135.27926783,263698161.9401178
2026-03-31 23:15:00,1524.0,1524.0,1522.0,1523.0,195410.58366941,297630521.64533216
2026-03-31 23:30:00,1522.0,1524.0,1519.0,1521.0,69684.88379513,105942754.48469968
2026-03-31 23:45:00,1521.0,1524.0,1520.0,1521.0,55601.36348093,84552192.36354236
2026-04-01 00:00:00,1521.0,1524.0,1521.0,1522.0,52833.15878706,80412490.08906183
2026-04-01 00:15:00,1522.0,1523.0,1520.0,1521.0,20832.80653285,31692220.0137559
2026-04-01 00:30:00,1520.0,1523.0,1520.0,1521.0,20549.2732054,31248889.48152592
2026-04-01 00:45:00,1521.0,1521.0,1520.0,1520.0,19197.13283728,29183837.73383813
2026-04-01 01:00:00,1521.0,1524.0,1521.0,1524.0,21018.33923293,31994591.30260012
2026-04-01 01:15:00,1520.0,1523.0,1520.0,1523.0,9994.63496828,15193886.65889648
2026-04-01 01:30:00,1524.0,1524.0,1521.0,1521.0,24680.20472413,37545099.6606462
2026-04-01 01:45:00,1523.0,1523.0,1517.0,1519.0,41234.09740215,62663391.27429909
2026-04-01 02:00:00,1519.0,1519.0,1515.0,1518.0,44482.10090245,67526298.39397432
2026-04-01 02:15:00,1518.0,1518.0,1509.0,1509.0,112525.32661448,170265502.0705396
