,open,high,low,close,volume,value
2026-05-17 07:30:00,10.2,10.2,10.2,10.2,1630120.76296637,16627231.78225697
2026-05-17 07:45:00,10.2,10.3,10.1,10.2,631505.6326363,6443892.34832562
2026-05-17 08:00:00,10.2,10.2,10.2,10.2,119796.81732657,1221927.53673101
2026-05-17 08:15:00,10.2,10.3,10.2,10.2,168189.41747572,1728950.99999992
2026-05-17 08:30:00,10.2,10.3,10.2,10.3,3950.29555468,40590.00499752
2026-05-17 08:45:00,10.3,10.3,10.2,10.3,339269.59944603,3486124.07775324
2026-05-17 09:00:00,10.2,10.3,10.2,10.2,119017.33701552,1221843.00156368
2026-05-17 09:15:00,10.3,10.3,10.2,10.2,1469.99464069,15091.92519126
2026-05-17 09:30:00,10.2,10.3,10.2,10.2,2694999.87201905,27489194.62547502
2026-05-17 09:45:00,10.2,10.2,10.2,10.2,587452.91197535,5992019.70214857
2026-05-17 10:00:00,10.2,10.2,10.2,10.2,302753.92205856,3088090.00499731
2026-05-17 10:15:00,10.1,10.2,10.1,10.2,255187.17362903,2602291.98796693
2026-05-17 10:30:00,10.2,10.2,10.2,10.2,595315.44531652,6072217.5422285
2026-05-17 10:45:00,10.2,10.2,10.2,10.2,237244.19015979,2419890.73962986
2026-05-17 11:00:00,10.1,10.2,10.1,10.1,287712.31250857,2910992.39555224
2026-05-17 11:15:00,10.1,10.2,10.1,10.2,11708.24500096,118335.96078421
2026-05-17 11:30:00,10.2,10.2,10.1,10.2,23171.53452032,234620.36158651
2026-05-17 11:45:00,10.2,10.2,10.1,10.1,249494.3279871,2522408.64587958
2026-05-17 12:00:00,10.1,10.2,10.1,10.2,1150663.98158243,11723946.45729961
2026-05-17 12:15:00,10.2,10.2,10.2,10.2,382782.53030344,3904381.80909509
2026-05-17 12:30:00,10.2,10.2,10.2,10.2,139092.31658678,1418741.62918516
2026-05-17 12:45:00,10.2,10.2,10.2,10.2,527723.96686672,5382784.46204054
2026-05-17 13:00:00,10.2,10.2,10.2,10.2,1960.78431372,19999.99999994
2026-05-17 13:15:00,10.2,10.3,10.2,10.3,479747.00273469,4895167.00070937
2026-05-17 13:30:00,10.3,10.3,10.2,10.2,254637.62196569,2622507.50624661
2026-05-17 13:45:00,10.2,10.3,10.2,10.3,530492.28849176,5447769.33269858
2026-05-17 14:00:00,10.3,10.3,10.2,10.2,358420.88721211,3674890.76207193
2026-05-17 14:15:00,10.2,10.3,10.2,10.2,1213140.73220442,12374235.46848508
2026-05-17 14:30:00,10.3,10.3,10.2,10.2,31411.76470589,320600.00000008
2026-05-17 14:45:00,10.2,10.3,10.2,10.3,2085853.31448703,21277841.67233057
2026-05-17 15:00:00,10.3,10.3,10.3,10.3,100711.35051191,1037326.91027267
2026-05-17 15:15:00,10.2,10.3,10.2,10.2,1866619.46957587,19039615.67705251
2026-05-17 15:30:00,10.2,10.3,10.2,10.2,759001.01760088,7751558.03486636
2026-05-17 15:45:00,10.3,10.3,10.2,10.2,530310.7099652,5409460.50378096
2026-05-17 16:00:00,10.3,10.3,10.2,10.2,1017295.41657118,10376607.42378332
2026-05-17 16:15:00,10.2,10.3,10.1,10.2,208369.51364355,2125465.11759558
2026-05-17 16:30:00,10.2,10.2,10.2,10.2,382178.26823593,3898218.33600649
2026-05-17 16:45:00,10.2,10.2,10.2,10.2,1428.57142857,14571.42857141
2026-05-17 17:00:00,10.2,10.3,10.2,10.3,670686.2828497,6841194.25982422
2026-05-17 17:15:00,10.2,10.3,10.1,10.2,3261705.28747101,33269239.25628396
2026-05-17 17:30:00,10.2,10.2,10.2,10.2,92288.59589813,941343.67816093
2026-05-17 17:45:00,10.2,10.3,10.2,10.3,83033.50466399,851116.50485425
2026-05-17 18:00:00,10.2,10.2,10.2,10.2,741246.6911642,7560716.24987484
2026-05-17 18:15:00,10.2,10.2,10.2,10.2,651791.51938733,6648273.49775077
2026-05-17 18:30:00,10.2,10.2,10.2,10.2,1558677.81795375,15898513.74312825
2026-05-17 18:45:00,10.1,10.2,10.1,10.2,3818823.49077544,38935655.96523754
2026-05-17 19:00:00,10.2,10.3,10.1,10.3,621610.24476515,6320718.09216641
2026-05-17 19:15:00,10.3,10.3,10.3,10.3,56534.22378616,582302.50499745
2026-05-17 19:30:00,10.3,10.3,10.2,10.2,298125.66438226,3041086.50000002
2026-05-17 19:45:00,10.2,10.3,10.2,10.3,1536348.21816546,15690353.62632892
2026-05-17 20:00:00,10.2,10.3,10.2,10.2,3636552.96982901,37104365.66549161
2026-05-17 20:15:00,10.2,10.2,10.2,10.2,1545681.64508429,15765952.77985976
2026-05-17 20:30:00,10.2,10.3,10.2,10.3,784341.36497231,8001529.92660106
2026-05-17 20:45:00,10.3,10.3,10.2,10.2,978801.90240586,9984779.40453977
2026-05-17 21:00:00,10.2,10.2,10.1,10.2,1743927.97890095,17780912.50011166
2026-05-17 21:15:00,10.2,10.2,10.2,10.2,1217816.81676602,12421731.5310134
2026-05-17 21:30:00,10.2,10.2,10.2,10.2,923736.94680532,9422116.85741426
2026-05-17 21:45:00,10.2,10.2,10.2,10.2,1932124.2969492,19707667.82888184
2026-05-17 22:00:00,10.2,10.2,10.2,10.2,626157.41149031,6386805.59720116
2026-05-17 22:15:00,10.2,10.2,10.2,10.2,228351.07446276,2329180.95952015
2026-05-17 22:30:00,10.2,10.2,10.2,10.2,291825.06785821,2976615.69215374
2026-05-17 22:45:00,10.2,10.2,10.1,10.2,92263.62120904,935901.06476995
2026-05-17 23:00:00,10.2,10.2,10.2,10.2,107745.14703431,1099000.49974996
2026-05-17 23:15:00,10.2,10.2,10.1,10.1,1293018.14963995,13060023.50744193
2026-05-17 23:30:00,10.2,10.2,10.2,10.2,28955.42424865,295345.32733623
2026-05-17 23:45:00,10.2,10.2,10.2,10.2,10294.21568626,105000.99999985
2026-05-18 00:00:00,10.1,10.2,10.1,10.1,3188723.87344076,32207640.53351638
2026-05-18 00:15:00,10.1,10.2,10.1,10.1,5130570.87644123,51819309.96970348
2026-05-18 00:30:00,10.1,10.2,10.1,10.2,983756.74073667,9936233.1886919
2026-05-18 00:45:00,10.2,10.2,10.2,10.2,11764.70588234,119999.99999987
2026-05-18 01:00:00,10.2,10.2,10.1,10.1,22250.78510712,226693.71389564
2026-05-18 01:30:00,10.1,10.1,10.1,10.1,626115.83116331,6323769.89474943
2026-05-18 01:45:00,10.2,10.2,10.0,10.0,6244623.84808476,63056831.59624176
2026-05-18 02:00:00,10.1,10.1,10.0,10.0,436120.05878244,4403983.80017862
2026-05-18 02:15:00,10.1,10.1,10.1,10.1,282403.26371467,2852272.96351817
2026-05-18 02:30:00,10.1,10.1,10.0,10.1,10571.42857142,106171.42857134
2026-05-18 02:45:00,10.1,10.1,10.1,10.1,36813.41324386,371815.47376299
2026-05-18 03:00:00,10.0,10.1,10.0,10.1,178408.86201334,1794037.64067758
2026-05-18 03:15:00,10.1,10.1,10.0,10.1,21664.77868372,218000.65317383
2026-05-18 03:30:00,10.1,10.1,10.0,10.0,113888.38778047,1145286.06285079
2026-05-18 03:45:00,10.0,10.0,10.0,10.0,196970.54016187,1969705.4016187
2026-05-18 04:00:00,10.0,10.1,10.0,10.0,5510.70750382,55239.69880058
2026-05-18 04:15:00,10.1,10.1,10.1,10.1,1673880.97066823,16906197.80374912
2026-05-18 04:30:00,10.1,10.1,10.1,10.1,236206.34569832,2385684.09155303
2026-05-18 04:45:00,10.1,10.1,10.1,10.1,990.0990099,9999.99999999
2026-05-18 05:00:00,10.1,10.2,10.1,10.2,487069.72693842,4919992.83013695
2026-05-18 05:15:00,10.1,10.1,10.1,10.1,17171.9,173436.19
2026-05-18 05:30:00,10.1,10.2,10.1,10.1,401515.36960448,4065737.64786154
2026-05-18 05:45:00,10.1,10.1,10.1,10.1,55588.9,561447.89
2026-05-18 06:00:00,10.1,10.2,10.1,10.2,29712.2232286,301181.17029513
