,open,high,low,close,volume,value
2026-05-18 06:45:00,1093.0,1097.0,1093.0,1094.0,64911.30435659,71055749.34531698
2026-05-18 07:00:00,1092.0,1092.0,1078.0,1082.0,169819.8946793,183373760.48116425
2026-05-18 07:15:00,1082.0,1083.0,1075.0,1078.0,35507.21311264,38305356.67560663
2026-05-18 07:30:00,1078.0,1082.0,1078.0,1080.0,27461.61371518,29686607.44181
2026-05-18 07:45:00,1079.0,1079.0,1074.0,1076.0,48640.85053944,52337303.11527003
2026-05-18 08:00:00,1077.0,1077.0,1072.0,1072.0,61298.30304964,65811820.26760666
2026-05-18 08:15:00,1071.0,1072.0,1065.0,1069.0,71345.50098027,76243765.21263316
2026-05-18 08:30:00,1069.0,1069.0,1012.0,1035.0,799905.55562397,831473940.6276083
2026-05-18 08:45:00,1036.0,1050.0,1033.0,1046.0,173066.3942061,179739145.31465012
2026-05-18 09:00:00,1048.0,1048.0,1029.0,1036.0,270452.51097505,280857264.6717876
2026-05-18 09:15:00,1040.0,1043.0,1036.0,1037.0,111661.50516992,115961060.8723565
2026-05-18 09:30:00,1038.0,1040.0,1034.0,1038.0,64927.23137518,67311176.93174332
2026-05-18 09:45:00,1038.0,1043.0,1037.0,1043.0,29291.89885722,30467485.75692208
2026-05-18 10:00:00,1043.0,1048.0,1043.0,1043.0,146461.22536162,153160779.6411766
2026-05-18 10:15:00,1043.0,1043.0,1034.0,1035.0,92007.45330667,95580430.87611973
2026-05-18 10:30:00,1035.0,1037.0,1032.0,1032.0,109664.08145656,113364917.23016077
2026-05-18 10:45:00,1032.0,1043.0,1031.0,1042.0,74492.6648609,77207847.46825115
2026-05-18 11:00:00,1042.0,1048.0,1041.0,1047.0,44654.03479122,46658279.33102468
2026-05-18 11:15:00,1047.0,1047.0,1042.0,1047.0,36323.30492852,37926263.7735371
2026-05-18 11:30:00,1045.0,1048.0,1044.0,1045.0,30913.60604272,32343142.80367179
2026-05-18 11:45:00,1046.0,1048.0,1042.0,1045.0,29808.23035504,31162863.53980844
2026-05-18 12:00:00,1045.0,1052.0,1045.0,1048.0,24801.76311264,26008811.12115706
2026-05-18 12:15:00,1047.0,1048.0,1041.0,1044.0,69133.30702244,72193253.67953943
2026-05-18 12:30:00,1044.0,1044.0,1040.0,1044.0,59201.48599055,61668938.53554153
2026-05-18 12:45:00,1044.0,1044.0,1041.0,1042.0,24067.88115172,25093824.22165808
2026-05-18 13:00:00,1043.0,1047.0,1043.0,1047.0,16809.36359062,17564637.69582235
2026-05-18 13:15:00,1046.0,1048.0,1041.0,1042.0,14100.67490166,14688991.76397308
2026-05-18 13:30:00,1042.0,1051.0,1042.0,1051.0,35215.20658933,36826962.98397725
2026-05-18 13:45:00,1051.0,1053.0,1049.0,1053.0,42414.26722512,44605800.67785548
2026-05-18 14:00:00,1053.0,1054.0,1050.0,1050.0,26727.24206374,28103081.88897066
