,open,high,low,close,volume,value
2026-05-12 12:30:00,0.91,0.911,0.91,0.911,1218322.50735205,1109227.74203132
2026-05-12 12:45:00,0.911,0.911,0.909,0.909,2470240.48152782,2246239.38017706
2026-05-12 13:00:00,0.908,0.909,0.907,0.907,135242.26815717,122807.88645365
2026-05-12 13:15:00,0.91,0.91,0.907,0.91,591050.52777113,537786.94586942
2026-05-12 13:30:00,0.908,0.908,0.908,0.908,4016241.59004169,3646747.36375785
2026-05-12 13:45:00,0.908,0.908,0.908,0.908,143332.56746701,130145.97126005
2026-05-12 14:00:00,0.909,0.909,0.907,0.907,1131221.71945701,1026042.06664337
2026-05-12 14:15:00,0.909,0.909,0.907,0.907,588682.78609645,533961.41096948
2026-05-12 14:30:00,0.907,0.909,0.907,0.909,102436.48951601,93001.67016969
2026-05-12 14:45:00,0.909,0.909,0.909,0.909,573268.00000054,521100.61200049
2026-05-12 15:00:00,0.908,0.909,0.908,0.909,933056.73637686,847801.81636703
2026-05-12 15:15:00,0.909,0.91,0.909,0.91,2410646.91243229,2191387.93351084
2026-05-12 15:30:00,0.908,0.909,0.908,0.909,601202.27294042,545897.4740299
2026-05-12 15:45:00,0.908,0.909,0.908,0.909,219859.00092962,199664.97614442
2026-05-12 16:00:00,0.908,0.908,0.903,0.907,13599653.06006869,12316007.97024415
2026-05-12 16:15:00,0.907,0.909,0.907,0.909,678480.77198745,616513.24525511
2026-05-12 16:30:00,0.91,0.911,0.908,0.908,1534129.07049206,1393657.04773716
2026-05-12 16:45:00,0.908,0.911,0.906,0.911,3498788.36359917,3183746.69769296
2026-05-12 17:00:00,0.909,0.909,0.905,0.906,575751.07048473,523001.71523088
2026-05-12 17:15:00,0.905,0.906,0.905,0.906,127219.0091336,115140.92953522
2026-05-12 17:30:00,0.906,0.906,0.906,0.906,542273.73068433,491300.0
2026-05-12 17:45:00,0.908,0.908,0.906,0.906,930285.43129413,842894.66242649
2026-05-12 18:00:00,0.907,0.907,0.904,0.904,5680213.08168437,5140881.74502779
2026-05-12 18:15:00,0.904,0.904,0.903,0.904,3964933.61353758,3581941.20574084
2026-05-12 18:30:00,0.904,0.907,0.904,0.907,2807998.00375181,2538760.95614136
2026-05-12 18:45:00,0.907,0.907,0.907,0.907,11025.35832414,9999.99999999
2026-05-12 19:00:00,0.907,0.907,0.907,0.907,5513.7816979,5001.0
2026-05-12 19:15:00,0.907,0.907,0.907,0.907,1179131.64739252,1069472.40418502
2026-05-12 19:30:00,0.904,0.904,0.9,0.9,6928487.75148872,6240522.50512009
2026-05-12 19:45:00,0.9,0.9,0.898,0.898,16401498.70280825,14731615.81323731
2026-05-12 20:00:00,0.9,0.9,0.898,0.899,5445238.20262022,4890540.90997818
2026-05-12 20:15:00,0.898,0.898,0.892,0.892,3906229.69329528,3491954.91024743
2026-05-12 20:30:00,0.892,0.892,0.892,0.892,8985597.49137597,8015152.96230737
2026-05-12 20:45:00,0.895,0.895,0.895,0.895,11387.49873889,10191.81137131
2026-05-12 21:00:00,0.895,0.895,0.893,0.893,2486871.52281388,2224937.06312544
2026-05-12 21:30:00,0.896,0.9,0.894,0.899,2690875.32581055,2410194.55926816
2026-05-12 21:45:00,0.898,0.899,0.895,0.895,619533.08839147,554759.89624623
2026-05-12 22:00:00,0.9,0.901,0.9,0.9,3135588.74499872,2822050.96927798
2026-05-12 22:15:00,0.897,0.901,0.897,0.897,3027092.3117578,2715896.11856571
2026-05-12 22:30:00,0.897,0.898,0.897,0.898,972766.93619928,873512.02901341
2026-05-12 22:45:00,0.898,0.9,0.894,0.894,2259161.48632842,2025330.25671139
2026-05-12 23:00:00,0.894,0.894,0.89,0.892,8340527.66748143,7439561.31659307
2026-05-12 23:15:00,0.893,0.894,0.89,0.89,1812802.80600429,1615531.36576916
2026-05-12 23:30:00,0.889,0.889,0.885,0.889,21990599.56411701,19526471.3174023
2026-05-12 23:45:00,0.89,0.89,0.886,0.886,4492357.62567378,3980314.72874697
2026-05-13 00:00:00,0.891,0.891,0.887,0.887,122510.02627224,108756.43340857
