,open,high,low,close,volume,value
2026-05-17 01:15:00,607.0,607.0,607.0,607.0,16.47446457,9999.99999399
2026-05-17 01:45:00,606.0,606.0,606.0,606.0,660.0660066,399999.9999996
2026-05-17 02:00:00,605.0,605.0,605.0,605.0,2310.94864531,1398123.93041255
2026-05-17 02:30:00,606.0,606.0,606.0,606.0,163.73432343,99222.99999858
2026-05-17 02:45:00,606.0,606.0,606.0,606.0,3817.3575178,2313318.6557868
2026-05-17 03:15:00,606.0,607.0,606.0,607.0,1615.07248764,979348.99999748
2026-05-17 03:30:00,606.0,606.0,606.0,606.0,961.36468657,582587.00006142
2026-05-17 04:45:00,607.0,608.0,607.0,608.0,8845.79880235,5374369.6295275
2026-05-17 05:00:00,608.0,608.0,606.0,606.0,2290.26018978,1388071.23109214
2026-05-17 05:15:00,606.0,606.0,606.0,606.0,1052.087,637564.722
2026-05-17 05:30:00,606.0,606.0,606.0,606.0,227.76062876,138022.94102856
2026-05-17 05:45:00,606.0,608.0,606.0,608.0,46.83370819,28414.12189998
2026-05-17 06:00:00,606.0,606.0,605.0,605.0,787.55028323,476846.50332588
2026-05-17 06:15:00,608.0,608.0,608.0,608.0,24.67269736,15000.99999488
2026-05-17 06:45:00,608.0,608.0,607.0,607.0,3585.80324723,2177961.10055386
2026-05-17 07:00:00,607.0,607.0,605.0,605.0,2392.58865752,1449441.78479929
2026-05-17 07:15:00,605.0,605.0,604.0,604.0,1866.57239144,1127492.36905785
2026-05-17 07:30:00,604.0,604.0,604.0,604.0,8488.30265162,5126934.80157848
2026-05-17 07:45:00,603.0,603.0,603.0,603.0,2658.87754941,1603303.16229423
2026-05-17 08:00:00,603.0,603.0,603.0,603.0,163.48556722,98581.79703366
2026-05-17 08:15:00,603.0,606.0,603.0,606.0,139.59824016,84452.76356892
2026-05-17 08:30:00,606.0,606.0,606.0,606.0,9645.52111732,5845185.79709592
2026-05-17 08:45:00,605.0,605.0,604.0,604.0,418.66885692,253050.00028587
2026-05-17 09:00:00,604.0,604.0,604.0,604.0,5312.70252378,3208872.32436312
2026-05-17 09:15:00,604.0,604.0,603.0,603.0,17494.75727227,10560320.18265715
2026-05-17 09:30:00,603.0,603.0,600.0,602.0,65586.1177337,39445561.18144663
2026-05-17 09:45:00,601.0,602.0,599.0,600.0,30115.81285018,18082922.63945682
2026-05-17 10:00:00,599.0,601.0,598.0,601.0,44204.14969813,26486658.69359771
2026-05-17 10:15:00,601.0,601.0,598.0,600.0,13001.61600342,7789986.17554362
2026-05-17 10:30:00,599.0,600.0,599.0,600.0,1273.18255125,762950.65615018
2026-05-17 10:45:00,600.0,600.0,599.0,600.0,3818.95684285,2287599.48386715
2026-05-17 11:00:00,599.0,599.0,599.0,599.0,300.0,179700.0
2026-05-17 11:15:00,600.0,600.0,600.0,600.0,204.32658669,122595.952014
2026-05-17 11:30:00,600.0,600.0,598.0,599.0,11254.19315891,6737011.13508624
2026-05-17 11:45:00,598.0,599.0,598.0,599.0,36694.03175418,21943536.21218103
2026-05-17 12:00:00,599.0,599.0,599.0,599.0,6218.61803431,3724952.20255169
2026-05-17 12:15:00,599.0,599.0,599.0,599.0,14208.33890221,8510795.00242379
2026-05-17 12:30:00,599.0,601.0,599.0,600.0,23045.53146384,13831883.16538728
2026-05-17 12:45:00,600.0,600.0,599.0,599.0,10789.56058596,6471242.63548258
2026-05-17 13:00:00,599.0,601.0,599.0,601.0,166.8896321,100100.6688921
2026-05-17 13:15:00,601.0,602.0,601.0,601.0,1651.70095411,992680.57906795
2026-05-17 13:30:00,601.0,601.0,601.0,601.0,993.94350443,597360.04616243
2026-05-17 13:45:00,601.0,603.0,601.0,601.0,440.82415416,264999.99999544
2026-05-17 14:00:00,602.0,602.0,601.0,601.0,114.27949391,68691.40773359
2026-05-17 14:30:00,601.0,601.0,601.0,601.0,2709.34818523,1628318.25932323
2026-05-17 15:15:00,602.0,602.0,602.0,602.0,864.47559568,520414.30859936
2026-05-17 15:45:00,601.0,601.0,601.0,601.0,105.1148991,63174.0543591
2026-05-17 16:00:00,602.0,603.0,600.0,602.0,22095.35685627,13266303.03249886
2026-05-17 16:15:00,600.0,600.0,600.0,600.0,2900.00000001,1740000.000006
2026-05-17 16:30:00,601.0,602.0,601.0,602.0,5954.96903587,3581924.92951098
2026-05-17 17:00:00,602.0,602.0,600.0,600.0,5882.14250519,3531264.43605646
2026-05-17 17:15:00,600.0,600.0,600.0,600.0,4370.82566663,2622495.399978
2026-05-17 17:30:00,602.0,602.0,602.0,602.0,13479.02287139,8114371.76857678
2026-05-17 17:45:00,603.0,603.0,602.0,603.0,10681.33418385,6440359.65836155
2026-05-17 18:00:00,603.0,603.0,602.0,603.0,1753.3948201,1056783.74318697
2026-05-17 18:15:00,603.0,603.0,602.0,603.0,2159.58824172,1302048.98550466
2026-05-17 18:30:00,603.0,603.0,601.0,601.0,15646.97294904,9406146.16561567
2026-05-17 18:45:00,601.0,601.0,601.0,601.0,7.33293695,4407.09510695
2026-05-17 19:00:00,601.0,603.0,601.0,603.0,1871.18935109,1126488.28118431
2026-05-17 19:15:00,603.0,603.0,603.0,603.0,165.75460196,99950.02498188
2026-05-17 19:30:00,603.0,604.0,602.0,602.0,2988.62212521,1802136.2030711
2026-05-17 19:45:00,602.0,602.0,602.0,602.0,109.75380948,66071.79330696
2026-05-17 20:00:00,602.0,604.0,602.0,602.0,1579.42885071,952010.57400158
2026-05-17 20:45:00,603.0,605.0,603.0,604.0,19321.37513519,11674864.69285052
2026-05-17 21:00:00,604.0,604.0,604.0,604.0,498.51891391,301105.42400164
2026-05-17 21:15:00,604.0,606.0,604.0,604.0,2289.02296743,1384094.3774019
2026-05-17 21:30:00,604.0,605.0,604.0,605.0,47.16901099,28499.99999333
2026-05-17 21:45:00,605.0,605.0,605.0,605.0,3322.43881364,2010075.4822522
2026-05-17 22:00:00,604.0,606.0,604.0,605.0,3183.44053665,1927832.50443002
2026-05-17 22:15:00,605.0,605.0,601.0,602.0,7718.85786583,4651361.57534848
2026-05-17 22:45:00,602.0,603.0,602.0,602.0,4773.44885871,2873624.52140113
2026-05-17 23:00:00,602.0,602.0,602.0,602.0,1049.0,631498.0
2026-05-17 23:15:00,602.0,602.0,600.0,600.0,5294.98718929,3182497.77770471
2026-05-17 23:30:00,600.0,600.0,599.0,600.0,3325.67274077,1992687.59271198
2026-05-17 23:45:00,601.0,601.0,599.0,599.0,5436.52003306,3256767.9226431
2026-05-18 00:00:00,600.0,600.0,599.0,599.0,4489.10566584,2688983.49015816
2026-05-18 00:15:00,599.0,601.0,599.0,601.0,120.88119901,72567.00835033
2026-05-18 00:30:00,601.0,601.0,598.0,599.0,1253.9732921,751694.3980281
2026-05-18 01:00:00,599.0,600.0,598.0,600.0,1789.46269485,1070330.61415099
2026-05-18 01:15:00,600.0,600.0,599.0,599.0,86.23966292,51665.89308908
2026-05-18 02:00:00,599.0,599.0,599.0,599.0,4189.87872485,2509737.35618515
2026-05-18 02:15:00,599.0,599.0,599.0,599.0,10.63829787,6372.34042413
2026-05-18 02:30:00,598.0,599.0,597.0,598.0,10281.27090051,6145306.25848139
2026-05-18 02:45:00,599.0,599.0,598.0,598.0,17160.55076937,10263692.57857417
2026-05-18 03:15:00,600.0,600.0,600.0,600.0,938.18090954,562908.545724
2026-05-18 03:30:00,600.0,600.0,600.0,600.0,1011.66666666,606999.999996
2026-05-18 03:45:00,598.0,600.0,598.0,600.0,1024.84522212,612897.376272
2026-05-18 04:00:00,599.0,599.0,599.0,599.0,374.70567082,224448.69682118
2026-05-18 04:30:00,600.0,600.0,599.0,599.0,892.954,535176.27092087
2026-05-18 04:45:00,599.0,599.0,599.0,599.0,834.72454091,500000.00000509
2026-05-18 05:15:00,599.0,599.0,599.0,599.0,2454.65421135,1470337.87259865
2026-05-18 05:30:00,599.0,599.0,599.0,599.0,210.905,126332.095
2026-05-18 05:45:00,600.0,600.0,599.0,600.0,2661.44267532,1596665.245192
2026-05-18 06:00:00,600.0,600.0,600.0,600.0,3565.52103524,2139312.621144
2026-05-18 06:15:00,600.0,600.0,600.0,600.0,4571.61002831,2742966.016986
2026-05-18 06:30:00,600.0,600.0,600.0,600.0,6037.56833332,3622540.999992
