,open,high,low,close,volume,value
2026-05-14 15:00:00,95.9,96.1,95.8,96.1,55236.61242771,5301797.71645942
2026-05-14 15:15:00,95.8,96.0,95.7,95.7,10703.77698451,1025424.95096715
2026-05-14 15:30:00,95.7,95.7,95.2,95.4,786699.57081507,74931685.92247272
2026-05-14 15:45:00,95.4,95.4,95.1,95.1,212069.13061274,20176220.58814189
2026-05-14 16:00:00,95.3,95.7,95.0,95.7,188883.51152242,17985844.97343397
2026-05-14 16:15:00,95.4,96.4,95.4,96.2,920072.91200164,88363876.65689208
2026-05-14 16:30:00,96.2,96.2,95.9,95.9,132960.81293719,12778234.37187255
2026-05-14 16:45:00,96.0,96.1,95.9,95.9,111032.03857109,10647998.57248145
2026-05-14 17:00:00,96.0,96.1,95.7,95.7,159838.77848579,15310026.99225346
2026-05-14 17:15:00,95.7,95.7,95.6,95.6,5389.94220794,515788.92439986
2026-05-14 17:30:00,95.8,96.2,95.8,95.9,10310.32841466,989984.62059803
2026-05-14 17:45:00,95.9,96.0,95.4,95.8,115558.04027562,11045615.36020013
2026-05-14 18:00:00,95.7,95.7,95.6,95.6,2647.84733044,253298.36361974
2026-05-14 18:15:00,95.7,95.7,95.6,95.6,69781.0793238,6676955.05052698
2026-05-14 18:30:00,95.9,96.0,95.6,95.8,10078.55143551,965420.41699586
2026-05-14 18:45:00,95.8,95.8,95.8,95.8,104.27528675,9989.57247065
2026-05-14 19:00:00,95.8,96.1,95.8,95.9,39061.4936085,3746619.43162126
2026-05-14 19:15:00,96.2,96.5,96.2,96.5,71840.24180717,6923204.09193304
2026-05-14 19:30:00,96.5,96.7,95.7,95.7,31718.77661067,3056270.32926024
2026-05-14 19:45:00,95.7,96.2,95.7,96.0,124125.96845665,11908000.5793386
2026-05-14 20:00:00,96.0,96.2,96.0,96.0,48124.02093098,4623518.67442553
2026-05-14 20:15:00,96.0,96.0,95.8,95.8,179178.33935943,17196255.45410153
2026-05-14 20:30:00,95.8,95.8,95.6,95.6,17541.67218402,1678102.19398418
2026-05-14 20:45:00,95.8,96.2,95.8,96.2,143103.66757369,13721738.22490472
2026-05-14 21:00:00,96.2,96.6,96.0,96.4,75430.8009367,7256088.27751623
2026-05-14 21:15:00,96.2,96.2,96.0,96.0,3002.32364606,288750.07002176
2026-05-14 21:30:00,96.0,96.6,96.0,96.3,6253.93259738,602267.33083566
2026-05-14 21:45:00,96.4,96.8,96.4,96.8,50077.31907283,4837468.34180508
2026-05-14 22:00:00,96.5,96.6,96.3,96.5,55601.91365233,5359036.9284273
2026-05-14 22:15:00,96.3,96.6,96.3,96.5,31329.71876922,3022887.07228635
2026-05-14 22:30:00,96.3,96.7,96.1,96.7,81247.49444277,7830647.79504943
2026-05-14 22:45:00,96.8,97.3,96.8,96.8,123658.47488036,11982696.21948505
2026-05-14 23:00:00,96.8,97.2,96.8,96.8,20221.35849802,1958027.21139445
2026-05-14 23:15:00,96.9,97.2,96.9,97.2,7807.59742289,758594.4207147
2026-05-14 23:30:00,97.2,97.9,97.2,97.8,99964.81195155,9762311.31431749
2026-05-14 23:45:00,97.9,98.1,97.8,98.1,101949.49791229,9988844.79827917
2026-05-15 00:00:00,98.3,98.3,97.6,98.3,156226.52423764,15277337.70013422
2026-05-15 00:15:00,98.3,98.8,98.1,98.8,180714.81641757,17772815.60183592
2026-05-15 00:30:00,98.8,98.9,98.6,98.6,68530.69783307,6769583.75961442
2026-05-15 00:45:00,98.7,98.9,98.5,98.7,65668.80355549,6486091.27526041
2026-05-15 01:00:00,98.5,98.6,98.1,98.1,331517.12601486,32584150.44089504
2026-05-15 01:15:00,98.2,98.5,97.9,97.9,48006.11337047,4707901.91162371
2026-05-15 01:30:00,97.9,97.9,97.6,97.6,22106.01851553,2161901.70858644
2026-05-15 01:45:00,97.6,98.2,97.1,98.2,102037.74482377,9954234.97581894
2026-05-15 02:00:00,97.9,98.4,97.9,98.1,15502.40202304,1524496.42563971
2026-05-15 02:15:00,97.7,97.7,97.2,97.2,8966.91610099,874130.28798086
2026-05-15 02:45:00,97.9,97.9,97.9,97.9,17722.50766087,1735033.49999917
2026-05-15 03:00:00,97.7,97.7,97.5,97.5,691.13867668,67409.01401174
2026-05-15 03:15:00,97.7,97.7,97.7,97.7,512.09262294,50031.44926124
2026-05-15 03:30:00,97.7,97.7,97.4,97.4,1853.57974014,180596.39411158
2026-05-15 04:00:00,97.6,97.6,97.6,97.6,1485.23576913,144959.01106709
2026-05-15 04:15:00,97.7,97.7,97.2,97.2,1825.97151114,177571.43677744
2026-05-15 04:30:00,97.4,98.2,97.4,98.1,57234.57147254,5588017.11937478
2026-05-15 04:45:00,98.3,98.3,97.5,97.5,174627.74162391,17058592.71057183
2026-05-15 05:00:00,97.7,97.8,97.6,97.7,8516.07288211,832248.82394903
2026-05-15 05:15:00,97.6,97.6,97.2,97.2,22699.43047528,2206976.04109219
2026-05-15 05:30:00,97.3,97.3,97.3,97.3,13797.60609254,1342507.07280414
2026-05-15 05:45:00,97.7,98.0,97.7,98.0,22746.18684552,2222619.95185722
2026-05-15 06:00:00,98.1,98.6,98.1,98.3,16807.63970043,1652127.57295039
2026-05-15 06:15:00,98.3,98.7,98.3,98.7,19521.26699882,1924854.26201831
2026-05-15 06:30:00,98.7,99.2,98.6,98.6,171949.64765835,17023621.99728519
2026-05-15 06:45:00,98.8,99.0,98.7,98.7,45702.1012681,4515555.25410106
2026-05-15 07:00:00,98.8,98.8,98.2,98.6,124876.77701183,12310399.43585669
2026-05-15 07:15:00,98.1,98.1,98.1,98.1,4897.233336,480418.5902616
2026-05-15 07:30:00,98.2,98.2,98.1,98.1,3499.18893971,343295.49505103
2026-05-15 07:45:00,98.0,98.0,97.9,97.9,8310.21012173,814281.65966466
2026-05-15 08:00:00,97.7,97.7,97.5,97.5,55611.84184312,5423083.77483818
2026-05-15 08:15:00,97.5,97.5,97.5,97.5,495.07553915,48269.86506713
2026-05-15 08:30:00,97.5,97.6,97.3,97.4,32034.27640669,3121885.08845742
2026-05-15 08:45:00,97.4,97.4,97.0,97.0,39342.53438994,3824032.4517795
2026-05-15 09:00:00,97.4,98.0,97.4,98.0,21178.72937256,2063888.96958005
2026-05-15 09:15:00,98.0,98.0,98.0,98.0,18489.57840886,1811978.68406828
2026-05-15 09:30:00,97.9,98.0,97.6,97.6,67103.47685694,6555462.63717883
