,open,high,low,close,volume,value
2026-05-06 16:00:00,354.0,357.0,334.0,346.0,43022529.13447999,15066155695.558775
2026-05-06 16:15:00,346.0,347.0,336.0,338.0,17178110.68036028,5863867241.568343
2026-05-06 16:30:00,338.0,346.0,338.0,344.0,8873048.22541973,3034839448.7505097
2026-05-06 16:45:00,344.0,345.0,338.0,339.0,5454945.52584183,1860232253.4222367
2026-05-06 17:00:00,339.0,341.0,332.0,335.0,7297560.2835772,2448988022.9703894
2026-05-06 17:15:00,335.0,338.0,332.0,337.0,4016604.14807399,1344366940.7776117
2026-05-06 17:30:00,338.0,340.0,336.0,339.0,2136797.09687897,721144724.260012
2026-05-06 17:45:00,339.0,341.0,336.0,339.0,1744319.5941521,590631373.4944142
2026-05-06 18:00:00,339.0,340.0,333.0,334.0,3334458.40102644,1118452577.3503468
2026-05-06 18:15:00,335.0,338.0,334.0,338.0,1452284.21737572,488987517.0037283
2026-05-06 18:30:00,338.0,339.0,333.0,336.0,2330684.92089785,782799586.3236314
2026-05-06 18:45:00,336.0,337.0,330.0,333.0,3100833.82035983,1035393084.1597764
2026-05-06 19:00:00,333.0,334.0,326.0,329.0,6657022.10184986,2187437753.6344504
2026-05-06 19:15:00,329.0,332.0,325.0,329.0,4214257.49624052,1382746371.236227
2026-05-06 19:30:00,328.0,330.0,326.0,329.0,1765600.27129205,578158370.2968577
2026-05-06 19:45:00,328.0,329.0,325.0,326.0,1741929.62720189,568810169.0005635
2026-05-06 20:00:00,327.0,329.0,325.0,329.0,1756398.0625804,573331293.9156882
2026-05-06 20:15:00,329.0,329.0,327.0,328.0,974388.63317694,319227221.90452963
2026-05-06 20:30:00,327.0,329.0,326.0,327.0,1157952.4484575,379369034.3120768
2026-05-06 20:45:00,327.0,329.0,325.0,329.0,1544582.07755535,504633944.8827957
2026-05-06 21:00:00,329.0,329.0,326.0,327.0,1867682.25044994,611085878.2117136
2026-05-06 21:15:00,326.0,328.0,323.0,325.0,4274852.04534902,1386856759.9111867
2026-05-06 21:30:00,325.0,326.0,324.0,326.0,1295796.63113089,420883863.58874935
2026-05-06 21:45:00,326.0,329.0,325.0,327.0,1390938.98338339,454841995.28614825
2026-05-06 22:00:00,327.0,328.0,324.0,328.0,1408500.84734453,459707054.55702794
2026-05-06 22:15:00,327.0,329.0,325.0,328.0,1242175.82761208,406377447.5550307
2026-05-06 22:30:00,328.0,330.0,324.0,325.0,2367572.30364158,774700575.8514178
2026-05-06 22:45:00,325.0,327.0,323.0,326.0,1243374.27887657,403855791.51019454
2026-05-06 23:00:00,326.0,326.0,322.0,323.0,2256291.7625346,730763015.2484342
2026-05-06 23:15:00,324.0,326.0,323.0,325.0,779416.62118595,252735046.09172392
2026-05-06 23:30:00,326.0,328.0,324.0,324.0,1259850.48781316,411036826.8849032
2026-05-06 23:45:00,325.0,326.0,323.0,324.0,1159088.72968046,375684040.20004094
2026-05-07 00:00:00,324.0,324.0,320.0,322.0,1917064.59218505,616826482.6623894
2026-05-07 00:15:00,322.0,324.0,322.0,323.0,511984.16041211,165206291.31127068
2026-05-07 00:30:00,323.0,323.0,320.0,322.0,477823.31230165,153612570.23941386
2026-05-07 00:45:00,322.0,323.0,321.0,323.0,465194.62122712,149805046.12905774
2026-05-07 01:00:00,323.0,324.0,322.0,323.0,240921.61437262,77697567.04350887
2026-05-07 01:15:00,323.0,324.0,321.0,322.0,206151.41449326,66513823.19055567
2026-05-07 01:30:00,322.0,325.0,321.0,322.0,615436.20199226,198955519.1184204
2026-05-07 01:45:00,324.0,324.0,322.0,324.0,260892.94474383,84373563.65796535
2026-05-07 02:00:00,325.0,326.0,323.0,323.0,138268.5263706,44814277.94766402
2026-05-07 02:15:00,323.0,324.0,322.0,324.0,86619.23057929,27944340.98968266
2026-05-07 02:30:00,324.0,325.0,321.0,322.0,265910.89960017,85855091.83556177
2026-05-07 02:45:00,322.0,324.0,321.0,323.0,159505.063112,51485384.85654877
2026-05-07 03:00:00,324.0,325.0,322.0,325.0,97169.80691658,31419068.13116299
2026-05-07 03:15:00,325.0,326.0,324.0,324.0,225135.29579063,73110177.8347699
2026-05-07 03:30:00,324.0,327.0,324.0,327.0,333921.28207402,108902236.28330937
