,open,high,low,close,volume,value
2026-05-18 06:45:00,361.0,361.0,361.0,361.0,12100.0685952,4368124.7628672
2026-05-18 07:00:00,361.0,361.0,359.0,359.0,41356.43003083,14867893.62902721
2026-05-18 07:15:00,360.0,360.0,357.0,358.0,4709.56163886,1685796.95466707
2026-05-18 07:30:00,358.0,358.0,357.0,358.0,9473.47508802,3390381.1741058
2026-05-18 07:45:00,358.0,358.0,357.0,358.0,38592.46107151,13805863.34114633
2026-05-18 08:00:00,357.0,357.0,356.0,357.0,179989.18161377,64219559.66563385
2026-05-18 08:15:00,356.0,356.0,354.0,355.0,81234.49404034,28870487.32102547
2026-05-18 08:30:00,354.0,356.0,340.0,346.0,1634137.06877382,563294557.8518744
2026-05-18 08:45:00,346.0,352.0,346.0,352.0,574913.71661888,200238315.4619449
2026-05-18 09:00:00,352.0,352.0,347.0,349.0,520166.92488554,181156724.2955815
2026-05-18 09:15:00,349.0,350.0,349.0,350.0,201305.47301182,70392656.1719943
2026-05-18 09:30:00,349.0,350.0,348.0,349.0,228324.88175734,79554428.06430507
2026-05-18 09:45:00,349.0,351.0,349.0,351.0,185446.22946872,64896739.60999635
2026-05-18 10:00:00,352.0,352.0,351.0,351.0,70868.80378749,24942118.93319648
2026-05-18 10:15:00,351.0,351.0,349.0,349.0,42397.5963168,14831872.98425801
2026-05-18 10:30:00,349.0,350.0,348.0,349.0,79032.041527,27581223.42314698
2026-05-18 10:45:00,348.0,351.0,348.0,351.0,31812.86199331,11153431.53617447
2026-05-18 11:00:00,351.0,352.0,351.0,352.0,38811.01835179,13645302.07328688
2026-05-18 11:15:00,352.0,352.0,351.0,351.0,21557.75308577,7585027.85457099
2026-05-18 11:30:00,352.0,353.0,351.0,352.0,29213.46224779,10285721.73930776
2026-05-18 11:45:00,352.0,352.0,351.0,352.0,7731.53416343,2716128.77266674
2026-05-18 12:00:00,352.0,354.0,352.0,353.0,67803.84311498,23896172.58084496
2026-05-18 12:15:00,352.0,353.0,352.0,352.0,6558.34342902,2309317.07398387
2026-05-18 12:30:00,353.0,354.0,352.0,353.0,41667.22468238,14668963.67462865
2026-05-18 12:45:00,352.0,353.0,351.0,352.0,22319.15932372,7857258.55612162
2026-05-18 13:00:00,352.0,353.0,352.0,352.0,9348.04216413,3290794.69318374
2026-05-18 13:15:00,353.0,353.0,351.0,351.0,11992.27854648,4221530.53763326
2026-05-18 13:30:00,351.0,353.0,351.0,352.0,11562.99458159,4066282.25814897
2026-05-18 13:45:00,352.0,353.0,352.0,353.0,50129.58728255,17654596.36807609
2026-05-18 14:00:00,353.0,353.0,352.0,352.0,26922.563292,9500779.05826253
2026-05-18 14:15:00,352.0,352.0,351.0,351.0,127654.12181167,44904931.31969776
2026-05-18 14:30:00,351.0,351.0,349.0,350.0,94294.15218187,33016562.20041903
2026-05-18 14:45:00,350.0,351.0,349.0,350.0,42377.62970389,14825306.1277548
2026-05-18 15:00:00,350.0,351.0,347.0,350.0,146703.21761281,51118261.44478352
2026-05-18 15:15:00,349.0,349.0,346.0,349.0,285280.75452973,99252095.66991743
2026-05-18 15:30:00,348.0,349.0,348.0,348.0,94509.6336985,32900295.29203189
2026-05-18 15:45:00,348.0,349.0,348.0,348.0,30209.65996495,10521978.4370469
2026-05-18 16:00:00,350.0,350.0,347.0,347.0,33090.23988251,11519482.81040714
2026-05-18 16:15:00,346.0,348.0,345.0,348.0,340531.9916557,117649390.17284228
2026-05-18 16:30:00,347.0,348.0,346.0,347.0,50372.66633833,17453674.5938477
2026-05-18 16:45:00,347.0,348.0,345.0,348.0,121451.71278507,42129859.14935199
2026-05-18 17:00:00,348.0,349.0,348.0,349.0,29179.19886545,10165533.29064789
2026-05-18 17:15:00,348.0,348.0,347.0,347.0,57785.18455028,20066383.74544391
2026-05-18 17:30:00,347.0,347.0,346.0,346.0,43121.83399117,14923093.10035046
2026-05-18 17:45:00,346.0,348.0,345.0,348.0,51563.82717904,17838175.75097316
2026-05-18 18:00:00,347.0,347.0,346.0,346.0,62645.38796928,21694897.36875906
2026-05-18 18:15:00,346.0,346.0,345.0,345.0,45211.63476393,15638431.65218017
2026-05-18 18:30:00,346.0,346.0,345.0,346.0,24151.17316366,8344935.74761915
2026-05-18 18:45:00,345.0,346.0,344.0,344.0,71335.13647737,24581805.62602581
2026-05-18 19:00:00,344.0,345.0,343.0,345.0,33884.41668481,11642643.91394893
2026-05-18 19:15:00,344.0,344.0,343.0,344.0,92847.44288442,31900020.3172122
2026-05-18 19:30:00,345.0,345.0,343.0,344.0,47801.24522535,16448397.28792186
2026-05-18 19:45:00,344.0,345.0,344.0,345.0,85181.83031839,29324002.20103024
2026-05-18 20:00:00,345.0,345.0,343.0,343.0,42389.51156147,14571636.49517789
2026-05-18 20:15:00,343.0,345.0,343.0,345.0,5412.07282595,1860852.03633029
2026-05-18 20:30:00,344.0,349.0,344.0,349.0,132561.76656446,46062622.62186589
2026-05-18 20:45:00,349.0,349.0,348.0,348.0,61348.33814622,21379713.64379981
2026-05-18 21:00:00,348.0,350.0,347.0,350.0,80794.25258296,28176768.85812534
2026-05-18 21:15:00,349.0,351.0,349.0,350.0,90346.57483642,31616382.93925094
2026-05-18 21:30:00,350.0,352.0,349.0,352.0,142266.17299359,49797551.51268928
2026-05-18 21:45:00,352.0,352.0,351.0,352.0,166234.13317802,58470286.71226505
2026-05-18 22:00:00,352.0,352.0,350.0,351.0,57627.29522301,20172061.46457458
2026-05-18 22:15:00,351.0,353.0,351.0,352.0,171968.40548224,60530781.48123101
2026-05-18 22:30:00,351.0,351.0,349.0,350.0,50172.04415394,17556193.01903545
2026-05-18 22:45:00,349.0,350.0,349.0,350.0,77472.11344894,27103641.76009201
2026-05-18 23:00:00,350.0,350.0,348.0,348.0,20017.40807587,6987715.25554762
2026-05-18 23:15:00,348.0,348.0,346.0,346.0,60278.40188275,20867514.51022022
2026-05-18 23:30:00,346.0,346.0,344.0,346.0,251930.13114633,86930238.1583608
