,open,high,low,close,volume,value
2026-05-17 15:30:00,91.0,91.0,91.0,91.0,329.67032967,29999.99999997
2026-05-17 16:00:00,91.0,91.0,91.0,91.0,2362.64835165,215001.00000015
2026-05-17 16:15:00,91.0,91.0,90.9,90.9,32784.72552186,2982917.29223076
2026-05-17 16:30:00,91.3,91.4,91.3,91.3,5729.51825221,523111.90273069
2026-05-17 16:45:00,91.4,91.5,91.3,91.5,63435.17503777,5797881.06949043
2026-05-17 17:00:00,91.4,91.5,91.4,91.5,43271.40067303,3955033.96377579
2026-05-17 17:15:00,91.5,91.5,91.4,91.4,12790.88051602,1170343.70929233
2026-05-17 17:30:00,91.3,91.6,91.3,91.5,66776.34874866,6105893.30378287
2026-05-17 17:45:00,91.6,91.6,91.6,91.6,23448.35285313,2147869.12134671
2026-05-17 18:00:00,91.5,91.7,91.5,91.7,21316.88463385,1953295.70286751
2026-05-17 18:15:00,91.5,91.5,91.5,91.5,77.13661202,7057.99999983
2026-05-17 18:30:00,91.4,91.5,91.3,91.5,44125.5889066,4029795.66003457
2026-05-17 18:45:00,91.5,91.5,91.5,91.5,182280.87170216,16678699.76074764
2026-05-17 19:00:00,91.6,92.0,91.6,91.6,110337.58042511,10117897.79934484
2026-05-17 19:15:00,91.6,91.7,91.4,91.7,82140.01722404,7514536.80150322
2026-05-17 19:30:00,91.6,91.7,91.4,91.6,811.31180217,74215.65495588
2026-05-17 19:45:00,91.6,91.6,91.1,91.1,235177.98879322,21444659.66578956
2026-05-17 20:00:00,91.1,91.1,90.8,90.8,72417.73356872,6580484.95166074
2026-05-17 20:15:00,90.8,90.8,90.6,90.7,47248.85198983,4284012.97827498
2026-05-17 20:30:00,90.7,90.9,90.6,90.6,410664.72819467,37228547.565907
2026-05-17 20:45:00,90.7,90.7,90.3,90.7,96815.02668161,8767536.50137435
2026-05-17 21:00:00,90.8,90.8,90.5,90.5,20821.96168529,1888105.65192505
2026-05-17 21:15:00,90.5,90.6,90.4,90.4,381300.08249477,34470966.31069435
2026-05-17 21:30:00,90.5,90.8,90.5,90.7,13118.91716627,1190871.18528081
2026-05-17 21:45:00,90.7,90.9,90.7,90.9,100463.94198026,9121695.64170361
2026-05-17 22:00:00,90.7,90.7,90.4,90.4,54634.32849979,4941161.96081153
2026-05-17 22:15:00,90.3,90.5,90.3,90.4,160435.8729517,14488644.35427806
2026-05-17 22:30:00,90.4,90.4,90.3,90.3,67663.21791035,6112101.61515323
2026-05-17 22:45:00,90.3,90.3,90.1,90.1,152972.48705033,13794537.16497412
2026-05-17 23:00:00,90.1,90.1,89.9,89.9,130394.00716585,11732522.60750003
2026-05-17 23:15:00,89.8,90.1,89.4,90.1,867577.65912371,77781593.56463371
2026-05-17 23:30:00,89.9,89.9,89.7,89.7,85404.44769075,7662572.300994
2026-05-17 23:45:00,90.1,90.2,89.9,90.2,19995.04360896,1801707.58080218
2026-05-18 00:00:00,90.3,90.3,90.0,90.0,2648.60241295,238582.29999816
2026-05-18 00:15:00,90.0,90.1,89.9,90.1,112085.17872711,10076571.53057804
2026-05-18 00:30:00,90.1,90.1,89.8,89.9,28276.6042468,2542159.94926642
2026-05-18 01:00:00,90.1,90.2,90.1,90.1,355.37529657,32026.01042549
2026-05-18 01:15:00,90.3,90.4,90.3,90.4,10208.0583908,921794.36889377
2026-05-18 01:45:00,90.1,90.1,90.0,90.0,49914.76370503,4494991.3526093
2026-05-18 02:00:00,90.0,90.0,89.9,89.9,3203.33840892,288201.53406043
2026-05-18 02:15:00,89.8,89.8,89.7,89.7,2759.8914318,247591.23169558
2026-05-18 02:30:00,89.8,89.8,89.6,89.6,129525.83952673,11607727.61806627
2026-05-18 02:45:00,89.9,90.1,89.9,90.1,204.13422555,18372.0802995
2026-05-18 03:00:00,90.2,90.5,90.2,90.4,964.13252248,87202.23128541
2026-05-18 03:15:00,90.2,90.2,90.2,90.2,232464.8423,20968328.77546
2026-05-18 03:30:00,90.3,90.3,90.3,90.3,664.40459575,59995.73499623
2026-05-18 03:45:00,90.3,90.3,90.2,90.2,750.05738695,67655.17630289
2026-05-18 04:00:00,90.4,90.5,90.3,90.3,11251.27428059,1017115.20548971
2026-05-18 04:15:00,90.6,90.6,90.4,90.4,286.94495681,25963.99049562
2026-05-18 04:30:00,90.4,90.4,90.4,90.4,465.0706715,42042.3887036
2026-05-18 04:45:00,90.4,90.4,90.3,90.3,1622.18765617,146544.99999817
2026-05-18 05:00:00,90.2,90.2,90.2,90.2,3728.02926206,336268.23943781
2026-05-18 05:15:00,90.1,90.1,90.0,90.0,4697.34113057,422966.96894456
2026-05-18 05:30:00,90.0,90.1,90.0,90.0,5763.11574527,518756.2927229
2026-05-18 05:45:00,89.9,89.9,89.8,89.9,14968.30758524,1345545.75223847
2026-05-18 06:00:00,89.9,90.0,89.7,90.0,382664.73630065,34435733.09305708
2026-05-18 06:15:00,90.1,90.8,90.1,90.8,4888.42444499,443074.34019648
2026-05-18 06:30:00,90.6,90.8,90.6,90.7,38709.38663429,3507390.92203594
2026-05-18 06:45:00,90.7,90.7,90.6,90.6,169150.57396082,15341922.39695258
2026-05-18 07:00:00,90.5,90.5,89.9,89.9,212086.27528184,19168250.95225075
2026-05-18 07:15:00,89.9,89.9,89.7,89.8,45132.73915868,4052573.14381658
2026-05-18 07:30:00,90.0,90.1,89.9,89.9,20247.04677865,1822886.18399614
2026-05-18 07:45:00,89.9,89.9,89.6,89.8,11542.20931542,1034420.55316134
2026-05-18 08:00:00,89.7,89.7,89.5,89.5,54359.12421403,4865321.05218779
2026-05-18 08:15:00,89.5,89.5,88.6,89.2,742101.12762784,66094265.42931795
2026-05-18 08:30:00,89.2,89.4,87.1,89.2,1806035.98326782,159213484.97039783
2026-05-18 08:45:00,89.2,89.7,88.9,89.7,280917.88085285,25046462.01418339
2026-05-18 09:00:00,89.4,89.4,89.1,89.3,828706.54772157,73919218.66726816
2026-05-18 09:15:00,89.5,89.9,89.0,89.1,43024.43162314,3844450.5283506
2026-05-18 09:30:00,89.1,89.3,89.0,89.2,37649.95185304,3355480.13869415
2026-05-18 09:45:00,89.2,89.3,89.1,89.1,48912.17988364,4360686.05749885
2026-05-18 10:00:00,89.1,89.3,89.1,89.3,77319.01219094,6892811.54251535
2026-05-18 10:15:00,89.2,89.2,89.2,89.2,3556.96964611,317281.69243301
2026-05-18 10:30:00,89.2,89.4,89.2,89.3,32514.65853267,2903236.72395359
2026-05-18 10:45:00,89.1,89.4,89.1,89.4,99738.39536036,8899856.55030016
2026-05-18 11:00:00,89.3,90.0,89.2,90.0,637777.74601884,57237308.71628824
2026-05-18 11:15:00,90.0,90.0,89.4,89.5,44753.87454861,4013325.94328998
2026-05-18 11:30:00,89.6,89.6,88.9,89.4,81757.52242679,7284682.58546043
2026-05-18 11:45:00,89.1,89.5,89.1,89.2,47277.97304616,4221721.88954019
2026-05-18 12:00:00,89.4,89.6,89.3,89.3,49154.60386123,4397215.67991552
2026-05-18 12:15:00,89.2,89.2,89.2,89.2,117631.81963622,10492758.31155082
2026-05-18 12:30:00,89.1,89.1,88.3,88.6,272016.4888729,24087411.4057342
2026-05-18 12:45:00,88.6,88.9,88.6,88.9,290269.9540265,25752133.52102996
2026-05-18 13:00:00,88.9,89.3,88.9,89.3,68314.0158189,6073752.21372035
2026-05-18 13:15:00,89.2,89.2,88.6,88.7,295376.13343398,26250010.27385944
2026-05-18 13:30:00,88.9,89.3,88.9,89.3,4025.1010129,358066.74234518
2026-05-18 13:45:00,89.1,89.3,89.1,89.3,124241.13911429,11094503.53852618
2026-05-18 14:00:00,89.1,89.1,89.1,89.1,13439.33236713,1197444.51391128
2026-05-18 14:15:00,89.2,89.4,89.0,89.1,95017.53893618,8474713.1660514
2026-05-18 14:30:00,89.1,89.3,88.9,88.9,8881.08824099,790950.22705003
2026-05-18 14:45:00,89.0,89.0,88.9,88.9,5832.52888941,518978.58387768
