,open,high,low,close,volume,value
2026-05-09 12:45:00,7.78,7.79,7.75,7.75,1223330.90454931,9498020.95873684
2026-05-09 13:00:00,7.75,7.76,7.74,7.75,4408201.23724358,34149169.87632611
2026-05-09 13:15:00,7.74,7.78,7.73,7.78,3540273.21256968,27423913.90950089
2026-05-09 13:30:00,7.78,7.79,7.75,7.75,2517142.67349967,19574863.71988402
2026-05-09 13:45:00,7.75,7.78,7.74,7.74,3915456.24383944,30383065.69083102
2026-05-09 14:00:00,7.74,7.77,7.74,7.77,2384722.60213456,18458347.90390516
2026-05-09 14:15:00,7.75,7.77,7.74,7.76,1772941.90090747,13722852.58750387
2026-05-09 14:30:00,7.76,7.77,7.75,7.77,507118.75463147,3937563.03983998
2026-05-09 14:45:00,7.77,7.79,7.77,7.79,1536489.40609323,11950779.80673571
2026-05-09 15:00:00,7.77,7.78,7.75,7.78,1383302.11505934,10730675.90642684
2026-05-09 15:15:00,7.77,7.78,7.76,7.78,2018639.87222091,15700909.17264327
2026-05-09 15:30:00,7.78,7.79,7.75,7.78,3260046.07779035,25289584.27691923
2026-05-09 15:45:00,7.78,7.78,7.76,7.77,795698.18186597,6179070.40372585
2026-05-09 16:00:00,7.78,7.78,7.74,7.78,1849716.36113843,14349518.68166388
2026-05-09 16:15:00,7.78,7.78,7.76,7.76,1594025.90611263,12392674.5688507
2026-05-09 16:30:00,7.77,7.81,7.77,7.81,6758539.51693008,52694336.03831625
2026-05-09 16:45:00,7.81,7.91,7.78,7.89,34217740.57688133,268772428.5700174
2026-05-09 17:00:00,7.88,7.89,7.77,7.83,17608478.79835318,137751702.62172827
2026-05-09 17:15:00,7.83,7.83,7.78,7.81,3561392.6428913,27796638.21985178
2026-05-09 17:30:00,7.79,7.81,7.79,7.79,584212.64962602,4551941.69364349
2026-05-09 17:45:00,7.79,7.81,7.76,7.77,5714249.97702977,44468213.69536816
2026-05-09 18:00:00,7.76,7.77,7.73,7.76,9625832.01391457,74607964.20815209
2026-05-09 18:15:00,7.75,7.75,7.72,7.74,4023760.62568576,31097154.20533489
2026-05-09 18:30:00,7.74,7.77,7.71,7.75,7722500.27532146,59664909.33777175
2026-05-09 18:45:00,7.75,7.76,7.71,7.73,6045432.0736509,46699580.27911563
2026-05-09 19:00:00,7.73,7.75,7.65,7.68,12027195.42046729,92512199.42709845
2026-05-09 19:15:00,7.69,7.71,7.68,7.7,1746386.54768277,13437891.57836849
2026-05-09 19:30:00,7.71,7.71,7.66,7.67,6715571.00335323,51579933.39631417
2026-05-09 19:45:00,7.67,7.68,7.67,7.68,1195352.77867436,9179225.7603988
2026-05-09 20:00:00,7.71,7.71,7.7,7.71,1482941.96803263,11423122.95489382
2026-05-09 20:15:00,7.69,7.72,7.69,7.72,996129.08820607,7678366.50163477
2026-05-09 20:30:00,7.72,7.72,7.7,7.7,583627.26790902,4496655.44205174
2026-05-09 20:45:00,7.69,7.71,7.69,7.71,1541725.46889053,11865775.07491405
2026-05-09 21:00:00,7.71,7.72,7.7,7.72,800922.60054512,6175721.43301476
2026-05-09 21:15:00,7.7,7.72,7.7,7.71,619867.33669184,4781663.72305011
2026-05-09 21:30:00,7.72,7.72,7.71,7.72,1977751.49156995,15252773.69961764
2026-05-09 21:45:00,7.72,7.73,7.71,7.73,512864.61800863,3960983.55076559
2026-05-09 22:00:00,7.73,7.75,7.72,7.75,1500951.57056939,11602308.15340338
2026-05-09 22:15:00,7.75,7.76,7.73,7.76,1240296.62742161,9611665.21800275
2026-05-09 22:30:00,7.75,7.79,7.75,7.77,2355637.04487521,18320538.24622573
