,open,high,low,close,volume,value
2026-05-14 19:30:00,0.0118,0.0118,0.0117,0.0118,230247179.2070735,2709619.57553107
2026-05-14 19:45:00,0.0118,0.0118,0.0118,0.0118,1170728952.6375382,13814601.64112295
2026-05-14 20:00:00,0.0118,0.0119,0.0118,0.0119,368151737.4566018,4378505.67573356
2026-05-14 20:15:00,0.0118,0.012,0.0118,0.0119,2471275975.858985,29402105.67007938
2026-05-14 20:30:00,0.0119,0.0119,0.0118,0.0118,697842580.054257,8303642.87057516
2026-05-14 20:45:00,0.0118,0.0119,0.0118,0.0119,1039308740.029145,12354975.94319353
2026-05-14 21:00:00,0.0119,0.0119,0.0118,0.0119,397510627.57191503,4702849.56637733
2026-05-14 21:15:00,0.0119,0.0119,0.0118,0.0119,114841400.27293542,1355291.79124676
2026-05-14 21:30:00,0.0119,0.0119,0.0118,0.0118,103670250.1620492,1229999.93279751
2026-05-14 21:45:00,0.0118,0.0119,0.0118,0.0119,88311302.08770345,1050851.77374967
2026-05-14 22:00:00,0.0118,0.0119,0.0118,0.0119,1074098367.4813561,12684286.10669081
2026-05-14 22:15:00,0.0119,0.0119,0.0118,0.0119,1081033412.572947,12841723.69861288
2026-05-14 22:30:00,0.0119,0.0119,0.0118,0.0119,684812584.1493357,8092694.51866323
2026-05-14 22:45:00,0.0119,0.0119,0.0118,0.0118,61019478.96294351,724101.31457984
2026-05-14 23:00:00,0.0118,0.0119,0.0118,0.0119,421862113.38142353,4978056.97151424
2026-05-14 23:15:00,0.0118,0.0119,0.0118,0.0119,194585489.08220756,2313478.06910741
2026-05-14 23:30:00,0.0119,0.0119,0.0119,0.0119,1337869471.6282942,15920646.7123767
2026-05-14 23:45:00,0.0119,0.0119,0.0118,0.0118,555423186.9947798,6567780.82513
2026-05-15 00:00:00,0.0119,0.0119,0.0118,0.0119,132855425.64880908,1580817.1001559
2026-05-15 00:15:00,0.0119,0.0119,0.0119,0.0119,185949429.92955753,2212798.21616173
2026-05-15 00:30:00,0.0119,0.0119,0.0118,0.0118,710657535.5736905,8451852.75351492
2026-05-15 00:45:00,0.0118,0.0119,0.0118,0.0119,352990123.6246243,4184221.07153564
2026-05-15 01:00:00,0.0119,0.0119,0.0119,0.0119,74226974.78991593,883301.0
2026-05-15 01:15:00,0.0119,0.012,0.0118,0.0119,248348997.83860418,2954971.85679442
2026-05-15 01:30:00,0.0119,0.0119,0.0119,0.0119,475698666.2971035,5660814.12893553
2026-05-15 01:45:00,0.0119,0.0119,0.0119,0.0119,4254201859.1695294,50625002.1241174
2026-05-15 02:00:00,0.012,0.012,0.0119,0.012,161321191.53069308,1927386.8224829
2026-05-15 02:15:00,0.0119,0.0119,0.0119,0.0119,385835678.7905711,4591444.5776078
2026-05-15 02:30:00,0.0119,0.0119,0.0119,0.0119,100420168.06722689,1195000.0
2026-05-15 02:45:00,0.0119,0.012,0.0119,0.0119,1269064671.5428407,15102861.40177647
2026-05-15 03:00:00,0.0119,0.0119,0.0118,0.0118,998177764.2688545,11796151.95282626
2026-05-15 03:30:00,0.0119,0.0119,0.0118,0.0118,311455389.0142395,3675301.32146046
2026-05-15 03:45:00,0.0118,0.0119,0.0118,0.0119,345419874.6314248,4109302.35942559
2026-05-15 04:00:00,0.0119,0.0119,0.0118,0.0119,928279494.7755724,11037979.14194364
2026-05-15 04:15:00,0.0119,0.0119,0.0118,0.0118,510520274.88507223,6024223.2772573
2026-05-15 04:30:00,0.0119,0.0119,0.0118,0.0118,423062677.2725508,4992181.60862282
2026-05-15 04:45:00,0.0118,0.0118,0.0118,0.0118,211916622.06992483,2500616.14042511
2026-05-15 05:00:00,0.0118,0.0119,0.0118,0.0119,24194580.50669521,287691.94073531
2026-05-15 05:15:00,0.0119,0.0119,0.0118,0.0118,61275182.15145413,723089.96367287
2026-05-15 05:30:00,0.0119,0.0119,0.0118,0.0119,13553027.84763538,161060.9798626
2026-05-15 05:45:00,0.0119,0.0119,0.0118,0.0119,59860352.94117646,708338.2
2026-05-15 06:00:00,0.0118,0.0118,0.0118,0.0118,211508332.1464179,2495798.31932773
2026-05-15 06:15:00,0.0119,0.0119,0.0118,0.0119,11880864.5814975,141320.2608852
2026-05-15 06:30:00,0.0119,0.0119,0.0119,0.0119,446409655.6064797,5312274.90171711
