,open,high,low,close,volume,value
2026-05-08 21:15:00,565.0,565.0,565.0,565.0,10069.4296042,5689227.726373
2026-05-08 21:30:00,565.0,565.0,565.0,565.0,18202.65811447,10284501.83467555
2026-05-08 21:45:00,565.0,566.0,565.0,566.0,43352.23799659,24500146.06427966
2026-05-08 22:00:00,565.0,565.0,563.0,563.0,37.62200163,21197.21092095
2026-05-08 22:15:00,563.0,565.0,562.0,563.0,24244.43685652,13649715.24491102
2026-05-08 22:30:00,563.0,563.0,562.0,562.0,4645.62033879,2613902.69489908
2026-05-08 22:45:00,563.0,564.0,563.0,564.0,42.35059429,23867.94158527
2026-05-08 23:00:00,564.0,566.0,564.0,566.0,16669.64306868,9430795.91444578
2026-05-08 23:15:00,566.0,568.0,566.0,568.0,1859.37411639,1056035.4434623
2026-05-08 23:30:00,569.0,570.0,569.0,570.0,4437.80758636,2529135.02289456
2026-05-08 23:45:00,570.0,571.0,568.0,568.0,18612.4852085,10607860.73655082
2026-05-09 00:00:00,567.0,570.0,567.0,570.0,1034.06475648,587277.37481889
2026-05-09 00:15:00,567.0,567.0,567.0,567.0,17.85714285,10124.99999595
2026-05-09 00:30:00,567.0,568.0,567.0,568.0,84.52485033,47934.39999626
2026-05-09 00:45:00,568.0,572.0,568.0,571.0,18929.10192645,10806605.4256244
2026-05-09 01:15:00,569.0,569.0,569.0,569.0,544.641,309900.729
2026-05-09 01:30:00,569.0,572.0,568.0,570.0,28557.87278104,16292033.20035788
2026-05-09 01:45:00,570.0,571.0,570.0,571.0,1000.0,570052.06568265
2026-05-09 02:00:00,569.0,569.0,569.0,569.0,892.23635924,507682.48840756
2026-05-09 02:15:00,572.0,573.0,570.0,573.0,3511.55609743,2004091.43450574
2026-05-09 02:30:00,573.0,575.0,573.0,575.0,37997.25405678,21793149.25981827
2026-05-09 02:45:00,572.0,575.0,572.0,573.0,1673.12066456,958986.17166244
2026-05-09 03:00:00,573.0,573.0,573.0,573.0,570.97629195,327169.41528735
2026-05-09 03:15:00,575.0,577.0,575.0,577.0,8174.58941268,4704179.99409091
2026-05-09 03:30:00,577.0,577.0,577.0,577.0,2065.62348147,1191864.74880819
2026-05-09 03:45:00,577.0,578.0,576.0,576.0,236.14070917,136375.38957171
2026-05-09 04:00:00,578.0,578.0,578.0,578.0,17.18213058,9931.27147524
2026-05-09 04:15:00,578.0,578.0,576.0,578.0,2231.72580793,1289920.11698354
2026-05-09 04:30:00,577.0,577.0,575.0,575.0,615.39838369,354728.98405581
2026-05-09 04:45:00,573.0,575.0,572.0,572.0,4166.6335753,2383685.40114501
2026-05-09 05:00:00,574.0,574.0,574.0,574.0,17.48251748,10034.96503352
