,open,high,low,close,volume,value
2026-05-04 12:45:00,65.0,65.0,65.0,65.0,4951.8779072,321872.063968
2026-05-04 13:00:00,65.0,65.2,65.0,65.2,104497.64458249,6798941.64632811
2026-05-04 13:15:00,64.9,65.4,64.9,65.4,50491.28085368,3299141.87103354
2026-05-04 13:30:00,65.4,65.4,65.3,65.3,1870.42239638,122299.59090335
2026-05-04 13:45:00,65.0,65.0,65.0,65.0,397.39219259,25830.49251835
2026-05-04 14:00:00,65.2,65.2,65.2,65.2,460.12269938,29999.99999958
2026-05-04 14:45:00,65.2,65.2,65.2,65.2,7165.47484983,467188.96020892
2026-05-04 15:15:00,64.7,64.7,64.7,64.7,12826.13430713,829850.88967131
2026-05-04 15:45:00,64.9,64.9,64.9,64.9,77041.60246533,4999999.99999992
2026-05-04 16:00:00,65.1,65.1,65.1,65.1,153.37423312,9984.66257611
2026-05-04 16:15:00,65.1,65.2,65.1,65.2,11307.98175907,736336.31016852
2026-05-04 16:30:00,65.2,65.2,65.2,65.2,442.6693227,28862.03984004
2026-05-04 16:45:00,64.9,64.9,64.8,64.8,2117.70756053,137237.20332234
2026-05-04 17:00:00,64.8,64.8,64.7,64.7,17540.42350397,1135391.04305726
2026-05-04 17:15:00,64.8,64.8,64.8,64.8,3086.41975309,200000.00000023
2026-05-04 17:45:00,64.9,64.9,64.8,64.8,10845.28889836,703825.12299343
2026-05-04 18:00:00,65.0,65.0,65.0,65.0,161.55224904,10500.8961876
2026-05-04 18:15:00,65.0,65.0,65.0,65.0,5264.84389867,342214.85341355
2026-05-04 18:30:00,65.0,65.2,65.0,65.2,1789.1548,116315.55296
2026-05-04 19:00:00,65.4,65.4,64.3,64.3,170886.59681863,11017840.15903645
2026-05-04 19:15:00,64.3,64.3,63.6,63.6,249896.52205954,15916830.30548992
2026-05-04 19:30:00,64.2,64.3,64.2,64.3,7537.77715518,484193.11186256
2026-05-04 19:45:00,64.3,64.3,64.3,64.3,8595.90202974,552716.50051228
2026-05-04 20:00:00,64.5,64.5,64.5,64.5,152439.50244634,9832347.90778893
2026-05-04 20:15:00,64.5,64.6,64.5,64.6,42439.56167504,2739471.00122083
2026-05-04 20:30:00,64.2,64.7,64.2,64.7,543034.6726338,34964027.82753366
2026-05-04 20:45:00,64.6,65.2,64.3,65.1,277340.01240668,17970744.90978929
2026-05-04 21:15:00,64.7,64.7,64.7,64.7,614.43932411,39754.22426992
2026-05-04 21:30:00,64.6,64.6,64.5,64.5,5716.43997387,369252.57941462
2026-05-04 21:45:00,64.4,64.4,64.4,64.4,4951.52937617,318878.49182535
2026-05-04 22:00:00,64.2,64.2,64.2,64.2,21311.0,1368166.2
2026-05-04 22:15:00,64.4,64.4,64.4,64.4,23517.15168476,1514504.56849854
2026-05-04 22:45:00,65.1,65.1,64.8,64.8,20222.54453755,1310443.92750789
2026-05-04 23:00:00,64.4,64.4,64.1,64.3,36708.2953729,2357265.31920438
