,open,high,low,close,volume,value
2026-05-13 21:45:00,41.0,41.2,40.9,41.0,490284.21012818,20160018.73722873
2026-05-13 22:00:00,40.9,41.0,40.9,41.0,201205.83749171,8248728.43668618
2026-05-13 22:15:00,41.0,41.1,40.9,40.9,221080.15142797,9059956.52914511
2026-05-13 22:30:00,40.9,40.9,40.7,40.7,305968.33974954,12505535.5827135
2026-05-13 22:45:00,40.7,40.8,40.5,40.7,488774.45424362,19860231.11769063
2026-05-13 23:00:00,40.5,40.6,40.4,40.6,767077.70313288,31086765.28464579
2026-05-13 23:15:00,40.7,40.7,40.6,40.7,52376.05478929,2126647.82444517
2026-05-13 23:30:00,40.7,40.7,40.7,40.7,12678.30952629,516007.19772
2026-05-13 23:45:00,40.8,40.8,40.6,40.6,204799.19395564,8324290.55442468
2026-05-14 00:00:00,40.6,40.6,40.4,40.4,394120.46112206,15928180.3857039
2026-05-14 00:15:00,40.4,40.4,40.1,40.3,1974523.6755536,79576166.74411319
2026-05-14 00:30:00,40.2,40.2,40.0,40.1,479023.17089009,19200461.69469978
2026-05-14 00:45:00,40.1,40.1,39.7,39.8,290328.42085773,11600058.58687213
2026-05-14 01:00:00,39.8,39.9,39.8,39.8,161656.3919811,6442677.01040986
2026-05-14 01:15:00,40.1,40.1,40.1,40.1,115148.13895781,4617440.37220818
2026-05-14 01:30:00,40.2,40.2,40.2,40.2,493.82716049,19851.8518517
2026-05-14 01:45:00,40.2,40.2,40.1,40.1,117105.01230547,4704934.18343893
2026-05-14 02:00:00,40.3,40.3,40.1,40.3,170997.8434034,6872585.11932266
2026-05-14 02:30:00,40.2,40.2,39.9,39.9,238170.27639474,9573234.47341269
2026-05-14 03:00:00,39.9,39.9,39.1,39.3,1560307.3427644,61442916.47183438
2026-05-14 03:15:00,39.4,39.5,39.4,39.4,524104.34025778,20669093.7679402
2026-05-14 03:30:00,39.4,39.4,39.2,39.2,884690.5641144,34802834.45054027
2026-05-14 03:45:00,39.4,39.4,39.2,39.2,238713.44347266,9381307.43328294
2026-05-14 04:00:00,39.1,39.1,39.0,39.0,224341.92702467,8754649.10997982
2026-05-14 04:15:00,39.0,39.0,38.8,38.9,49949.59164422,1942499.39443956
2026-05-14 04:30:00,38.9,38.9,38.9,38.9,13833.56041129,538125.49999918
2026-05-14 04:45:00,38.9,38.9,38.7,38.8,37848.98767973,1466191.47017096
2026-05-14 05:00:00,39.0,39.0,38.8,38.8,145433.64631998,5657766.3776072
2026-05-14 05:15:00,39.0,39.1,39.0,39.1,196618.77419131,7668289.17351224
2026-05-14 05:30:00,39.1,39.1,39.0,39.0,175034.90705005,6826374.41843021
2026-05-14 05:45:00,39.1,39.1,39.0,39.1,241727.12524711,9441392.99968466
2026-05-14 06:00:00,39.1,39.1,38.9,38.9,399147.37084324,15545644.28886749
2026-05-14 06:15:00,38.9,38.9,38.8,38.8,129671.12229099,5036974.90640212
2026-05-14 06:30:00,38.8,38.9,38.8,38.9,612449.94407989,23768255.64225116
2026-05-14 06:45:00,38.8,39.0,38.8,39.0,210176.64029741,8188168.93039469
2026-05-14 07:00:00,38.9,38.9,38.8,38.8,26077.82127188,1012590.67357517
2026-05-14 07:15:00,39.0,39.1,39.0,39.0,197811.97512689,7719779.56319615
2026-05-14 07:30:00,39.1,39.2,39.1,39.2,36609.98312813,1432697.39533506
2026-05-14 07:45:00,39.2,39.2,39.0,39.1,190699.53645482,7449690.84230409
2026-05-14 08:00:00,39.1,39.1,38.9,39.0,489059.23861186,19078728.89665045
2026-05-14 08:15:00,38.9,38.9,38.7,38.9,129059.50146865,5013098.38002427
2026-05-14 08:30:00,38.9,38.9,38.9,38.9,286217.93216501,11133877.56121889
2026-05-14 08:45:00,38.9,38.9,38.8,38.8,125857.97145825,4885289.2925801
2026-05-14 09:00:00,38.8,38.8,38.2,38.6,1693932.72614687,65180505.69012392
2026-05-14 09:15:00,38.5,38.6,38.4,38.6,234468.79797234,9027341.96032004
2026-05-14 09:30:00,38.6,38.8,38.6,38.7,988201.57485511,38296444.77135326
2026-05-14 09:45:00,38.7,38.9,38.7,38.9,29039.92329935,1126170.35562767
2026-05-14 10:00:00,38.9,38.9,38.8,38.8,128030.9921319,4974226.13556166
