,open,high,low,close,volume,value
2026-05-17 12:15:00,240.0,245.0,240.0,243.0,903617.73145992,219534417.1765712
2026-05-17 12:30:00,243.0,248.0,243.0,247.0,703644.97522406,173048865.11544406
2026-05-17 12:45:00,247.0,248.0,244.0,246.0,492230.66867731,120827047.8617069
2026-05-17 13:00:00,246.0,249.0,244.0,246.0,466332.83869795,114895694.19982274
2026-05-17 13:15:00,246.0,248.0,245.0,248.0,193297.03266432,47552055.40459866
2026-05-17 13:30:00,248.0,249.0,243.0,244.0,1096296.72100337,268187961.5081696
2026-05-17 13:45:00,244.0,244.0,242.0,244.0,363718.26877159,88311097.72731876
2026-05-17 14:00:00,243.0,244.0,241.0,243.0,738462.92139867,178989526.76599666
2026-05-17 14:15:00,243.0,244.0,240.0,243.0,225830.8259597,54503676.4001853
2026-05-17 14:30:00,243.0,243.0,239.0,240.0,332216.70334088,79997929.60573855
2026-05-17 14:45:00,240.0,241.0,237.0,238.0,709545.60736291,169446861.6798014
2026-05-17 15:00:00,238.0,239.0,236.0,237.0,355414.93352424,84183248.40028037
2026-05-17 15:15:00,237.0,237.0,236.0,237.0,156350.78213984,36918070.48050136
2026-05-17 15:30:00,237.0,237.0,234.0,235.0,807682.64606352,190314012.44864646
2026-05-17 15:45:00,235.0,237.0,234.0,237.0,156963.75011127,37049714.82067708
2026-05-17 16:00:00,237.0,240.0,237.0,237.0,146882.09301949,34995370.60354905
2026-05-17 16:15:00,237.0,239.0,237.0,239.0,146757.30968424,34912930.57570474
2026-05-17 16:30:00,239.0,240.0,238.0,239.0,149663.02237205,35767560.37553268
2026-05-17 16:45:00,239.0,240.0,238.0,239.0,70503.94337836,16849722.98518527
2026-05-17 17:00:00,239.0,241.0,239.0,240.0,88503.06162156,21224147.14615019
2026-05-17 17:15:00,240.0,240.0,239.0,239.0,140338.368412,33649673.3646523
2026-05-17 17:30:00,240.0,242.0,239.0,242.0,89680.97623793,21583639.91087456
2026-05-17 17:45:00,242.0,243.0,240.0,240.0,202656.50632122,48792127.86608956
2026-05-17 18:00:00,241.0,243.0,241.0,242.0,60440.60389575,14652215.19986736
2026-05-17 18:15:00,242.0,244.0,242.0,242.0,187001.05003418,45372401.40009307
2026-05-17 18:30:00,241.0,242.0,241.0,242.0,53618.20849334,12946445.68307735
2026-05-17 18:45:00,242.0,243.0,241.0,243.0,97026.7083562,23410479.02988234
2026-05-17 19:00:00,243.0,245.0,242.0,245.0,296441.46961079,72108686.55414924
2026-05-17 19:15:00,245.0,246.0,243.0,243.0,146210.79662017,35790524.68800523
2026-05-17 19:30:00,243.0,243.0,240.0,241.0,104387.31248862,25197970.79140167
2026-05-17 19:45:00,242.0,242.0,241.0,242.0,81065.7664224,19547675.65401451
2026-05-17 20:00:00,241.0,242.0,240.0,241.0,50581.71614727,12201046.03667216
2026-05-17 20:15:00,242.0,245.0,242.0,244.0,99760.95389159,24211384.46815843
2026-05-17 20:30:00,243.0,244.0,243.0,244.0,36851.60850586,8983114.67939205
2026-05-17 20:45:00,244.0,244.0,241.0,242.0,38990.35095245,9457478.3041781
2026-05-17 21:00:00,242.0,243.0,242.0,242.0,51184.79728158,12386825.62014235
2026-05-17 21:15:00,242.0,243.0,242.0,243.0,52207.97982823,12634739.91843166
2026-05-17 21:30:00,243.0,243.0,242.0,242.0,22000.24685348,5325163.86549101
2026-05-17 21:45:00,242.0,244.0,242.0,243.0,27388.696973,6656548.36474506
2026-05-17 22:00:00,243.0,245.0,243.0,245.0,85980.54889186,21001590.21509813
2026-05-17 22:15:00,245.0,246.0,245.0,246.0,151899.73469573,37271012.92493598
2026-05-17 22:30:00,245.0,249.0,245.0,247.0,389387.16871709,96244753.07102472
2026-05-17 22:45:00,247.0,249.0,244.0,247.0,564937.03833164,139465136.28705758
2026-05-17 23:00:00,247.0,248.0,246.0,247.0,352892.53519195,86885406.24363299
2026-05-17 23:15:00,246.0,250.0,246.0,250.0,397040.01745065,98628052.92866737
2026-05-17 23:30:00,249.0,250.0,247.0,247.0,505516.42575868,125442261.25088564
2026-05-17 23:45:00,248.0,248.0,244.0,245.0,469313.83999112,114961279.00314775
2026-05-18 00:00:00,245.0,245.0,243.0,243.0,206464.68588019,50329716.61290281
2026-05-18 00:15:00,243.0,243.0,241.0,241.0,283204.43284241,68744757.13071015
2026-05-18 00:30:00,242.0,243.0,241.0,243.0,104374.32406599,25263946.97747752
2026-05-18 00:45:00,243.0,243.0,242.0,243.0,9503.3845008,2308909.21055391
2026-05-18 01:00:00,243.0,244.0,242.0,243.0,158282.92436085,38605461.21293238
2026-05-18 01:15:00,243.0,244.0,243.0,244.0,349668.03535992,85270044.12259258
2026-05-18 01:30:00,244.0,244.0,240.0,241.0,127727.80252923,30784308.18140951
2026-05-18 01:45:00,241.0,245.0,241.0,245.0,235673.51935169,57190620.33620879
2026-05-18 02:00:00,246.0,246.0,245.0,246.0,39888.85285511,9810159.61855989
2026-05-18 02:15:00,245.0,246.0,244.0,244.0,3686.55415853,902008.75623881
2026-05-18 02:30:00,243.0,243.0,240.0,240.0,100319.36188176,24121529.22918075
2026-05-18 02:45:00,240.0,240.0,239.0,240.0,63618.94164813,15246753.92157203
2026-05-18 03:00:00,239.0,240.0,238.0,238.0,114418.3380138,27373953.86886576
2026-05-18 03:15:00,238.0,245.0,238.0,244.0,444637.5307013,106829723.30215932
2026-05-18 03:30:00,244.0,244.0,241.0,241.0,70174.4966143,17048840.48339764
2026-05-18 03:45:00,241.0,242.0,241.0,242.0,42316.08248932,10203974.003399
2026-05-18 04:00:00,241.0,243.0,240.0,240.0,52302.8423506,12596056.68525626
2026-05-18 04:15:00,241.0,242.0,241.0,241.0,4370.24298643,1053945.55972962
2026-05-18 04:30:00,241.0,242.0,241.0,242.0,52027.19500633,12547976.3882542
2026-05-18 04:45:00,242.0,243.0,242.0,243.0,137651.6971092,33319136.76338934
2026-05-18 05:00:00,242.0,243.0,242.0,243.0,70252.46381446,17052572.21954889
2026-05-18 05:15:00,243.0,244.0,243.0,244.0,45932.90023789,11190308.93218832
2026-05-18 05:30:00,244.0,244.0,243.0,244.0,51483.22972739,12556302.18571457
2026-05-18 05:45:00,244.0,244.0,243.0,244.0,11560.34602535,2815447.04533906
2026-05-18 06:00:00,243.0,243.0,241.0,241.0,163302.70989297,39625211.67992578
2026-05-18 06:15:00,241.0,242.0,241.0,242.0,70984.62227739,17144582.58666369
2026-05-18 06:30:00,241.0,242.0,240.0,240.0,149752.76255298,36067275.47525555
2026-05-18 07:00:00,240.0,240.0,238.0,239.0,164584.47186936,39321535.13872254
2026-05-18 07:15:00,239.0,239.0,238.0,238.0,42069.21561093,10051798.0893327
2026-05-18 07:30:00,238.0,238.0,238.0,238.0,16473.82101183,3920769.40081554
2026-05-18 07:45:00,238.0,240.0,238.0,240.0,172585.82599863,41095955.55836659
2026-05-18 08:00:00,239.0,240.0,239.0,239.0,163792.79859496,39257060.95178382
2026-05-18 08:15:00,239.0,239.0,237.0,239.0,104710.50646993,24913771.98609212
2026-05-18 08:30:00,238.0,239.0,234.0,238.0,360913.61838805,85034222.44027832
2026-05-18 08:45:00,237.0,240.0,237.0,238.0,133506.97665392,31817985.26039334
2026-05-18 09:00:00,238.0,238.0,232.0,233.0,615807.1810828,144602766.66602615
2026-05-18 09:15:00,233.0,235.0,233.0,235.0,216024.42001892,50442669.38589677
2026-05-18 09:30:00,236.0,237.0,235.0,236.0,121136.78589684,28586015.03019758
2026-05-18 09:45:00,235.0,235.0,234.0,235.0,141508.24332969,33225608.34487912
2026-05-18 10:00:00,235.0,237.0,235.0,236.0,62729.60408823,14823220.40928908
2026-05-18 10:15:00,236.0,237.0,235.0,235.0,83345.37780026,19640393.03842508
2026-05-18 10:30:00,235.0,236.0,234.0,236.0,115534.68999842,27214142.81085718
2026-05-18 10:45:00,236.0,238.0,236.0,236.0,96986.30731569,23010338.24224814
2026-05-18 11:00:00,238.0,243.0,238.0,243.0,286216.20042803,69318013.83897492
2026-05-18 11:15:00,242.0,243.0,241.0,242.0,192997.74811593,46738468.93824831
