,open,high,low,close,volume,value
2026-05-14 17:45:00,83.0,83.0,82.7,82.7,126091.11457974,10437567.65750329
2026-05-14 18:00:00,82.7,82.7,82.6,82.6,43669.10062048,3610306.71986947
2026-05-14 18:15:00,82.6,82.7,82.5,82.5,16658.72936087,1377229.97362104
2026-05-14 18:30:00,82.5,82.6,82.3,82.3,99126.49150809,8166762.24985987
2026-05-14 18:45:00,82.4,82.5,82.3,82.3,73608.76286801,6062972.28224477
2026-05-14 19:00:00,82.4,82.6,82.0,82.4,139869.16260863,11499112.08396363
2026-05-14 19:15:00,82.4,82.5,82.3,82.5,193756.79859035,15982672.93661306
2026-05-14 19:30:00,82.7,82.8,82.1,82.4,498737.92866175,41072164.83911471
2026-05-14 19:45:00,82.4,82.4,82.1,82.2,12229.61316477,1004928.6360584
2026-05-14 20:00:00,82.6,82.6,82.3,82.3,24716.54834867,2035596.37651137
2026-05-14 20:15:00,82.3,82.4,81.9,81.9,345806.20700588,28451469.37625014
2026-05-14 20:30:00,81.9,82.0,81.8,82.0,186400.72864279,15269097.03066504
2026-05-14 20:45:00,81.9,81.9,81.7,81.9,86871.11246599,7107814.56096223
2026-05-14 21:00:00,81.8,82.5,81.8,82.5,107407.72883349,8798548.14073923
2026-05-14 21:15:00,82.5,82.5,82.3,82.4,100895.1962096,8313913.49600341
2026-05-14 21:30:00,82.6,82.7,82.5,82.5,3385.06511783,279428.64015176
2026-05-14 21:45:00,82.8,83.0,82.8,83.0,55673.83252955,4620485.57970664
2026-05-14 22:00:00,82.8,82.9,82.6,82.6,84307.80269851,6970483.75110337
2026-05-14 22:15:00,82.6,82.9,82.6,82.7,19317.45920586,1596871.8182056
2026-05-14 22:30:00,82.8,82.8,82.3,82.3,3634.46561932,300293.21695645
2026-05-14 22:45:00,82.8,83.2,82.8,82.9,386397.96674613,32101476.77162733
2026-05-14 23:00:00,82.9,83.2,82.5,82.9,68896.20533162,5701420.38994829
2026-05-14 23:15:00,82.9,83.5,82.9,83.5,110259.29595059,9159826.28765866
2026-05-14 23:30:00,83.5,83.6,83.4,83.6,165799.68273345,13845803.5389847
2026-05-14 23:45:00,83.6,84.1,83.6,83.8,42603.31381876,3577913.39525502
2026-05-15 00:00:00,83.8,83.8,83.4,83.4,113593.33657578,9493588.17390708
2026-05-15 00:15:00,83.5,84.3,83.5,84.3,39583.79871747,3333201.34319352
2026-05-15 00:30:00,84.4,84.5,83.9,83.9,46176.20841444,3881154.91870789
2026-05-15 00:45:00,84.0,84.5,84.0,84.3,95048.1812646,7996208.15132433
2026-05-15 01:00:00,84.2,84.6,84.2,84.5,18485.86889883,1561270.74947
2026-05-15 01:15:00,84.5,84.5,84.0,84.1,117944.95792871,9954121.72220685
2026-05-15 01:30:00,84.1,84.1,83.8,83.8,88108.74013719,7409808.0829592
2026-05-15 01:45:00,83.7,84.1,83.2,84.1,123566.79200871,10309943.13593662
2026-05-15 02:00:00,84.2,84.3,84.2,84.3,17496.25456796,1473960.44197692
2026-05-15 02:15:00,84.0,84.0,83.5,83.7,8339.13827215,696524.08626552
2026-05-15 02:30:00,83.9,84.3,83.9,84.2,34047.08907696,2866226.06458964
2026-05-15 02:45:00,84.4,84.6,84.4,84.6,58242.81282747,4921433.93020554
2026-05-15 03:00:00,84.3,84.3,83.9,84.2,157569.4931144,13243329.1203133
2026-05-15 03:15:00,84.3,84.5,84.3,84.5,59755.0742767,5047957.32274602
2026-05-15 03:30:00,84.4,84.4,84.4,84.4,1497.49769664,126388.80559642
2026-05-15 03:45:00,84.6,84.6,84.6,84.6,2128.0,180028.8
2026-05-15 04:00:00,84.6,84.7,84.2,84.2,35356.36751544,2978191.73745254
2026-05-15 04:15:00,84.1,84.1,84.1,84.1,1563.81688467,131517.00000075
2026-05-15 04:30:00,84.0,84.0,84.0,84.0,128.62251429,10804.29120036
2026-05-15 04:45:00,84.0,84.0,83.8,83.8,20438.14417462,1713328.55125062
2026-05-15 05:00:00,83.8,83.8,83.6,83.6,128107.9841173,10735404.3790864
2026-05-15 05:15:00,83.5,83.5,83.2,83.2,37751.79093134,3150158.2442054
2026-05-15 05:30:00,83.2,83.4,83.2,83.3,7041.95744256,586486.41811116
2026-05-15 05:45:00,83.4,83.5,83.4,83.5,33579.42025466,2800535.64927751
2026-05-15 06:00:00,83.6,83.6,83.3,83.3,14374.11380412,1201079.88765658
2026-05-15 06:15:00,83.2,83.5,83.2,83.5,29825.18398674,2481546.339074
2026-05-15 06:30:00,83.4,83.4,83.4,83.4,48752.767027,4065980.7700518
2026-05-15 06:45:00,83.4,83.4,83.4,83.4,23043.14934728,1921798.65556315
2026-05-15 07:00:00,83.3,83.3,83.3,83.3,53439.92717481,4451545.93366167
2026-05-15 07:15:00,83.6,83.7,83.5,83.7,5872.55809319,491389.21102712
2026-05-15 07:30:00,83.6,83.8,83.6,83.7,16042.21389088,1342965.66496663
2026-05-15 07:45:00,83.8,83.8,83.7,83.7,10360.10558526,867153.4773092
2026-05-15 08:00:00,83.7,83.8,83.5,83.5,306461.63109624,25640539.84463098
2026-05-15 08:15:00,83.7,83.7,83.6,83.6,310.4338194,25976.13365029
2026-05-15 08:30:00,83.6,83.6,83.2,83.2,47938.24572086,3994700.00721741
2026-05-15 08:45:00,83.3,83.3,83.0,83.0,72201.89949788,5996564.21609042
2026-05-15 09:00:00,83.1,83.7,83.1,83.7,77169.57850079,6431421.40858884
2026-05-15 09:15:00,83.7,83.8,83.4,83.6,62947.90043669,5252262.27622329
2026-05-15 09:30:00,83.5,83.5,83.1,83.1,280431.27102667,23369639.14068534
2026-05-15 09:45:00,83.1,83.5,83.1,83.5,12477.84784236,1037354.20165802
2026-05-15 10:00:00,83.5,83.5,83.3,83.3,36472.46536645,3040652.1795623
2026-05-15 10:15:00,83.3,83.3,83.2,83.3,7008.01730893,583720.99294908
2026-05-15 10:30:00,83.3,83.3,83.1,83.1,163237.24681377,13592541.12226981
2026-05-15 10:45:00,83.3,83.4,83.3,83.3,9679.33042242,806294.3392955
2026-05-15 11:00:00,83.1,83.4,82.9,83.0,38381.69393556,3189320.92655169
2026-05-15 11:15:00,82.9,83.1,82.7,82.8,102570.28073655,8493250.76473748
2026-05-15 11:30:00,82.8,83.0,82.2,83.0,767071.29268973,63333365.54182481
2026-05-15 11:45:00,83.0,83.2,82.7,83.2,92431.53223899,7664800.87206392
2026-05-15 12:00:00,83.2,83.2,82.9,82.9,13970.27795668,1160876.92351672
2026-05-15 12:15:00,83.0,83.1,82.7,83.1,9514.15078735,789711.43144728
2026-05-15 12:30:00,83.1,83.1,82.6,82.8,172154.27404387,14233435.91386657
2026-05-15 13:00:00,82.7,82.9,82.7,82.7,6547.90658459,541535.99999795
2026-05-15 13:15:00,82.6,82.6,82.1,82.1,344200.84850844,28324561.96102961
2026-05-15 13:30:00,82.3,82.3,81.8,82.2,48768.74014752,3995280.46512453
2026-05-15 13:45:00,82.0,82.1,82.0,82.0,113588.66186288,9318019.05324396
2026-05-15 14:00:00,82.0,82.0,81.6,81.8,250426.27669211,20525521.83471185
2026-05-15 14:15:00,81.7,81.9,81.7,81.8,315404.82709989,25805469.60059247
2026-05-15 14:30:00,81.8,81.8,80.8,81.2,648919.65707021,52779573.14358907
2026-05-15 14:45:00,81.2,81.2,80.7,80.8,230612.71267289,18679131.34116826
2026-05-15 15:00:00,80.7,81.3,80.6,81.1,178127.93434794,14417336.85934231
2026-05-15 15:15:00,81.1,81.1,80.9,81.0,122223.90113829,9894675.11785216
2026-05-15 15:30:00,81.3,81.5,81.3,81.3,88664.01815522,7217928.18209594
2026-05-15 15:45:00,81.5,81.5,81.4,81.5,41656.18210441,3394769.99630057
2026-05-15 16:00:00,81.5,81.6,81.5,81.6,9410.4170588,766955.12999808
2026-05-15 16:15:00,81.7,81.9,81.4,81.9,9952.86461926,812630.91178405
2026-05-15 16:30:00,82.0,82.1,81.5,81.5,130415.71756237,10664388.95201179
2026-05-15 16:45:00,81.4,81.8,81.4,81.8,69624.04143278,5687987.93445647
2026-05-15 17:00:00,81.8,81.8,81.8,81.8,46770.81961158,3825853.04422724
2026-05-15 17:15:00,81.5,81.5,81.3,81.3,118146.43725319,9607559.60658668
2026-05-15 17:30:00,81.2,81.5,81.2,81.5,184081.22075148,14951358.86433549
2026-05-15 17:45:00,81.3,81.3,81.1,81.1,86870.23404255,7055083.44616939
2026-05-15 18:00:00,81.1,81.4,81.1,81.4,43328.47031677,3513990.50474685
2026-05-15 18:15:00,81.2,81.4,81.1,81.4,70509.27405846,5731223.25056998
2026-05-15 18:30:00,81.4,81.4,81.0,81.2,31126.87534954,2526429.64573299
2026-05-15 18:45:00,81.2,81.2,81.0,81.0,41356.85794942,3350728.47157674
2026-05-15 19:00:00,81.0,81.2,81.0,81.2,76340.90982259,6189540.4429498
2026-05-15 19:15:00,81.1,81.1,81.1,81.1,73058.79629877,5925068.37983025
2026-05-15 19:30:00,81.2,81.2,81.0,81.0,86018.90628295,6976737.36717032
