,open,high,low,close,volume,value
2026-05-12 12:15:00,6.5,6.5,6.48,6.49,2039388.51215032,13234234.38348976
2026-05-12 12:30:00,6.49,6.5,6.49,6.5,582730.9698837,3787751.30424071
2026-05-12 12:45:00,6.48,6.48,6.48,6.48,410824.62925055,2662143.59754356
2026-05-12 13:00:00,6.47,6.48,6.46,6.46,345741.35345606,2233637.62652686
2026-05-12 13:15:00,6.46,6.47,6.46,6.46,205400.57481101,1326895.78219912
2026-05-12 13:30:00,6.46,6.49,6.46,6.47,685129.24314472,4433970.11804225
2026-05-12 13:45:00,6.48,6.48,6.46,6.46,580688.81963013,3758436.1932309
2026-05-12 14:00:00,6.45,6.46,6.44,6.44,1428197.00993723,9214937.17861326
2026-05-12 14:15:00,6.44,6.44,6.44,6.44,469958.48090111,3026532.61700315
2026-05-12 14:30:00,6.46,6.46,6.46,6.46,10927.18922455,70589.64239059
2026-05-12 14:45:00,6.46,6.47,6.45,6.47,488988.2045501,3154011.06541884
2026-05-12 15:00:00,6.47,6.47,6.46,6.46,567115.99782195,3669085.70714641
2026-05-12 15:15:00,6.45,6.47,6.45,6.45,488541.69002636,3151296.54054637
2026-05-12 15:30:00,6.45,6.45,6.43,6.43,792496.67352254,5108704.65084112
2026-05-12 15:45:00,6.43,6.43,6.42,6.42,1172581.09282753,7531781.85061485
2026-05-12 16:00:00,6.42,6.42,6.39,6.4,3729622.70003018,23877673.14601485
2026-05-12 16:15:00,6.43,6.43,6.42,6.43,162982.79450087,1047824.3298809
2026-05-12 16:30:00,6.43,6.43,6.42,6.42,75546.11067192,485577.24263084
2026-05-12 16:45:00,6.41,6.43,6.41,6.42,155440.82498393,998520.61030238
2026-05-12 17:00:00,6.42,6.42,6.42,6.42,1169712.41275779,7509553.68990501
2026-05-12 17:15:00,6.41,6.42,6.39,6.41,608465.59878147,3898463.94382178
2026-05-12 17:30:00,6.41,6.43,6.4,6.43,848580.88144871,5448990.9354271
2026-05-12 17:45:00,6.43,6.44,6.43,6.43,251714.12779503,1618529.60724999
2026-05-12 18:00:00,6.43,6.43,6.43,6.43,232157.49766719,1492772.71000003
2026-05-12 18:15:00,6.43,6.43,6.41,6.43,931226.10967922,5974332.42096815
2026-05-12 18:30:00,6.43,6.47,6.43,6.47,1096775.39631817,7063272.29024458
2026-05-12 18:45:00,6.47,6.47,6.45,6.46,300235.72869235,1941254.86451759
2026-05-12 19:00:00,6.45,6.45,6.42,6.42,2494989.35246449,16047784.53189342
2026-05-12 19:15:00,6.43,6.43,6.42,6.42,725090.68368959,4659029.8162998
2026-05-12 19:30:00,6.41,6.41,6.38,6.38,3572128.55091286,22830791.31391707
2026-05-12 19:45:00,6.41,6.41,6.41,6.41,780.18720748,5000.99999995
2026-05-12 20:00:00,6.4,6.4,6.36,6.37,2123778.80598316,13532159.07454291
2026-05-12 20:15:00,6.38,6.38,6.34,6.36,1714837.44123589,10892063.85405749
2026-05-12 20:30:00,6.36,6.37,6.35,6.37,201570.74793831,1280124.185672
2026-05-12 20:45:00,6.36,6.37,6.35,6.37,1075090.22823165,6838672.11268926
2026-05-12 21:00:00,6.37,6.37,6.34,6.36,1881688.7324625,11949821.86140277
2026-05-12 21:15:00,6.36,6.37,6.36,6.37,140224.15564935,891888.42427837
2026-05-12 21:30:00,6.37,6.39,6.34,6.36,1384055.00221005,8806426.2125083
2026-05-12 21:45:00,6.36,6.36,6.36,6.36,202389.60723464,1287197.90201231
2026-05-12 22:00:00,6.38,6.38,6.37,6.37,196095.49153015,1249887.53235751
2026-05-12 22:15:00,6.37,6.38,6.36,6.36,574134.15123581,3651997.20844725
2026-05-12 22:30:00,6.36,6.41,6.35,6.4,1122678.24098473,7169609.25150487
2026-05-12 22:45:00,6.41,6.41,6.35,6.35,1869596.98637791,11924357.14820045
2026-05-12 23:00:00,6.35,6.36,6.34,6.35,1684168.00646181,10710353.3652071
2026-05-12 23:15:00,6.36,6.36,6.32,6.32,4114674.166641,26053594.15243186
2026-05-12 23:30:00,6.32,6.34,6.28,6.34,3706091.26595486,23336369.88317783
2026-05-12 23:45:00,6.33,6.33,6.29,6.29,4570343.14770035,28906517.82414701
2026-05-13 00:00:00,6.3,6.32,6.29,6.31,314384.21107498,1983428.21739554
2026-05-13 00:15:00,6.31,6.31,6.28,6.3,201194.40825497,1264969.74401561
2026-05-13 00:30:00,6.31,6.34,6.31,6.33,600683.96649748,3799016.3085213
2026-05-13 00:45:00,6.33,6.33,6.31,6.31,268883.89002463,1699833.3315224
2026-05-13 01:00:00,6.3,6.33,6.29,6.33,688335.28580194,4348342.02723549
2026-05-13 01:15:00,6.33,6.33,6.33,6.33,292876.81618156,1853910.24642927
2026-05-13 01:30:00,6.31,6.33,6.31,6.33,82039.30679048,519158.85883052
2026-05-13 01:45:00,6.31,6.31,6.31,6.31,71121.649131,448777.60601661
2026-05-13 02:00:00,6.33,6.33,6.33,6.33,4606387.00752039,29158429.75760407
2026-05-13 02:15:00,6.34,6.36,6.34,6.36,565921.11421101,3599138.68961601
2026-05-13 02:30:00,6.36,6.36,6.36,6.36,207989.19880424,1322811.30439497
2026-05-13 03:00:00,6.37,6.38,6.37,6.38,161457.67169601,1028493.20726158
2026-05-13 03:30:00,6.38,6.38,6.38,6.38,99514.89430935,634905.02569365
2026-05-13 03:45:00,6.38,6.39,6.38,6.39,63527.073,405937.99646288
2026-05-13 04:00:00,6.39,6.4,6.39,6.4,5453.68827958,34903.60498902
2026-05-13 04:15:00,6.4,6.4,6.4,6.4,19468.314,124597.2096
2026-05-13 04:30:00,6.38,6.43,6.37,6.42,1074414.18836397,6891502.41854814
2026-05-13 04:45:00,6.41,6.41,6.41,6.41,1568.25053768,10052.48594653
2026-05-13 05:00:00,6.41,6.41,6.4,6.4,498111.76887839,3192880.7560051
2026-05-13 05:15:00,6.41,6.43,6.4,6.43,465072.3334288,2983310.00948652
2026-05-13 05:30:00,6.43,6.43,6.41,6.41,39556.34795334,253587.29457998
2026-05-13 05:45:00,6.41,6.44,6.41,6.44,223935.73159503,1439914.51966799
2026-05-13 06:00:00,6.44,6.44,6.44,6.44,905550.75045331,5831746.83291932
2026-05-13 06:15:00,6.42,6.42,6.38,6.39,656706.35760645,4208522.10612813
2026-05-13 06:30:00,6.39,6.4,6.37,6.39,802334.60529639,5111207.32337295
2026-05-13 06:45:00,6.38,6.38,6.38,6.38,531512.12732464,3391047.3723312
2026-05-13 07:00:00,6.39,6.4,6.37,6.4,10428.50165565,66491.62336949
2026-05-13 07:30:00,6.38,6.39,6.37,6.39,1129297.79139871,7202358.71307873
2026-05-13 07:45:00,6.39,6.39,6.39,6.39,164647.4736917,1052097.35688996
2026-05-13 08:00:00,6.38,6.38,6.38,6.38,213729.57475516,1363594.68693792
2026-05-13 08:15:00,6.38,6.38,6.37,6.38,290882.35154472,1855688.99693897
2026-05-13 08:30:00,6.37,6.37,6.36,6.36,775722.79793315,4939972.99401115
2026-05-13 08:45:00,6.35,6.35,6.35,6.35,364668.06544875,2315642.21559956
2026-05-13 09:00:00,6.36,6.36,6.33,6.35,1680527.10739293,10651893.18298428
2026-05-13 09:15:00,6.35,6.36,6.34,6.36,2206677.19398346,14034154.25103632
2026-05-13 09:30:00,6.36,6.37,6.36,6.37,592783.46863918,3770110.71140861
2026-05-13 09:45:00,6.36,6.37,6.33,6.37,2303595.75828455,14598950.13410813
2026-05-13 10:00:00,6.35,6.41,6.35,6.41,296298.33997403,1892828.3524349
2026-05-13 10:15:00,6.41,6.42,6.41,6.42,1635559.24841667,10499082.125655
2026-05-13 10:30:00,6.42,6.45,6.42,6.45,832586.5424282,5359040.92785964
2026-05-13 10:45:00,6.45,6.45,6.42,6.43,821229.40141881,5279436.50715949
2026-05-13 11:00:00,6.43,6.44,6.41,6.44,145845.92063591,937672.59150762
2026-05-13 11:15:00,6.42,6.45,6.42,6.45,556976.13965533,3589812.88142864
2026-05-13 11:30:00,6.45,6.45,6.45,6.45,789.90697674,5094.89999997
2026-05-13 11:45:00,6.42,6.45,6.42,6.45,156838.75968992,1011582.99999998
2026-05-13 12:00:00,6.42,6.42,6.42,6.42,314011.28321239,2015952.43822354
2026-05-13 12:15:00,6.44,6.45,6.44,6.44,331260.16600503,2135003.74933239
2026-05-13 12:30:00,6.44,6.44,6.43,6.43,1200544.18232774,7731396.5854084
2026-05-13 12:45:00,6.43,6.43,6.42,6.43,1933453.71561561,12431172.81196912
2026-05-13 13:00:00,6.43,6.45,6.43,6.45,1298075.22522816,8363805.35629856
2026-05-13 13:15:00,6.45,6.45,6.42,6.42,435130.09882742,2806152.70227326
2026-05-13 13:45:00,6.42,6.45,6.42,6.44,421754.48408441,2712651.92413545
2026-05-13 14:15:00,6.42,6.42,6.41,6.41,480288.22369937,3079191.98480593
2026-05-13 14:30:00,6.41,6.41,6.4,6.4,93925.05684592,601246.26616784
2026-05-13 14:45:00,6.41,6.41,6.4,6.4,105932.53885215,678740.86702476
2026-05-13 15:00:00,6.39,6.39,6.39,6.39,221799.95032877,1417301.68260084
2026-05-13 15:15:00,6.4,6.4,6.4,6.4,311173.25663819,1991508.84248442
2026-05-13 15:45:00,6.4,6.4,6.4,6.4,510225.10846045,3265440.69414688
2026-05-13 16:00:00,6.4,6.4,6.4,6.4,271001.81085304,1734411.58945946
2026-05-13 16:15:00,6.4,6.41,6.39,6.39,44531.20184208,284614.2380576
2026-05-13 16:30:00,6.38,6.38,6.35,6.37,2764862.6887421,17600776.64292089
2026-05-13 16:45:00,6.37,6.38,6.36,6.38,600078.26061537,3827364.78921486
2026-05-13 17:00:00,6.38,6.38,6.36,6.38,441834.03850968,2817266.26011434
2026-05-13 17:15:00,6.38,6.38,6.36,6.38,1297954.93832208,8279332.68540727
2026-05-13 17:30:00,6.38,6.42,6.38,6.42,1995525.31530067,12743335.00836647
2026-05-13 17:45:00,6.41,6.41,6.4,6.41,568641.11766153,3644698.73999629
2026-05-13 18:00:00,6.4,6.42,6.4,6.42,273386.58927507,1752919.83108608
2026-05-13 18:15:00,6.42,6.45,6.42,6.45,1057707.27113243,6818774.17532206
2026-05-13 18:30:00,6.44,6.46,6.44,6.46,1421021.85475638,9168679.77300789
2026-05-13 18:45:00,6.46,6.47,6.45,6.45,239804.80583078,1549049.16400965
2026-05-13 19:00:00,6.45,6.45,6.41,6.44,503058.1348216,3239826.77704867
2026-05-13 19:15:00,6.44,6.44,6.41,6.41,833500.99315224,5355789.40266394
2026-05-13 19:30:00,6.41,6.42,6.4,6.4,206712.89145702,1325013.52795544
2026-05-13 19:45:00,6.4,6.43,6.38,6.43,593922.90000824,3791248.54182354
2026-05-13 20:00:00,6.42,6.42,6.38,6.38,762722.70602607,4878059.49976333
2026-05-13 20:15:00,6.4,6.43,6.4,6.43,2272263.59971606,14544039.09362431
2026-05-13 20:30:00,6.42,6.42,6.42,6.42,106451.78996261,683420.49155996
2026-05-13 20:45:00,6.42,6.42,6.36,6.39,638687.14414268,4074405.95832349
2026-05-13 21:00:00,6.39,6.4,6.37,6.4,650275.97296138,4157988.33668248
2026-05-13 21:15:00,6.38,6.4,6.35,6.36,1381889.32598565,8790662.54645449
2026-05-13 21:30:00,6.35,6.35,6.29,6.31,7071192.82966913,44673556.94220008
2026-05-13 21:45:00,6.32,6.32,6.26,6.27,3738776.22407171,23467011.71126007
2026-05-13 22:00:00,6.27,6.28,6.26,6.26,598456.24969789,3746832.45668919
2026-05-13 22:15:00,6.27,6.29,6.26,6.26,604281.10510425,3783967.81122687
2026-05-13 22:30:00,6.26,6.28,6.23,6.23,3944547.13340122,24663189.65274063
2026-05-13 22:45:00,6.23,6.23,6.2,6.22,4948259.99429459,30743760.40743135
2026-05-13 23:00:00,6.2,6.22,6.18,6.22,3260575.55467847,20212012.46065361
2026-05-13 23:15:00,6.22,6.24,6.21,6.24,688726.4592041,4286452.46748377
2026-05-13 23:30:00,6.23,6.23,6.22,6.23,789851.54855844,4920368.4699829
2026-05-13 23:45:00,6.22,6.23,6.21,6.23,2097543.75316507,13036328.24493199
2026-05-14 00:00:00,6.21,6.22,6.17,6.17,3911023.10902372,24235077.94236273
2026-05-14 00:15:00,6.17,6.17,6.15,6.17,2180695.97656202,13434046.09753224
