,open,high,low,close,volume,value
2026-05-13 16:15:00,120.0,121.0,120.0,121.0,15234.4653431,1834091.96707255
2026-05-13 16:30:00,121.0,121.0,120.0,121.0,106892.2339361,12827209.43596836
2026-05-13 16:45:00,121.0,121.0,119.0,119.0,138465.3504009,16614241.74703129
2026-05-13 17:00:00,120.0,120.0,119.0,120.0,43823.50698267,5234613.45492117
2026-05-13 17:15:00,120.0,121.0,120.0,121.0,19573.98481053,2349789.95953477
2026-05-13 17:30:00,119.0,121.0,119.0,121.0,4179.31204541,501509.40680751
2026-05-13 17:45:00,120.0,120.0,120.0,120.0,34869.35958332,4184323.1499984
2026-05-13 18:00:00,120.0,121.0,119.0,119.0,11601.22041986,1390511.31090118
2026-05-13 18:15:00,120.0,121.0,120.0,120.0,24695.04261152,2966719.06807447
2026-05-13 18:30:00,120.0,121.0,120.0,121.0,31078.08099624,3729456.61597204
2026-05-13 18:45:00,121.0,121.0,120.0,120.0,7364.1374222,885322.93694499
2026-05-13 19:00:00,120.0,121.0,120.0,121.0,11942.58102666,1439833.79670586
2026-05-13 19:15:00,120.0,121.0,120.0,120.0,148975.92202958,17882110.6435496
2026-05-13 19:30:00,120.0,120.0,119.0,119.0,61912.73405135,7371779.93544398
2026-05-13 19:45:00,119.0,120.0,119.0,120.0,66278.12000481,7887187.72245017
2026-05-13 20:00:00,120.0,120.0,119.0,119.0,23848.73198595,2838041.10632805
2026-05-13 20:15:00,119.0,120.0,119.0,120.0,25939.55437505,3095198.27216783
2026-05-13 20:30:00,119.0,120.0,119.0,120.0,24813.54209222,2953734.44490913
2026-05-13 20:45:00,120.0,120.0,119.0,120.0,270471.68580391,32249182.57609007
2026-05-13 21:00:00,120.0,120.0,119.0,119.0,189924.26388231,22606696.76953106
2026-05-13 21:15:00,120.0,120.0,118.0,119.0,70891.14483531,8393138.41474611
2026-05-13 21:30:00,118.0,119.0,116.0,117.0,1119126.06514048,130705967.0180284
2026-05-13 21:45:00,117.0,117.0,116.0,117.0,100833.1646891,11796488.2143948
2026-05-13 22:00:00,117.0,118.0,116.0,118.0,281351.704524,32968100.93547133
2026-05-13 22:15:00,117.0,118.0,117.0,117.0,198077.01176331,23175228.31745846
2026-05-13 22:30:00,117.0,117.0,116.0,117.0,76068.98767447,8894657.0654166
2026-05-13 22:45:00,116.0,117.0,115.0,116.0,503673.94582829,58139661.60396722
2026-05-13 23:00:00,115.0,116.0,115.0,115.0,249789.76900851,28809802.35187412
2026-05-13 23:15:00,115.0,116.0,115.0,115.0,23103.19136864,2659672.26601428
2026-05-13 23:30:00,115.0,116.0,115.0,115.0,114153.22384741,13145337.78910123
2026-05-13 23:45:00,115.0,116.0,115.0,115.0,8840.86748427,1022335.17448415
2026-05-14 00:00:00,116.0,116.0,114.0,114.0,140240.65267633,16131109.00977892
2026-05-14 00:15:00,114.0,115.0,114.0,115.0,59336.09414315,6764604.12675231
2026-05-14 00:30:00,114.0,114.0,113.0,114.0,346542.4691248,39430051.77903866
2026-05-14 00:45:00,114.0,114.0,114.0,114.0,93877.79160361,10702068.24281154
2026-05-14 01:00:00,114.0,114.0,113.0,113.0,18292.2539361,2067422.93162139
2026-05-14 01:15:00,114.0,114.0,113.0,114.0,98864.4562122,11266346.3359177
2026-05-14 01:45:00,114.0,115.0,114.0,115.0,35458.98502712,4048401.25830906
2026-05-14 02:00:00,114.0,114.0,114.0,114.0,96247.82727565,10972252.3094241
2026-05-14 02:15:00,114.0,114.0,114.0,114.0,200.0,22800.0
2026-05-14 02:30:00,115.0,115.0,115.0,115.0,956.52173912,109999.9999988
2026-05-14 02:45:00,115.0,115.0,114.0,114.0,173.91304346,19913.04347617
2026-05-14 03:00:00,115.0,115.0,115.0,115.0,43.47826086,4999.9999989
2026-05-14 03:15:00,115.0,115.0,114.0,114.0,173.91304346,19913.04347617
2026-05-14 03:30:00,114.0,114.0,114.0,114.0,128668.17312607,14668171.73637198
2026-05-14 04:00:00,114.0,114.0,113.0,113.0,18685.37425069,2119972.65086397
2026-05-14 04:15:00,113.0,114.0,113.0,114.0,29068.24471754,3310805.96009956
2026-05-14 04:30:00,114.0,114.0,114.0,114.0,108262.02688129,12341871.06446706
2026-05-14 04:45:00,113.0,114.0,113.0,114.0,5686.97807017,642677.24999938
2026-05-14 05:00:00,114.0,114.0,113.0,113.0,38754.77023757,4401373.60859462
2026-05-14 05:15:00,113.0,114.0,113.0,114.0,26638.94690799,3010437.74563916
2026-05-14 05:30:00,114.0,114.0,114.0,114.0,90349.80693279,10299877.99033806
2026-05-14 05:45:00,114.0,115.0,114.0,114.0,157020.12617595,17900341.46032948
2026-05-14 06:00:00,114.0,114.0,113.0,114.0,17801.00070042,2029002.74651233
2026-05-14 06:15:00,113.0,114.0,112.0,113.0,326135.46417279,36849322.0853957
2026-05-14 06:30:00,114.0,114.0,112.0,112.0,109382.89687246,12327609.93065955
2026-05-14 06:45:00,113.0,113.0,113.0,113.0,48.30434782,5458.39130366
2026-05-14 07:00:00,112.0,112.0,112.0,112.0,1060587.41493009,118785790.47217008
2026-05-14 07:15:00,112.0,113.0,111.0,113.0,74080.65143835,8296884.18761282
2026-05-14 07:30:00,113.0,113.0,112.0,113.0,12830.25205858,1438876.82348129
2026-05-14 07:45:00,112.0,113.0,112.0,113.0,6306.9297893,709286.84655536
2026-05-14 08:00:00,113.0,113.0,112.0,112.0,179776.20664741,20272661.70342103
2026-05-14 08:15:00,112.0,113.0,112.0,113.0,144649.30148993,16341848.27996291
2026-05-14 08:30:00,113.0,113.0,113.0,113.0,85148.75106193,9621808.86999809
2026-05-14 08:45:00,112.0,113.0,112.0,113.0,548.72807017,61506.27192921
2026-05-14 09:00:00,113.0,113.0,112.0,113.0,209019.79405283,23412355.51798774
2026-05-14 09:15:00,113.0,114.0,112.0,113.0,256253.10646425,28955973.21760108
2026-05-14 09:30:00,113.0,114.0,113.0,114.0,50575.27350577,5758570.82325485
2026-05-14 09:45:00,113.0,115.0,113.0,114.0,209833.63611527,23917070.35221908
2026-05-14 10:00:00,114.0,114.0,113.0,114.0,17739.43363533,2022118.44327717
2026-05-14 10:15:00,113.0,114.0,113.0,114.0,40074.87751156,4530176.82728782
