,open,high,low,close,volume,value
2026-05-15 14:45:00,18.4,18.4,18.3,18.4,2844489.85634286,52294074.0264254
2026-05-15 15:00:00,18.4,18.4,18.3,18.3,961826.04877138,17654856.71580529
2026-05-15 15:15:00,18.5,18.5,18.3,18.4,2573629.08028002,47295617.9020576
2026-05-15 15:30:00,18.5,18.5,18.4,18.4,112098.68659087,2072882.21899806
2026-05-15 15:45:00,18.5,18.5,18.5,18.5,276738.7548712,5119666.9651172
2026-05-15 16:00:00,18.5,18.5,18.4,18.5,257498.98021713,4757306.21289458
2026-05-15 16:15:00,18.5,18.6,18.5,18.6,145230.22688347,2687405.31674263
2026-05-15 16:30:00,18.6,18.6,18.5,18.5,1006990.97700801,18678719.60768756
2026-05-15 16:45:00,18.5,18.6,18.5,18.6,422523.88986785,7816908.17877144
2026-05-15 17:00:00,18.5,18.5,18.5,18.5,222762.18378364,4121100.39999734
2026-05-15 17:15:00,18.5,18.5,18.4,18.4,638390.9095904,11749720.47042178
2026-05-15 17:30:00,18.4,18.5,18.4,18.4,511226.82706681,9406962.07375412
2026-05-15 17:45:00,18.5,18.6,18.5,18.5,314237.34342532,5813562.10825785
2026-05-15 18:00:00,18.5,18.5,18.4,18.4,527805.25297876,9712114.53164379
2026-05-15 18:15:00,18.4,18.5,18.4,18.4,641968.4173559,11812255.37934856
2026-05-15 18:30:00,18.5,18.5,18.4,18.4,358773.64190656,6618192.48772683
2026-05-15 18:45:00,18.5,18.5,18.4,18.5,411201.3414887,7602868.83928008
2026-05-15 19:00:00,18.4,18.5,18.4,18.5,498032.887879,9163922.92535305
2026-05-15 19:15:00,18.5,18.5,18.4,18.4,135533.01524911,2505809.83616259
2026-05-15 19:30:00,18.5,18.5,18.4,18.4,99443.03178481,1830442.54375942
2026-05-15 19:45:00,18.5,18.5,18.5,18.5,302325.86385847,5593028.4813817
2026-05-15 20:00:00,18.5,18.5,18.5,18.5,284547.07781244,5264120.93953014
2026-05-15 20:15:00,18.5,18.5,18.4,18.5,393402.10602851,7249484.25374619
2026-05-15 20:30:00,18.5,18.6,18.5,18.5,588859.59810621,10894010.67307299
2026-05-15 20:45:00,18.4,18.5,18.4,18.5,1111185.28278264,20471392.01719898
2026-05-15 21:00:00,18.4,18.4,18.4,18.4,2565242.40597989,47200460.27002998
2026-05-15 21:15:00,18.5,18.5,18.4,18.5,531191.93331054,9774052.71537094
2026-05-15 21:30:00,18.4,18.5,18.3,18.4,1111529.20237854,20411015.09446252
2026-05-15 21:45:00,18.3,18.4,18.2,18.3,2452107.64577742,44869573.40630142
2026-05-15 22:00:00,18.3,18.3,18.2,18.3,3178331.19293006,57945365.77894752
2026-05-15 22:15:00,18.3,18.4,18.2,18.2,1586796.27662377,29033697.7506602
2026-05-15 22:30:00,18.2,18.2,17.9,18.0,12955834.50442202,233968243.9346022
2026-05-15 22:45:00,18.0,18.0,17.5,17.6,16286766.02973689,288769104.6105594
2026-05-15 23:00:00,17.6,17.8,17.4,17.8,7645080.52641079,134591294.68360412
2026-05-15 23:15:00,17.8,17.8,17.5,17.6,4208770.0448537,74649433.73421313
2026-05-15 23:30:00,17.6,17.7,17.6,17.7,2703819.24277565,47693838.13247022
2026-05-15 23:45:00,17.6,17.7,17.5,17.6,3198439.48334262,56246477.96969204
2026-05-16 00:00:00,17.7,17.7,17.5,17.7,361987.86713731,6371187.75757972
2026-05-16 00:15:00,17.6,17.8,17.5,17.7,1987789.8307528,35130430.53035002
2026-05-16 00:30:00,17.7,17.8,17.7,17.8,1100072.3610675,19549726.96838434
2026-05-16 00:45:00,17.7,17.9,17.7,17.8,1646119.38711169,29265597.93330476
2026-05-16 01:00:00,17.7,17.8,17.6,17.8,809605.85225305,14327712.50589955
2026-05-16 01:15:00,17.7,17.8,17.6,17.8,167492.22175395,2955509.12320278
2026-05-16 01:30:00,17.7,17.8,17.7,17.8,612928.97112137,10848972.56412915
2026-05-16 01:45:00,17.7,17.8,17.7,17.8,147046.07865168,2602749.2999999
2026-05-16 02:00:00,17.8,17.8,17.8,17.8,79670.82645114,1418140.71083029
2026-05-16 02:15:00,17.8,17.9,17.7,17.8,134817.99693801,2399988.08136338
2026-05-16 02:30:00,17.8,17.8,17.8,17.8,20000.0,356000.0
2026-05-16 02:45:00,17.7,17.8,17.7,17.8,6083.70850667,107906.35966918
2026-05-16 03:00:00,17.8,17.9,17.8,17.9,188699.25806328,3358880.31307946
2026-05-16 03:15:00,17.8,17.9,17.8,17.9,1327.1276373,23723.43060316
2026-05-16 03:30:00,17.8,17.8,17.8,17.8,45396.57303369,808058.99999968
2026-05-16 03:45:00,17.8,17.9,17.7,17.9,31057.91095475,551662.64049411
2026-05-16 04:00:00,17.7,17.7,17.7,17.7,176597.37618872,3125773.55854034
2026-05-16 04:15:00,17.7,17.8,17.7,17.8,6149.94382021,108887.71348289
2026-05-16 04:30:00,17.7,17.8,17.7,17.8,105135.8894247,1861603.7501113
2026-05-16 04:45:00,17.7,17.7,17.7,17.7,101233.8601849,1791839.32527273
2026-05-16 05:00:00,17.7,17.7,17.6,17.7,335816.28401221,5941245.52431342
2026-05-16 05:15:00,17.7,17.7,17.7,17.7,544385.33430511,9635620.41720045
2026-05-16 05:30:00,17.7,17.8,17.6,17.7,1025695.22509068,18221299.06986216
2026-05-16 05:45:00,17.7,17.8,17.7,17.7,982528.54591795,17391469.72342187
2026-05-16 06:00:00,17.7,17.7,17.7,17.7,136580.08495552,2417467.5037127
2026-05-16 06:15:00,17.8,17.8,17.6,17.7,3311130.67197641,58649756.03400281
2026-05-16 06:30:00,17.7,17.8,17.7,17.7,1015224.31684515,18054822.74694692
2026-05-16 06:45:00,17.8,17.8,17.8,17.8,94.35849056,1679.58113197
2026-05-16 07:00:00,17.8,17.8,17.7,17.8,633102.27090012,11254411.95878826
2026-05-16 07:15:00,17.7,17.8,17.7,17.8,177713.13057057,3157333.42043625
2026-05-16 07:30:00,17.8,18.0,17.7,17.8,2523301.15095533,45092515.02945931
2026-05-16 07:45:00,17.7,17.8,17.6,17.8,2653669.25725057,46846206.14883994
2026-05-16 08:00:00,17.8,17.8,17.7,17.8,1867003.38063408,33222563.63319558
2026-05-16 08:15:00,17.8,17.9,17.7,17.8,447724.08442733,7966926.73642089
2026-05-16 08:30:00,17.8,17.8,17.7,17.7,371376.25910988,6604268.15676179
2026-05-16 08:45:00,17.8,17.8,17.8,17.8,766141.17977525,13637312.99999945
2026-05-16 09:00:00,17.8,17.9,17.6,17.9,3178229.3883305,56384648.09766665
2026-05-16 09:15:00,17.9,17.9,17.8,17.9,363364.99442074,6480468.34310198
2026-05-16 09:30:00,17.8,17.9,17.8,17.9,242268.33164977,4314263.6759916
2026-05-16 09:45:00,17.9,18.0,17.8,18.0,2198847.12319462,39358793.83676922
2026-05-16 10:00:00,17.9,18.0,17.9,17.9,1157911.85834068,20775367.35780034
2026-05-16 10:15:00,18.0,18.0,17.9,18.0,58199.07767686,1047554.92930467
2026-05-16 10:30:00,18.0,18.0,17.8,17.9,1053611.78219117,18828423.32152177
2026-05-16 10:45:00,17.8,17.9,17.8,17.9,66490.91278708,1184566.24761002
2026-05-16 11:00:00,17.9,18.0,17.9,18.0,703231.50672463,12587877.30370421
2026-05-16 11:15:00,17.9,18.0,17.9,17.9,109693.10370389,1965208.39537474
2026-05-16 11:30:00,17.9,18.0,17.8,18.0,384261.57412335,6869438.53433444
2026-05-16 11:45:00,17.9,18.0,17.9,18.0,48014.60466517,859494.75683988
2026-05-16 12:00:00,18.0,18.0,17.9,18.0,407655.62350118,7311920.14097105
2026-05-16 12:15:00,18.0,18.0,18.0,18.0,33872.14728746,609698.65117428
2026-05-16 12:30:00,17.9,17.9,17.8,17.8,58312.0,1041519.01840662
2026-05-16 12:45:00,17.9,17.9,17.9,17.9,333.33333333,5966.66666661
2026-05-16 13:00:00,17.9,17.9,17.8,17.9,100665.85039768,1791890.57292776
2026-05-16 13:15:00,17.8,17.9,17.8,17.8,367599.69013261,6543326.87561164
2026-05-16 13:30:00,17.9,17.9,17.6,17.8,301485.87894655,5336238.92031516
2026-05-16 13:45:00,17.8,17.8,17.7,17.8,326361.2309469,5793878.41085482
2026-05-16 14:00:00,17.7,17.8,17.6,17.6,1043976.52580616,18475989.14855236
2026-05-16 14:15:00,17.7,17.7,17.6,17.6,25676.09415872,453028.64165378
2026-05-16 14:30:00,17.7,17.8,17.6,17.8,624289.14065096,11052500.30480329
2026-05-16 14:45:00,17.7,17.7,17.6,17.7,573150.49492458,10109080.99137491
2026-05-16 15:00:00,17.6,17.7,17.5,17.7,454163.58086201,7987879.50719725
2026-05-16 15:15:00,17.6,17.6,17.5,17.5,903818.04560412,15823426.13443574
2026-05-16 15:30:00,17.6,17.6,17.4,17.4,1930607.29915881,33783276.19042249
2026-05-16 15:45:00,17.5,17.6,17.4,17.5,2121778.54390061,37128128.66403501
2026-05-16 16:00:00,17.5,17.5,17.1,17.2,5355391.23143818,92885817.00741968
2026-05-16 16:15:00,17.1,17.3,17.0,17.2,7529459.31811298,128782963.68003227
2026-05-16 16:30:00,17.3,17.3,17.2,17.3,1874860.8316076,32271295.17075505
2026-05-16 16:45:00,17.3,17.3,17.1,17.3,727320.48548574,12526895.17098639
2026-05-16 17:00:00,17.2,17.3,17.2,17.3,362753.20255104,6272967.9828417
2026-05-16 17:15:00,17.2,17.3,17.2,17.2,1481990.47536567,25509840.88811165
2026-05-16 17:30:00,17.2,17.3,17.1,17.2,281963.08668636,4851538.70897938
2026-05-16 17:45:00,17.2,17.2,17.1,17.2,188702.51049764,3240527.48648639
2026-05-16 18:00:00,17.2,17.2,17.0,17.0,492858.67470669,8436271.51248602
2026-05-16 18:15:00,17.1,17.2,16.7,16.8,11759901.03986328,197996184.87609157
2026-05-16 18:30:00,16.7,17.0,16.7,16.9,1724096.74813128,29064122.05464467
2026-05-16 18:45:00,16.8,16.9,16.7,16.8,1508414.92056268,25336750.1804276
2026-05-16 19:00:00,16.7,16.8,16.5,16.5,10366953.39329202,171685432.628644
2026-05-16 19:15:00,16.5,16.6,16.5,16.5,4616487.78157395,76234510.59799853
2026-05-16 19:30:00,16.6,16.7,16.5,16.6,2185080.74552715,36262097.85653693
2026-05-16 19:45:00,16.7,16.8,16.6,16.8,1602242.46411037,26826782.04147902
2026-05-16 20:00:00,16.8,16.9,16.8,16.8,1133106.8244895,19036373.26325792
2026-05-16 20:15:00,16.8,16.9,16.8,16.8,1032389.23444519,17362342.01651281
2026-05-16 20:30:00,16.9,16.9,16.8,16.8,2378931.69249145,39976604.58652519
2026-05-16 20:45:00,16.8,16.9,16.8,16.8,1042720.35148415,17517772.91085088
2026-05-16 21:00:00,16.8,16.9,16.8,16.9,669432.43167997,11249524.61257852
2026-05-16 21:15:00,16.9,16.9,16.7,16.9,324968.84853053,5462195.87544883
2026-05-16 21:30:00,16.8,16.9,16.8,16.9,105217.80571058,1770656.85073064
2026-05-16 21:45:00,16.9,16.9,16.8,16.9,155041.74082544,2612681.35417178
2026-05-16 22:00:00,16.9,16.9,16.8,16.9,183331.68580542,3090327.83608147
2026-05-16 22:15:00,16.8,16.9,16.8,16.9,491092.94386908,8250945.89941918
2026-05-16 22:30:00,16.9,16.9,16.8,16.9,328213.71355906,5543641.57122416
2026-05-16 22:45:00,16.8,16.9,16.7,16.9,115816.05435283,1944488.87730744
2026-05-16 23:00:00,16.8,16.9,16.8,16.8,288388.36619424,4844960.05502181
2026-05-16 23:15:00,16.8,16.9,16.8,16.9,35356.72774469,594028.52906937
2026-05-16 23:30:00,16.8,16.9,16.7,16.8,687537.44909467,11539045.76859748
2026-05-16 23:45:00,16.9,16.9,16.8,16.9,302047.62631538,5101547.30569803
2026-05-17 00:00:00,16.9,17.0,16.9,17.0,68098.35265085,1150932.74803466
2026-05-17 00:15:00,16.9,17.0,16.9,17.0,562350.08362337,9503851.7073526
2026-05-17 00:30:00,17.0,17.1,17.0,17.1,1050343.00540192,17890322.18153574
2026-05-17 00:45:00,17.1,17.1,17.0,17.1,83899.05297976,1428037.07669948
2026-05-17 01:00:00,17.1,17.1,17.1,17.1,599806.99708625,10256699.65017488
2026-05-17 01:15:00,17.0,17.1,17.0,17.1,18164.1487179,308825.6159236
2026-05-17 01:30:00,17.0,17.1,17.0,17.0,76413.17763314,1299059.10748268
2026-05-17 02:00:00,17.1,17.1,17.0,17.0,34964.64307507,597355.07408832
2026-05-17 02:15:00,17.0,17.0,17.0,17.0,26359.0,448103.0
2026-05-17 02:30:00,17.0,17.1,17.0,17.1,101225.20771096,1724447.5461402
2026-05-17 02:45:00,17.0,17.1,17.0,17.1,222640.00737049,3784915.21301763
2026-05-17 03:30:00,17.0,17.0,17.0,17.0,43725.58823529,743334.99999993
2026-05-17 03:45:00,17.0,17.0,16.9,17.0,263953.63399986,4479752.85226115
2026-05-17 04:00:00,17.0,17.0,17.0,17.0,33219.03754005,564723.63818085
2026-05-17 04:15:00,17.0,17.0,17.0,17.0,46119.23450039,784026.98650663
2026-05-17 04:30:00,17.0,17.0,16.9,16.9,119892.00376677,2027939.56954077
2026-05-17 04:45:00,17.0,17.0,17.0,17.0,352.94117647,5999.99999999
2026-05-17 05:00:00,16.9,17.0,16.9,17.0,22367.61445153,379071.50776027
2026-05-17 05:15:00,16.9,16.9,16.9,16.9,120414.95995461,2035012.82323291
2026-05-17 05:30:00,16.9,16.9,16.9,16.9,314432.60274682,5313910.98642126
2026-05-17 05:45:00,16.9,16.9,16.9,16.9,433342.03521778,7323480.39518048
2026-05-17 06:00:00,16.8,16.9,16.8,16.9,22056.68986503,370587.4774518
