,open,high,low,close,volume,value
2026-05-06 06:15:00,164.0,164.0,164.0,164.0,7774.85702822,1275076.55262808
2026-05-06 06:45:00,164.0,164.0,164.0,164.0,30.3090909,4970.6909076
2026-05-06 07:00:00,163.0,163.0,163.0,163.0,76672.36677827,12497595.78485801
2026-05-06 07:15:00,164.0,164.0,164.0,164.0,36.28262195,5950.3499998
2026-05-06 07:30:00,164.0,164.0,163.0,163.0,17546.50641801,2861050.54613563
2026-05-06 07:45:00,164.0,164.0,164.0,164.0,1036.58536585,169999.9999994
2026-05-06 08:00:00,163.0,163.0,163.0,163.0,988.67466891,161153.97103233
2026-05-06 08:15:00,162.0,164.0,162.0,163.0,10915.21436814,1778816.52737267
2026-05-06 08:30:00,164.0,164.0,163.0,164.0,1166.23621642,190168.79760571
2026-05-06 09:00:00,163.0,163.0,162.0,163.0,28779.90119864,4665336.70952933
2026-05-06 09:15:00,163.0,163.0,163.0,163.0,33.74233128,5499.99999864
2026-05-06 09:30:00,162.0,162.0,162.0,162.0,843.62435634,136667.14572708
2026-05-06 09:45:00,162.0,163.0,161.0,163.0,11639.61412409,1882754.88350797
2026-05-06 10:00:00,163.0,163.0,163.0,163.0,10479.53478716,1708164.17030708
2026-05-06 10:15:00,162.0,163.0,162.0,163.0,13734.46796146,2236864.05840682
2026-05-06 10:30:00,163.0,164.0,163.0,164.0,2175.23530195,354596.87519345
2026-05-06 10:45:00,163.0,164.0,163.0,164.0,646.6824813,105442.43000068
2026-05-06 11:00:00,163.0,163.0,163.0,163.0,55.27638119,9010.05013397
2026-05-06 11:15:00,164.0,164.0,162.0,162.0,14632.87966255,2391952.37999563
2026-05-06 11:30:00,163.0,163.0,162.0,162.0,2418.72441717,391866.07999871
2026-05-06 11:45:00,162.0,164.0,162.0,163.0,19404.98400303,3159997.8499969
2026-05-06 12:00:00,163.0,165.0,163.0,165.0,212380.5920112,34951806.73346027
2026-05-06 12:15:00,165.0,168.0,165.0,168.0,383602.3457185,63633967.1800633
2026-05-06 12:30:00,168.0,169.0,167.0,168.0,110146.35387131,18486274.99630917
2026-05-06 12:45:00,168.0,169.0,168.0,169.0,165475.05873938,27934875.87344859
2026-05-06 13:00:00,168.0,169.0,168.0,169.0,81479.27329822,13743634.7949254
2026-05-06 13:15:00,169.0,169.0,168.0,168.0,51023.76137207,8581796.63411189
2026-05-06 13:30:00,168.0,170.0,167.0,170.0,356784.27271193,59925662.72248827
2026-05-06 13:45:00,169.0,170.0,168.0,168.0,281505.93038378,47367230.04194337
2026-05-06 14:00:00,168.0,169.0,167.0,168.0,43178.18485265,7241046.53978534
2026-05-06 14:15:00,168.0,168.0,167.0,168.0,14891.52976188,2501744.25594823
2026-05-06 14:30:00,168.0,169.0,167.0,168.0,73388.54764295,12346678.51871372
2026-05-06 14:45:00,169.0,169.0,167.0,168.0,25211.08483965,4223279.04949547
2026-05-06 15:00:00,168.0,169.0,168.0,169.0,1478.40016707,248406.22806776
2026-05-06 15:15:00,168.0,169.0,168.0,169.0,24379.06118369,4095729.41262643
2026-05-06 15:30:00,169.0,169.0,168.0,169.0,15290.26065358,2580294.91782622
2026-05-06 15:45:00,169.0,170.0,168.0,169.0,12943.07857578,2186907.50448798
2026-05-06 16:00:00,169.0,170.0,168.0,170.0,2062.23123419,350271.30784274
2026-05-06 16:15:00,170.0,170.0,168.0,169.0,173249.75985697,29342752.99852777
2026-05-06 16:30:00,170.0,171.0,169.0,170.0,326461.44670014,55574352.837244
2026-05-06 16:45:00,169.0,170.0,169.0,169.0,11769.34826514,1989099.27445571
2026-05-06 17:00:00,169.0,171.0,169.0,171.0,113262.31584592,19229165.36214862
2026-05-06 17:15:00,170.0,171.0,170.0,171.0,24338.64326375,4138269.78592254
2026-05-06 17:30:00,171.0,172.0,170.0,172.0,214469.93731618,36683790.44228975
2026-05-06 17:45:00,171.0,173.0,171.0,172.0,111642.75282871,19184048.92796716
2026-05-06 18:00:00,172.0,173.0,171.0,173.0,50722.72436965,8729942.42598052
2026-05-06 18:15:00,172.0,173.0,170.0,172.0,33479.74955158,5751238.72244016
2026-05-06 18:30:00,171.0,171.0,170.0,170.0,114071.60087838,19411574.25909134
2026-05-06 18:45:00,170.0,171.0,170.0,171.0,28759.47003497,4905736.84705717
2026-05-06 19:00:00,171.0,172.0,171.0,171.0,56396.08637781,9644431.17286354
2026-05-06 19:15:00,171.0,172.0,171.0,172.0,41561.01882814,7108097.01030954
2026-05-06 19:45:00,171.0,172.0,171.0,172.0,5551.24583135,951733.96739333
2026-05-06 20:00:00,172.0,172.0,172.0,172.0,31442.5636019,5408120.9395268
2026-05-06 20:15:00,172.0,172.0,171.0,172.0,72710.49372789,12463498.48564068
2026-05-06 20:30:00,172.0,172.0,169.0,171.0,44439.93936217,7588453.62907614
2026-05-06 20:45:00,169.0,171.0,169.0,171.0,33514.76722757,5694759.92731307
2026-05-06 21:00:00,171.0,171.0,170.0,170.0,58460.87687185,9938933.86353613
2026-05-06 21:15:00,170.0,170.0,169.0,169.0,38217.2708519,6460833.39750326
2026-05-06 21:30:00,170.0,171.0,169.0,171.0,91004.13509585,15439157.15802296
2026-05-06 21:45:00,170.0,171.0,170.0,170.0,65541.25658285,11182158.29265624
2026-05-06 22:00:00,170.0,171.0,170.0,171.0,20673.04717002,3514476.49843556
2026-05-06 22:15:00,170.0,170.0,169.0,169.0,19480.05795041,3295486.31140787
2026-05-06 22:30:00,169.0,170.0,169.0,170.0,5350.10705254,904285.73893808
2026-05-06 22:45:00,169.0,169.0,168.0,168.0,37308.00660685,6277315.66823125
2026-05-06 23:00:00,168.0,169.0,168.0,168.0,95235.02133952,16000242.82697819
2026-05-06 23:15:00,168.0,169.0,167.0,169.0,6068.7991871,1016246.80250277
2026-05-06 23:30:00,169.0,169.0,168.0,168.0,5710.14836085,963401.7743698
2026-05-06 23:45:00,168.0,168.0,168.0,168.0,18216.85680314,3060431.94292752
2026-05-07 00:00:00,169.0,169.0,168.0,169.0,6084.47501369,1026262.63878404
2026-05-07 00:15:00,169.0,169.0,169.0,169.0,43985.91781537,7433620.11079753
2026-05-07 00:30:00,169.0,169.0,169.0,169.0,40427.09940577,6832179.79957513
2026-05-07 01:00:00,170.0,170.0,170.0,170.0,27518.81308883,4678198.2251011
2026-05-07 01:15:00,170.0,170.0,170.0,170.0,34902.82139899,5933479.6378283
2026-05-07 01:30:00,170.0,170.0,170.0,170.0,4862.87402394,826688.5840698
2026-05-07 01:45:00,170.0,170.0,170.0,170.0,3197.0,543490.0
2026-05-07 02:00:00,170.0,170.0,170.0,170.0,1635.0,277950.0
2026-05-07 02:30:00,169.0,169.0,169.0,169.0,29604.58724126,5003175.24377294
2026-05-07 02:45:00,170.0,170.0,170.0,170.0,31.87735294,5419.1499998
2026-05-07 03:00:00,169.0,169.0,169.0,169.0,2002.43035502,338410.72999838
2026-05-07 03:45:00,170.0,170.0,170.0,170.0,5819.50071984,989315.1223728
2026-05-07 04:00:00,170.0,170.0,170.0,170.0,4829.4645,821008.965
2026-05-07 04:15:00,170.0,170.0,170.0,170.0,31.55841176,5364.9299992
2026-05-07 04:30:00,169.0,170.0,169.0,170.0,11730.24270588,1982442.2599996
2026-05-07 04:45:00,170.0,170.0,170.0,170.0,934.57826006,158878.3042102
2026-05-07 05:00:00,170.0,171.0,170.0,171.0,1864.14406246,317196.88827901
2026-05-07 05:15:00,171.0,171.0,171.0,171.0,618.84649122,105822.74999862
2026-05-07 05:30:00,171.0,171.0,171.0,171.0,1024.67801957,175219.94134647
2026-05-07 05:45:00,170.0,170.0,170.0,170.0,56249.16449154,9562357.9635618
2026-05-07 06:00:00,170.0,170.0,170.0,170.0,225.84831837,38394.2141229
2026-05-07 06:15:00,170.0,170.0,170.0,170.0,5882.35294118,1000000.0000006
2026-05-07 06:45:00,171.0,171.0,171.0,171.0,87.71929824,14999.99999904
2026-05-07 07:00:00,171.0,171.0,171.0,171.0,1175.43859649,200999.99999979
2026-05-07 07:15:00,169.0,170.0,169.0,170.0,3273.65695057,553278.64529338
