dt,open,high,low,close,volume
2024-11-13 18:00:00,760.0,763.0,755.0,762.0,496547.19990146
2024-11-13 18:15:00,762.0,764.0,758.0,759.0,462288.60173374
2024-11-13 18:30:00,759.0,760.0,751.0,760.0,700148.27247545
2024-11-13 18:45:00,760.0,763.0,758.0,759.0,312569.83634176
2024-11-13 19:00:00,758.0,760.0,753.0,754.0,288173.01169318
2024-11-13 19:15:00,755.0,759.0,753.0,755.0,325590.9296861
2024-11-13 19:30:00,756.0,759.0,752.0,754.0,598975.55291869
2024-11-13 19:45:00,754.0,767.0,753.0,766.0,514826.31242017
2024-11-13 20:00:00,766.0,770.0,762.0,769.0,702382.76281954
2024-11-13 20:15:00,769.0,773.0,764.0,766.0,833076.51209838
2024-11-13 20:30:00,767.0,768.0,762.0,763.0,625630.71557355
2024-11-13 20:45:00,764.0,767.0,762.0,764.0,517768.25518878
2024-11-13 21:00:00,764.0,767.0,759.0,760.0,579723.77862828
2024-11-13 21:15:00,761.0,762.0,756.0,758.0,818981.35039041
2024-11-13 21:30:00,758.0,766.0,753.0,764.0,722552.38269377
2024-11-13 21:45:00,764.0,764.0,760.0,760.0,338276.32447249
2024-11-13 22:00:00,760.0,763.0,755.0,759.0,339425.37531482
2024-11-13 22:15:00,758.0,771.0,756.0,771.0,1087320.04707422
2024-11-13 22:30:00,772.0,801.0,768.0,797.0,6364433.03048279
2024-11-13 22:45:00,796.0,806.0,792.0,801.0,5026583.19905187
2024-11-13 23:00:00,801.0,804.0,792.0,798.0,2711559.54496935
2024-11-13 23:15:00,797.0,827.0,797.0,822.0,4572778.3331955
2024-11-13 23:30:00,821.0,849.0,814.0,849.0,10216099.16259845
2024-11-13 23:45:00,847.0,858.0,836.0,849.0,9785407.28251473
2024-11-14 00:00:00,849.0,850.0,814.0,833.0,8634655.54825487
2024-11-14 00:15:00,832.0,838.0,824.0,835.0,3505665.07353006
2024-11-14 00:30:00,835.0,837.0,825.0,833.0,2422466.13090977
2024-11-14 00:45:00,833.0,842.0,829.0,834.0,1861052.01109244
2024-11-14 01:00:00,834.0,842.0,830.0,837.0,2101869.36421335
2024-11-14 01:15:00,836.0,838.0,823.0,832.0,1326228.2065088
2024-11-14 01:30:00,832.0,834.0,817.0,827.0,2000244.58026736
2024-11-14 01:45:00,827.0,832.0,825.0,830.0,1057355.59116926
2024-11-14 02:00:00,829.0,837.0,829.0,835.0,1133555.45026775
2024-11-14 02:15:00,834.0,834.0,824.0,827.0,550422.78037837
2024-11-14 02:30:00,827.0,829.0,823.0,823.0,396667.23090124
2024-11-14 02:45:00,824.0,830.0,820.0,820.0,362796.1049541
2024-11-14 03:00:00,822.0,833.0,820.0,831.0,299636.62644711
2024-11-14 03:15:00,829.0,837.0,828.0,833.0,622884.18849735
2024-11-14 03:30:00,832.0,833.0,821.0,828.0,454697.12115314
2024-11-14 03:45:00,826.0,832.0,825.0,827.0,319230.02638402
2024-11-14 04:00:00,827.0,832.0,811.0,816.0,760135.49097445
2024-11-14 04:15:00,818.0,821.0,798.0,809.0,1461055.78095653
2024-11-14 04:30:00,809.0,811.0,798.0,810.0,397606.21265714
2024-11-14 04:45:00,808.0,814.0,804.0,810.0,323745.06332914
2024-11-14 05:00:00,809.0,817.0,799.0,814.0,697492.36785861
2024-11-14 05:15:00,816.0,819.0,813.0,818.0,234911.07685
2024-11-14 05:30:00,818.0,823.0,816.0,821.0,256678.44751867
2024-11-14 05:45:00,820.0,822.0,813.0,815.0,312014.12582633
2024-11-14 06:00:00,815.0,816.0,800.0,804.0,1274963.12882112
2024-11-14 06:15:00,804.0,811.0,793.0,809.0,1006925.71746792
2024-11-14 06:30:00,810.0,819.0,809.0,818.0,671421.42118822
2024-11-14 06:45:00,818.0,818.0,807.0,807.0,360282.23262941
2024-11-14 07:00:00,808.0,820.0,804.0,818.0,689181.7622864
2024-11-14 07:15:00,818.0,824.0,818.0,822.0,455666.75423936
2024-11-14 07:30:00,822.0,823.0,815.0,819.0,564723.81413671
2024-11-14 07:45:00,820.0,823.0,817.0,820.0,659826.15658277
2024-11-14 08:00:00,819.0,821.0,815.0,817.0,586633.64793516
2024-11-14 08:15:00,817.0,822.0,815.0,822.0,582068.66046829
2024-11-14 08:30:00,822.0,826.0,821.0,823.0,1250893.39729459
2024-11-14 08:45:00,823.0,824.0,817.0,820.0,538271.50948527
2024-11-14 09:00:00,819.0,823.0,816.0,822.0,1084467.27568503
2024-11-14 09:15:00,822.0,827.0,821.0,826.0,697899.54701235
2024-11-14 09:30:00,826.0,827.0,815.0,815.0,1180155.241092
2024-11-14 09:45:00,815.0,819.0,813.0,813.0,1038176.02026139
2024-11-14 10:00:00,813.0,821.0,811.0,817.0,720368.12998473
2024-11-14 10:15:00,817.0,818.0,810.0,811.0,719384.36716898
2024-11-14 10:30:00,810.0,816.0,807.0,815.0,864364.2513927
2024-11-14 10:45:00,815.0,823.0,814.0,821.0,1120970.01211181
2024-11-14 11:00:00,820.0,827.0,820.0,820.0,779849.40947513
2024-11-14 11:15:00,820.0,823.0,812.0,814.0,1230694.05957187
2024-11-14 11:30:00,814.0,816.0,809.0,814.0,2073751.16482474
2024-11-14 11:45:00,813.0,818.0,813.0,818.0,828061.60238837
2024-11-14 12:00:00,817.0,819.0,807.0,808.0,870787.78708927
2024-11-14 12:15:00,808.0,814.0,804.0,812.0,956266.01876778
2024-11-14 12:30:00,812.0,814.0,810.0,811.0,511362.86604444
2024-11-14 12:45:00,811.0,817.0,811.0,816.0,307428.18236766
2024-11-14 13:00:00,816.0,816.0,810.0,813.0,381303.82562257
2024-11-14 13:15:00,812.0,815.0,809.0,810.0,495779.9272254
2024-11-14 13:30:00,810.0,814.0,806.0,814.0,409275.15342921
2024-11-14 13:45:00,813.0,817.0,812.0,817.0,524296.468074
2024-11-14 14:00:00,816.0,817.0,814.0,814.0,557112.279118
2024-11-14 14:15:00,814.0,817.0,812.0,816.0,518242.1941781
