dt,open,high,low,close,volume
2024-08-30 18:00:00,486.6,488.4,486.4,488.4,128424.81542624
2024-08-30 18:15:00,487.6,487.9,486.4,487.1,59953.20767506
2024-08-30 18:30:00,486.7,487.2,486.3,487.1,47318.77632878
2024-08-30 18:45:00,487.1,487.5,486.0,486.0,50628.59930791
2024-08-30 19:00:00,486.0,487.5,486.0,487.1,54782.1450198
2024-08-30 19:15:00,486.5,487.3,486.5,487.0,36092.91235468
2024-08-30 19:30:00,486.7,487.5,485.8,485.8,38718.70599662
2024-08-30 19:45:00,486.0,486.7,486.0,486.3,11604.49143531
2024-08-30 20:00:00,486.3,487.4,480.1,480.2,178303.1876267
2024-08-30 20:15:00,480.6,482.6,479.0,481.1,285264.18341663
2024-08-30 20:30:00,481.1,481.2,478.6,478.7,255816.35338692
2024-08-30 20:45:00,479.1,479.9,477.0,477.5,324022.89842011
2024-08-30 21:00:00,477.6,478.9,476.1,476.9,152845.46301783
2024-08-30 21:15:00,476.9,479.3,476.1,479.0,169964.72829084
2024-08-30 21:30:00,479.0,482.2,476.5,476.7,595541.03493639
2024-08-30 21:45:00,476.9,477.8,475.0,476.8,848257.72198726
2024-08-30 22:00:00,476.3,476.9,475.0,475.9,317087.42389869
2024-08-30 22:15:00,475.9,478.3,475.6,477.3,127200.32904872
2024-08-30 22:30:00,477.3,478.1,475.8,475.9,166783.90778816
2024-08-30 22:45:00,475.9,478.5,471.8,478.4,594010.64839292
2024-08-30 23:00:00,478.4,481.1,474.9,474.9,448078.1159122
2024-08-30 23:15:00,474.9,476.5,473.3,476.4,251558.65969729
2024-08-30 23:30:00,476.1,476.1,470.8,471.5,560904.75823355
2024-08-30 23:45:00,471.5,473.8,470.2,470.6,470026.34863802
2024-08-31 00:00:00,470.3,472.9,467.7,471.0,854288.97380685
2024-08-31 00:15:00,471.2,471.6,467.8,469.3,344137.65504694
2024-08-31 00:30:00,469.4,470.6,465.4,467.4,1259353.74970869
2024-08-31 00:45:00,467.5,468.1,463.6,465.3,1029212.87870137
2024-08-31 01:00:00,465.8,467.9,463.4,467.0,349707.10087691
2024-08-31 01:15:00,467.8,468.0,462.5,465.2,399404.27825355
2024-08-31 01:30:00,465.6,466.8,464.7,466.8,170311.61168746
2024-08-31 01:45:00,466.7,469.0,466.7,468.5,193389.19106612
2024-08-31 02:00:00,468.5,469.0,467.3,469.0,28175.9309944
2024-08-31 02:15:00,468.6,468.9,466.8,467.3,99610.29836475
2024-08-31 02:30:00,467.5,468.1,466.5,467.1,182994.27979579
2024-08-31 02:45:00,467.4,469.0,467.1,468.4,240035.26117479
2024-08-31 03:00:00,468.4,469.0,467.4,469.0,113562.41547513
2024-08-31 03:15:00,469.0,471.7,469.0,471.7,706824.41039268
2024-08-31 03:30:00,471.7,475.0,471.1,473.6,177820.61349839
2024-08-31 03:45:00,473.8,474.7,473.0,474.3,88392.2529581
2024-08-31 04:00:00,474.3,474.4,470.4,470.4,15518.10333627
2024-08-31 04:15:00,470.3,471.0,470.0,470.5,21720.03002508
2024-08-31 04:30:00,470.3,470.7,469.1,469.1,16478.71978896
2024-08-31 04:45:00,469.0,471.7,469.0,470.6,19734.11239525
2024-08-31 05:00:00,470.4,471.9,470.4,471.2,3376.5664002
2024-08-31 05:15:00,471.2,472.3,471.2,472.3,34689.15579319
2024-08-31 05:30:00,472.3,473.2,471.6,472.1,4776.07207504
2024-08-31 05:45:00,471.9,472.8,471.2,472.3,33357.3357778
2024-08-31 06:00:00,472.6,473.3,471.9,472.9,30241.24872061
2024-08-31 06:15:00,473.2,473.2,472.2,472.8,47371.8393604
2024-08-31 06:30:00,472.8,473.4,472.2,472.6,106490.44076516
2024-08-31 06:45:00,472.6,473.3,472.4,472.5,21797.31740037
2024-08-31 07:00:00,472.5,473.8,472.1,473.7,184553.28924901
2024-08-31 07:15:00,473.4,473.7,472.5,473.7,51052.12045698
2024-08-31 07:30:00,473.2,473.2,472.0,472.0,82003.71272041
2024-08-31 07:45:00,472.0,473.9,472.0,473.5,21667.96088888
2024-08-31 08:00:00,473.5,473.7,471.9,471.9,111668.77790858
2024-08-31 08:15:00,472.1,472.6,471.8,472.3,34632.08150217
2024-08-31 08:30:00,472.6,473.0,472.1,472.2,55768.19534451
2024-08-31 08:45:00,472.2,472.9,472.2,472.3,83822.92836572
2024-08-31 09:00:00,472.3,472.4,470.9,471.6,201068.40944
2024-08-31 09:15:00,471.6,472.7,471.3,472.0,50948.61190738
2024-08-31 09:30:00,472.7,474.2,471.7,473.0,187623.11074678
2024-08-31 09:45:00,473.0,473.8,472.0,472.7,152818.06380713
2024-08-31 10:00:00,472.1,472.8,471.6,472.8,36930.42480998
2024-08-31 10:15:00,472.5,472.8,472.0,472.0,53825.02848337
2024-08-31 10:30:00,471.8,472.4,471.5,472.2,88675.07545353
2024-08-31 10:45:00,472.2,472.2,471.0,471.6,150840.02727521
2024-08-31 11:00:00,471.6,471.6,470.6,471.2,144036.6261772
2024-08-31 11:15:00,471.2,471.4,470.6,471.1,50051.55794195
2024-08-31 11:30:00,470.9,470.9,470.4,470.4,126359.18878333
2024-08-31 11:45:00,470.7,471.0,470.3,471.0,32230.0497053
2024-08-31 12:00:00,471.0,471.1,470.0,470.0,185870.57062753
2024-08-31 12:15:00,470.0,471.8,470.0,471.8,66107.83375853
2024-08-31 12:30:00,471.9,472.9,471.8,472.8,160913.12020814
2024-08-31 12:45:00,472.5,472.9,472.5,472.8,32559.95261328
2024-08-31 13:00:00,472.8,474.3,472.6,473.6,105723.65839817
2024-08-31 13:15:00,473.6,475.4,473.6,475.4,50303.7663146
2024-08-31 13:30:00,475.2,475.8,475.0,475.8,135923.23281172
2024-08-31 13:45:00,475.8,476.2,475.0,475.3,212282.32447478
2024-08-31 14:00:00,475.2,475.9,475.0,475.2,45032.56164133
2024-08-31 14:15:00,475.2,475.9,474.7,474.7,106804.33476605
2024-08-31 14:30:00,474.7,475.4,474.7,475.3,75251.46335562
2024-08-31 14:45:00,475.3,475.3,473.0,473.0,37648.16404602
2024-08-31 15:00:00,473.0,473.9,472.2,473.9,84427.1273706
2024-08-31 15:15:00,473.5,474.8,473.3,474.0,48437.2299246
2024-08-31 15:30:00,474.6,475.7,474.6,475.5,88428.0611772
2024-08-31 15:45:00,475.0,475.8,474.9,474.9,30470.53517904
2024-08-31 16:00:00,475.4,475.6,474.8,475.4,375251.08922961
2024-08-31 16:15:00,474.8,475.3,473.8,474.5,18626.96405757
2024-08-31 16:30:00,474.7,474.7,473.6,474.0,45299.0658146
2024-08-31 16:45:00,474.0,474.3,472.8,472.8,55379.18636963
2024-08-31 17:00:00,473.4,473.8,472.6,473.3,23872.70835355
2024-08-31 17:15:00,473.7,473.7,472.9,473.4,37232.46677165
2024-08-31 17:30:00,473.1,473.4,472.8,473.3,48653.04578207
2024-08-31 17:45:00,473.3,473.3,470.5,471.0,172561.33101713
2024-08-31 18:00:00,471.0,471.9,470.1,470.4,106571.09544581
2024-08-31 18:15:00,470.4,471.2,469.9,471.0,161375.87817344
2024-08-31 18:30:00,471.0,471.0,470.2,470.4,34958.91429101
2024-08-31 18:45:00,470.4,471.6,470.3,471.0,61207.37350973
2024-08-31 19:00:00,470.9,471.8,470.3,471.8,29194.05546195
2024-08-31 19:15:00,471.8,473.0,471.8,472.4,43549.33318267
2024-08-31 19:30:00,472.1,472.8,471.5,472.5,45081.56534618
2024-08-31 19:45:00,472.8,473.9,472.5,473.1,115718.09478016
2024-08-31 20:00:00,473.3,473.8,473.0,473.8,59794.19489385
2024-08-31 20:15:00,473.8,475.2,473.3,473.3,108304.72795273
2024-08-31 20:30:00,473.3,474.1,473.3,473.8,40857.34372911
2024-08-31 20:45:00,473.8,474.1,473.0,473.7,87454.8186734
2024-08-31 21:00:00,473.6,473.6,472.4,473.2,33134.15395865
2024-08-31 21:15:00,472.5,474.1,472.5,473.9,58218.64055801
