dt,open,high,low,close,volume
2024-08-30 18:00:00,219.4,219.5,219.0,219.4,381843.68291066
2024-08-30 18:15:00,219.4,219.7,218.6,218.6,605680.54528368
2024-08-30 18:30:00,218.9,218.9,218.5,218.5,218595.32648631
2024-08-30 18:45:00,218.6,218.9,218.5,218.6,490157.01023704
2024-08-30 19:00:00,218.6,218.6,218.0,218.5,426583.12794235
2024-08-30 19:15:00,218.5,218.5,218.0,218.3,222087.14773983
2024-08-30 19:30:00,218.0,218.5,217.9,218.0,189970.10939039
2024-08-30 19:45:00,218.3,218.4,217.8,218.0,260267.87910976
2024-08-30 20:00:00,218.0,218.4,217.8,218.3,378869.43246183
2024-08-30 20:15:00,218.3,218.5,218.1,218.5,97422.09703396
2024-08-30 20:30:00,218.5,219.0,218.3,218.3,379377.68384466
2024-08-30 20:45:00,218.3,218.7,218.1,218.6,245507.3810075
2024-08-30 21:00:00,218.8,218.8,218.2,218.4,386628.85635313
2024-08-30 21:15:00,218.6,218.6,218.1,218.3,231228.17381493
2024-08-30 21:30:00,218.2,218.6,218.1,218.6,419334.13234184
2024-08-30 21:45:00,218.6,218.9,218.3,218.9,194946.70681566
2024-08-30 22:00:00,218.6,219.3,218.6,218.8,304306.12666106
2024-08-30 22:15:00,219.4,219.4,218.8,219.0,704588.77041995
2024-08-30 22:30:00,218.9,219.6,218.8,219.6,1137509.45873445
2024-08-30 22:45:00,219.6,219.8,218.9,219.7,456879.90455132
2024-08-30 23:00:00,219.6,219.6,218.8,219.1,461397.5495962
2024-08-30 23:15:00,219.1,219.8,218.7,219.6,480833.99082526
2024-08-30 23:30:00,219.6,219.7,219.0,219.2,415613.14592239
2024-08-30 23:45:00,219.1,219.9,219.1,219.6,962253.51530092
2024-08-31 00:00:00,219.5,219.9,218.6,219.6,720158.24531656
2024-08-31 00:15:00,219.6,219.6,218.8,219.0,905034.19603612
2024-08-31 00:30:00,219.0,219.5,218.3,218.6,753209.1858238
2024-08-31 00:45:00,218.6,219.2,218.4,218.6,1179178.98957343
2024-08-31 01:00:00,218.6,219.5,218.5,219.1,454453.11867125
2024-08-31 01:15:00,219.1,219.3,218.4,218.8,259993.64331102
2024-08-31 01:30:00,218.8,219.0,218.2,218.4,150627.00117135
2024-08-31 01:45:00,218.4,218.7,218.1,218.5,175692.23403818
2024-08-31 02:00:00,218.5,218.6,217.8,218.0,278277.90189939
2024-08-31 02:15:00,218.1,218.2,217.8,218.1,252346.14206193
2024-08-31 02:30:00,218.1,218.6,218.0,218.3,142500.19281005
2024-08-31 02:45:00,218.3,218.4,217.9,218.2,457265.01260765
2024-08-31 03:00:00,218.2,218.4,218.0,218.3,237379.59491983
2024-08-31 03:15:00,218.3,218.7,218.3,218.4,114423.69174578
2024-08-31 03:30:00,218.5,218.5,217.7,217.9,506892.38909993
2024-08-31 03:45:00,217.7,217.7,217.0,217.2,444008.6537186
2024-08-31 04:00:00,217.2,217.2,216.5,216.6,322526.76901143
2024-08-31 04:15:00,216.6,216.8,216.5,216.8,97627.88143247
2024-08-31 04:30:00,216.8,216.8,216.6,216.6,42999.88815051
2024-08-31 04:45:00,216.6,217.2,216.6,217.0,38053.50145314
2024-08-31 05:00:00,217.0,217.0,216.5,217.0,100496.59564503
2024-08-31 05:15:00,217.0,217.1,216.7,217.1,57288.7036207
2024-08-31 05:30:00,217.1,217.3,217.0,217.0,21926.60622592
2024-08-31 05:45:00,217.0,217.5,217.0,217.1,215063.82269749
2024-08-31 06:00:00,217.3,217.5,217.0,217.4,94885.4354018
2024-08-31 06:15:00,217.2,217.4,216.8,217.2,75017.09081519
2024-08-31 06:30:00,217.2,217.6,217.1,217.2,57567.87938908
2024-08-31 06:45:00,217.2,217.3,216.8,216.8,244197.20728118
2024-08-31 07:00:00,217.0,217.7,216.9,217.4,317769.28161522
2024-08-31 07:15:00,217.2,217.4,217.0,217.3,61557.78768087
2024-08-31 07:30:00,217.1,217.6,217.0,217.5,345948.03229246
2024-08-31 07:45:00,217.5,217.8,217.3,217.7,90206.88923276
2024-08-31 08:00:00,217.8,218.0,217.2,217.2,280387.31407621
2024-08-31 08:15:00,217.2,217.9,217.2,217.6,118375.82551955
2024-08-31 08:30:00,217.7,217.9,217.6,217.6,145670.90972298
2024-08-31 08:45:00,217.6,217.9,217.4,217.9,133495.10181745
2024-08-31 09:00:00,217.7,218.0,217.3,217.6,291772.25486281
2024-08-31 09:15:00,217.4,217.7,217.2,217.2,180986.87461973
2024-08-31 09:30:00,217.2,217.6,216.7,217.0,742624.75704473
2024-08-31 09:45:00,217.1,218.0,217.1,218.0,239190.71850035
2024-08-31 10:00:00,217.9,218.1,217.5,217.7,386837.33985317
2024-08-31 10:15:00,217.6,217.9,217.1,217.1,211357.10065252
2024-08-31 10:30:00,217.2,217.5,217.0,217.2,306869.60679369
2024-08-31 10:45:00,217.2,217.3,216.8,216.8,221604.27307844
2024-08-31 11:00:00,216.7,217.0,216.6,216.7,147153.28411072
2024-08-31 11:15:00,217.0,217.4,216.8,217.2,135824.66537125
2024-08-31 11:30:00,217.2,217.3,217.0,217.0,149494.55067501
2024-08-31 11:45:00,217.2,217.5,216.6,217.0,164418.10637687
2024-08-31 12:00:00,217.0,217.0,216.6,216.9,183415.48209671
2024-08-31 12:15:00,216.9,217.0,216.7,217.0,191805.97648944
2024-08-31 12:30:00,217.0,217.0,216.5,217.0,505845.45815336
2024-08-31 12:45:00,217.0,217.1,216.6,216.6,355089.3579213
2024-08-31 13:00:00,216.6,217.0,216.6,216.7,184824.27143626
2024-08-31 13:15:00,217.0,217.2,216.5,216.6,489376.256163
2024-08-31 13:30:00,216.6,216.9,216.4,216.8,315568.67358709
2024-08-31 13:45:00,216.8,217.3,216.5,216.8,313173.24386213
2024-08-31 14:00:00,216.8,217.1,216.5,216.7,301137.4496234
2024-08-31 14:15:00,216.7,216.8,216.2,216.6,270984.25528599
2024-08-31 14:30:00,216.4,216.6,216.0,216.3,347430.58748032
2024-08-31 14:45:00,216.3,216.5,215.4,215.4,780488.8832056
2024-08-31 15:00:00,215.5,215.5,215.0,215.2,753739.89545913
