,open,high,low,close,volume,value
2023-06-12 09:00:00,360.0,377.0,351.0,361.0,62142482.13128018,22744089362.61084
2023-06-13 09:00:00,361.0,378.0,352.0,359.0,39907896.87749717,14552761102.596378
2023-06-14 09:00:00,359.0,363.0,338.0,345.0,28241482.6493928,9961703707.541035
2023-06-15 09:00:00,345.0,350.0,331.0,342.0,33603587.01275109,11396880029.944523
2023-06-16 09:00:00,343.0,350.0,333.0,346.0,17984839.58445,6138218067.460516
2023-06-17 09:00:00,345.0,359.0,342.0,349.0,19051407.23895792,6687289631.055331
2023-06-18 09:00:00,349.0,353.0,339.0,341.0,14096761.04584669,4900937866.262047
2023-06-19 09:00:00,341.0,345.0,337.0,344.0,15061585.7276598,5141459807.822819
2023-06-20 09:00:00,343.0,354.0,332.0,353.0,26195335.31702785,8975978524.227203
2023-06-21 09:00:00,353.0,377.0,351.0,374.0,41664300.99281637,15282093287.719164
2023-06-22 09:00:00,374.0,399.0,373.0,379.0,46842312.57556324,18138349230.63133
2023-06-23 09:00:00,379.0,400.0,379.0,395.0,42436965.51029642,16546098948.290571
2023-06-24 09:00:00,393.0,396.0,380.0,386.0,42696203.6702175,16639910688.475134
2023-06-25 09:00:00,385.0,406.0,383.0,386.0,44008594.15390937,17315465315.596695
2023-06-26 09:00:00,386.0,388.0,368.0,372.0,32474007.10263038,12300190357.496769
2023-06-27 09:00:00,372.0,383.0,368.0,379.0,22585421.80378565,8443117240.993445
2023-06-28 09:00:00,378.0,379.0,352.0,355.0,30921009.9630775,11282242747.899113
2023-06-29 09:00:00,354.0,370.0,354.0,368.0,24077125.69541422,8779823226.46287
2023-06-30 09:00:00,367.0,399.0,357.0,382.0,77358957.50096996,29361114222.523808
2023-07-01 09:00:00,382.0,392.0,375.0,390.0,56362078.71792523,21649045137.64745
2023-07-02 09:00:00,390.0,391.0,380.0,388.0,36812897.17193289,14186912529.172443
2023-07-03 09:00:00,388.0,395.0,385.0,393.0,30081122.67821119,11710801750.988596
2023-07-04 09:00:00,392.0,398.0,383.0,385.0,34037310.97697851,13279267940.680893
2023-07-05 09:00:00,386.0,390.0,370.0,376.0,26949128.58570606,10258463220.687927
2023-07-06 09:00:00,376.0,387.0,368.0,371.0,27915237.81706822,10537966187.679913
2023-07-07 09:00:00,371.0,378.0,369.0,378.0,10799811.52830688,4041445674.525042
2023-07-08 09:00:00,377.0,388.0,373.0,384.0,16520749.4716314,6286138078.530254
2023-07-09 09:00:00,384.0,387.0,374.0,375.0,16440585.79710334,6253828358.303981
2023-07-10 09:00:00,376.0,384.0,368.0,379.0,23904241.88658563,9007111918.921482
2023-07-11 09:00:00,379.0,386.0,379.0,384.0,17418386.17647385,6657503561.284158
2023-07-12 09:00:00,384.0,387.0,374.0,378.0,18462695.08471927,7064839571.391418
2023-07-13 09:00:00,378.0,497.0,372.0,455.0,367946798.33577687,160648124391.03552
2023-07-14 09:00:00,455.0,495.0,410.0,422.0,316682284.0762765,145173701515.5154
2023-07-15 09:00:00,423.0,433.0,416.0,419.0,51587971.32490791,21855253366.053333
2023-07-16 09:00:00,419.0,421.0,402.0,405.0,60890798.35476494,25144670038.66542
2023-07-17 09:00:00,406.0,410.0,394.0,400.0,43371416.60234431,17479717313.554653
2023-07-18 09:00:00,400.0,404.0,388.0,401.0,42094433.41725509,16596451035.756655
2023-07-19 09:00:00,401.0,420.0,398.0,414.0,194903540.49523464,79894667783.3456
2023-07-20 09:00:00,415.0,429.0,406.0,409.0,191200658.98565716,79921237774.07895
2023-07-21 09:00:00,409.0,412.0,402.0,407.0,43588116.03659066,17734403969.42874
2023-07-22 09:00:00,407.0,409.0,399.0,404.0,29702620.58365945,11999786834.778332
2023-07-23 09:00:00,404.0,412.0,400.0,411.0,29563038.17566519,12062261104.927753
2023-07-24 09:00:00,410.0,413.0,391.0,396.0,42103940.69007453,16845585187.736639
2023-07-25 09:00:00,396.0,400.0,390.0,395.0,26876544.30848632,10603891889.131325
2023-07-26 09:00:00,395.0,402.0,388.0,396.0,27696150.90317764,10896883341.136667
2023-07-27 09:00:00,396.0,405.0,395.0,399.0,26418603.32567503,10577909890.866684
2023-07-28 09:00:00,398.0,406.0,397.0,401.0,18802970.53567085,7542044330.992157
2023-07-29 09:00:00,401.0,406.0,400.0,403.0,12912546.09132035,5192923629.137397
2023-07-30 09:00:00,403.0,411.0,397.0,408.0,33418985.38934909,13565944338.994375
2023-07-31 09:00:00,409.0,412.0,398.0,399.0,17679027.62157398,7146071762.319351
2023-08-01 09:00:00,399.0,404.0,388.0,403.0,24346666.29126635,9644142551.845129
2023-08-02 09:00:00,403.0,406.0,393.0,394.0,16176212.56238328,6470351350.373735
2023-08-03 09:00:00,394.0,396.0,384.0,385.0,23533861.4472176,9178222071.86474
2023-08-04 09:00:00,385.0,393.0,384.0,387.0,19231196.43998952,7455425796.581994
2023-08-05 09:00:00,387.0,390.0,383.0,388.0,11986209.53717485,4626559491.991642
2023-08-06 09:00:00,389.0,393.0,386.0,387.0,10714285.29179673,4173203917.849835
2023-08-07 09:00:00,387.0,393.0,378.0,384.0,20554362.33117886,7920109750.810548
2023-08-08 09:00:00,384.0,400.0,384.0,393.0,14055503.6800477,5488291867.48952
2023-08-09 09:00:00,393.0,401.0,393.0,400.0,16140892.10218289,6398000733.513656
2023-08-10 09:00:00,399.0,401.0,393.0,393.0,10160387.61421812,4024825640.8106065
2023-08-11 09:00:00,394.0,396.0,391.0,392.0,7797426.97737793,3067818244.474395
2023-08-12 09:00:00,391.0,393.0,388.0,390.0,7308397.22381402,2859083471.9573355
2023-08-13 09:00:00,390.0,392.0,385.0,387.0,10992666.76050076,4270824920.4318023
2023-08-14 09:00:00,387.0,391.0,384.0,388.0,11101426.86160121,4303423475.811005
2023-08-15 09:00:00,388.0,391.0,375.0,380.0,14558786.22305169,5600312373.826875
2023-08-16 09:00:00,380.0,382.0,363.0,373.0,23514792.49291808,8799861538.357666
2023-08-17 09:00:00,373.0,378.0,340.0,351.0,27857815.91382903,9996964603.468828
2023-08-18 09:00:00,351.0,369.0,349.0,363.0,18849829.43706222,6752318743.075934
2023-08-19 09:00:00,362.0,373.0,359.0,371.0,10161895.0042056,3724110100.5507507
2023-08-20 09:00:00,371.0,375.0,363.0,372.0,13233384.20221333,4886828301.816861
2023-08-21 09:00:00,371.0,374.0,356.0,361.0,9401076.12528987,3433615853.8619595
2023-08-22 09:00:00,360.0,362.0,345.0,355.0,17354360.08869551,6135148850.741092
2023-08-23 09:00:00,354.0,367.0,353.0,365.0,11567399.94696869,4143634410.490582
2023-08-24 09:00:00,364.0,367.0,355.0,361.0,12078182.89948915,4349477473.111837
2023-08-25 09:00:00,362.0,367.0,352.0,355.0,10611119.23395162,3791637274.143305
2023-08-26 09:00:00,356.0,356.0,351.0,355.0,5610432.99509289,1984467645.3535914
2023-08-27 09:00:00,355.0,360.0,354.0,357.0,6525354.80374237,2329308802.2517214
2023-08-28 09:00:00,357.0,362.0,350.0,362.0,10148742.64732369,3605618112.712448
2023-08-29 09:00:00,361.0,379.0,353.0,368.0,27244152.65909526,10004963511.740744
2023-08-30 09:00:00,368.0,369.0,354.0,360.0,18843830.52678491,6796723259.270465
2023-08-31 09:00:00,361.0,363.0,345.0,349.0,20446590.91519164,7249275371.99361
2023-09-01 09:00:00,350.0,353.0,346.0,350.0,9300080.7735451,3250892305.1251106
2023-09-02 09:00:00,350.0,352.0,345.0,349.0,6084813.63093182,2121942029.0414705
2023-09-03 09:00:00,349.0,350.0,345.0,347.0,6492141.54736077,2251446508.6012006
2023-09-04 09:00:00,347.0,352.0,344.0,347.0,8041281.19417796,2796581447.004287
2023-09-05 09:00:00,347.0,353.0,345.0,351.0,7903007.88929884,2756257807.7406526
2023-09-06 09:00:00,349.0,355.0,345.0,350.0,7001069.51485507,2447160038.5192356
2023-09-07 09:00:00,350.0,352.0,345.0,351.0,7612538.93450335,2650156563.687323
2023-09-08 09:00:00,350.0,352.0,345.0,347.0,8424201.68358787,2923615260.1831675
2023-09-09 09:00:00,347.0,348.0,345.0,345.0,4222292.04507455,1464152424.1642456
2023-09-10 09:00:00,346.0,346.0,335.0,339.0,13369950.74154172,4549762724.202516
2023-09-11 09:00:00,340.0,340.0,324.0,331.0,16721320.22390649,5553467498.553016
2023-09-12 09:00:00,331.0,342.0,329.0,333.0,11578151.48052985,3888725711.2764783
2023-09-13 09:00:00,333.0,339.0,331.0,336.0,6951934.38276859,2330310462.7332463
2023-09-14 09:00:00,336.0,342.0,333.0,339.0,10871451.40488384,3675289681.000925
2023-09-15 09:00:00,339.0,345.0,333.0,338.0,15299101.45858304,5175899892.731468
2023-09-16 09:00:00,338.0,343.0,336.0,340.0,16536778.61240711,5610435584.280355
2023-09-17 09:00:00,340.0,340.0,331.0,333.0,11952880.24473057,4008422305.6818604
2023-09-18 09:00:00,333.0,344.0,330.0,338.0,14913927.6640195,5046513669.978276
2023-09-19 09:00:00,338.0,345.0,336.0,342.0,12008991.66190877,4094109568.0323224
2023-09-20 09:00:00,342.0,345.0,337.0,339.0,12746274.81952282,4341572024.716926
2023-09-21 09:00:00,340.0,342.0,332.0,333.0,13472058.83643586,4540746103.785294
2023-09-22 09:00:00,332.0,335.0,329.0,332.0,18708776.84628673,6202269643.114524
2023-09-23 09:00:00,331.0,334.0,330.0,333.0,8390458.94096557,2785996061.4474077
2023-09-24 09:00:00,332.0,333.0,326.0,328.0,10347640.7022052,3424711950.7725983
2023-09-25 09:00:00,328.0,333.0,326.0,332.0,8494336.77684324,2802372016.6235366
2023-09-26 09:00:00,331.0,336.0,331.0,332.0,6752629.93384964,2248917089.2001863
2023-09-27 09:00:00,332.0,338.0,331.0,333.0,9425143.46486453,3151473302.5981283
2023-09-28 09:00:00,333.0,340.0,332.0,337.0,8176984.65345395,2753532268.804979
2023-09-29 09:00:00,337.0,346.0,336.0,338.0,14378293.96750816,4899202897.553786
2023-09-30 09:00:00,338.0,345.0,337.0,344.0,7948656.04196526,2711814253.9887366
2023-10-01 09:00:00,344.0,361.0,344.0,358.0,17409929.06825609,6133830123.15272
2023-10-02 09:00:00,358.0,365.0,350.0,352.0,17957056.03483728,6420872528.247803
2023-10-03 09:00:00,353.0,361.0,349.0,354.0,16821242.66518555,5998398791.923581
2023-10-04 09:00:00,355.0,355.0,344.0,351.0,11394923.23426985,3973419513.706409
2023-10-05 09:00:00,350.0,359.0,347.0,353.0,12454727.73732053,4403124746.308021
2023-10-06 09:00:00,353.0,361.0,353.0,358.0,10533551.10503166,3766517028.9023547
2023-10-07 09:00:00,358.0,360.0,347.0,350.0,13595253.9305541,4784995363.892424
2023-10-08 09:00:00,350.0,352.0,347.0,349.0,7124691.21016431,2486577807.3468018
2023-10-09 09:00:00,347.0,353.0,339.0,342.0,19083502.93162586,6582545713.800171
2023-10-10 09:00:00,342.0,346.0,337.0,339.0,7681563.46109395,2615872564.413569
2023-10-11 09:00:00,339.0,340.0,333.0,339.0,8007445.57113039,2692180961.1798267
2023-10-12 09:00:00,339.0,339.0,332.0,338.0,6241721.57543972,2091598017.3214097
2023-10-13 09:00:00,337.0,343.0,336.0,338.0,4162226.80647353,1410278564.8409317
2023-10-14 09:00:00,338.0,341.0,337.0,339.0,3603784.85936678,1221051697.4490395
2023-10-15 09:00:00,339.0,340.0,335.0,338.0,6492584.36269835,2192935277.9850492
2023-10-16 09:00:00,338.0,354.0,338.0,341.0,20136466.60355759,6921407608.1382885
2023-10-17 09:00:00,341.0,343.0,335.0,335.0,17936762.65352339,6077260233.004694
2023-10-18 09:00:00,335.0,338.0,331.0,332.0,12261543.49067914,4105247103.8995976
2023-10-19 09:00:00,332.0,337.0,328.0,335.0,12675092.39351219,4205137072.8288207
2023-10-20 09:00:00,335.0,343.0,333.0,341.0,22067906.28424478,7466001723.2484455
2023-10-21 09:00:00,341.0,354.0,339.0,349.0,20828811.4955936,7231263763.851532
2023-10-22 09:00:00,349.0,356.0,346.0,356.0,15409325.3091346,5403032093.379566
2023-10-23 09:00:00,354.0,376.0,354.0,375.0,41466159.72435355,14969231386.506138
2023-10-24 09:00:00,375.0,391.0,369.0,375.0,59420723.97956022,22531630548.31335
2023-10-25 09:00:00,375.0,390.0,374.0,378.0,28543850.6865025,10857358813.522587
2023-10-26 09:00:00,378.0,401.0,377.0,388.0,54283672.7350631,21180954092.995705
2023-10-27 09:00:00,388.0,396.0,378.0,393.0,25038375.17670259,9694911293.478004
2023-10-28 09:00:00,392.0,404.0,392.0,395.0,21015492.74535839,8371319060.705627
2023-10-29 09:00:00,395.0,405.0,393.0,400.0,16657923.89281148,6652226998.783616
2023-10-30 09:00:00,400.0,411.0,397.0,410.0,24011076.6750684,9696048891.395372
2023-10-31 09:00:00,410.0,414.0,388.0,399.0,49766348.36235577,20063795228.93932
2023-11-01 09:00:00,399.0,419.0,388.0,416.0,48074854.04801073,19251228514.515568
2023-11-02 09:00:00,416.0,448.0,406.0,439.0,60339860.08823183,25675677245.657894
2023-11-03 09:00:00,439.0,445.0,418.0,443.0,52905975.93101341,22898653372.1593
2023-11-04 09:00:00,443.0,445.0,433.0,440.0,30874348.64642972,13536147844.843687
2023-11-05 09:00:00,440.0,470.0,437.0,459.0,46653171.91017285,21206800332.008408
2023-11-06 09:00:00,458.0,502.0,451.0,484.0,55396399.37558971,26267726159.13087
2023-11-07 09:00:00,483.0,489.0,448.0,469.0,50736831.25448819,23780542138.37811
2023-11-08 09:00:00,470.0,479.0,466.0,477.0,24816408.95361847,11748981674.009203
2023-11-09 09:00:00,476.0,511.0,474.0,496.0,81901079.3007483,40356399527.910736
2023-11-10 09:00:00,496.0,522.0,489.0,518.0,55571752.9543236,27931218069.93242
2023-11-11 09:00:00,518.0,527.0,496.0,514.0,47487017.12599364,24267112309.380352
2023-11-12 09:00:00,513.0,520.0,498.0,511.0,31763858.02407289,16174873574.483648
2023-11-13 09:00:00,511.0,517.0,478.0,482.0,52984422.89799736,26351826922.19382
2023-11-14 09:00:00,482.0,499.0,468.0,482.0,56015632.37232365,27104883128.143715
2023-11-15 09:00:00,483.0,506.0,470.0,505.0,36681581.40176911,17940771777.29665
2023-11-16 09:00:00,505.0,549.0,486.0,503.0,123699458.78529923,64478175783.4331
2023-11-17 09:00:00,503.0,511.0,481.0,496.0,53316703.09837853,26544010591.311623
2023-11-18 09:00:00,496.0,509.0,472.0,507.0,34149043.28357119,16718719045.04425
2023-11-19 09:00:00,507.0,514.0,496.0,513.0,29945299.05556278,15118692411.779972
2023-11-20 09:00:00,512.0,532.0,507.0,510.0,37265060.85897773,19296887284.40584
2023-11-21 09:00:00,510.0,523.0,482.0,483.0,42040244.25199175,21173136981.767006
2023-11-22 09:00:00,483.0,517.0,482.0,508.0,25988264.62778224,12966602006.77298
2023-11-23 09:00:00,508.0,519.0,504.0,518.0,22877615.56761923,11697399424.509068
2023-11-24 09:00:00,519.0,532.0,515.0,518.0,39948488.94638515,20898712416.8639
2023-11-25 09:00:00,518.0,530.0,516.0,527.0,20628307.82707761,10803902357.801922
2023-11-26 09:00:00,527.0,529.0,510.0,519.0,20973500.17549609,10940702010.810314
2023-11-27 09:00:00,519.0,526.0,502.0,511.0,24936805.22184786,12777624712.221899
