,open,high,low,close,volume,value
2023-06-12 09:00:00,81.5,81.7,79.8,80.8,217948776.88740233,17564136975.990147
2023-06-13 09:00:00,80.8,81.8,79.8,80.6,240791646.54963997,19450546716.00191
2023-06-14 09:00:00,80.6,81.4,77.0,79.3,245634677.24867392,19584440323.006844
2023-06-15 09:00:00,79.3,81.3,78.2,80.4,312720750.12933034,24994071045.777245
2023-06-16 09:00:00,80.3,82.4,79.7,81.6,173960295.3197597,14055970350.003098
2023-06-17 09:00:00,81.6,82.3,80.9,81.7,134739866.04935208,11016816005.768894
2023-06-18 09:00:00,81.6,83.7,80.5,81.3,256454233.42945823,20962099849.973335
2023-06-19 09:00:00,81.3,82.2,80.9,81.5,147582376.38895166,12005549097.046085
2023-06-20 09:00:00,81.6,82.5,80.1,82.4,206790660.99720514,16863817864.006907
2023-06-21 09:00:00,82.4,87.1,82.1,85.7,434469837.3855569,36676433051.45237
2023-06-22 09:00:00,85.7,90.7,85.6,85.9,562981091.0009867,49535044405.32028
2023-06-23 09:00:00,85.8,92.5,85.8,90.4,391812438.815483,34839845096.94989
2023-06-24 09:00:00,90.4,91.0,87.5,88.9,337551908.34520817,30210793551.646477
2023-06-25 09:00:00,88.9,90.6,88.0,88.3,271309888.3893143,24257228157.81922
2023-06-26 09:00:00,88.3,88.6,84.5,85.9,283339209.9483081,24557107319.756695
2023-06-27 09:00:00,85.9,86.9,85.5,86.6,195024820.63300052,16819936765.17922
2023-06-28 09:00:00,86.6,87.5,82.2,83.2,238223004.53817797,20227054488.152645
2023-06-29 09:00:00,83.2,85.4,83.1,84.6,143715368.77935573,12116240448.725346
2023-06-30 09:00:00,84.6,89.4,83.6,88.6,658787942.1138287,57514084048.6705
2023-07-01 09:00:00,88.5,97.1,88.5,91.1,1689490797.1440449,155868393707.10614
2023-07-02 09:00:00,91.1,91.9,88.1,90.2,356948603.9500855,31996358759.797306
2023-07-03 09:00:00,90.2,90.9,89.1,90.6,333460368.28700936,30029619812.672657
2023-07-04 09:00:00,90.4,94.8,89.6,91.0,1126210800.6530306,103030113021.25705
2023-07-05 09:00:00,90.9,91.4,87.0,88.7,423071914.6685468,37698078914.819275
2023-07-06 09:00:00,88.7,90.3,86.3,86.5,324354197.3702712,28628578197.995274
2023-07-07 09:00:00,86.6,87.5,86.0,86.8,175015647.5303598,15186180866.993347
2023-07-08 09:00:00,86.8,87.5,86.0,87.1,121630703.78827445,10534585658.364084
