,open,high,low,close,volume,value
2023-06-12 09:00:00,5990.0,5995.0,5870.0,5965.0,122993.81452891,730850063.7635428
2023-06-13 09:00:00,5970.0,6145.0,5935.0,6040.0,235752.70585085,1421764897.6887627
2023-06-14 09:00:00,6050.0,6270.0,5940.0,5985.0,162966.75334114,990236467.6416906
2023-06-15 09:00:00,5985.0,6075.0,5600.0,5720.0,555972.66075997,3194915050.479874
2023-06-16 09:00:00,5720.0,5855.0,5620.0,5805.0,263475.66302124,1507843371.1561744
2023-06-17 09:00:00,5800.0,5985.0,5780.0,5935.0,104806.96031777,616700943.0981243
2023-06-18 09:00:00,5940.0,6120.0,5890.0,5930.0,159890.50991589,962176724.7092191
2023-06-19 09:00:00,5930.0,6020.0,5815.0,5925.0,141016.95747399,835582393.0239345
2023-06-20 09:00:00,5915.0,6115.0,5765.0,6090.0,235499.71894166,1394794938.1357398
2023-06-21 09:00:00,6085.0,6345.0,6050.0,6300.0,490041.36194631,3038248630.197398
2023-06-22 09:00:00,6305.0,6515.0,6255.0,6310.0,404022.46600883,2579801818.750641
2023-06-23 09:00:00,6310.0,6780.0,6310.0,6755.0,508633.65391737,3348821942.3888574
2023-06-24 09:00:00,6765.0,6820.0,6530.0,6685.0,459455.98966823,3080890316.38036
2023-06-25 09:00:00,6680.0,6990.0,6660.0,6875.0,523896.53551955,3582746446.164151
2023-06-26 09:00:00,6875.0,6915.0,6635.0,6665.0,473915.4171193,3222822565.4495277
2023-06-27 09:00:00,6660.0,6820.0,6635.0,6730.0,224258.42576251,1509437280.0923328
2023-06-28 09:00:00,6730.0,6750.0,6355.0,6485.0,312225.13590312,2059203007.744111
2023-06-29 09:00:00,6485.0,7580.0,6475.0,6645.0,5137127.06761756,35569218031.649925
2023-06-30 09:00:00,6645.0,6960.0,6315.0,6905.0,2740480.20042594,18464131392.508015
2023-07-01 09:00:00,6905.0,7250.0,6795.0,7125.0,1263817.34615819,8843185709.9525
2023-07-02 09:00:00,7125.0,7330.0,6930.0,7290.0,715058.33915077,5054017675.32389
2023-07-03 09:00:00,7300.0,7455.0,7115.0,7175.0,599929.09633854,4361573751.895778
2023-07-04 09:00:00,7175.0,7270.0,6935.0,7060.0,425590.4206828,3049386190.016847
2023-07-05 09:00:00,7060.0,7105.0,6770.0,6900.0,450479.1826734,3117693459.623538
2023-07-06 09:00:00,6900.0,7070.0,6690.0,6695.0,434547.35719434,2982475731.328953
2023-07-07 09:00:00,6695.0,6850.0,6650.0,6790.0,216757.30929283,1466375465.5091047
2023-07-08 09:00:00,6795.0,6900.0,6720.0,6795.0,262620.28532124,1794728311.2237372
2023-07-09 09:00:00,6795.0,6825.0,6700.0,6705.0,199895.76284595,1351020019.6105895
2023-07-10 09:00:00,6705.0,6870.0,6605.0,6755.0,202889.1396269,1360338860.6422594
2023-07-11 09:00:00,6760.0,6840.0,6700.0,6820.0,217754.47858585,1470682123.0878127
2023-07-12 09:00:00,6835.0,6955.0,6710.0,6750.0,309139.36792498,2115882806.3899825
2023-07-13 09:00:00,6750.0,7075.0,6640.0,7060.0,1075254.67766406,7444087921.716631
2023-07-14 09:00:00,7060.0,7945.0,6865.0,7025.0,2632108.2392084,19130071841.598633
2023-07-15 09:00:00,7025.0,7120.0,6880.0,6985.0,466012.52644492,3260952897.571866
2023-07-16 09:00:00,6980.0,6995.0,6805.0,6840.0,358647.75295721,2476706108.7675657
2023-07-17 09:00:00,6845.0,6960.0,6690.0,6835.0,512822.61401289,3493762765.3630233
2023-07-18 09:00:00,6825.0,6930.0,6600.0,6670.0,626712.48632836,4225053766.1255918
2023-07-19 09:00:00,6670.0,6755.0,6605.0,6670.0,435872.88567808,2912136867.6890235
2023-07-20 09:00:00,6660.0,7090.0,6655.0,6930.0,2935183.92676109,20356491338.90988
2023-07-21 09:00:00,6935.0,7385.0,6910.0,7130.0,5630184.26707926,40418885420.12308
2023-07-22 09:00:00,7130.0,7175.0,6850.0,6920.0,1163139.08604152,8154222375.79946
2023-07-23 09:00:00,6920.0,7105.0,6855.0,6975.0,593933.1696949,4156289506.0694494
2023-07-24 09:00:00,6975.0,7005.0,6655.0,6765.0,671644.64274906,4580398599.606352
2023-07-25 09:00:00,6765.0,6825.0,6660.0,6725.0,316474.02911195,2127717902.0982962
2023-07-26 09:00:00,6730.0,6840.0,6645.0,6780.0,417115.06171215,2811493166.9938707
2023-07-27 09:00:00,6775.0,6910.0,6735.0,6800.0,351458.94369034,2397589392.8227453
2023-07-28 09:00:00,6800.0,6820.0,6690.0,6770.0,346684.03815773,2342820121.0211353
2023-07-29 09:00:00,6760.0,6820.0,6745.0,6785.0,232823.05306599,1577462981.259369
2023-07-30 09:00:00,6785.0,6820.0,6645.0,6715.0,510662.33579506,3449250285.5481186
2023-07-31 09:00:00,6710.0,6795.0,6575.0,6635.0,340880.02338415,2278646818.659886
2023-08-01 09:00:00,6635.0,6770.0,6530.0,6770.0,342538.39411039,2266691682.6901846
2023-08-02 09:00:00,6770.0,6800.0,6605.0,6660.0,197540.18963383,1329230393.5250115
2023-08-03 09:00:00,6660.0,6670.0,6535.0,6570.0,222930.47230406,1473829906.5954795
2023-08-04 09:00:00,6565.0,6660.0,6550.0,6600.0,211722.27116939,1397618629.1024816
2023-08-05 09:00:00,6605.0,6605.0,6530.0,6595.0,148737.93214456,976489317.8571199
2023-08-06 09:00:00,6595.0,6690.0,6570.0,6635.0,130221.00492638,863463001.6944759
2023-08-07 09:00:00,6635.0,6680.0,6435.0,6570.0,296931.20024531,1955512277.6662815
2023-08-08 09:00:00,6570.0,6735.0,6535.0,6700.0,214580.8383508,1423923650.1520302
2023-08-09 09:00:00,6700.0,6755.0,6655.0,6705.0,223749.93140794,1501018228.3868833
2023-08-10 09:00:00,6705.0,6725.0,6605.0,6640.0,163844.89327638,1090480814.803047
2023-08-11 09:00:00,6640.0,6695.0,6625.0,6675.0,102905.97867033,684923807.1753219
2023-08-12 09:00:00,6680.0,6735.0,6665.0,6715.0,103597.47532974,693735249.6034265
2023-08-13 09:00:00,6725.0,6735.0,6645.0,6655.0,125269.32700969,838839850.333316
2023-08-14 09:00:00,6655.0,6745.0,6620.0,6665.0,179705.40915414,1200071799.8808444
2023-08-15 09:00:00,6665.0,6710.0,6370.0,6500.0,265656.66803014,1748377770.6883223
2023-08-16 09:00:00,6500.0,6540.0,6200.0,6345.0,331762.66517231,2128902565.2312853
2023-08-17 09:00:00,6330.0,6535.0,6000.0,6095.0,593883.64622294,3730951296.8800926
2023-08-18 09:00:00,6095.0,6250.0,5985.0,6215.0,330330.36906009,2017731831.634762
2023-08-19 09:00:00,6215.0,6285.0,6145.0,6235.0,101865.2754769,632560479.5600595
2023-08-20 09:00:00,6235.0,6260.0,6150.0,6210.0,83915.11601623,520246616.39913416
2023-08-21 09:00:00,6195.0,6220.0,6000.0,6065.0,156415.18550359,957843692.0320041
2023-08-22 09:00:00,6065.0,6110.0,5865.0,6070.0,167800.65055071,1007623787.9983037
2023-08-23 09:00:00,6065.0,6155.0,5990.0,6100.0,194408.64171158,1179621801.6707098
2023-08-24 09:00:00,6105.0,6125.0,5960.0,6020.0,152203.0266797,920709279.5321414
2023-08-25 09:00:00,6020.0,6115.0,5925.0,6115.0,203718.36810812,1228799724.462941
