,open,high,low,close,volume,value
2023-06-12 09:00:00,690.0,694.0,675.0,689.0,179080447.51697773,122412827918.2643
2023-06-13 09:00:00,689.0,735.0,664.0,679.0,691040930.8078254,485196409995.4703
2023-06-14 09:00:00,678.0,681.0,609.0,631.0,399850658.1820058,259291920892.90588
2023-06-15 09:00:00,630.0,638.0,612.0,627.0,266082967.36832514,166320447554.91345
2023-06-16 09:00:00,627.0,630.0,602.0,624.0,261651532.94326836,161039149596.6809
2023-06-17 09:00:00,624.0,637.0,615.0,629.0,148045166.923679,92854230675.66812
2023-06-18 09:00:00,629.0,651.0,625.0,638.0,165246103.3360127,105440977914.06183
2023-06-19 09:00:00,637.0,650.0,632.0,644.0,136490685.59460607,87677670005.06427
2023-06-20 09:00:00,644.0,650.0,622.0,644.0,218560116.77861416,139302332715.74304
2023-06-21 09:00:00,644.0,658.0,640.0,654.0,268650336.23721206,174692764168.66614
2023-06-22 09:00:00,653.0,691.0,641.0,647.0,452855281.01073873,300616872847.19037
2023-06-23 09:00:00,647.0,663.0,643.0,656.0,273879608.04961073,178969176928.81506
2023-06-24 09:00:00,657.0,659.0,642.0,649.0,201999328.86117306,131605274790.85359
2023-06-25 09:00:00,648.0,660.0,644.0,649.0,184947577.94671357,120493921712.21294
2023-06-26 09:00:00,650.0,652.0,628.0,635.0,205266338.61948693,131041280889.18744
2023-06-27 09:00:00,635.0,641.0,631.0,639.0,155451423.94226706,98870221876.49702
2023-06-28 09:00:00,639.0,641.0,610.0,618.0,170410074.6310013,106988259019.92003
2023-06-29 09:00:00,618.0,637.0,614.0,632.0,140638690.87074044,87939555017.42178
2023-06-30 09:00:00,633.0,643.0,604.0,630.0,326094702.1374734,205348802926.57635
2023-07-01 09:00:00,630.0,634.0,620.0,630.0,204314362.72613937,128099885974.19589
2023-07-02 09:00:00,630.0,661.0,625.0,643.0,439522128.23246485,283340210317.7051
2023-07-03 09:00:00,642.0,647.0,635.0,647.0,170527829.1844872,109239790041.32404
2023-07-04 09:00:00,646.0,650.0,636.0,643.0,129794975.7522664,83556829682.5033
2023-07-05 09:00:00,644.0,649.0,621.0,632.0,181889100.54911533,115463622365.47269
2023-07-06 09:00:00,633.0,638.0,616.0,617.0,173372344.0537048,108750039312.20576
2023-07-07 09:00:00,617.0,624.0,613.0,621.0,96916922.9321265,60049004226.79285
2023-07-08 09:00:00,620.0,629.0,617.0,623.0,65625818.25610847,40760690982.73067
2023-07-09 09:00:00,622.0,624.0,617.0,618.0,48383960.8076008,30037545477.872814
2023-07-10 09:00:00,618.0,632.0,614.0,628.0,122792479.1520684,76308847407.51968
2023-07-11 09:00:00,628.0,629.0,621.0,623.0,84862446.94184925,52980846663.15727
2023-07-12 09:00:00,624.0,624.0,612.0,617.0,116032199.62940188,71832507990.0724
2023-07-13 09:00:00,617.0,1125.0,612.0,1040.0,2593243804.3059754,2316124822333.557
