recv_ts,exch,coin,price,exch_ts
1781004209.746791,upbit,KRW-BTC,93733000.0,1781004210539
1781004209.746791,upbit,KRW-ETH,2500000.0,1781004210034
1781004209.948636,upbit,KRW-BTC,93733000.0,1781004213689
1781004209.952098,binance,KRW-ETH,1668.33,1781004213750
1781004209.969643,binance,KRW-ETH,1668.33,1781004213766
1781004209.969643,binance,KRW-ETH,1668.32,1781004213766
1781004209.969643,binance,KRW-ETH,1668.31,1781004213766
1781004209.969643,binance,KRW-ETH,1668.3,1781004213766
1781004209.969643,binance,KRW-ETH,1668.29,1781004213766
1781004209.969643,binance,KRW-ETH,1668.28,1781004213766
1781004210.290564,upbit,KRW-BTC,93733000.0,1781004214042
1781004210.309274,upbit,KRW-ETH,2500000.0,1781004214060
1781004210.457123,binance,KRW-ETH,1668.27,1781004214254
1781004210.910007,binance,KRW-ETH,1668.27,1781004214706
1781004210.910007,binance,KRW-ETH,1668.26,1781004214706
1781004210.910007,binance,KRW-ETH,1668.25,1781004214707
1781004210.910007,binance,KRW-ETH,1668.24,1781004214707
1781004210.910007,binance,KRW-ETH,1668.24,1781004214709
1781004210.917965,binance,KRW-ETH,1668.24,1781004214715
1781004210.919376,binance,KRW-ETH,1668.24,1781004214716
1781004210.919376,binance,KRW-ETH,1668.23,1781004214716
1781004210.919376,binance,KRW-ETH,1668.22,1781004214716
1781004210.919376,binance,KRW-ETH,1668.21,1781004214716
1781004210.919376,binance,KRW-ETH,1668.2,1781004214716
1781004210.919376,binance,KRW-ETH,1668.17,1781004214716
1781004210.919376,binance,KRW-ETH,1668.16,1781004214716
1781004210.919376,binance,KRW-ETH,1668.15,1781004214716
1781004210.919376,binance,KRW-ETH,1668.14,1781004214716
1781004210.919376,binance,KRW-ETH,1668.13,1781004214718
1781004210.948691,binance,KRW-BTC,62549.45,1781004214746
1781004210.948691,binance,KRW-BTC,62549.44,1781004214746
1781004210.948691,binance,KRW-BTC,62549.43,1781004214746
1781004210.948691,binance,KRW-BTC,62549.27,1781004214746
1781004210.948691,binance,KRW-BTC,62549.27,1781004214746
1781004210.948691,binance,KRW-BTC,62548.64,1781004214746
1781004210.953201,binance,KRW-BTC,62547.87,1781004214750
1781004210.953201,binance,KRW-BTC,62547.86,1781004214750
1781004210.953201,binance,KRW-BTC,62547.78,1781004214750
1781004210.953201,binance,KRW-BTC,62547.5,1781004214750
1781004210.953201,binance,KRW-BTC,62547.25,1781004214750
1781004210.953201,binance,KRW-BTC,62547.24,1781004214750
1781004210.953201,binance,KRW-BTC,62547.23,1781004214750
1781004210.953201,binance,KRW-BTC,62547.2,1781004214750
1781004210.953201,binance,KRW-BTC,62546.77,1781004214750
1781004210.953201,binance,KRW-BTC,62546.65,1781004214750
1781004210.958565,binance,KRW-BTC,62546.64,1781004214756
1781004210.958565,binance,KRW-BTC,62546.63,1781004214756
1781004210.958565,binance,KRW-BTC,62546.33,1781004214756
1781004211.016063,binance,KRW-ETH,1668.13,1781004214813
1781004211.552251,binance,KRW-BTC,62546.32,1781004215350
1781004211.669627,binance,KRW-BTC,62546.32,1781004215466
1781004211.669627,binance,KRW-BTC,62546.32,1781004215466
1781004211.671129,binance,KRW-BTC,62546.32,1781004215467
1781004211.671129,binance,KRW-BTC,62546.32,1781004215467
1781004211.671129,binance,KRW-BTC,62546.31,1781004215467
