,open,high,low,close,volume,value
2023-06-14 14:30:00,15520.0,15530.0,15420.0,15420.0,2283.60975598,35320210.889897
2023-06-14 14:45:00,15430.0,15430.0,15400.0,15400.0,2341.4610677,36083155.6490599
2023-06-14 15:00:00,15430.0,15450.0,15410.0,15420.0,229.95441619,3547320.2864951
2023-06-14 15:15:00,15450.0,15450.0,15430.0,15440.0,368.21044419,5684867.9637498
2023-06-14 15:30:00,15440.0,15460.0,15430.0,15460.0,569.363005,8788628.3674139
2023-06-14 15:45:00,15450.0,15450.0,15430.0,15440.0,325.39582421,5025140.4208524
2023-06-14 16:00:00,15460.0,15480.0,15460.0,15480.0,413.71983962,6402792.2034034
2023-06-14 16:15:00,15490.0,15490.0,15400.0,15400.0,487.49879003,7521066.2312997
2023-06-14 16:30:00,15410.0,15430.0,15410.0,15420.0,898.72317215,13855146.8910369
2023-06-14 16:45:00,15400.0,15420.0,15390.0,15400.0,754.84090692,11626085.1951674
2023-06-14 17:00:00,15400.0,15400.0,15380.0,15400.0,87.16823126,1342020.5074981
2023-06-14 17:15:00,15420.0,15430.0,15420.0,15430.0,229.47837296,3540137.0930867
2023-06-14 17:30:00,15460.0,15500.0,15460.0,15500.0,222.74071923,3451772.6111981
2023-06-14 17:45:00,15500.0,15500.0,15480.0,15500.0,464.13501546,7193569.3187986
2023-06-14 18:00:00,15490.0,15490.0,15440.0,15440.0,230.61472835,3564188.8940054
2023-06-14 18:15:00,15450.0,15470.0,15430.0,15470.0,1129.79351082,17441150.8818622
2023-06-14 18:30:00,15470.0,15480.0,15470.0,15480.0,33.68308969,521284.2284012
2023-06-14 18:45:00,15470.0,15510.0,15470.0,15510.0,310.8372317,4812805.9964652
2023-06-14 19:00:00,15490.0,15520.0,15490.0,15500.0,143.61549243,2225595.8817736
2023-06-14 19:15:00,15510.0,15520.0,15500.0,15500.0,384.48246777,5964794.6472243
2023-06-14 19:30:00,15510.0,15530.0,15500.0,15530.0,864.46200021,13408889.4336503
2023-06-14 19:45:00,15530.0,15530.0,15480.0,15510.0,781.4047656,12113314.3405953
2023-06-14 20:00:00,15510.0,15520.0,15500.0,15510.0,274.3716994,4254774.5560654
2023-06-14 20:15:00,15500.0,15520.0,15500.0,15520.0,256.10791427,3971450.671185
2023-06-14 20:30:00,15520.0,15550.0,15510.0,15550.0,567.52080835,8808848.0723973
2023-06-14 21:00:00,15550.0,15560.0,15540.0,15540.0,298.00466444,4631656.9636222
2023-06-14 21:15:00,15550.0,15550.0,15530.0,15530.0,41.77033658,648907.1669862
2023-06-14 21:30:00,15530.0,15560.0,15510.0,15560.0,1075.34109341,16705418.3090798
2023-06-14 21:45:00,15560.0,15580.0,15560.0,15570.0,278.40788134,4335217.3439585
