,open,high,low,close,volume,value
2023-06-15 15:30:00,6935.0,6935.0,6910.0,6915.0,2017.40678508,13953505.08319635
2023-06-15 15:45:00,6915.0,6920.0,6895.0,6895.0,10817.18046526,74642783.61361244
2023-06-15 16:00:00,6905.0,6925.0,6850.0,6865.0,11804.2496172,81227996.5010661
2023-06-15 16:15:00,6870.0,6905.0,6870.0,6875.0,4117.01530282,28332258.90567855
2023-06-15 16:30:00,6870.0,6900.0,6870.0,6900.0,2852.84137958,19622788.376893
2023-06-15 16:45:00,6905.0,6905.0,6875.0,6875.0,1857.01021719,12781166.479713
2023-06-15 17:00:00,6880.0,6910.0,6875.0,6910.0,438.6761775,3028717.78389385
2023-06-15 17:15:00,6910.0,6940.0,6900.0,6930.0,1306.21514108,9035964.7344852
2023-06-15 17:30:00,6930.0,6950.0,6920.0,6925.0,3076.44715854,21308581.54996025
2023-06-15 17:45:00,6920.0,6920.0,6880.0,6880.0,2102.02948702,14511727.69083765
2023-06-15 18:00:00,6895.0,6905.0,6880.0,6900.0,1510.11453632,10412426.05746205
2023-06-15 18:15:00,6890.0,6890.0,6855.0,6855.0,1645.59368937,11311329.13798405
2023-06-15 18:30:00,6855.0,6870.0,6840.0,6840.0,4995.33295112,34218727.54888
2023-06-15 18:45:00,6845.0,6865.0,6840.0,6865.0,1810.96073277,12406308.3555783
2023-06-15 19:00:00,6850.0,6870.0,6850.0,6860.0,105.28221006,722364.1345386
2023-06-15 19:15:00,6860.0,6865.0,6840.0,6845.0,2709.72023771,18561314.19259895
2023-06-15 19:30:00,6845.0,6845.0,6815.0,6815.0,5680.02501708,38777366.5365526
2023-06-15 19:45:00,6810.0,6825.0,6810.0,6820.0,4876.99538333,33243200.89187295
2023-06-15 20:00:00,6820.0,6825.0,6800.0,6800.0,4794.71761461,32651476.2168932
2023-06-15 20:15:00,6800.0,6825.0,6785.0,6785.0,4178.41852035,28413798.2252805
2023-06-15 20:30:00,6800.0,6885.0,6790.0,6880.0,4195.75729021,28712296.43231755
2023-06-15 20:45:00,6870.0,6920.0,6870.0,6905.0,2734.15804372,18873956.86413285
