,open,high,low,close,volume,value
2023-06-15 23:00:00,93.0,93.2,92.9,93.1,522682.23970741,48628683.13070006
2023-06-15 23:15:00,93.1,93.1,92.7,92.7,271008.54154647,25168548.06427004
2023-06-15 23:30:00,92.7,92.8,92.3,92.3,802882.99407538,74323527.41225395
2023-06-15 23:45:00,92.4,92.6,92.2,92.6,422932.96796357,39067335.13003158
2023-06-16 00:00:00,92.4,92.5,92.1,92.1,723170.22208933,66723952.26489033
2023-06-16 00:15:00,92.3,92.3,92.0,92.1,651508.8613975,60026409.11195805
2023-06-16 00:30:00,92.1,92.4,92.0,92.2,844147.2974645,77789733.97801968
2023-06-16 00:45:00,92.2,92.3,92.0,92.1,441975.86502986,40698183.02699999
2023-06-16 01:00:00,92.1,92.3,92.0,92.0,541857.35752374,49922377.81673923
2023-06-16 01:15:00,92.1,92.2,92.0,92.1,550174.57390505,50663264.33031372
2023-06-16 01:30:00,92.1,92.3,92.0,92.0,201275.97831834,18538582.3340193
2023-06-16 01:45:00,92.0,92.0,91.8,91.8,548937.27312953,50427782.56841949
2023-06-16 02:00:00,92.0,92.1,91.8,91.9,356846.70871078,32813093.91583531
2023-06-16 02:15:00,92.1,92.1,91.6,91.7,581269.72114228,53420067.34063313
2023-06-16 02:30:00,91.7,91.8,91.3,91.5,733353.86106196,67122760.79241225
2023-06-16 02:45:00,91.6,92.2,91.6,92.0,451873.88353155,41532414.81355558
2023-06-16 03:00:00,92.2,92.3,91.9,92.3,260407.83822038,23963062.90763445
2023-06-16 03:15:00,92.2,92.3,91.9,92.1,109827.44162769,10104299.41668773
2023-06-16 03:30:00,92.1,92.2,92.0,92.2,80716.20999852,7434153.6313625
2023-06-16 03:45:00,92.2,92.5,92.0,92.4,383511.21721029,35395881.93142168
2023-06-16 04:00:00,92.4,92.7,92.4,92.6,298191.64229696,27614047.08545472
2023-06-16 04:15:00,92.5,92.5,92.1,92.2,308697.65013344,28495330.09599574
2023-06-16 04:30:00,92.2,92.7,92.2,92.5,215316.46753818,19928954.55521046
2023-06-16 04:45:00,92.6,92.6,92.3,92.5,461319.68898888,42668087.80191993
2023-06-16 05:00:00,92.5,92.7,92.4,92.5,1237525.50537537,114582038.35287814
2023-06-16 05:15:00,92.4,92.5,92.1,92.1,1426998.93567323,131849126.83769228
2023-06-16 05:30:00,92.1,92.5,92.1,92.4,243382.66313782,22462763.8733862
2023-06-16 05:45:00,92.4,92.6,92.1,92.6,255705.48901578,23616683.38986342
2023-06-16 06:00:00,92.6,93.1,92.6,93.1,636486.29179054,59084837.66030016
2023-06-16 06:15:00,93.0,93.2,92.7,93.2,619818.78272989,57586608.06684985
2023-06-16 06:30:00,93.2,93.2,92.7,92.8,425719.96609664,39604803.86448578
2023-06-16 06:45:00,92.7,93.0,92.6,92.7,346369.44721162,32137077.28084201
2023-06-16 07:00:00,92.6,92.8,92.6,92.6,437596.00992788,40555755.16678108
2023-06-16 07:15:00,92.6,92.8,92.6,92.8,218178.71496838,20219933.91788498
2023-06-16 07:30:00,92.8,93.0,92.6,92.9,545764.53584118,50652019.24571996
2023-06-16 07:45:00,92.8,93.0,92.8,92.8,472281.52431108,43864521.945176
2023-06-16 08:00:00,92.9,92.9,92.6,92.7,1222745.39839194,113490094.58087988
2023-06-16 08:15:00,92.7,92.9,92.6,92.7,624281.04487441,57886577.11694434
2023-06-16 08:30:00,92.8,92.9,92.6,92.9,829983.8741864,77038639.77061397
2023-06-16 08:45:00,92.8,93.0,92.7,92.8,715633.79903208,66426173.35924556
2023-06-16 09:00:00,92.8,92.8,92.6,92.6,1021579.73792199,94693854.94431753
2023-06-16 09:15:00,92.6,92.7,92.3,92.5,1038305.24025224,96023125.68575533
2023-06-16 09:30:00,92.4,92.5,92.2,92.5,478018.20948422,44151930.88344195
2023-06-16 09:45:00,92.5,92.7,92.4,92.5,824080.50444927,76263768.3747474
2023-06-16 10:00:00,92.5,92.6,92.3,92.4,834380.79933364,77162019.7907305
2023-06-16 10:15:00,92.5,92.7,92.4,92.7,678159.87739859,62789831.57108723
2023-06-16 10:30:00,92.6,92.8,92.5,92.7,688008.66833559,63794671.67071159
2023-06-16 10:45:00,92.7,92.8,92.6,92.7,462442.09028715,42870791.44213473
2023-06-16 11:00:00,92.8,92.9,92.7,92.9,712643.82791682,66154537.94481852
2023-06-16 11:15:00,92.9,93.0,92.8,92.9,652187.37532197,60578004.27033092
2023-06-16 11:30:00,92.9,92.9,92.7,92.8,1019572.42420483,94641500.4081788
2023-06-16 11:45:00,92.8,93.0,92.8,92.9,913278.28314692,84852727.90962085
2023-06-16 12:00:00,93.0,93.0,92.7,92.9,1039071.19675028,96544998.69274399
2023-06-16 12:15:00,92.8,93.0,92.7,93.0,548653.12292474,50980200.0654822
2023-06-16 12:30:00,92.9,93.1,92.8,93.1,798981.65781928,74234691.67939721
2023-06-16 12:45:00,93.0,93.2,92.9,93.1,653017.93415719,60761896.82145314
2023-06-16 13:00:00,93.1,93.2,92.9,93.0,1058352.91153707,98544384.07155707
2023-06-16 13:15:00,93.0,93.1,92.8,92.8,758989.53327922,70519174.33442584
2023-06-16 13:30:00,92.8,92.9,92.7,92.7,646498.65156002,59971436.52774981
